@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,7,8,9,10,14,17,18,21,23,24,25,26,27,29,33,35,37,38,39,40,41,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute gender {1,2}

@data
47,31,109,94,94,78,62,62,94,78,141,78,94,94,109,79,1
62,32,32,62,94,94,78,93,47,78,47,79,110,78,125,156,1
63,78,109,94,78,94,47,62,94,93,141,78,94,94,109,79,1
109,16,313,391,391,62,62,79,15,94,16,47,62,47,94,78,1
78,16,16,47,516,32,47,437,63,78,32,62,47,63,94,16,1
32,62,313,391,484,62,79,250,78,90,16,47,62,47,94,78,1
78,594,109,219,219,63,78,79,46,78,63,94,63,93,78,78,1
63,31,62,63,62,94,94,93,47,63,62,47,47,109,94,16,1
78,110,109,219,62,94,16,62,16,79,63,94,63,93,78,78,1
119,47,172,266,266,94,93,78,157,94,594,93,109,31,94,78,1
94,93,15,78,0,78,93,31,94,63,94,47,110,47,172,63,1
15,94,172,266,0,78,62,78,16,62,594,93,109,31,94,78,1
78,78,141,281,281,47,32,62,94,125,47,63,93,156,15,16,1
47,78,47,78,0,47,63,94,93,187,78,62,16,78,32,156,1
235,47,141,281,0,109,78,78,47,63,47,63,93,156,15,16,1
79,125,94,94,94,78,94,78,78,63,78,94,78,63,62,78,1
94,16,16,62,47,78,94,79,187,62,47,47,78,62,204,79,1
78,31,94,94,78,78,31,78,47,78,78,94,78,63,62,78,1
109,78,172,125,125,125,47,16,47,94,16,62,141,78,203,78,1
125,188,16,78,156,125,62,47,31,109,94,93,94,94,79,47,1
93,16,172,125,156,172,15,78,47,78,16,62,141,78,203,78,1
94,47,16,94,94,31,16,31,94,4,15,78,16,79,672,78,1
110,94,78,94,532,32,78,62,141,172,62,62,78,32,671,125,1
31,94,16,94,563,32,156,31,78,72,15,78,16,79,672,78,1
62,63,16,125,125,16,110,78,16,78,15,78,94,31,93,94,1
62,16,32,62,0,47,78,31,47,63,46,47,94,16,78,94,1
16,94,16,125,93,78,62,94,31,77,15,78,94,31,93,94,1
94,62,63,78,78,78,78,78,16,109,31,93,94,78,94,109,1
110,15,31,78,156,266,93,109,16,93,62,79,75,86,78,47,1
109,16,63,78,94,109,47,109,16,110,31,93,94,78,94,109,1
78,31,62,156,156,78,109,78,204,140,219,78,31,141,15,484,1
94,31,63,31,0,79,78,63,31,31,78,78,15,94,125,62,1
94,16,62,156,0,141,19,62,32,78,219,78,31,141,15,484,1
47,93,63,78,78,31,47,62,63,78,47,93,172,15,78,125,1
78,32,15,79,0,78,93,110,15,62,78,78,78,15,93,16,1
16,62,63,78,125,125,94,78,16,78,47,93,172,15,78,125,1
47,281,156,235,235,94,62,78,47,78,156,110,156,47,109,62,1
250,16,15,78,94,109,110,16,109,62,79,62,203,31,31,343,1
78,47,156,235,0,109,62,78,110,78,156,110,156,47,109,62,1
78,187,62,94,94,78,78,62,16,78,31,62,78,47,109,110,1
110,15,47,62,94,79,62,203,265,62,47,62,156,63,78,156,1
94,16,62,94,78,63,16,32,15,110,31,62,78,47,109,110,1
109,31,32,110,110,62,32,78,16,79,656,63,32,78,766,15,1
63,15,15,62,640,63,63,47,94,16,78,141,110,15,832,32,1
94,157,32,110,0,125,110,703,16,62,656,63,32,78,766,15,1
78,16,15,78,78,78,78,63,94,94,31,62,63,93,78,94,1
94,15,15,93,47,219,62,79,78,15,63,62,63,94,78,32,1
94,47,15,78,94,234,15,141,15,78,31,62,63,93,78,94,1
93,16,78,125,125,78,78,125,109,94,94,78,94,94,94,78,1
250,16,16,78,0,93,78,141,93,47,172,79,265,78,156,16,1
140,16,78,125,891,172,94,94,78,156,94,78,94,94,94,78,1
562,16,0,94,94,94,62,78,15,94,109,94,94,125,78,125,1
93,16,78,78,94,94,94,78,31,62,63,109,94,78,109,63,1
156,47,0,94,94,94,31,47,31,78,109,94,94,125,78,125,1
125,157,265,390,390,110,15,15,93,109,46,985,203,62,47,359,1
38,129,250,31,0,187,985,94,125,94,94,109,16,110,157,15,1
16,125,265,390,0,140,31,141,187,94,46,985,203,62,47,359,1
94,296,78,156,156,93,93,109,31,94,78,234,234,63,109,63,1
78,94,16,62,0,125,234,94,94,641,78,78,156,47,141,140,1
125,93,78,156,125,94,93,125,62,94,78,234,234,63,109,63,1
141,16,391,110,110,110,78,78,109,125,297,235,297,31,93,109,1
93,32,47,94,125,141,235,16,125,125,78,94,172,31,78,15,1
234,141,391,110,0,109,16,125,188,94,297,235,297,31,93,109,1
62,32,15,109,109,62,31,46,47,63,94,94,109,16,94,125,1
63,15,63,31,0,62,94,78,63,93,78,62,94,47,109,110,1
78,63,15,109,125,63,16,62,16,78,94,94,109,16,94,125,1
141,15,53,91,91,144,63,31,78,125,156,78,110,94,110,125,1
109,188,15,63,78,94,78,219,16,16,79,93,94,125,125,250,1
125,15,53,91,94,125,16,156,16,171,156,78,110,94,110,125,1
94,31,15,63,63,63,78,62,32,31,78,79,63,109,78,62,1
78,16,79,62,515,78,79,78,31,15,63,125,78,79,109,15,1
140,31,15,63,94,79,31,110,172,110,78,79,63,109,78,62,1
125,62,63,78,78,47,78,46,16,125,265,78,141,46,62,109,1
172,16,31,94,78,203,78,172,116,63,31,79,156,47,126,219,1
94,31,63,78,62,110,78,32,31,94,265,78,141,46,62,109,1
78,62,156,141,141,125,110,78,16,109,47,94,94,125,187,94,1
203,31,16,62,172,94,94,109,63,78,63,79,78,110,110,32,1
78,47,156,141,125,125,47,94,15,63,47,94,94,125,187,94,1
62,32,47,62,62,62,63,62,110,78,78,79,79,140,63,78,1
78,47,32,93,78,62,79,94,203,78,47,47,109,94,125,78,1
63,125,47,62,63,78,46,78,31,63,78,79,79,140,63,78,1
94,141,250,328,328,172,157,47,78,422,62,344,140,234,47,78,1
