@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,8,9,11,15,16,18,19,23,24,25,26,27,37,39,41,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
31,62,78,94,94,156,110,94,94,78,141,78,78,94,94,31,109,31,79,63,47,63,1
32,62,62,62,94,125,62,47,78,78,47,62,79,110,78,93,125,78,156,47,62,63,1
78,94,78,94,78,140,62,94,78,93,141,78,78,94,94,31,109,31,79,140,47,63,1
16,78,62,391,391,47,16,15,78,94,16,62,47,62,47,32,94,234,78,125,31,15,1
16,93,62,47,516,578,125,63,62,78,32,63,62,47,63,94,94,172,16,78,47,46,1
62,78,62,391,484,79,47,78,47,90,16,62,47,62,47,32,94,234,78,32,31,15,1
594,62,78,219,219,15,125,46,47,78,63,62,94,63,93,63,78,16,78,62,79,63,1
31,62,47,63,62,47,62,47,63,63,62,94,47,47,109,47,94,62,16,63,63,63,1
110,47,78,219,62,32,78,16,78,79,63,62,94,63,93,63,78,16,78,266,79,63,1
47,94,78,266,266,47,63,157,93,94,594,63,93,109,31,94,94,31,78,78,94,78,1
93,78,78,78,0,31,63,94,63,63,94,78,47,110,47,78,172,78,63,109,94,78,1
94,93,78,266,0,16,31,16,93,62,594,63,93,109,31,94,94,31,78,47,94,78,1
78,78,63,281,281,47,187,94,62,125,47,78,63,93,156,47,15,93,16,78,47,47,1
78,63,47,78,0,47,94,93,16,187,78,63,62,16,78,47,32,94,156,62,63,31,1
47,62,63,281,0,31,15,47,78,63,47,78,63,93,156,47,15,93,16,62,47,47,1
125,94,78,94,94,312,93,78,63,63,78,78,94,78,63,78,62,78,78,125,63,62,1
16,62,78,62,47,188,78,187,78,62,47,78,47,78,62,63,204,46,79,47,78,78,1
31,63,78,94,78,172,63,47,78,78,78,78,94,78,63,78,62,78,78,218,63,62,1
78,94,63,125,125,156,62,47,31,94,16,79,62,141,78,157,203,16,78,16,125,109,1
188,16,109,78,156,109,78,31,109,109,94,78,93,94,94,62,79,62,47,32,78,124,1
16,31,63,125,156,547,79,47,125,78,16,79,62,141,78,157,203,16,78,16,125,109,1
47,94,93,94,94,47,62,94,16,4,15,47,78,16,79,62,672,31,78,78,16,31,1
94,63,110,94,532,625,141,141,15,172,62,63,62,78,32,141,671,47,125,125,78,78,1
94,16,93,94,563,656,31,78,16,72,15,47,78,16,79,62,672,31,78,31,16,31,1
63,94,62,125,125,32,31,16,62,78,15,47,78,94,31,47,93,16,94,63,94,78,1
16,62,78,62,0,16,140,47,16,63,46,63,47,94,16,109,78,109,94,78,62,62,1
94,62,62,125,93,16,16,31,93,77,15,47,78,94,31,47,93,16,94,16,94,78,1
62,109,78,78,78,94,94,16,62,109,31,63,93,94,78,109,94,31,109,78,78,94,1
15,93,109,78,156,141,63,16,94,93,62,78,79,75,86,93,78,93,47,47,93,109,1
16,62,78,78,94,78,93,16,62,110,31,63,93,94,78,109,94,31,109,63,78,94,1
31,63,62,156,156,32,16,204,78,140,219,78,78,31,141,62,15,94,484,47,78,93,1
31,79,250,31,0,15,78,31,62,31,78,47,78,15,94,109,125,78,62,32,31,47,1
16,78,62,156,0,47,113,32,78,78,219,78,78,31,141,62,15,94,484,63,78,93,1
93,47,16,78,78,156,31,63,78,78,47,47,93,172,15,63,78,16,125,125,63,79,1
32,94,110,79,0,16,79,15,110,62,78,79,78,78,15,78,93,94,16,63,47,94,1
62,78,16,78,125,16,16,16,78,78,47,47,93,172,15,63,78,16,125,63,63,79,1
281,94,78,235,235,31,188,47,63,78,156,94,110,156,47,125,109,125,62,47,62,94,1
16,94,78,78,94,125,62,109,63,62,79,78,62,203,31,109,31,141,343,32,62,93,1
47,63,78,235,0,46,85,110,93,78,156,94,110,156,47,125,109,125,62,32,62,94,1
187,78,63,94,94,141,32,16,94,78,31,94,62,78,47,78,109,156,110,79,94,78,1
15,78,47,62,94,109,63,265,32,62,47,110,62,156,63,125,78,94,156,78,125,94,1
16,94,63,94,78,94,109,15,93,110,31,94,62,78,47,78,109,156,110,31,94,78,1
31,94,93,110,110,62,62,16,63,79,656,47,63,32,78,79,766,782,15,125,15,47,1
