@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,11,14,16,17,18,19,20,21,23,24,25,26,27,29,37,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,62,78,94,94,78,78,141,78,94,94,31,109,31,79,109,63,1
62,32,62,62,62,94,94,78,47,79,110,78,93,125,78,156,94,63,1
63,78,94,78,94,78,94,93,141,78,94,94,31,109,31,79,109,63,1
109,16,78,62,391,391,62,94,16,47,62,47,32,94,234,78,63,15,1
78,16,93,62,47,516,32,78,32,62,47,63,94,94,172,16,32,46,1
32,62,78,62,391,484,62,90,16,47,62,47,32,94,234,78,63,15,1
78,594,62,78,219,219,63,78,63,94,63,93,63,78,16,78,171,63,1
63,31,62,47,63,62,94,63,62,47,47,109,47,94,62,16,46,63,1
78,110,47,78,219,62,94,79,63,94,63,93,63,78,16,78,171,63,1
119,47,94,78,266,266,94,94,594,93,109,31,94,94,31,78,31,78,1
94,93,78,78,78,0,78,63,94,47,110,47,78,172,78,63,78,78,1
15,94,93,78,266,0,78,62,594,93,109,31,94,94,31,78,31,78,1
78,78,78,63,281,281,47,125,47,63,93,156,47,15,93,16,94,47,1
47,78,63,47,78,0,47,187,78,62,16,78,47,32,94,156,141,31,1
235,47,62,63,281,0,109,63,47,63,93,156,47,15,93,16,94,47,1
79,125,94,78,94,94,78,63,78,94,78,63,78,62,78,78,31,62,1
94,16,62,78,62,47,78,62,47,47,78,62,63,204,46,79,63,78,1
78,31,63,78,94,78,78,78,78,94,78,63,78,62,78,78,31,62,1
109,78,94,63,125,125,125,94,16,62,141,78,157,203,16,78,16,109,1
125,188,16,109,78,156,125,109,94,93,94,94,62,79,62,47,47,124,1
93,16,31,63,125,156,172,78,16,62,141,78,157,203,16,78,16,109,1
94,47,94,93,94,94,31,4,15,78,16,79,62,672,31,78,110,31,1
110,94,63,110,94,532,32,172,62,62,78,32,141,671,47,125,16,78,1
31,94,16,93,94,563,32,72,15,78,16,79,62,672,31,78,110,31,1
62,63,94,62,125,125,16,78,15,78,94,31,47,93,16,94,15,78,1
62,16,62,78,62,0,47,63,46,47,94,16,109,78,109,94,32,62,1
16,94,62,62,125,93,78,77,15,78,94,31,47,93,16,94,15,78,1
