@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,11,15,16,17,18,20,22,23,24,25,26,27,29,39,41,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk7 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
47,31,62,78,94,94,156,62,94,141,78,94,94,31,109,31,79,78,63,47,1
62,32,62,62,62,94,125,93,78,47,79,110,78,93,125,78,156,93,47,62,1
63,78,94,78,94,78,140,62,78,141,78,94,94,31,109,31,79,63,140,47,1
109,16,78,62,391,391,47,79,78,16,47,62,47,32,94,234,78,62,125,31,1
78,16,93,62,47,516,578,437,62,32,62,47,63,94,94,172,16,16,78,47,1
32,62,78,62,391,484,79,250,47,16,47,62,47,32,94,234,78,46,32,31,1
78,594,62,78,219,219,15,79,47,63,94,63,93,63,78,16,78,63,62,79,1
63,31,62,47,63,62,47,93,63,62,47,47,109,47,94,62,16,62,63,63,1
78,110,47,78,219,62,32,62,78,63,94,63,93,63,78,16,78,63,266,79,1
119,47,94,78,266,266,47,78,93,594,93,109,31,94,94,31,78,63,78,94,1
94,93,78,78,78,0,31,31,63,94,47,110,47,78,172,78,63,16,109,94,1
15,94,93,78,266,0,16,78,93,594,93,109,31,94,94,31,78,78,47,94,1
78,78,78,63,281,281,47,62,62,47,63,93,156,47,15,93,16,16,78,47,1
47,78,63,47,78,0,47,94,16,78,62,16,78,47,32,94,156,328,62,63,1
235,47,62,63,281,0,31,78,78,47,63,93,156,47,15,93,16,31,62,47,1
79,125,94,78,94,94,312,78,63,78,94,78,63,78,62,78,78,78,125,63,1
94,16,62,78,62,47,188,79,78,47,47,78,62,63,204,46,79,78,47,78,1
78,31,63,78,94,78,172,78,78,78,94,78,63,78,62,78,78,78,218,63,1
109,78,94,63,125,125,156,16,31,16,62,141,78,157,203,16,78,109,16,125,1
125,188,16,109,78,156,109,47,109,94,93,94,94,62,79,62,47,109,32,78,1
93,16,31,63,125,156,547,78,125,16,62,141,78,157,203,16,78,124,16,125,1
94,47,94,93,94,94,47,31,16,15,78,16,79,62,672,31,78,15,78,16,1
110,94,63,110,94,532,625,62,15,62,62,78,32,141,671,47,125,15,125,78,1
31,94,16,93,94,563,656,31,16,15,78,16,79,62,672,31,78,78,31,16,1
62,63,94,62,125,125,32,78,62,15,78,94,31,47,93,16,94,16,63,94,1
62,16,62,78,62,0,16,31,16,46,47,94,16,109,78,109,94,391,78,62,1
16,94,62,62,125,93,16,94,93,15,78,94,31,47,93,16,94,62,16,94,1
94,62,109,78,78,78,94,78,62,31,93,94,78,109,94,31,109,94,78,78,1
110,15,93,109,78,156,141,109,94,62,79,75,86,93,78,93,47,62,47,93,1
109,16,62,78,78,94,78,109,62,31,93,94,78,109,94,31,109,109,63,78,1
78,31,63,62,156,156,32,78,78,219,78,31,141,62,15,94,484,62,47,78,1
94,31,79,250,31,0,15,63,62,78,78,15,94,109,125,78,62,93,32,31,1
94,16,78,62,156,0,47,62,78,219,78,31,141,62,15,94,484,47,63,78,1
47,93,47,16,78,78,156,62,78,47,93,172,15,63,78,16,125,110,125,63,1
78,32,94,110,79,0,16,110,110,78,78,78,15,78,93,94,16,32,63,47,1
16,62,78,16,78,125,16,78,78,47,93,172,15,63,78,16,125,94,63,63,1
47,281,94,78,235,235,31,78,63,156,110,156,47,125,109,125,62,63,47,62,1
250,16,94,78,78,94,125,16,63,79,62,203,31,109,31,141,343,156,32,62,1
78,47,63,78,235,0,46,78,93,156,110,156,47,125,109,125,62,93,32,62,1
78,187,78,63,94,94,141,62,94,31,62,78,47,78,109,156,110,32,79,94,1
110,15,78,47,62,94,109,203,32,47,62,156,63,125,78,94,156,62,78,125,1
94,16,94,63,94,78,94,32,93,31,62,78,47,78,109,156,110,94,31,94,1
109,31,94,93,110,110,62,78,63,656,63,32,78,79,766,782,15,47,125,15,1
63,15,93,78,62,640,703,47,47,78,141,110,15,93,832,62,32,15,78,15,1
94,157,63,93,110,0,15,703,47,656,63,32,78,79,766,782,15,31,109,15,1
78,16,78,63,78,78,94,63,78,31,62,63,93,63,78,0,94,15,94,110,1
94,15,204,110,93,47,125,79,15,63,62,63,94,62,78,93,32,78,156,94,1
94,47,78,63,78,94,125,141,62,31,62,63,93,63,78,0,94,78,32,110,1
93,16,78,94,125,125,94,125,172,94,78,94,94,203,94,78,78,94,63,78,1
250,16,110,93,78,0,62,141,94,172,79,265,78,110,156,109,16,94,703,109,1
140,16,172,94,125,891,93,94,78,94,78,94,94,203,94,78,78,125,31,78,1
562,16,78,94,94,94,109,78,79,109,94,94,125,78,78,594,125,78,47,93,1
93,16,109,110,78,94,78,78,78,63,109,94,78,78,109,78,63,78,31,78,1
156,47,79,94,94,94,78,47,78,109,94,94,125,78,78,594,125,94,172,93,1
125,157,93,141,390,390,63,15,219,46,985,203,62,141,47,172,359,125,94,78,1
38,129,594,172,31,0,15,94,125,94,109,16,110,78,157,282,15,344,406,156,1
16,125,219,141,390,0,46,141,94,46,985,203,62,141,47,172,359,391,31,78,1
94,296,141,94,156,156,63,109,110,78,234,234,63,157,109,94,63,62,125,94,1
78,94,128,94,62,0,78,94,62,78,78,156,47,109,141,78,140,32,93,78,1
125,93,110,94,156,125,62,125,109,78,234,234,63,157,109,94,63,109,156,94,1
141,16,94,62,110,110,15,78,79,297,235,297,31,141,93,282,109,344,62,93,1
93,32,93,94,94,125,15,16,344,78,94,172,31,140,78,141,15,62,94,94,1
234,141,79,62,110,0,15,125,109,297,235,297,31,141,93,282,109,94,141,93,1
62,32,78,63,109,109,16,46,63,94,94,109,16,31,94,47,125,15,78,62,1
63,15,79,78,31,0,15,78,15,78,62,94,47,94,109,78,110,62,31,63,1
78,63,63,63,109,125,16,62,79,94,94,109,16,31,94,47,125,94,46,62,1
141,15,102,118,91,91,259,31,16,156,78,110,94,187,110,343,125,110,31,94,1
109,188,16,110,63,78,172,219,110,79,93,94,125,78,125,125,250,110,15,156,1
125,15,16,118,91,94,223,156,78,156,78,110,94,187,110,343,125,109,16,94,1
94,31,78,94,63,63,62,62,46,78,79,63,109,140,78,16,62,79,15,15,1
78,16,156,78,62,515,63,78,79,63,125,78,79,78,109,172,15,63,47,109,1
140,31,46,94,63,94,62,110,16,78,79,63,109,140,78,16,62,79,78,15,1
125,62,63,109,78,78,125,46,63,265,78,141,46,32,62,32,109,41,65,78,1
172,16,62,94,94,78,125,172,41,31,79,156,47,94,126,46,219,47,63,78,1
94,31,63,109,78,62,125,32,62,265,78,141,46,32,62,32,109,46,47,78,1
78,62,78,78,141,141,16,78,94,47,94,94,125,78,187,16,94,109,32,79,1
203,31,32,78,62,172,15,109,109,63,79,78,110,78,110,93,32,78,16,94,1
78,47,94,78,141,125,109,94,63,47,94,94,125,78,187,16,94,63,62,79,1
62,32,47,63,62,62,141,62,78,78,79,79,140,47,63,15,78,47,94,78,1
78,47,78,62,93,78,157,94,47,47,47,109,94,62,125,47,78,47,47,63,1
63,125,78,63,62,63,140,78,63,78,79,79,140,47,63,15,78,78,62,78,1
94,141,47,78,328,328,62,47,125,62,344,140,234,63,47,125,78,62,125,78,1
313,109,141,46,31,0,62,140,62,62,78,16,93,63,94,78,62,156,16,62,1
78,78,125,78,328,0,63,109,62,62,344,140,234,63,47,125,78,79,31,78,1
93,282,78,78,94,94,47,63,47,78,78,63,140,94,78,828,78,78,297,63,1
63,297,78,62,62,93,63,78,78,62,62,78,140,78,94,62,344,94,484,78,1
62,797,47,78,94,141,203,78,47,78,78,63,140,94,78,828,78,62,375,63,1
93,32,94,62,250,250,63,125,0,78,63,125,47,63,109,32,93,47,78,93,1
