@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,4,5,7,8,9,14,16,17,18,19,22,24,25,26,27,33,34,37,38,39,40,41,42'

@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
31,63,62,78,109,94,94,78,94,94,94,141,78,78,94,94,31,79,3423,1
32,93,62,62,32,62,94,94,47,78,125,47,62,79,110,78,78,156,3295,1
78,93,79,78,109,94,78,94,94,78,94,141,78,78,94,94,31,79,3422,1
16,109,78,62,313,391,391,62,15,78,62,16,62,47,62,47,234,78,4029,1
16,78,16,62,16,47,516,32,63,62,94,32,63,62,47,63,172,16,3846,1
62,16,63,62,313,391,484,62,78,47,62,16,62,47,62,47,234,78,4828,1
594,62,62,78,109,219,219,63,46,47,125,63,62,94,63,93,16,78,3970,1
31,63,94,47,62,63,62,94,47,63,109,62,94,47,47,109,62,16,3172,1
110,62,62,78,109,219,62,94,16,78,63,63,62,94,63,93,16,78,3378,1
47,156,94,78,172,266,266,94,157,93,312,594,63,93,109,31,31,78,4577,1
93,94,78,78,15,78,0,78,94,63,94,94,78,47,110,47,78,63,3844,1
94,16,94,78,172,266,0,78,16,93,109,594,63,93,109,31,31,78,4530,1
78,94,78,63,141,281,281,47,94,62,31,47,78,63,93,156,93,16,3734,1
78,78,125,47,47,78,0,47,93,16,32,78,63,62,16,78,94,156,3222,1
47,328,47,63,141,281,0,109,47,78,0,47,78,63,93,156,93,16,4719,1
125,109,94,78,94,94,94,78,78,63,125,78,78,94,78,63,78,78,3765,1
16,78,78,78,16,62,47,78,187,78,94,47,78,47,78,62,46,79,3425,1
31,78,47,78,94,94,78,78,47,78,46,78,78,94,78,63,78,78,3281,1
78,125,94,63,172,125,125,125,47,31,94,16,79,62,141,78,16,78,3737,1
188,47,62,109,16,78,156,125,31,109,78,94,78,93,94,94,62,47,3577,1
16,109,78,63,172,125,156,172,47,125,109,16,79,62,141,78,16,78,4000,1
47,141,94,93,16,94,94,31,94,16,80,15,47,78,16,79,31,78,4273,1
94,15,94,110,78,94,532,32,141,15,16,62,63,62,78,32,47,125,4784,1
94,15,15,93,16,94,563,32,78,16,593,15,47,78,16,79,31,78,6569,1
63,125,94,62,16,125,125,16,16,62,78,15,47,78,94,31,16,94,2609,1
16,78,78,78,32,62,0,47,47,16,78,46,63,47,94,16,109,94,2828,1
94,391,31,62,16,125,93,78,31,93,703,15,47,78,94,31,16,94,6135,1
62,110,109,78,63,78,78,78,16,62,79,31,63,93,94,78,31,109,3422,1
15,78,47,109,31,78,156,266,16,94,78,62,78,79,75,86,93,47,3563,1
16,62,78,78,63,78,94,109,16,62,110,31,63,93,94,78,31,109,3358,1
31,157,63,62,62,156,156,78,204,78,16,219,78,78,31,141,94,484,4014,1
31,94,78,250,63,31,0,79,31,62,141,78,47,78,15,94,78,62,3061,1
16,93,94,62,62,156,0,141,32,78,63,219,78,78,31,141,94,484,3506,1
93,63,47,16,63,78,78,31,63,78,94,47,47,93,172,15,16,125,2970,1
32,110,94,110,15,79,0,78,15,110,110,78,79,78,78,15,94,16,2738,1
62,32,78,16,63,78,125,125,16,78,94,47,47,93,172,15,16,125,2846,1
281,125,94,78,156,235,235,94,47,63,157,156,94,110,156,47,125,62,5096,1
16,125,94,78,15,78,94,109,109,63,47,79,78,62,203,31,141,343,4137,1
47,156,46,78,156,235,0,109,110,93,0,156,94,110,156,47,125,62,5517,1
187,94,78,63,62,94,94,78,16,94,157,31,94,62,78,47,156,110,3534,1
15,78,78,47,47,62,94,79,265,32,78,47,110,62,156,63,94,156,3531,1
16,62,93,63,62,94,78,63,15,93,719,31,94,62,78,47,156,110,4454,1
31,109,94,93,32,110,110,62,16,63,157,656,47,63,32,78,782,15,5333,1
15,78,32,78,15,62,640,63,94,47,15,78,63,141,110,15,62,32,4297,1
157,15,94,93,32,110,0,125,16,47,738,656,47,63,32,78,782,15,7947,1
16,93,78,63,15,78,78,78,94,78,78,31,79,62,63,93,0,94,4015,1
15,94,62,110,15,93,47,219,78,15,63,63,78,62,63,94,93,32,3294,1
47,78,47,63,15,78,94,234,15,62,78,31,79,62,63,93,0,94,4452,1
16,94,78,94,78,125,125,78,109,172,140,94,156,78,94,94,78,78,5954,1
16,125,110,93,16,78,0,93,93,94,93,172,62,79,265,78,109,16,5530,1
16,94,93,94,78,125,891,172,78,78,78,94,156,78,94,94,78,78,5998,1
16,78,78,94,0,94,94,94,15,79,94,109,62,94,94,125,594,125,4670,1
16,78,78,110,78,78,94,94,31,78,94,63,78,109,94,78,78,63,3172,1
47,78,94,94,0,94,94,94,31,78,110,109,62,94,94,125,594,125,4016,1
157,109,93,141,265,390,390,110,93,219,109,46,125,985,203,62,172,359,6223,1
129,297,109,172,250,31,0,187,125,125,94,94,172,109,16,110,282,15,6904,1
