@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,8,15,16,18,19,21,23,24,25,26,27,28,29,35,36,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,63,62,78,78,109,94,94,156,110,94,78,78,94,94,31,109,78,47,109,63,1
62,32,93,62,62,62,32,62,94,125,62,47,78,79,110,78,93,125,93,62,94,63,1
63,78,93,94,32,78,109,94,78,140,62,94,93,78,94,94,31,109,63,47,109,63,1
109,16,109,78,62,62,313,391,391,47,16,15,94,47,62,47,32,94,62,31,63,15,1
78,16,78,93,62,62,16,47,516,578,125,63,78,62,47,63,94,94,16,47,32,46,1
32,62,16,78,50,62,313,391,484,79,47,78,90,47,62,47,32,94,46,31,63,15,1
78,594,62,62,78,78,109,219,219,15,125,46,78,94,63,93,63,78,63,79,171,63,1
63,31,63,62,78,47,62,63,62,47,62,47,63,47,47,109,47,94,62,63,46,63,1
78,110,62,47,47,78,109,219,62,32,78,16,79,94,63,93,63,78,63,79,171,63,1
119,47,156,94,78,78,172,266,266,47,63,157,94,93,109,31,94,94,63,94,31,78,1
94,93,94,78,93,78,15,78,0,31,63,94,63,47,110,47,78,172,16,94,78,78,1
15,94,16,93,94,78,172,266,0,16,31,16,62,93,109,31,94,94,78,94,31,78,1
78,78,94,78,63,63,141,281,281,47,187,94,125,63,93,156,47,15,16,47,94,47,1
47,78,78,63,32,47,47,78,0,47,94,93,187,62,16,78,47,32,328,63,141,31,1
235,47,328,62,63,63,141,281,0,31,15,47,63,63,93,156,47,15,31,47,94,47,1
79,125,109,94,78,78,94,94,94,312,93,78,63,94,78,63,78,62,78,63,31,62,1
94,16,78,62,94,78,16,62,47,188,78,187,62,47,78,62,63,204,78,78,63,78,1
78,31,78,63,63,78,94,94,78,172,63,47,78,94,78,63,78,62,78,63,31,62,1
109,78,125,94,63,63,172,125,125,156,62,47,94,62,141,78,157,203,109,125,16,109,1
125,188,47,16,47,109,16,78,156,109,78,31,109,93,94,94,62,79,109,78,47,124,1
93,16,109,31,15,63,172,125,156,547,79,47,78,62,141,78,157,203,124,125,16,109,1
94,47,141,94,93,93,16,94,94,47,62,94,4,78,16,79,62,672,15,16,110,31,1
110,94,15,63,16,110,78,94,532,625,141,141,172,62,78,32,141,671,15,78,16,78,1
31,94,15,16,31,93,16,94,563,656,31,78,72,78,16,79,62,672,78,16,110,31,1
62,63,125,94,62,62,16,125,125,32,31,16,78,78,94,31,47,93,16,94,15,78,1
62,16,78,62,110,78,32,62,0,16,140,47,63,47,94,16,109,78,391,62,32,62,1
16,94,391,62,62,62,16,125,93,16,16,31,77,78,94,31,47,93,62,94,15,78,1
94,62,110,109,78,78,63,78,78,94,94,16,109,93,94,78,109,94,94,78,16,94,1
110,15,78,93,78,109,31,78,156,141,63,16,93,79,75,86,93,78,62,93,16,109,1
109,16,62,62,94,78,63,78,94,78,93,16,110,93,94,78,109,94,109,78,16,94,1
