@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,7,8,11,17,18,21,23,24,25,26,27,28,33,36,38,39'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
47,31,63,62,78,78,94,94,156,78,62,62,94,78,78,78,94,94,109,31,78,47,109,63,3423,1
62,32,93,62,62,62,62,94,125,94,78,93,47,78,62,79,110,78,125,78,93,62,94,63,3295,1
63,78,93,79,32,78,94,78,140,94,47,62,94,93,78,78,94,94,109,31,63,47,109,63,3422,1
109,16,109,78,62,62,391,391,47,62,62,79,15,94,62,47,62,47,94,234,62,31,63,15,4029,1
78,16,78,16,62,62,47,516,578,32,47,437,63,78,63,62,47,63,94,172,16,47,32,46,3846,1
32,62,16,63,50,62,391,484,79,62,79,250,78,90,62,47,62,47,94,234,46,31,63,15,4828,1
78,594,62,62,78,78,219,219,15,63,78,79,46,78,62,94,63,93,78,16,63,79,171,63,3970,1
63,31,63,94,78,47,63,62,47,94,94,93,47,63,94,47,47,109,94,62,62,63,46,63,3172,1
78,110,62,62,47,78,219,62,32,94,16,62,16,79,62,94,63,93,78,16,63,79,171,63,3378,1
119,47,156,94,78,78,266,266,47,94,93,78,157,94,63,93,109,31,94,31,63,94,31,78,4577,1
94,93,94,78,93,78,78,0,31,78,93,31,94,63,78,47,110,47,172,78,16,94,78,78,3844,1
15,94,16,94,94,78,266,0,16,78,62,78,16,62,63,93,109,31,94,31,78,94,31,78,4530,1
78,78,94,78,63,63,281,281,47,47,32,62,94,125,78,63,93,156,15,93,16,47,94,47,3734,1
47,78,78,125,32,47,78,0,47,47,63,94,93,187,63,62,16,78,32,94,328,63,141,31,3222,1
235,47,328,47,63,63,281,0,31,109,78,78,47,63,78,63,93,156,15,93,31,47,94,47,4719,1
79,125,109,94,78,78,94,94,312,78,94,78,78,63,78,94,78,63,62,78,78,63,31,62,3765,1
94,16,78,78,94,78,62,47,188,78,94,79,187,62,78,47,78,62,204,46,78,78,63,78,3425,1
78,31,78,47,63,78,94,78,172,78,31,78,47,78,78,94,78,63,62,78,78,63,31,62,3281,1
109,78,125,94,63,63,125,125,156,125,47,16,47,94,79,62,141,78,203,16,109,125,16,109,3737,1
125,188,47,62,47,109,78,156,109,125,62,47,31,109,78,93,94,94,79,62,109,78,47,124,3577,1
93,16,109,78,15,63,125,156,547,172,15,78,47,78,79,62,141,78,203,16,124,125,16,109,4000,1
94,47,141,94,93,93,94,94,47,31,16,31,94,4,47,78,16,79,672,31,15,16,110,31,4273,1
110,94,15,94,16,110,94,532,625,32,78,62,141,172,63,62,78,32,671,47,15,78,16,78,4784,1
31,94,15,15,31,93,94,563,656,32,156,31,78,72,47,78,16,79,672,31,78,16,110,31,6569,1
62,63,125,94,62,62,125,125,32,16,110,78,16,78,47,78,94,31,93,16,16,94,15,78,2609,1
62,16,78,78,110,78,62,0,16,47,78,31,47,63,63,47,94,16,78,109,391,62,32,62,2828,1
16,94,391,31,62,62,125,93,16,78,62,94,31,77,47,78,94,31,93,16,62,94,15,78,6135,1
94,62,110,109,78,78,78,78,94,78,78,78,16,109,63,93,94,78,94,31,94,78,16,94,3422,1
110,15,78,47,78,109,78,156,141,266,93,109,16,93,78,79,75,86,78,93,62,93,16,109,3563,1
109,16,62,78,94,78,78,94,78,109,47,109,16,110,63,93,94,78,94,31,109,78,16,94,3358,1
78,31,157,63,62,62,156,156,32,78,109,78,204,140,78,78,31,141,15,94,62,78,32,93,4014,1
94,31,94,78,109,250,31,0,15,79,78,63,31,31,47,78,15,94,125,78,93,31,78,47,3061,1
94,16,93,94,79,62,156,0,47,141,19,62,32,78,78,78,31,141,15,94,47,78,32,93,3506,1
47,93,63,47,16,16,78,78,156,31,47,62,63,78,47,93,172,15,78,16,110,63,15,79,2970,1
78,32,110,94,47,110,79,0,16,78,93,110,15,62,79,78,78,15,93,94,32,47,31,94,2738,1
16,62,32,78,63,16,78,125,16,125,94,78,16,78,47,93,172,15,78,16,94,63,15,79,2846,1
47,281,125,94,78,78,235,235,31,94,62,78,47,78,94,110,156,47,109,125,63,62,16,94,5096,1
250,16,125,94,62,78,78,94,125,109,110,16,109,62,78,62,203,31,31,141,156,62,32,93,4137,1
78,47,156,46,94,78,235,0,46,109,62,78,110,78,94,110,156,47,109,125,93,62,16,94,5517,1
78,187,94,78,63,63,94,94,141,78,78,62,16,78,94,62,78,47,109,156,32,94,31,78,3534,1
110,15,78,78,78,47,62,94,109,79,62,203,265,62,110,62,156,63,78,94,62,125,16,94,3531,1
94,16,62,93,63,63,94,78,94,63,16,32,15,110,94,62,78,47,109,156,94,94,31,78,4454,1
109,31,109,94,93,93,110,110,62,62,32,78,16,79,47,63,32,78,766,782,47,15,62,47,5333,1
63,15,78,32,32,78,62,640,703,63,63,47,94,16,63,141,110,15,832,62,15,15,62,31,4297,1
94,157,15,94,78,93,110,0,15,125,110,703,16,62,47,63,32,78,766,782,31,15,62,47,7947,1
78,16,93,78,63,63,78,78,94,78,78,63,94,94,79,62,63,93,78,0,15,110,15,78,4015,1
94,15,94,62,78,110,93,47,125,219,62,79,78,15,78,62,63,94,78,93,78,94,31,78,3294,1
94,47,78,47,78,63,78,94,125,234,15,141,15,78,79,62,63,93,78,0,78,110,15,78,4452,1
93,16,94,78,94,94,125,125,94,78,78,125,109,94,156,78,94,94,94,78,94,78,78,78,5954,1
250,16,125,110,78,93,78,0,62,93,78,141,93,47,62,79,265,78,156,109,94,109,813,125,5530,1
140,16,94,93,78,94,125,891,93,172,94,94,78,156,156,78,94,94,94,78,125,78,78,78,5998,1
562,16,78,78,94,94,94,94,109,94,62,78,15,94,62,94,94,125,78,594,78,93,47,78,4670,1
93,16,78,78,62,110,78,94,78,94,94,78,31,62,78,109,94,78,109,78,78,78,47,94,3172,1
