@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,4,5,6,7,8,9,14,16,17,18,25,26,28,33,34,35,37,38,39,42,43'

@attribute dtsk1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtsk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
63,78,109,94,94,78,62,94,94,78,94,62,78,78,78,94,94,79,47,109,1
93,62,32,62,94,94,93,47,78,78,125,47,94,62,79,110,78,156,62,94,1
93,78,109,94,78,94,62,94,78,93,94,125,93,78,78,94,94,79,47,109,1
109,62,313,391,391,62,79,15,78,94,62,109,31,62,47,62,47,78,31,63,1
78,62,16,47,516,32,437,63,62,78,94,94,94,63,62,47,63,16,47,32,1
16,62,313,391,484,62,250,78,47,90,62,94,437,62,47,62,47,78,31,63,1
62,78,109,219,219,63,79,46,47,78,125,63,109,62,94,63,93,78,79,171,1
63,47,62,63,62,94,93,47,63,63,109,63,78,94,47,47,109,16,63,46,1
62,78,109,219,62,94,62,16,78,79,63,94,93,62,94,63,93,78,79,171,1
156,78,172,266,266,94,78,157,93,94,312,63,114,63,93,109,31,78,94,31,1
94,78,15,78,0,78,31,94,63,63,94,62,109,78,47,110,47,63,94,78,1
16,78,172,266,0,78,78,16,93,62,109,172,31,63,93,109,31,78,94,31,1
94,63,141,281,281,47,62,94,62,125,31,63,234,78,63,93,156,16,47,94,1
78,47,47,78,0,47,94,93,16,187,32,63,94,63,62,16,78,156,63,141,1
328,63,141,281,0,109,78,47,78,63,0,32,94,78,63,93,156,16,47,94,1
109,78,94,94,94,78,78,78,63,63,125,62,93,78,94,78,63,78,63,31,1
78,78,16,62,47,78,79,187,78,62,94,78,78,78,47,78,62,79,78,63,1
78,78,94,94,78,78,78,47,78,78,46,204,79,78,94,78,63,78,63,31,1
125,63,172,125,125,125,16,47,31,94,94,78,94,79,62,141,78,78,125,16,1
47,109,16,78,156,125,47,31,109,109,78,94,94,78,93,94,94,47,78,47,1
109,63,172,125,156,172,78,47,125,78,109,79,47,79,62,141,78,78,125,16,1
141,93,16,94,94,31,31,94,16,4,80,31,16,47,78,16,79,78,16,110,1
15,110,78,94,532,32,62,141,15,172,16,31,141,63,62,78,32,125,78,16,1
15,93,16,94,563,32,31,78,16,72,593,671,62,47,78,16,79,78,16,110,1
125,62,16,125,125,16,78,16,62,78,78,78,94,47,78,94,31,94,94,15,1
78,78,32,62,0,47,31,47,16,63,78,78,62,63,47,94,16,94,62,32,1
391,62,16,125,93,78,94,31,93,77,703,78,31,47,78,94,31,94,94,15,1
110,78,63,78,78,78,78,16,62,109,79,93,109,63,93,94,78,109,78,16,1
78,109,31,78,156,266,109,16,94,93,78,110,94,78,79,75,86,47,93,16,1
62,78,63,78,94,109,109,16,62,110,110,78,109,63,93,94,78,109,78,16,1
157,62,62,156,156,78,78,204,78,140,16,78,31,78,78,31,141,484,78,32,1
94,250,63,31,0,79,63,31,62,31,141,31,94,47,78,15,94,62,31,78,1
93,62,62,156,0,141,62,32,78,78,63,125,63,78,78,31,141,484,78,32,1
63,16,63,78,78,31,62,63,78,78,94,62,125,47,93,172,15,125,63,15,1
110,110,15,79,0,78,110,15,110,62,110,47,109,79,78,78,15,16,47,31,1
32,16,63,78,125,125,78,16,78,78,94,93,110,47,93,172,15,125,63,15,1
125,78,156,235,235,94,78,47,63,78,157,125,94,94,110,156,47,62,62,16,1
125,78,15,78,94,109,16,109,63,62,47,125,267,78,62,203,31,343,62,32,1
156,78,156,235,0,109,78,110,93,78,0,31,16,94,110,156,47,62,62,16,1
94,63,62,94,94,78,62,16,94,78,157,78,156,94,62,78,47,110,94,31,1
78,47,47,62,94,79,203,265,32,62,78,78,94,110,62,156,63,156,125,16,1
62,63,62,94,78,63,32,15,93,110,719,78,203,94,62,78,47,110,94,31,1
109,93,32,110,110,62,78,16,63,79,157,62,16,47,63,32,78,15,15,62,1
78,78,15,62,640,63,47,94,47,16,15,62,62,63,141,110,15,32,15,62,1
15,93,32,110,0,125,703,16,47,62,738,832,47,47,63,32,78,15,15,62,1
93,63,15,78,78,78,63,94,78,94,78,47,78,79,62,63,93,94,110,15,1
94,110,15,93,47,219,79,78,15,15,63,78,46,78,62,63,94,32,94,31,1
78,63,15,78,94,234,141,15,62,78,78,78,79,79,62,63,93,94,110,15,1
94,94,78,125,125,78,125,109,172,94,140,110,891,156,78,94,94,78,78,78,1
125,93,16,78,0,93,141,93,94,47,93,110,63,62,79,265,78,16,109,813,1
94,94,78,125,891,172,94,78,78,156,78,156,141,156,78,94,94,78,78,78,1
78,94,0,94,94,94,78,15,79,94,94,93,234,62,94,94,125,125,93,47,1
78,110,78,78,94,94,78,31,78,62,94,94,32,78,109,94,78,63,78,47,1
78,94,0,94,94,94,47,31,78,78,110,109,78,62,94,94,125,125,93,47,1
109,141,265,390,390,110,15,93,219,109,109,94,141,125,985,203,62,359,78,110,1
297,172,250,31,0,187,94,125,125,94,94,62,235,172,109,16,110,15,156,313,1
344,141,265,390,0,140,141,187,94,94,125,157,94,125,985,203,62,359,78,110,1
110,94,78,156,156,93,109,31,110,94,141,109,78,63,234,234,63,63,94,203,1
94,94,16,62,0,125,94,94,62,641,78,108,94,94,78,156,47,140,78,63,1
32,94,78,156,125,94,125,62,109,94,110,141,94,63,234,234,63,63,94,203,1
93,62,391,110,110,110,78,109,79,125,204,109,172,78,235,297,31,109,93,32,1
93,94,47,94,125,141,16,125,344,125,125,125,15,94,94,172,31,15,94,62,1
62,62,391,110,0,109,125,188,109,94,156,78,16,78,235,297,31,109,93,32,1
109,63,15,109,109,62,46,47,63,63,93,78,188,47,94,109,16,125,62,32,1
94,78,63,31,0,62,78,63,15,93,110,62,94,63,62,94,47,110,63,47,1
62,63,15,109,125,63,62,16,79,78,125,109,78,47,94,109,16,125,62,32,1
82,118,53,91,91,144,31,78,16,125,125,93,125,47,78,110,94,125,94,15,1
62,110,15,63,78,94,219,16,110,16,94,109,109,78,93,94,125,250,156,15,1
110,118,53,91,94,125,156,16,78,171,125,125,219,47,78,110,94,125,94,15,1
78,94,15,63,63,63,62,32,46,31,93,94,109,15,79,63,109,62,15,47,1
62,78,79,62,515,78,78,31,79,15,47,172,94,62,125,78,79,15,109,16,1
63,94,15,63,94,79,110,172,16,110,78,109,78,15,79,63,109,62,15,47,1
94,109,63,78,78,47,46,16,63,125,78,63,78,79,78,141,46,109,78,15,1
78,94,31,94,78,203,172,116,41,63,141,46,62,62,79,156,47,219,78,47,1
47,109,63,78,62,110,32,31,62,94,62,126,172,79,78,141,46,109,78,15,1
110,78,156,141,141,125,78,16,94,109,110,78,140,63,94,94,125,94,79,78,1
125,78,16,62,172,94,109,63,109,78,94,78,15,93,79,78,110,32,94,31,1
78,78,156,141,125,125,94,15,63,63,93,110,109,63,94,94,125,94,79,78,1
78,63,47,62,62,62,62,110,78,78,110,78,79,62,79,79,140,78,78,16,1
62,62,32,93,78,62,94,203,47,78,156,94,125,109,47,109,94,78,63,47,1
47,63,47,62,63,78,78,31,63,63,78,125,94,62,79,79,140,78,78,16,1
93,78,250,328,328,172,47,78,125,422,47,250,172,78,344,140,234,78,78,31,1
32,46,79,31,0,172,140,235,62,359,515,63,282,78,78,16,93,62,62,281,1
156,78,250,328,0,172,109,141,62,94,125,94,140,78,344,140,234,78,78,31,1
93,78,234,94,94,94,63,218,47,79,109,62,78,78,78,63,140,78,63,219,1
62,62,188,62,93,109,78,250,78,93,47,78,125,94,62,78,140,344,78,204,1
94,78,234,94,141,109,78,375,47,62,78,94,78,78,78,63,140,78,63,219,1
93,62,110,250,250,63,125,46,0,187,266,93,344,78,63,125,47,93,93,78,1
94,78,31,78,125,63,78,16,47,62,516,78,16,93,63,125,15,547,62,16,1
0,62,110,250,844,31,109,32,78,94,78,94,78,78,63,125,47,93,93,78,1
94,109,32,171,171,109,63,62,63,156,78,110,78,47,375,156,47,78,78,31,1
94,94,93,47,110,109,94,109,47,93,16,125,78,78,78,78,47,0,94,15,1
62,109,32,171,94,125,62,125,109,125,0,16,94,47,375,156,47,78,78,31,1
110,93,94,78,78,63,141,0,78,78,94,78,203,109,63,94,78,78,93,32,1
78,78,31,63,0,94,94,63,78,93,94,94,31,328,110,110,93,32,94,31,1
78,93,94,78,94,63,109,16,62,79,110,94,94,109,63,94,78,78,93,32,1
94,109,250,78,78,78,125,140,63,62,125,47,78,78,110,47,156,94,93,94,1
94,78,219,93,94,78,62,328,63,109,141,109,141,94,63,78,109,140,110,125,1
93,109,250,78,93,94,94,187,78,109,94,156,62,78,110,47,156,94,93,94,1
93,63,93,156,156,63,78,125,78,141,47,172,141,56,73,78,31,110,62,31,1
47,47,16,47,0,656,62,125,78,78,78,62,16,78,63,140,0,62,63,31,1
31,63,93,156,0,94,94,31,63,78,703,47,62,56,73,78,31,110,62,31,1
110,47,391,438,438,46,78,31,94,110,140,79,109,31,78,109,125,78,78,0,1
109,78,141,78,0,46,31,78,15,63,109,47,110,62,78,125,31,78,78,31,1
32,47,391,438,0,94,110,31,94,0,94,687,31,31,78,109,125,78,78,0,1
110,93,485,594,594,140,78,141,62,125,109,63,125,78,78,47,62,93,78,32,1
94,109,47,78,125,141,32,110,0,78,110,109,109,94,62,125,62,94,94,47,1
94,93,485,594,234,109,125,78,94,109,94,172,32,78,78,47,62,93,78,32,1
93,31,125,63,63,79,62,32,78,78,78,78,78,47,93,78,78,78,46,79,1
93,79,46,47,47,94,78,15,63,78,63,109,125,78,63,78,94,47,62,63,1
63,31,125,63,46,94,62,16,62,62,79,125,78,47,93,78,78,78,46,79,1
156,79,128,225,225,110,63,47,78,15,140,94,203,62,109,78,63,62,94,47,1
109,78,47,62,609,0,79,93,32,109,47,125,78,78,78,79,78,78,15,62,1
78,79,128,225,0,141,94,31,172,47,109,110,79,62,109,78,63,62,94,47,1
63,93,63,140,140,109,63,578,94,78,125,62,78,94,141,78,94,62,93,63,1
125,79,62,78,125,109,94,78,47,94,94,62,93,78,63,78,125,78,94,31,1
47,93,63,140,47,94,125,453,78,63,766,93,94,94,141,78,94,62,93,63,1
94,40,271,380,380,125,47,16,62,94,94,62,172,62,63,125,32,78,62,16,1
78,78,32,78,0,125,62,31,32,78,94,78,125,62,63,312,63,141,78,31,1
62,40,271,380,125,94,62,0,32,76,922,62,62,62,63,125,32,78,62,16,1
94,78,140,79,79,93,47,141,62,62,125,63,47,47,63,63,93,62,62,110,1
78,63,94,62,94,125,78,78,63,78,125,62,156,78,63,78,110,78,63,47,1
78,78,140,79,78,125,63,125,83,47,78,110,78,47,63,63,93,62,62,110,1
125,109,31,172,172,156,94,16,93,109,109,63,187,93,453,140,47,79,78,32,1
125,125,15,78,110,156,31,63,31,94,125,62,0,110,78,829,31,110,157,31,1
62,109,31,172,172,157,94,78,94,94,141,109,31,93,453,140,47,79,78,32,1
110,63,78,62,62,94,78,31,94,93,94,31,93,62,110,78,94,78,78,62,1
78,78,61,52,78,188,63,62,31,47,297,78,0,78,63,62,110,15,78,47,1
31,63,78,62,79,78,94,47,78,109,62,141,63,62,110,78,94,78,78,62,1
94,93,188,78,78,94,110,31,78,109,31,125,250,63,62,78,110,110,78,32,1
62,78,0,78,0,109,156,31,125,78,141,125,16,47,63,62,94,235,62,235,1
125,93,188,78,0,94,156,16,94,78,78,125,156,63,62,78,110,110,78,32,1
109,47,109,203,203,62,31,63,31,47,297,31,125,62,94,157,31,47,78,16,1
16,344,94,0,1469,31,0,62,156,125,32,31,141,78,78,0,47,16,63,31,1
31,47,109,203,141,125,125,719,109,78,0,78,0,62,94,157,31,47,78,16,1
110,78,203,78,78,88,78,344,407,78,94,78,94,79,93,94,140,109,78,109,1
93,62,157,78,62,78,78,172,78,109,125,78,156,63,93,94,172,110,94,125,1
78,78,203,78,1109,250,94,203,78,78,88,213,78,79,93,94,140,109,78,109,1
47,78,79,110,110,110,78,16,110,94,62,78,16,78,79,63,47,63,46,109,1
31,15,94,31,141,94,16,78,48,46,32,93,16,78,63,16,78,31,16,109,1
16,78,79,110,438,31,625,32,79,93,0,31,16,78,79,63,47,63,46,109,1
125,187,109,157,157,94,110,94,93,218,16,111,203,109,63,94,203,171,141,15,1
109,78,141,47,172,172,125,125,110,297,47,109,157,110,62,16,141,78,125,63,1
531,187,109,157,94,110,141,140,78,110,0,47,125,109,63,94,203,171,141,15,1
125,94,125,125,125,125,109,63,93,78,157,93,125,62,94,125,94,93,109,62,1
125,94,47,109,109,171,110,140,94,109,125,94,16,93,78,156,47,453,109,94,1
94,94,125,125,125,141,125,110,78,110,94,187,110,62,94,125,94,93,109,62,1
109,78,125,94,94,98,78,109,63,94,109,78,110,63,78,78,110,63,110,62,1
62,94,31,78,94,78,110,15,63,94,125,78,109,109,47,94,93,109,78,109,1
63,78,125,94,110,78,93,0,63,94,78,125,110,63,78,78,110,63,110,62,1
110,94,47,156,156,140,94,31,109,141,93,125,203,141,94,250,31,114,125,0,1
109,125,0,63,110,187,62,109,78,94,94,78,16,110,93,125,93,110,78,0,1
62,94,47,156,125,140,141,15,94,94,109,110,62,141,94,250,31,114,125,0,1
78,78,16,141,141,125,78,63,78,140,47,63,157,47,63,62,140,16,110,62,1
94,78,78,63,0,125,78,78,0,172,47,63,79,109,63,78,93,187,94,31,1
94,78,16,141,187,94,140,63,62,78,0,31,78,47,63,62,140,16,110,62,1
94,297,16,203,203,137,125,16,94,78,109,94,125,62,125,94,78,78,109,31,1
78,93,32,78,156,137,109,0,94,94,94,125,46,93,79,109,63,109,78,15,1
15,297,16,203,0,140,47,16,172,78,94,375,109,62,125,94,78,78,109,31,1
125,110,109,203,203,109,125,47,110,110,93,78,468,78,125,109,63,93,94,47,1
156,125,47,62,0,109,46,109,78,110,94,78,15,62,94,78,110,172,78,31,1
79,110,109,203,0,125,141,31,110,78,109,94,46,78,125,109,63,93,94,47,1
78,109,31,78,78,31,15,47,31,78,78,32,16,16,62,47,125,63,0,78,1
32,31,156,16,531,31,47,79,31,31,47,63,32,94,62,94,0,31,31,62,1
32,109,31,78,671,31,78,32,93,16,0,47,47,16,62,47,125,63,0,78,1
109,110,31,125,125,125,63,125,203,203,32,93,125,47,93,47,141,63,15,93,1
109,16,110,94,0,125,0,16,46,16,47,62,47,93,79,0,93,156,0,63,1
0,110,31,125,657,15,250,78,453,94,78,1000,0,47,93,47,141,63,15,93,1
62,63,172,78,78,78,78,79,62,63,203,47,78,60,106,47,125,62,78,79,1
62,79,62,63,78,47,94,93,63,78,125,47,62,78,31,78,109,13,62,141,1
63,63,172,78,62,78,78,140,63,74,67,101,94,60,106,47,125,62,78,79,1
