@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,5,6,8,9,12,14,16,18,19,21,22,23,24,26,27,28,34,36,37,38,39,40,42,43'

@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
63,63,62,78,109,94,78,110,94,94,78,78,94,94,31,31,109,1
93,78,62,62,32,94,94,62,47,94,62,79,110,78,93,78,94,1
93,94,94,78,109,78,94,62,94,63,78,78,94,94,31,31,109,1
109,109,78,62,313,391,62,16,15,453,62,47,62,47,32,234,63,1
78,15,93,62,16,516,32,125,63,15,63,62,47,63,94,172,32,1
16,79,78,62,313,484,62,47,78,640,62,47,62,47,32,234,63,1
62,62,62,78,109,219,63,125,46,94,62,94,63,93,63,16,171,1
63,453,62,47,62,62,94,62,47,94,94,47,47,109,47,62,46,1
62,62,47,78,109,62,94,78,16,78,62,94,63,93,63,16,171,1
156,156,94,78,172,266,94,63,157,79,63,93,109,31,94,31,31,1
94,125,78,78,15,0,78,63,94,63,78,47,110,47,78,78,78,1
16,187,93,78,172,0,78,31,16,844,63,93,109,31,94,31,31,1
94,94,78,63,141,281,47,187,94,47,78,63,93,156,47,93,94,1
78,156,63,47,47,0,47,94,93,47,63,62,16,78,47,94,141,1
328,141,62,63,141,0,109,15,47,1062,78,63,93,156,47,93,94,1
109,109,94,78,94,94,78,93,78,94,78,94,78,63,78,78,31,1
78,141,62,78,16,47,78,78,187,125,78,47,78,62,63,46,63,1
78,47,63,78,94,78,78,63,47,94,78,94,78,63,78,78,31,1
125,125,94,63,172,125,125,62,47,94,79,62,141,78,157,16,16,1
47,94,16,109,16,156,125,78,31,93,78,93,94,94,62,62,47,1
109,125,31,63,172,156,172,79,47,0,79,62,141,78,157,16,16,1
141,141,94,93,16,94,31,62,94,562,47,78,16,79,62,31,110,1
15,47,63,110,78,532,32,141,141,47,63,62,78,32,141,47,16,1
15,47,16,93,16,563,32,31,78,703,47,78,16,79,62,31,110,1
125,125,94,62,16,125,16,31,16,0,47,78,94,31,47,16,15,1
78,78,62,78,32,0,47,140,47,62,63,47,94,16,109,109,32,1
391,109,62,62,16,93,78,16,31,1312,47,78,94,31,47,16,15,1
110,110,109,78,63,78,78,94,16,94,63,93,94,78,109,31,16,1
78,109,93,109,31,156,266,63,16,110,78,79,75,86,93,93,16,1
62,78,62,78,63,94,109,93,16,78,63,93,94,78,109,31,16,1
157,157,63,62,62,156,78,16,204,125,78,78,31,141,62,94,32,1
94,187,79,250,63,0,79,78,31,16,47,78,15,94,109,78,78,1
93,62,78,62,62,0,141,113,32,62,78,78,31,141,62,94,32,1
63,63,47,16,63,78,31,31,63,94,47,93,172,15,63,16,15,1
110,141,94,110,15,0,78,79,15,94,79,78,78,15,78,94,31,1
32,203,78,16,63,125,125,16,16,0,47,93,172,15,63,16,15,1
125,125,94,78,156,235,94,188,47,78,94,110,156,47,125,125,16,1
125,156,94,78,15,94,109,62,109,43,78,62,203,31,109,141,32,1
156,63,63,78,156,0,109,85,110,1063,94,110,156,47,125,125,16,1
94,94,78,63,62,94,78,32,16,78,94,62,78,47,78,156,31,1
78,93,78,47,47,94,79,63,265,16,110,62,156,63,125,94,16,1
62,78,94,63,62,78,63,109,15,812,94,62,78,47,78,156,31,1
109,109,94,93,32,110,62,62,16,562,47,63,32,78,79,782,62,1
78,16,93,78,15,640,63,62,94,16,63,141,110,15,93,62,62,1
15,46,63,93,32,0,125,31,16,719,47,63,32,78,79,782,62,1
93,93,78,63,15,78,78,109,94,703,79,62,63,93,63,0,15,1
94,93,204,110,15,47,219,47,78,94,78,62,63,94,62,93,31,1
78,78,78,63,15,94,234,62,15,859,79,62,63,93,63,0,15,1
94,94,78,94,78,125,78,141,109,906,156,78,94,94,203,78,78,1
125,172,110,93,16,0,93,78,93,93,62,79,265,78,110,109,813,1
94,93,172,94,78,891,172,141,78,1078,156,78,94,94,203,78,78,1
78,78,78,94,0,94,94,157,15,94,62,94,94,125,78,594,47,1
78,125,109,110,78,94,94,78,31,47,78,109,94,78,78,78,47,1
78,94,79,94,0,94,94,94,31,62,62,94,94,125,78,594,47,1
109,109,93,141,265,390,110,78,93,78,125,985,203,62,141,172,110,1
297,110,594,172,250,0,187,94,125,31,172,109,16,110,78,282,313,1
344,78,219,141,265,0,140,125,187,1312,125,985,203,62,141,172,110,1
110,110,141,94,78,156,93,63,31,78,63,234,234,63,157,94,203,1
94,172,128,94,16,0,125,78,94,94,94,78,156,47,109,78,63,1
32,344,110,94,78,125,94,94,62,797,63,234,234,63,157,94,203,1
93,93,94,62,391,110,110,235,109,109,78,235,297,31,141,282,32,1
93,172,93,94,47,125,141,78,125,218,94,94,172,31,140,141,62,1
62,394,79,62,391,0,109,63,188,1172,78,235,297,31,141,282,32,1
109,109,78,63,15,109,62,141,47,62,47,94,109,16,31,47,32,1
94,109,79,78,63,0,62,78,63,94,63,62,94,47,94,78,47,1
62,109,63,63,15,125,63,31,16,884,47,94,109,16,31,47,32,1
82,82,102,118,53,91,144,62,78,875,47,78,110,94,187,343,15,1
62,109,16,110,15,78,94,78,16,110,78,93,94,125,78,125,15,1
