@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,8,12,16,20,21,22,23,24,26,28,31,33,35,36,37,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,31,63,62,78,78,109,94,156,78,110,62,62,94,78,78,78,94,109,63,94,109,1
62,32,93,62,62,62,32,94,125,94,62,79,93,94,94,62,79,78,125,47,78,94,1
63,78,93,94,32,78,109,78,140,94,62,94,62,63,93,78,78,94,109,140,47,109,1
109,16,109,78,62,62,313,391,47,62,16,78,79,453,31,62,47,47,94,125,16,63,1
78,16,78,93,62,62,16,516,578,32,125,16,437,15,94,63,62,63,94,78,94,32,1
32,62,16,78,50,62,313,484,79,62,47,15,250,640,437,62,47,47,94,32,62,63,1
78,594,62,62,78,78,109,219,15,63,125,63,79,94,109,62,94,93,78,62,78,171,1
63,31,63,62,78,47,62,62,47,94,62,47,93,94,78,94,47,109,94,63,78,46,1
78,110,62,47,47,78,109,62,32,94,78,94,62,78,93,62,94,93,78,266,109,171,1
119,47,156,94,78,78,172,266,47,94,63,94,78,79,114,63,93,31,94,78,15,31,1
94,93,94,78,93,78,15,0,31,78,63,844,31,63,109,78,47,47,172,109,78,78,1
15,94,16,93,94,78,172,0,16,78,31,63,78,844,31,63,93,31,94,47,110,31,1
78,78,94,78,63,63,141,281,47,47,187,47,62,47,234,78,63,156,15,78,94,94,1
47,78,78,63,32,47,47,0,47,47,94,62,94,47,94,63,62,78,32,62,47,141,1
235,47,328,62,63,63,141,0,31,109,15,47,78,1062,94,78,63,156,15,62,328,94,1
79,125,109,94,78,78,94,94,312,78,93,94,78,94,93,78,94,63,62,125,63,31,1
94,16,78,62,94,78,16,47,188,78,78,94,79,125,78,78,47,62,204,47,78,63,1
78,31,78,63,63,78,94,78,172,78,63,125,78,94,79,78,94,63,62,218,79,31,1
109,78,125,94,63,63,172,125,156,125,62,125,16,94,94,79,62,78,203,16,94,16,1
125,188,47,16,47,109,16,156,109,125,78,110,47,93,94,78,93,94,79,32,78,47,1
93,16,109,31,15,63,172,156,547,172,79,93,78,0,47,79,62,78,203,16,78,16,1
94,47,141,94,93,93,16,94,47,31,62,110,31,562,16,47,78,79,672,78,32,110,1
110,94,15,63,16,110,78,532,625,32,141,47,62,47,141,63,62,32,671,125,15,16,1
31,94,15,16,31,93,16,563,656,32,31,47,31,703,62,47,78,79,672,31,109,110,1
62,63,125,94,62,62,16,125,32,16,31,62,78,0,94,47,78,31,93,63,31,15,1
62,16,78,62,110,78,32,0,16,47,140,32,31,62,62,63,47,16,78,78,15,32,1
16,94,391,62,62,62,16,93,16,78,16,62,94,1312,31,47,78,31,93,16,62,15,1
94,62,110,109,78,78,63,78,94,78,94,110,78,94,109,63,93,78,94,78,78,16,1
