@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,6,7,9,10,11,12,14,16,21,24,25,26,27,28,34,37,39'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute ft3 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
47,31,63,172,63,94,78,110,62,62,94,78,94,78,78,94,94,31,31,79,63,47,109,63,3423,1
62,32,93,94,63,94,94,62,79,93,47,78,125,62,79,110,78,93,78,156,47,62,94,63,3295,1
63,78,93,78,15,78,94,62,94,62,94,93,94,78,78,94,94,31,31,79,140,47,109,63,3422,1
109,16,109,32,15,391,62,16,78,79,15,94,62,62,47,62,47,32,234,78,125,31,63,15,4029,1
78,16,78,93,32,516,32,125,16,437,63,78,94,63,62,47,63,94,172,16,78,47,32,46,3846,1
32,62,16,172,62,484,62,47,15,250,78,90,62,62,47,62,47,32,234,78,32,31,63,15,4828,1
78,594,62,188,32,219,63,125,63,79,46,78,125,62,94,63,93,63,16,78,62,79,171,63,3970,1
63,31,63,31,78,62,94,62,47,93,47,63,109,94,47,47,109,47,62,16,63,63,46,63,3172,1
78,110,62,94,63,62,94,78,94,62,16,79,63,62,94,63,93,63,16,78,266,79,171,63,3378,1
119,47,156,16,62,266,94,63,94,78,157,94,312,63,93,109,31,94,31,78,78,94,31,78,4577,1
94,93,94,16,47,0,78,63,844,31,94,63,94,78,47,110,47,78,78,63,109,94,78,78,3844,1
15,94,16,32,47,0,78,31,63,78,16,62,109,63,93,109,31,94,31,78,47,94,31,78,4530,1
78,78,94,141,62,281,47,187,47,62,94,125,31,78,63,93,156,47,93,16,78,47,94,47,3734,1
47,78,78,78,62,0,47,94,62,94,93,187,32,63,62,16,78,47,94,156,62,63,141,31,3222,1
235,47,328,219,47,0,109,15,47,78,47,63,0,78,63,93,156,47,93,16,62,47,94,47,4719,1
79,125,109,109,78,94,78,93,94,78,78,63,125,78,94,78,63,78,78,78,125,63,31,62,3765,1
94,16,78,16,110,47,78,78,94,79,187,62,94,78,47,78,62,63,46,79,47,78,63,78,3425,1
78,31,78,109,15,78,78,63,125,78,47,78,46,78,94,78,63,78,78,78,218,63,31,62,3281,1
109,78,125,94,15,125,125,62,125,16,47,94,94,79,62,141,78,157,16,78,16,125,16,109,3737,1
125,188,47,125,110,156,125,78,110,47,31,109,78,78,93,94,94,62,62,47,32,78,47,124,3577,1
93,16,109,78,94,156,172,79,93,78,47,78,109,79,62,141,78,157,16,78,16,125,16,109,4000,1
94,47,141,47,125,94,31,62,110,31,94,4,80,47,78,16,79,62,31,78,78,16,110,31,4273,1
110,94,15,125,141,532,32,141,47,62,141,172,16,63,62,78,32,141,47,125,125,78,16,78,4784,1
31,94,15,141,78,563,32,31,47,31,78,72,593,47,78,16,79,62,31,78,31,16,110,31,6569,1
62,63,125,31,47,125,16,31,62,78,16,78,78,47,78,94,31,47,16,94,63,94,15,78,2609,1
62,16,78,16,78,0,47,140,32,31,47,63,78,63,47,94,16,109,109,94,78,62,32,62,2828,1
16,94,391,172,32,93,78,16,62,94,31,77,703,47,78,94,31,47,16,94,16,94,15,78,6135,1
94,62,110,109,16,78,78,94,110,78,16,109,79,63,93,94,78,109,31,109,78,78,16,94,3422,1
110,15,78,78,47,156,266,63,109,109,16,93,78,78,79,75,86,93,93,47,47,93,16,109,3563,1
109,16,62,94,31,94,109,93,110,109,16,110,110,63,93,94,78,109,31,109,63,78,16,94,3358,1
78,31,157,171,16,156,78,16,94,78,204,140,16,78,78,31,141,62,94,484,47,78,32,93,4014,1
94,31,94,31,15,0,79,78,157,63,31,31,141,47,78,15,94,109,78,62,32,31,78,47,3061,1
94,16,93,94,93,0,141,113,16,62,32,78,63,78,78,31,141,62,94,484,63,78,32,93,3506,1
47,93,63,125,31,78,31,31,78,62,63,78,94,47,93,172,15,63,16,125,125,63,15,79,2970,1
78,32,110,15,31,0,78,79,15,110,15,62,110,79,78,78,15,78,94,16,63,47,31,94,2738,1
16,62,32,31,15,125,125,16,94,78,16,78,94,47,93,172,15,63,16,125,63,63,15,79,2846,1
47,281,125,500,78,235,94,188,250,78,47,78,157,94,110,156,47,125,125,62,47,62,16,94,5096,1
250,16,125,15,63,94,109,62,141,16,109,62,47,78,62,203,31,109,141,343,32,62,32,93,4137,1
78,47,156,141,15,0,109,85,43,78,110,78,0,94,110,156,47,125,125,62,32,62,16,94,5517,1
78,187,94,110,15,94,78,32,110,62,16,78,157,94,62,78,47,78,156,110,79,94,31,78,3534,1
110,15,78,79,31,94,79,63,62,203,265,62,78,110,62,156,63,125,94,156,78,125,16,94,3531,1
94,16,62,63,15,78,63,109,16,32,15,110,719,94,62,78,47,78,156,110,31,94,31,78,4454,1
109,31,109,79,32,110,62,62,63,78,16,79,157,47,63,32,78,79,782,15,125,15,62,47,5333,1
63,15,78,93,16,640,63,62,141,47,94,16,15,63,141,110,15,93,62,32,78,15,62,31,4297,1
94,157,15,63,31,0,125,31,16,703,16,62,738,47,63,32,78,79,782,15,109,15,62,47,7947,1
78,16,93,79,62,78,78,109,94,63,94,94,78,79,62,63,93,63,0,94,94,110,15,78,4015,1
94,15,94,156,15,47,219,47,94,79,78,15,63,78,62,63,94,62,93,32,156,94,31,78,3294,1
94,47,78,125,594,94,234,62,94,141,15,78,78,79,62,63,93,63,0,94,32,110,15,78,4452,1
93,16,94,94,140,125,78,141,250,125,109,94,140,156,78,94,94,203,78,78,63,78,78,78,5954,1
250,16,125,15,109,0,93,78,94,141,93,47,93,62,79,265,78,110,109,16,703,109,813,125,5530,1
140,16,94,110,15,891,172,141,93,94,78,156,78,156,78,94,94,203,78,78,31,78,78,78,5998,1
562,16,78,110,109,94,94,157,93,78,15,94,94,62,94,94,125,78,594,125,47,93,47,78,4670,1
93,16,78,16,16,94,94,78,94,78,31,62,94,78,109,94,78,78,78,63,31,78,47,94,3172,1
156,47,78,94,31,94,94,94,47,47,31,78,110,62,94,94,125,78,594,125,172,93,47,78,4016,1
125,157,109,141,16,390,110,78,38,15,93,109,109,125,985,203,62,141,172,359,94,78,110,109,6223,1
38,129,297,47,94,0,187,94,140,94,125,94,94,172,109,16,110,78,282,15,406,156,313,391,6904,1
16,125,344,141,110,0,140,125,31,141,187,94,125,125,985,203,62,141,172,359,31,78,110,109,7576,1
94,296,110,31,109,156,93,63,78,109,31,94,141,63,234,234,63,157,94,63,125,94,203,140,4641,1
78,94,94,63,63,0,125,78,94,94,94,641,78,94,78,156,47,109,78,140,93,78,63,109,4392,1
125,93,32,62,62,125,94,94,94,125,62,94,110,63,234,234,63,157,94,63,156,94,203,140,5392,1
141,16,93,172,125,110,110,235,93,78,109,125,204,78,235,297,31,141,282,109,62,93,32,109,5689,1
93,32,93,31,16,125,141,78,250,16,125,125,125,94,94,172,31,140,141,15,94,94,62,94,4655,1
234,141,62,16,31,0,109,63,218,125,188,94,156,78,235,297,31,141,282,109,141,93,32,109,7678,1
62,32,109,234,94,109,62,141,63,46,47,63,93,47,94,109,16,31,47,125,78,62,32,78,3155,1
63,15,94,16,15,0,62,78,78,78,63,93,110,63,62,94,47,94,78,110,31,63,47,94,2765,1
78,63,62,203,47,125,63,31,94,62,16,78,125,47,94,109,16,31,47,125,46,62,32,78,3729,1
141,15,82,121,31,91,144,62,109,31,78,125,125,47,78,110,94,187,343,125,31,94,15,125,5127,1
109,188,62,78,141,78,94,78,157,219,16,16,94,78,93,94,125,78,125,250,15,156,15,109,4174,1
125,15,110,78,93,94,125,93,110,156,16,171,125,47,78,110,94,187,343,125,16,94,15,125,4970,1
94,31,78,94,16,63,63,94,78,62,32,31,93,15,79,63,109,140,16,62,15,15,47,16,3312,1
78,16,62,94,32,515,78,62,78,78,31,15,47,62,125,78,79,78,172,15,47,109,16,79,3658,1
140,31,63,78,16,94,79,63,109,110,172,110,78,15,79,63,109,140,16,62,78,15,47,16,2985,1
125,62,94,125,78,78,47,109,172,46,16,125,78,79,78,141,46,32,32,109,65,78,15,63,3560,1
172,16,78,31,63,78,203,93,110,172,116,63,141,62,79,156,47,94,46,219,63,78,47,46,3641,1
94,31,47,62,15,62,110,47,63,32,31,94,62,79,78,141,46,32,32,109,47,78,15,63,4048,1
78,62,110,125,31,141,125,125,203,78,16,109,110,63,94,94,125,78,16,94,32,79,78,62,3862,1
203,31,125,125,218,172,94,62,125,109,63,78,94,93,79,78,110,78,93,32,16,94,31,63,3611,1
78,47,78,125,31,125,125,78,109,94,15,63,93,63,94,94,125,78,16,94,62,79,78,62,3614,1
62,32,78,125,46,62,62,125,78,62,110,78,110,62,79,79,140,47,15,78,94,78,16,62,3080,1
78,47,62,110,78,78,62,62,125,94,203,78,156,109,47,109,94,62,47,78,47,63,47,78,3515,1
63,125,47,94,47,63,78,47,141,78,31,63,78,62,79,79,140,47,15,78,62,78,16,62,3141,1
94,141,93,157,47,328,172,93,313,47,78,422,47,78,344,140,234,63,125,78,125,78,31,94,6577,1
313,109,32,47,62,0,172,94,140,140,235,359,515,78,78,16,93,63,78,62,16,62,281,79,5172,1
78,78,156,47,78,0,172,63,62,109,141,94,125,78,344,140,234,63,125,78,31,78,31,94,4420,1
93,282,93,94,891,94,94,984,63,63,218,79,109,78,78,63,140,94,828,78,297,63,219,78,6749,1
63,297,62,141,250,93,109,63,203,78,250,93,47,94,62,78,140,78,62,344,484,78,204,62,4935,1
62,797,94,94,235,141,109,78,125,78,375,62,78,78,78,63,140,94,828,78,375,63,219,78,6250,1
