@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,5,6,8,9,10,12,14,15,16,20,21,22,23,24,26,27,30,32,33,34,36,42,43'

@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
63,62,109,94,110,62,62,94,141,78,94,31,78,63,94,47,109,1
78,62,32,94,62,79,93,94,47,62,110,78,93,47,78,62,94,1
94,94,109,78,62,94,62,63,141,78,94,31,63,140,47,47,109,1
109,78,313,391,16,78,79,453,16,62,62,234,62,125,16,31,63,1
15,93,16,516,125,16,437,15,32,63,47,172,16,78,94,47,32,1
79,78,313,484,47,15,250,640,16,62,62,234,46,32,62,31,63,1
62,62,109,219,125,63,79,94,63,62,63,16,63,62,78,79,171,1
453,62,62,62,62,47,93,94,62,94,47,62,62,63,78,63,46,1
62,47,109,62,78,94,62,78,63,62,63,16,63,266,109,79,171,1
156,94,172,266,63,94,78,79,594,63,109,31,63,78,15,94,31,1
125,78,15,0,63,844,31,63,94,78,110,78,16,109,78,94,78,1
187,93,172,0,31,63,78,844,594,63,109,31,78,47,110,94,31,1
94,78,141,281,187,47,62,47,47,78,93,93,16,78,94,47,94,1
156,63,47,0,94,62,94,47,78,63,16,94,328,62,47,63,141,1
141,62,141,0,15,47,78,1062,47,78,93,93,31,62,328,47,94,1
109,94,94,94,93,94,78,94,78,78,78,78,78,125,63,63,31,1
141,62,16,47,78,94,79,125,47,78,78,46,78,47,78,78,63,1
47,63,94,78,63,125,78,94,78,78,78,78,78,218,79,63,31,1
125,94,172,125,62,125,16,94,16,79,141,16,109,16,94,125,16,1
94,16,16,156,78,110,47,93,94,78,94,62,109,32,78,78,47,1
125,31,172,156,79,93,78,0,16,79,141,16,124,16,78,125,16,1
141,94,16,94,62,110,31,562,15,47,16,31,15,78,32,16,110,1
47,63,78,532,141,47,62,47,62,63,78,47,15,125,15,78,16,1
