@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,12,16,17,18,21,22,23,24,26,30,33,34,35,36,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,62,63,78,78,109,94,156,78,62,94,94,78,141,78,94,94,78,63,94,109,63,1
62,32,62,63,62,62,32,94,125,94,93,47,94,94,47,62,110,78,93,47,78,94,63,1
63,78,94,15,32,78,109,78,140,94,62,94,63,93,141,78,94,94,63,140,47,109,63,1
109,16,78,15,62,62,313,391,47,62,79,15,453,31,16,62,62,47,62,125,16,63,15,1
78,16,93,32,62,62,16,516,578,32,437,63,15,94,32,63,47,63,16,78,94,32,46,1
32,62,78,62,50,62,313,484,79,62,250,78,640,437,16,62,62,47,46,32,62,63,15,1
78,594,62,32,78,78,109,219,15,63,79,46,94,109,63,62,63,93,63,62,78,171,63,1
63,31,62,78,78,47,62,62,47,94,93,47,94,78,62,94,47,109,62,63,78,46,63,1
78,110,47,63,47,78,109,62,32,94,62,16,78,93,63,62,63,93,63,266,109,171,63,1
119,47,94,62,78,78,172,266,47,94,78,157,79,114,594,63,109,31,63,78,15,31,78,1
94,93,78,47,93,78,15,0,31,78,31,94,63,109,94,78,110,47,16,109,78,78,78,1
15,94,93,47,94,78,172,0,16,78,78,16,844,31,594,63,109,31,78,47,110,31,78,1
78,78,78,62,63,63,141,281,47,47,62,94,47,234,47,78,93,156,16,78,94,94,47,1
47,78,63,62,32,47,47,0,47,47,94,93,47,94,78,63,16,78,328,62,47,141,31,1
235,47,62,47,63,63,141,0,31,109,78,47,1062,94,47,78,93,156,31,62,328,94,47,1
79,125,94,78,78,78,94,94,312,78,78,78,94,93,78,78,78,63,78,125,63,31,62,1
94,16,62,110,94,78,16,47,188,78,79,187,125,78,47,78,78,62,78,47,78,63,78,1
78,31,63,15,63,78,94,78,172,78,78,47,94,79,78,78,78,63,78,218,79,31,62,1
109,78,94,15,63,63,172,125,156,125,16,47,94,94,16,79,141,78,109,16,94,16,109,1
125,188,16,110,47,109,16,156,109,125,47,31,93,94,94,78,94,94,109,32,78,47,124,1
93,16,31,94,15,63,172,156,547,172,78,47,0,47,16,79,141,78,124,16,78,16,109,1
94,47,94,125,93,93,16,94,47,31,31,94,562,16,15,47,16,79,15,78,32,110,31,1
110,94,63,141,16,110,78,532,625,32,62,141,47,141,62,63,78,32,15,125,15,16,78,1
31,94,16,78,31,93,16,563,656,32,31,78,703,62,15,47,16,79,78,31,109,110,31,1
62,63,94,47,62,62,16,125,32,16,78,16,0,94,15,47,94,31,16,63,31,15,78,1
62,16,62,78,110,78,32,0,16,47,31,47,62,62,46,63,94,16,391,78,15,32,62,1
16,94,62,32,62,62,16,93,16,78,94,31,1312,31,15,47,94,31,62,16,62,15,78,1
94,62,109,16,78,78,63,78,94,78,78,16,94,109,31,63,94,78,94,78,78,16,94,1
110,15,93,47,78,109,31,156,141,266,109,16,110,94,62,78,75,86,62,47,78,16,109,1
109,16,62,31,94,78,63,94,78,109,109,16,78,109,31,63,94,78,109,63,78,16,94,1
78,31,63,16,62,62,62,156,32,78,78,204,125,31,219,78,31,141,62,47,78,32,93,1
94,31,79,15,109,250,63,0,15,79,63,31,16,94,78,47,15,94,93,32,78,78,47,1
94,16,78,93,79,62,62,0,47,141,62,32,62,63,219,78,31,141,47,63,31,32,93,1
47,93,47,31,16,16,63,78,156,31,62,63,94,125,47,47,172,15,110,125,93,15,79,1
78,32,94,31,47,110,15,0,16,78,110,15,94,109,78,79,78,15,32,63,47,31,94,1
16,62,78,15,63,16,63,125,16,125,78,16,0,110,47,47,172,15,94,63,93,15,79,1
