@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,12,14,16,21,22,23,24,26,27,30,33,34,36,40,42'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
47,31,62,78,78,109,94,78,110,62,62,94,94,141,78,94,94,31,78,63,94,109,3423,1
62,32,62,62,62,32,94,94,62,79,93,47,94,47,62,110,78,78,93,47,78,94,3295,1
63,78,94,32,78,109,78,94,62,94,62,94,63,141,78,94,94,31,63,140,47,109,3422,1
109,16,78,62,62,313,391,62,16,78,79,15,453,16,62,62,47,234,62,125,16,63,4029,1
78,16,93,62,62,16,516,32,125,16,437,63,15,32,63,47,63,172,16,78,94,32,3846,1
32,62,78,50,62,313,484,62,47,15,250,78,640,16,62,62,47,234,46,32,62,63,4828,1
78,594,62,78,78,109,219,63,125,63,79,46,94,63,62,63,93,16,63,62,78,171,3970,1
63,31,62,78,47,62,62,94,62,47,93,47,94,62,94,47,109,62,62,63,78,46,3172,1
78,110,47,47,78,109,62,94,78,94,62,16,78,63,62,63,93,16,63,266,109,171,3378,1
119,47,94,78,78,172,266,94,63,94,78,157,79,594,63,109,31,31,63,78,15,31,4577,1
94,93,78,93,78,15,0,78,63,844,31,94,63,94,78,110,47,78,16,109,78,78,3844,1
15,94,93,94,78,172,0,78,31,63,78,16,844,594,63,109,31,31,78,47,110,31,4530,1
78,78,78,63,63,141,281,47,187,47,62,94,47,47,78,93,156,93,16,78,94,94,3734,1
47,78,63,32,47,47,0,47,94,62,94,93,47,78,63,16,78,94,328,62,47,141,3222,1
235,47,62,63,63,141,0,109,15,47,78,47,1062,47,78,93,156,93,31,62,328,94,4719,1
79,125,94,78,78,94,94,78,93,94,78,78,94,78,78,78,63,78,78,125,63,31,3765,1
94,16,62,94,78,16,47,78,78,94,79,187,125,47,78,78,62,46,78,47,78,63,3425,1
78,31,63,63,78,94,78,78,63,125,78,47,94,78,78,78,63,78,78,218,79,31,3281,1
109,78,94,63,63,172,125,125,62,125,16,47,94,16,79,141,78,16,109,16,94,16,3737,1
125,188,16,47,109,16,156,125,78,110,47,31,93,94,78,94,94,62,109,32,78,47,3577,1
93,16,31,15,63,172,156,172,79,93,78,47,0,16,79,141,78,16,124,16,78,16,4000,1
94,47,94,93,93,16,94,31,62,110,31,94,562,15,47,16,79,31,15,78,32,110,4273,1
110,94,63,16,110,78,532,32,141,47,62,141,47,62,63,78,32,47,15,125,15,16,4784,1
31,94,16,31,93,16,563,32,31,47,31,78,703,15,47,16,79,31,78,31,109,110,6569,1
62,63,94,62,62,16,125,16,31,62,78,16,0,15,47,94,31,16,16,63,31,15,2609,1
62,16,62,110,78,32,0,47,140,32,31,47,62,46,63,94,16,109,391,78,15,32,2828,1
16,94,62,62,62,16,93,78,16,62,94,31,1312,15,47,94,31,16,62,16,62,15,6135,1
94,62,109,78,78,63,78,78,94,110,78,16,94,31,63,94,78,31,94,78,78,16,3422,1
110,15,93,78,109,31,156,266,63,109,109,16,110,62,78,75,86,93,62,47,78,16,3563,1
109,16,62,94,78,63,94,109,93,110,109,16,78,31,63,94,78,31,109,63,78,16,3358,1
78,31,63,62,62,62,156,78,16,94,78,204,125,219,78,31,141,94,62,47,78,32,4014,1
94,31,79,109,250,63,0,79,78,157,63,31,16,78,47,15,94,78,93,32,78,78,3061,1
94,16,78,79,62,62,0,141,113,16,62,32,62,219,78,31,141,94,47,63,31,32,3506,1
47,93,47,16,16,63,78,31,31,78,62,63,94,47,47,172,15,16,110,125,93,15,2970,1
78,32,94,47,110,15,0,78,79,15,110,15,94,78,79,78,15,94,32,63,47,31,2738,1
16,62,78,63,16,63,125,125,16,94,78,16,0,47,47,172,15,16,94,63,93,15,2846,1
47,281,94,78,78,156,235,94,188,250,78,47,78,156,94,156,47,125,63,47,265,16,5096,1
250,16,94,62,78,15,94,109,62,141,16,109,43,79,78,203,31,141,156,32,93,32,4137,1
78,47,63,94,78,156,0,109,85,43,78,110,1063,156,94,156,47,125,93,32,78,16,5517,1
78,187,78,63,63,62,94,78,32,110,62,16,78,31,94,78,47,156,32,79,78,31,3534,1
110,15,78,78,47,47,94,79,63,62,203,265,16,47,110,156,63,94,62,78,78,16,3531,1
94,16,94,63,63,62,78,63,109,16,32,15,812,31,94,78,47,156,94,31,63,31,4454,1
109,31,94,93,93,32,110,62,62,63,78,16,562,656,47,32,78,782,47,125,16,62,5333,1
63,15,93,32,78,15,640,63,62,141,47,94,16,78,63,110,15,62,15,78,15,62,4297,1
94,157,63,78,93,32,0,125,31,16,703,16,719,656,47,32,78,782,31,109,16,62,7947,1
78,16,78,63,63,15,78,78,109,94,63,94,703,31,79,63,93,0,15,94,469,15,4015,1
94,15,204,78,110,15,47,219,47,94,79,78,94,63,78,63,94,93,78,156,78,31,3294,1
94,47,78,78,63,15,94,234,62,94,141,15,859,31,79,63,93,0,78,32,109,15,4452,1
93,16,78,94,94,78,125,78,141,250,125,109,906,94,156,94,94,78,94,63,109,78,5954,1
250,16,110,78,93,16,0,93,78,94,141,93,93,172,62,265,78,109,94,703,62,813,5530,1
140,16,172,78,94,78,891,172,141,93,94,78,1078,94,156,94,94,78,125,31,110,78,5998,1
562,16,78,94,94,0,94,94,157,93,78,15,94,109,62,94,125,594,78,47,78,47,4670,1
93,16,109,62,110,78,94,94,78,94,78,31,47,63,78,94,78,78,78,31,78,47,3172,1
156,47,79,93,94,0,94,94,94,47,47,31,62,109,62,94,125,594,94,172,94,47,4016,1
125,157,93,141,141,265,390,110,78,38,15,93,78,46,125,203,62,172,125,94,141,110,6223,1
38,129,594,15,172,250,0,187,94,140,94,125,31,94,172,16,110,282,344,406,16,313,6904,1
16,125,219,15,141,265,0,140,125,31,141,187,1312,46,125,203,62,172,391,31,109,110,7576,1
94,296,141,94,94,78,156,93,63,78,109,31,78,78,63,234,63,94,62,125,94,203,4641,1
78,94,128,93,94,16,0,125,78,94,94,94,94,78,94,156,47,78,32,93,47,63,4392,1
125,93,110,94,94,78,125,94,94,94,125,62,797,78,63,234,63,94,109,156,63,203,5392,1
141,16,94,62,62,391,110,110,235,93,78,109,109,297,78,297,31,282,344,62,360,32,5689,1
93,32,93,78,94,47,125,141,78,250,16,125,218,78,94,172,31,141,62,94,344,62,4655,1
234,141,79,94,62,391,0,109,63,218,125,188,1172,297,78,297,31,282,94,141,266,32,7678,1
62,32,78,63,63,15,109,62,141,63,46,47,62,94,47,109,16,47,15,78,47,32,3155,1
63,15,79,31,78,63,0,62,78,78,78,63,94,78,63,94,47,78,62,31,63,47,2765,1
78,63,63,47,63,15,125,63,31,94,62,16,884,94,47,109,16,47,94,46,47,32,3729,1
141,15,102,118,118,53,91,144,62,109,31,78,875,156,47,110,94,343,110,31,125,15,5127,1
109,188,16,63,110,15,78,94,78,157,219,16,110,79,78,94,125,125,110,15,109,15,4174,1
125,15,16,532,118,53,94,125,93,110,156,16,125,156,47,110,94,343,109,16,125,15,4970,1
94,31,78,94,94,15,63,63,94,78,62,32,657,78,15,63,109,16,79,15,47,47,3312,1
78,16,156,78,78,79,515,78,62,78,78,31,109,63,62,78,79,172,63,47,78,16,3658,1
140,31,46,78,94,15,94,79,63,109,110,172,63,78,15,63,109,16,79,78,62,47,2985,1
125,62,63,109,109,63,78,47,109,172,46,16,63,265,79,141,46,32,41,65,78,15,3560,1
172,16,62,78,94,31,78,203,93,110,172,116,63,31,62,156,47,46,47,63,62,47,3641,1
94,31,63,94,109,63,62,110,47,63,32,31,906,265,79,141,46,32,46,47,94,15,4048,1
78,62,78,78,78,156,141,125,125,203,78,16,109,47,63,94,125,16,109,32,109,78,3862,1
203,31,32,110,78,16,172,94,62,125,109,63,109,63,93,78,110,93,78,16,93,31,3611,1
78,47,94,78,78,156,125,125,78,109,94,15,129,47,63,94,125,16,63,62,47,78,3614,1
62,32,47,63,63,47,62,62,125,78,62,110,63,78,62,79,140,15,47,94,63,16,3080,1
