@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,9,12,14,16,23,25,26,27,31,32,33,34,35,41,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,63,172,62,62,63,78,109,94,78,110,62,62,94,94,78,62,141,78,78,79,78,63,94,47,63,1
62,32,93,94,62,62,63,62,32,94,94,62,79,93,47,78,78,47,47,62,79,156,93,47,78,62,63,1
63,78,93,78,79,94,15,78,109,78,94,62,94,62,94,78,93,125,141,78,78,79,63,140,47,47,63,1
109,16,109,32,78,78,15,62,313,391,62,16,78,79,15,78,94,109,16,62,47,78,62,125,16,31,15,1
78,16,78,93,16,93,32,62,16,516,32,125,16,437,63,62,78,94,32,63,62,16,16,78,94,47,46,1
32,62,16,172,63,78,62,62,313,484,62,47,15,250,78,47,90,94,16,62,47,78,46,32,62,31,15,1
78,594,62,188,62,62,32,78,109,219,63,125,63,79,46,47,78,63,63,62,94,78,63,62,78,79,63,1
63,31,63,31,94,62,78,47,62,62,94,62,47,93,47,63,63,63,62,94,47,16,62,63,78,63,63,1
78,110,62,94,62,47,63,78,109,62,94,78,94,62,16,78,79,94,63,62,94,78,63,266,109,79,63,1
119,47,156,16,94,94,62,78,172,266,94,63,94,78,157,93,94,63,594,63,93,78,63,78,15,94,78,1
94,93,94,16,78,78,47,78,15,0,78,63,844,31,94,63,63,62,94,78,47,63,16,109,78,94,78,1
15,94,16,32,94,93,47,78,172,0,78,31,63,78,16,93,62,172,594,63,93,78,78,47,110,94,78,1
78,78,94,141,78,78,62,63,141,281,47,187,47,62,94,62,125,63,47,78,63,16,16,78,94,47,47,1
47,78,78,78,125,63,62,47,47,0,47,94,62,94,93,16,187,63,78,63,62,156,328,62,47,63,31,1
235,47,328,219,47,62,47,63,141,0,109,15,47,78,47,78,63,32,47,78,63,16,31,62,328,47,47,1
79,125,109,109,94,94,78,78,94,94,78,93,94,78,78,63,63,62,78,78,94,78,78,125,63,63,62,1
94,16,78,16,78,62,110,78,16,47,78,78,94,79,187,78,62,78,47,78,47,79,78,47,78,78,78,1
78,31,78,109,47,63,15,78,94,78,78,63,125,78,47,78,78,204,78,78,94,78,78,218,79,63,62,1
109,78,125,94,94,94,15,63,172,125,125,62,125,16,47,31,94,78,16,79,62,78,109,16,94,125,109,1
125,188,47,125,62,16,110,109,16,156,125,78,110,47,31,109,109,94,94,78,93,47,109,32,78,78,124,1
93,16,109,78,78,31,94,63,172,156,172,79,93,78,47,125,78,79,16,79,62,78,124,16,78,125,109,1
94,47,141,47,94,94,125,93,16,94,31,62,110,31,94,16,4,31,15,47,78,78,15,78,32,16,31,1
110,94,15,125,94,63,141,110,78,532,32,141,47,62,141,15,172,31,62,63,62,125,15,125,15,78,78,1
31,94,15,141,15,16,78,93,16,563,32,31,47,31,78,16,72,671,15,47,78,78,78,31,109,16,31,1
62,63,125,31,94,94,47,62,16,125,16,31,62,78,16,62,78,78,15,47,78,94,16,63,31,94,78,1
62,16,78,16,78,62,78,78,32,0,47,140,32,31,47,16,63,78,46,63,47,94,391,78,15,62,62,1
16,94,391,172,31,62,32,62,16,93,78,16,62,94,31,93,77,78,15,47,78,94,62,16,62,94,78,1
94,62,110,109,109,109,16,78,63,78,78,94,110,78,16,62,109,93,31,63,93,109,94,78,78,78,94,1
110,15,78,78,47,93,47,109,31,156,266,63,109,109,16,94,93,110,62,78,79,47,62,47,78,93,109,1
109,16,62,94,78,62,31,78,63,94,109,93,110,109,16,62,110,78,31,63,93,109,109,63,78,78,94,1
78,31,157,171,63,63,16,62,62,156,78,16,94,78,204,78,140,78,219,78,78,484,62,47,78,78,93,1
94,31,94,31,78,79,15,250,63,0,79,78,157,63,31,62,31,31,78,47,78,62,93,32,78,31,47,1
94,16,93,94,94,78,93,62,62,0,141,113,16,62,32,78,78,125,219,78,78,484,47,63,31,78,93,1
47,93,63,125,47,47,31,16,63,78,31,31,78,62,63,78,78,62,47,47,93,125,110,125,93,63,79,1
78,32,110,15,94,94,31,110,15,0,78,79,15,110,15,110,62,47,78,79,78,16,32,63,47,47,94,1
16,62,32,31,78,78,15,16,63,125,125,16,94,78,16,78,78,93,47,47,93,125,94,63,93,63,79,1
47,281,125,500,94,94,78,78,156,235,94,188,250,78,47,63,78,125,156,94,110,62,63,47,265,62,94,1
250,16,125,15,94,94,63,78,15,94,109,62,141,16,109,63,62,125,79,78,62,343,156,32,93,62,93,1
78,47,156,141,46,63,15,78,156,0,109,85,43,78,110,93,78,31,156,94,110,62,93,32,78,62,94,1
78,187,94,110,78,78,15,63,62,94,78,32,110,62,16,94,78,78,31,94,62,110,32,79,78,94,78,1
110,15,78,79,78,78,31,47,47,94,79,63,62,203,265,32,62,78,47,110,62,156,62,78,78,125,94,1
94,16,62,63,93,94,15,63,62,78,63,109,16,32,15,93,110,78,31,94,62,110,94,31,63,94,78,1
109,31,109,79,94,94,32,93,32,110,62,62,63,78,16,63,79,62,656,47,63,15,47,125,16,15,47,1
63,15,78,93,32,93,16,78,15,640,63,62,141,47,94,47,16,62,78,63,141,32,15,78,15,15,31,1
94,157,15,63,94,63,31,93,32,0,125,31,16,703,16,47,62,832,656,47,63,15,31,109,16,15,47,1
78,16,93,79,78,78,62,63,15,78,78,109,94,63,94,78,94,47,31,79,62,94,15,94,469,110,78,1
94,15,94,156,62,204,15,110,15,47,219,47,94,79,78,15,15,78,63,78,62,32,78,156,78,94,78,1
94,47,78,125,47,78,594,63,15,94,234,62,94,141,15,62,78,78,31,79,62,94,78,32,109,110,78,1
93,16,94,94,78,78,140,94,78,125,78,141,250,125,109,172,94,110,94,156,78,78,94,63,109,78,78,1
250,16,125,15,110,110,109,93,16,0,93,78,94,141,93,94,47,110,172,62,79,16,94,703,62,109,125,1
140,16,94,110,93,172,15,94,78,891,172,141,93,94,78,78,156,156,94,156,78,78,125,31,110,78,78,1
562,16,78,110,78,78,109,94,0,94,94,157,93,78,15,79,94,93,109,62,94,125,78,47,78,93,78,1
93,16,78,16,78,109,16,110,78,94,94,78,94,78,31,78,62,94,63,78,109,63,78,31,78,78,94,1
156,47,78,94,94,79,31,94,0,94,94,94,47,47,31,78,78,109,109,62,94,125,94,172,94,93,78,1
125,157,109,141,93,93,16,141,265,390,110,78,38,15,93,219,109,94,46,125,985,359,125,94,141,78,109,1
38,129,297,47,109,594,94,172,250,0,187,94,140,94,125,125,94,62,94,172,109,15,344,406,16,156,391,1
16,125,344,141,78,219,110,141,265,0,140,125,31,141,187,94,94,157,46,125,985,359,391,31,109,78,109,1
94,296,110,31,141,141,109,94,78,156,93,63,78,109,31,110,94,109,78,63,234,63,62,125,94,94,140,1
78,94,94,63,156,128,63,94,16,0,125,78,94,94,94,62,641,108,78,94,78,140,32,93,47,78,109,1
125,93,32,62,94,110,62,94,78,125,94,94,94,125,62,109,94,141,78,63,234,63,109,156,63,94,140,1
141,16,93,172,94,94,125,62,391,110,110,235,93,78,109,79,125,109,297,78,235,109,344,62,360,93,109,1
93,32,93,31,125,93,16,94,47,125,141,78,250,16,125,344,125,125,78,94,94,15,62,94,344,94,94,1
234,141,62,16,94,79,31,62,391,0,109,63,218,125,188,109,94,78,297,78,235,109,94,141,266,93,109,1
62,32,109,234,78,78,94,63,15,109,62,141,63,46,47,63,63,78,94,47,94,125,15,78,47,62,78,1
63,15,94,16,78,79,15,78,63,0,62,78,78,78,63,15,93,62,78,63,62,110,62,31,63,63,94,1
78,63,62,203,16,63,47,63,15,125,63,31,94,62,16,79,78,109,94,47,94,125,94,46,47,62,78,1
141,15,82,121,102,102,31,118,53,91,144,62,109,31,78,16,125,93,156,47,78,125,110,31,125,94,125,1
109,188,62,78,94,16,141,110,15,78,94,78,157,219,16,110,16,109,79,78,93,250,110,15,109,156,109,1
125,15,110,78,109,16,93,118,53,94,125,93,110,156,16,78,171,125,156,47,78,125,109,16,125,94,125,1
94,31,78,94,78,78,16,94,15,63,63,94,78,62,32,46,31,94,78,15,79,62,79,15,47,15,16,1
78,16,62,94,125,156,32,78,79,515,78,62,78,78,31,79,15,172,63,62,125,15,63,47,78,109,79,1
140,31,63,78,78,46,16,94,15,94,79,63,109,110,172,16,110,109,78,15,79,62,79,78,62,15,16,1
125,62,94,125,63,63,78,109,63,78,47,109,172,46,16,63,125,63,265,79,78,109,41,65,78,78,63,1
