@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,9,10,12,13,14,16,17,18,22,23,24,26,33,36,37,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,62,63,109,78,62,94,94,94,78,141,78,78,94,94,109,31,63,94,109,63,1
62,32,62,63,32,94,93,47,78,94,94,47,62,79,110,78,125,78,47,78,94,63,1
63,78,94,15,109,94,62,94,78,63,93,141,78,78,94,94,109,31,140,47,109,63,1
109,16,78,15,313,62,79,15,78,453,31,16,62,47,62,47,94,234,125,16,63,15,1
78,16,93,32,16,32,437,63,62,15,94,32,63,62,47,63,94,172,78,94,32,46,1
32,62,78,62,313,62,250,78,47,640,437,16,62,47,62,47,94,234,32,62,63,15,1
78,594,62,32,109,63,79,46,47,94,109,63,62,94,63,93,78,16,62,78,171,63,1
63,31,62,78,62,94,93,47,63,94,78,62,94,47,47,109,94,62,63,78,46,63,1
78,110,47,63,109,94,62,16,78,78,93,63,62,94,63,93,78,16,266,109,171,63,1
119,47,94,62,172,94,78,157,93,79,114,594,63,93,109,31,94,31,78,15,31,78,1
94,93,78,47,15,78,31,94,63,63,109,94,78,47,110,47,172,78,109,78,78,78,1
15,94,93,47,172,78,78,16,93,844,31,594,63,93,109,31,94,31,47,110,31,78,1
78,78,78,62,141,47,62,94,62,47,234,47,78,63,93,156,15,93,78,94,94,47,1
47,78,63,62,47,47,94,93,16,47,94,78,63,62,16,78,32,94,62,47,141,31,1
235,47,62,47,141,109,78,47,78,1062,94,47,78,63,93,156,15,93,62,328,94,47,1
79,125,94,78,94,78,78,78,63,94,93,78,78,94,78,63,62,78,125,63,31,62,1
94,16,62,110,16,78,79,187,78,125,78,47,78,47,78,62,204,46,47,78,63,78,1
78,31,63,15,94,78,78,47,78,94,79,78,78,94,78,63,62,78,218,79,31,62,1
109,78,94,15,172,125,16,47,31,94,94,16,79,62,141,78,203,16,16,94,16,109,1
125,188,16,110,16,125,47,31,109,93,94,94,78,93,94,94,79,62,32,78,47,124,1
93,16,31,94,172,172,78,47,125,0,47,16,79,62,141,78,203,16,16,78,16,109,1
94,47,94,125,16,31,31,94,16,562,16,15,47,78,16,79,672,31,78,32,110,31,1
110,94,63,141,78,32,62,141,15,47,141,62,63,62,78,32,671,47,125,15,16,78,1
31,94,16,78,16,32,31,78,16,703,62,15,47,78,16,79,672,31,31,109,110,31,1
62,63,94,47,16,16,78,16,62,0,94,15,47,78,94,31,93,16,63,31,15,78,1
62,16,62,78,32,47,31,47,16,62,62,46,63,47,94,16,78,109,78,15,32,62,1
16,94,62,32,16,78,94,31,93,1312,31,15,47,78,94,31,93,16,16,62,15,78,1
94,62,109,16,63,78,78,16,62,94,109,31,63,93,94,78,94,31,78,78,16,94,1
110,15,93,47,31,266,109,16,94,110,94,62,78,79,75,86,78,93,47,78,16,109,1
109,16,62,31,63,109,109,16,62,78,109,31,63,93,94,78,94,31,63,78,16,94,1
78,31,63,16,62,78,78,204,78,125,31,219,78,78,31,141,15,94,47,78,32,93,1
94,31,79,15,63,79,63,31,62,16,94,78,47,78,15,94,125,78,32,78,78,47,1
94,16,78,93,62,141,62,32,78,62,63,219,78,78,31,141,15,94,63,31,32,93,1
47,93,47,31,63,31,62,63,78,94,125,47,47,93,172,15,78,16,125,93,15,79,1
78,32,94,31,15,78,110,15,110,94,109,78,79,78,78,15,93,94,63,47,31,94,1
16,62,78,15,63,125,78,16,78,0,110,47,47,93,172,15,78,16,63,93,15,79,1
47,281,94,78,156,94,78,47,63,78,94,156,94,110,156,47,109,125,47,265,16,94,1
250,16,94,63,15,109,16,109,63,43,267,79,78,62,203,31,31,141,32,93,32,93,1
78,47,63,15,156,109,78,110,93,1063,16,156,94,110,156,47,109,125,32,78,16,94,1
78,187,78,15,62,78,62,16,94,78,156,31,94,62,78,47,109,156,79,78,31,78,1
110,15,78,31,47,79,203,265,32,16,94,47,110,62,156,63,78,94,78,78,16,94,1
94,16,94,15,62,63,32,15,93,812,203,31,94,62,78,47,109,156,31,63,31,78,1
109,31,94,32,32,62,78,16,63,562,16,656,47,63,32,78,766,782,125,16,62,47,1
63,15,93,16,15,63,47,94,47,16,62,78,63,141,110,15,832,62,78,15,62,31,1
94,157,63,31,32,125,703,16,47,719,47,656,47,63,32,78,766,782,109,16,62,47,1
78,16,78,62,15,78,63,94,78,703,78,31,79,62,63,93,78,0,94,469,15,78,1
94,15,204,15,15,219,79,78,15,94,46,63,78,62,63,94,78,93,156,78,31,78,1
94,47,78,594,15,234,141,15,62,859,79,31,79,62,63,93,78,0,32,109,15,78,1
93,16,78,140,78,78,125,109,172,906,891,94,156,78,94,94,94,78,63,109,78,78,1
250,16,110,109,16,93,141,93,94,93,63,172,62,79,265,78,156,109,703,62,813,125,1
140,16,172,15,78,172,94,78,78,1078,141,94,156,78,94,94,94,78,31,110,78,78,1
562,16,78,109,0,94,78,15,79,94,234,109,62,94,94,125,78,594,47,78,47,78,1
93,16,109,16,78,94,78,31,78,47,32,63,78,109,94,78,109,78,31,78,47,94,1
156,47,79,31,0,94,47,31,78,62,78,109,62,94,94,125,78,594,172,94,47,78,1
125,157,93,16,265,110,15,93,219,78,141,46,125,985,203,62,47,172,94,141,110,109,1
38,129,594,94,250,187,94,125,125,31,235,94,172,109,16,110,157,282,406,16,313,391,1
16,125,219,110,265,140,141,187,94,1312,94,46,125,985,203,62,47,172,31,109,110,109,1
94,296,141,109,78,93,109,31,110,78,78,78,63,234,234,63,109,94,125,94,203,140,1
78,94,128,63,16,125,94,94,62,94,94,78,94,78,156,47,141,78,93,47,63,109,1
125,93,110,62,78,94,125,62,109,797,94,78,63,234,234,63,109,94,156,63,203,140,1
141,16,94,125,391,110,78,109,79,109,172,297,78,235,297,31,93,282,62,360,32,109,1
93,32,93,16,47,141,16,125,344,218,15,78,94,94,172,31,78,141,94,344,62,94,1
234,141,79,31,391,109,125,188,109,1172,16,297,78,235,297,31,93,282,141,266,32,109,1
62,32,78,94,15,62,46,47,63,62,188,94,47,94,109,16,94,47,78,47,32,78,1
63,15,79,15,63,62,78,63,15,94,94,78,63,62,94,47,109,78,31,63,47,94,1
