@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,8,9,10,13,16,19,21,22,23,24,25,26,33,36,37,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute ft7 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
31,62,109,94,156,78,110,62,94,78,141,78,78,94,94,109,31,63,94,47,109,63,1
32,62,32,62,125,94,62,79,47,94,47,62,79,110,78,125,78,47,78,62,94,63,1
78,94,109,94,140,94,62,94,94,93,141,78,78,94,94,109,31,140,47,47,109,63,1
16,78,313,391,47,62,16,78,15,31,16,62,47,62,47,94,234,125,16,31,63,15,1
16,93,16,47,578,32,125,16,63,94,32,63,62,47,63,94,172,78,94,47,32,46,1
62,78,313,391,79,62,47,15,78,437,16,62,47,62,47,94,234,32,62,31,63,15,1
594,62,109,219,15,63,125,63,46,109,63,62,94,63,93,78,16,62,78,79,171,63,1
31,62,62,63,47,94,62,47,47,78,62,94,47,47,109,94,62,63,78,63,46,63,1
110,47,109,219,32,94,78,94,16,93,63,62,94,63,93,78,16,266,109,79,171,63,1
47,94,172,266,47,94,63,94,157,114,594,63,93,109,31,94,31,78,15,94,31,78,1
93,78,15,78,31,78,63,844,94,109,94,78,47,110,47,172,78,109,78,94,78,78,1
94,93,172,266,16,78,31,63,16,31,594,63,93,109,31,94,31,47,110,94,31,78,1
78,78,141,281,47,47,187,47,94,234,47,78,63,93,156,15,93,78,94,47,94,47,1
78,63,47,78,47,47,94,62,93,94,78,63,62,16,78,32,94,62,47,63,141,31,1
47,62,141,281,31,109,15,47,47,94,47,78,63,93,156,15,93,62,328,47,94,47,1
125,94,94,94,312,78,93,94,78,93,78,78,94,78,63,62,78,125,63,63,31,62,1
16,62,16,62,188,78,78,94,187,78,47,78,47,78,62,204,46,47,78,78,63,78,1
31,63,94,94,172,78,63,125,47,79,78,78,94,78,63,62,78,218,79,63,31,62,1
78,94,172,125,156,125,62,125,47,94,16,79,62,141,78,203,16,16,94,125,16,109,1
188,16,16,78,109,125,78,110,31,94,94,78,93,94,94,79,62,32,78,78,47,124,1
16,31,172,125,547,172,79,93,47,47,16,79,62,141,78,203,16,16,78,125,16,109,1
47,94,16,94,47,31,62,110,94,16,15,47,78,16,79,672,31,78,32,16,110,31,1
94,63,78,94,625,32,141,47,141,141,62,63,62,78,32,671,47,125,15,78,16,78,1
94,16,16,94,656,32,31,47,78,62,15,47,78,16,79,672,31,31,109,16,110,31,1
63,94,16,125,32,16,31,62,16,94,15,47,78,94,31,93,16,63,31,94,15,78,1
16,62,32,62,16,47,140,32,47,62,46,63,47,94,16,78,109,78,15,62,32,62,1
94,62,16,125,16,78,16,62,31,31,15,47,78,94,31,93,16,16,62,94,15,78,1
62,109,63,78,94,78,94,110,16,109,31,63,93,94,78,94,31,78,78,78,16,94,1
15,93,31,78,141,266,63,109,16,94,62,78,79,75,86,78,93,47,78,93,16,109,1
16,62,63,78,78,109,93,110,16,109,31,63,93,94,78,94,31,63,78,78,16,94,1
31,63,62,156,32,78,16,94,204,31,219,78,78,31,141,15,94,47,78,78,32,93,1
31,79,63,31,15,79,78,157,31,94,78,47,78,15,94,125,78,32,78,31,78,47,1
16,78,62,156,47,141,113,16,32,63,219,78,78,31,141,15,94,63,31,78,32,93,1
93,47,63,78,156,31,31,78,63,125,47,47,93,172,15,78,16,125,93,63,15,79,1
32,94,15,79,16,78,79,15,15,109,78,79,78,78,15,93,94,63,47,47,31,94,1
62,78,63,78,16,125,16,94,16,110,47,47,93,172,15,78,16,63,93,63,15,79,1
281,94,156,235,31,94,188,250,47,94,156,94,110,156,47,109,125,47,265,62,16,94,1
16,94,15,78,125,109,62,141,109,267,79,78,62,203,31,31,141,32,93,62,32,93,1
47,63,156,235,46,109,85,43,110,16,156,94,110,156,47,109,125,32,78,62,16,94,1
187,78,62,94,141,78,32,110,16,156,31,94,62,78,47,109,156,79,78,94,31,78,1
15,78,47,62,109,79,63,62,265,94,47,110,62,156,63,78,94,78,78,125,16,94,1
16,94,62,94,94,63,109,16,15,203,31,94,62,78,47,109,156,31,63,94,31,78,1
31,94,32,110,62,62,62,63,16,16,656,47,63,32,78,766,782,125,16,15,62,47,1
15,93,15,62,703,63,62,141,94,62,78,63,141,110,15,832,62,78,15,15,62,31,1
157,63,32,110,15,125,31,16,16,47,656,47,63,32,78,766,782,109,16,15,62,47,1
16,78,15,78,94,78,109,94,94,78,31,79,62,63,93,78,0,94,469,110,15,78,1
15,204,15,93,125,219,47,94,78,46,63,78,62,63,94,78,93,156,78,94,31,78,1
47,78,15,78,125,234,62,94,15,79,31,79,62,63,93,78,0,32,109,110,15,78,1
16,78,78,125,94,78,141,250,109,891,94,156,78,94,94,94,78,63,109,78,78,78,1
16,110,16,78,62,93,78,94,93,63,172,62,79,265,78,156,109,703,62,109,813,125,1
16,172,78,125,93,172,141,93,78,141,94,156,78,94,94,94,78,31,110,78,78,78,1
16,78,0,94,109,94,157,93,15,234,109,62,94,94,125,78,594,47,78,93,47,78,1
16,109,78,78,78,94,78,94,31,32,63,78,109,94,78,109,78,31,78,78,47,94,1
47,79,0,94,78,94,94,47,31,78,109,62,94,94,125,78,594,172,94,93,47,78,1
157,93,265,390,63,110,78,38,93,141,46,125,985,203,62,47,172,94,141,78,110,109,1
129,594,250,31,15,187,94,140,125,235,94,172,109,16,110,157,282,406,16,156,313,391,1
125,219,265,390,46,140,125,31,187,94,46,125,985,203,62,47,172,31,109,78,110,109,1
296,141,78,156,63,93,63,78,31,78,78,63,234,234,63,109,94,125,94,94,203,140,1
94,128,16,62,78,125,78,94,94,94,78,94,78,156,47,141,78,93,47,78,63,109,1
93,110,78,156,62,94,94,94,62,94,78,63,234,234,63,109,94,156,63,94,203,140,1
16,94,391,110,15,110,235,93,109,172,297,78,235,297,31,93,282,62,360,93,32,109,1
32,93,47,94,15,141,78,250,125,15,78,94,94,172,31,78,141,94,344,94,62,94,1
141,79,391,110,15,109,63,218,188,16,297,78,235,297,31,93,282,141,266,93,32,109,1
32,78,15,109,16,62,141,63,47,188,94,47,94,109,16,94,47,78,47,62,32,78,1
15,79,63,31,15,62,78,78,63,94,78,63,62,94,47,109,78,31,63,63,47,94,1
63,63,15,109,16,63,31,94,16,78,94,47,94,109,16,94,47,46,47,62,32,78,1
15,102,53,91,259,144,62,109,78,125,156,47,78,110,94,110,343,31,125,94,15,125,1
188,16,15,63,172,94,78,157,16,109,79,78,93,94,125,125,125,15,109,156,15,109,1
15,16,53,91,223,125,93,110,16,219,156,47,78,110,94,110,343,16,125,94,15,125,1
31,78,15,63,62,63,94,78,32,109,78,15,79,63,109,78,16,15,47,15,47,16,1
16,156,79,62,63,78,62,78,31,94,63,62,125,78,79,109,172,47,78,109,16,79,1
31,46,15,63,62,79,63,109,172,78,78,15,79,63,109,78,16,78,62,15,47,16,1
62,63,63,78,125,47,109,172,16,78,265,79,78,141,46,62,32,65,78,78,15,63,1
16,62,31,94,125,203,93,110,116,62,31,62,79,156,47,126,46,63,62,78,47,46,1
31,63,63,78,125,110,47,63,31,172,265,79,78,141,46,62,32,47,94,78,15,63,1
62,78,156,141,16,125,125,203,16,140,47,63,94,94,125,187,16,32,109,79,78,62,1
31,32,16,62,15,94,62,125,63,15,63,93,79,78,110,110,93,16,93,94,31,63,1
47,94,156,141,109,125,78,109,15,109,47,63,94,94,125,187,16,62,47,79,78,62,1
32,47,47,62,141,62,125,78,110,79,78,62,79,79,140,63,15,94,63,78,16,62,1
47,78,32,93,157,62,62,125,203,125,47,109,47,109,94,125,47,47,62,63,47,78,1
125,78,47,62,140,78,47,141,31,94,78,62,79,79,140,63,15,62,63,78,16,62,1
141,47,250,328,62,172,93,313,78,172,62,78,344,140,234,47,125,125,125,78,31,94,1
109,141,79,31,62,172,94,140,235,282,62,78,78,16,93,94,78,16,78,62,281,79,1
78,125,250,328,63,172,63,62,141,140,62,78,344,140,234,47,125,31,109,78,31,94,1
282,78,234,94,47,94,984,63,218,78,78,78,78,63,140,78,828,297,78,63,219,78,1
297,78,188,62,63,109,63,203,250,125,62,94,62,78,140,94,62,484,79,78,204,62,1
797,47,234,94,203,109,78,125,375,78,78,78,78,63,140,78,828,375,63,63,219,78,1
32,94,110,250,63,63,94,78,46,344,78,78,63,125,47,109,32,78,78,93,78,63,1
16,62,31,78,16,63,62,141,16,16,63,93,63,125,15,94,93,78,31,62,16,78,1
172,0,110,250,938,31,46,94,32,78,78,78,63,125,47,109,32,63,187,93,78,63,1
0,93,32,171,16,109,125,62,62,78,31,47,375,156,47,63,16,78,16,78,31,125,1
16,63,93,47,31,109,78,78,109,78,63,78,78,78,47,16,109,16,62,94,15,94,1
31,63,32,171,31,125,63,140,125,94,31,47,375,156,47,63,16,62,78,78,31,125,1
15,78,94,78,203,63,94,187,0,203,141,109,63,94,78,93,16,78,78,93,32,62,1
16,94,31,63,0,94,62,125,63,31,234,328,110,110,93,94,93,32,62,94,31,78,1
31,78,94,78,171,63,78,94,16,94,141,109,63,94,78,93,16,16,78,93,32,62,1
172,109,250,78,110,78,156,110,140,78,94,78,110,47,156,94,265,422,78,93,94,78,1
359,78,219,93,78,78,93,610,328,141,93,94,63,78,109,156,94,547,94,110,125,93,1
313,63,250,78,250,94,63,156,187,62,94,78,110,47,156,94,265,203,63,93,94,78,1
94,47,93,156,31,63,469,62,125,141,78,56,73,78,31,79,15,78,47,62,31,63,1
16,63,16,47,594,656,166,16,125,16,62,78,63,140,0,47,110,47,63,63,31,78,1
31,78,93,156,16,94,141,15,31,62,78,56,73,78,31,79,15,172,78,62,31,63,1
16,109,391,438,31,46,62,94,31,109,94,31,78,109,125,109,16,78,31,78,0,94,1
0,78,141,78,32,46,94,78,78,110,63,62,78,125,31,687,94,110,31,78,31,94,1
109,94,391,438,31,94,47,46,31,31,94,31,78,109,125,109,16,62,63,78,0,94,1
31,125,485,594,47,140,47,93,141,125,47,78,78,47,62,125,16,125,62,78,32,93,1
16,78,47,78,31,141,79,109,110,109,62,94,62,125,62,172,78,15,63,94,47,93,1
16,62,485,594,16,109,94,109,78,32,47,78,78,47,62,125,16,125,94,78,32,93,1
63,47,125,63,171,79,109,172,32,78,63,47,93,78,78,78,172,78,63,46,79,78,1
15,78,46,47,31,94,63,125,15,125,62,78,63,78,94,125,62,125,31,62,63,78,1
0,78,125,63,47,94,47,109,16,78,63,47,93,78,78,78,172,62,32,46,79,78,1
547,172,128,225,40,110,78,78,47,203,47,62,109,78,63,47,15,93,16,94,47,94,1
16,109,47,62,734,0,63,172,93,78,78,78,78,79,78,110,94,0,63,15,62,47,1
78,78,128,225,47,141,32,62,31,79,47,62,109,78,63,47,15,78,47,94,47,94,1
15,63,63,140,188,109,141,62,578,78,47,94,141,78,94,47,78,109,47,93,63,62,1
78,94,62,78,207,109,62,156,78,93,47,78,63,78,125,93,110,438,62,94,31,94,1
31,94,63,140,687,94,62,94,453,94,47,94,141,78,94,47,78,47,62,93,63,62,1
47,78,271,380,47,125,15,62,16,172,47,62,63,125,32,47,15,94,31,62,16,78,1
31,78,32,78,47,125,157,15,31,125,63,62,63,312,63,62,94,32,62,78,31,79,1
0,62,271,380,140,94,0,94,0,62,47,62,63,125,32,47,15,31,156,62,16,78,1
94,78,140,79,250,93,125,63,141,47,125,47,63,63,93,63,125,125,62,62,110,78,1
47,63,94,62,125,125,62,172,78,156,62,78,63,78,110,110,62,63,46,63,47,78,1
78,62,140,79,172,125,63,125,125,78,125,47,63,63,93,63,125,78,47,62,110,78,1
31,78,31,172,31,156,46,125,16,187,0,93,453,140,47,32,46,94,78,78,32,78,1
46,109,15,78,125,156,94,47,63,0,93,110,78,829,31,109,78,47,94,157,31,109,1
0,93,31,172,93,157,78,15,78,31,0,93,453,140,47,32,46,0,110,78,32,78,1
78,78,78,62,94,94,47,94,31,93,32,62,110,78,94,141,0,79,46,78,62,63,1
0,47,61,52,94,188,62,141,62,0,78,78,63,62,110,141,94,31,94,78,47,78,1
47,94,78,62,78,78,94,31,47,63,32,62,110,78,94,141,0,47,78,78,62,63,1
16,78,188,78,31,94,62,156,31,250,78,63,62,78,110,93,125,125,125,78,32,125,1
16,109,0,78,31,109,94,313,31,16,78,47,63,62,94,125,94,0,94,62,235,125,1
31,78,188,78,0,94,62,78,16,156,78,63,62,78,110,93,125,31,109,78,32,125,1
