@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,5,6,8,11,14,15,16,23,24,25,27,28,30,33,34,36,37,43'

@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
31,63,63,62,78,78,94,94,110,62,62,94,94,78,94,78,94,94,31,63,94,47,109,63,1
32,93,78,62,62,62,62,94,62,79,93,47,78,78,78,62,110,78,78,47,78,62,94,63,1
78,93,94,94,32,78,94,78,62,94,62,94,78,93,94,78,94,94,31,140,47,47,109,63,1
16,109,109,78,62,62,391,391,16,78,79,15,78,94,94,62,62,47,234,125,16,31,63,15,1
16,78,15,93,62,62,47,516,125,16,437,63,62,78,31,63,47,63,172,78,94,47,32,46,1
62,16,79,78,50,62,391,484,47,15,250,78,47,90,63,62,62,47,234,32,62,31,63,15,1
594,62,62,62,78,78,219,219,125,63,79,46,47,78,16,62,63,93,16,62,78,79,171,63,1
31,63,453,62,78,47,63,62,62,47,93,47,63,63,78,94,47,109,62,63,78,63,46,63,1
110,62,62,47,47,78,219,62,78,94,62,16,78,79,47,62,63,93,16,266,109,79,171,63,1
47,156,156,94,78,78,266,266,63,94,78,157,93,94,46,63,109,31,31,78,15,94,31,78,1
93,94,125,78,93,78,78,0,63,844,31,94,63,63,47,78,110,47,78,109,78,94,78,78,1
94,16,187,93,94,78,266,0,31,63,78,16,93,62,62,63,109,31,31,47,110,94,31,78,1
78,94,94,78,63,63,281,281,187,47,62,94,62,125,140,78,93,156,93,78,94,47,94,47,1
78,78,156,63,32,47,78,0,94,62,94,93,16,187,94,63,16,78,94,62,47,63,141,31,1
47,328,141,62,63,63,281,0,15,47,78,47,78,63,94,78,93,156,93,62,328,47,94,47,1
125,109,109,94,78,78,94,94,93,94,78,78,63,63,94,78,78,63,78,125,63,63,31,62,1
16,78,141,62,94,78,62,47,78,94,79,187,78,62,94,78,78,62,46,47,78,78,63,78,1
31,78,47,63,63,78,94,78,63,125,78,47,78,78,15,78,78,63,78,218,79,63,31,62,1
