@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,5,6,7,9,10,12,13,15,16,23,24,25,27,30,33,34,36,37,38,39,42,43'

@attribute dtfk1 numeric
@attribute ft3 numeric
@attribute ft4 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,63,109,156,110,62,62,94,94,78,94,141,78,94,94,31,47,109,1
62,63,32,125,62,79,93,47,78,78,78,47,62,110,78,78,62,94,1
63,15,109,140,62,94,62,94,78,93,94,141,78,94,94,31,47,109,1
109,15,313,47,16,78,79,15,78,94,94,16,62,62,47,234,31,63,1
78,32,16,578,125,16,437,63,62,78,31,32,63,47,63,172,47,32,1
32,62,313,79,47,15,250,78,47,90,63,16,62,62,47,234,31,63,1
78,32,109,15,125,63,79,46,47,78,16,63,62,63,93,16,79,171,1
63,78,62,47,62,47,93,47,63,63,78,62,94,47,109,62,63,46,1
78,63,109,32,78,94,62,16,78,79,47,63,62,63,93,16,79,171,1
119,62,172,47,63,94,78,157,93,94,46,594,63,109,31,31,94,31,1
94,47,15,31,63,844,31,94,63,63,47,94,78,110,47,78,94,78,1
15,47,172,16,31,63,78,16,93,62,62,594,63,109,31,31,94,31,1
78,62,141,47,187,47,62,94,62,125,140,47,78,93,156,93,47,94,1
47,62,47,47,94,62,94,93,16,187,94,78,63,16,78,94,63,141,1
235,47,141,31,15,47,78,47,78,63,94,47,78,93,156,93,47,94,1
79,78,94,312,93,94,78,78,63,63,94,78,78,78,63,78,63,31,1
94,110,16,188,78,94,79,187,78,62,94,47,78,78,62,46,78,63,1
78,15,94,172,63,125,78,47,78,78,15,78,78,78,63,78,63,31,1
109,15,172,156,62,125,16,47,31,94,93,16,79,141,78,16,125,16,1
125,110,16,109,78,110,47,31,109,109,94,94,78,94,94,62,78,47,1
93,94,172,547,79,93,78,47,125,78,78,16,79,141,78,16,125,16,1
94,125,16,47,62,110,31,94,16,4,640,15,47,16,79,31,16,110,1
110,141,78,625,141,47,62,141,15,172,109,62,63,78,32,47,78,16,1
31,78,16,656,31,47,31,78,16,72,734,15,47,16,79,31,16,110,1
62,47,16,32,31,62,78,16,62,78,31,15,47,94,31,16,94,15,1
62,78,32,16,140,32,31,47,16,63,32,46,63,94,16,109,62,32,1
16,32,16,16,16,62,94,31,93,77,1375,15,47,94,31,16,94,15,1
94,16,63,94,94,110,78,16,62,109,94,31,63,94,78,31,78,16,1
110,47,31,141,63,109,109,16,94,93,62,62,78,75,86,93,93,16,1
109,31,63,78,93,110,109,16,62,110,172,31,63,94,78,31,78,16,1
78,16,62,32,16,94,78,204,78,140,109,219,78,31,141,94,78,32,1
94,15,63,15,78,157,63,31,62,31,78,78,47,15,94,78,31,78,1
94,93,62,47,113,16,62,32,78,78,78,219,78,31,141,94,78,32,1
47,31,63,156,31,78,62,63,78,78,63,47,47,172,15,16,63,15,1
78,31,15,16,79,15,110,15,110,62,31,78,79,78,15,94,47,31,1
16,15,63,16,16,94,78,16,78,78,31,47,47,172,15,16,63,15,1
47,78,156,31,188,250,78,47,63,78,94,156,94,156,47,125,62,16,1
250,63,15,125,62,141,16,109,63,62,173,79,78,203,31,141,62,32,1
