@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,4,5,6,8,11,12,14,16,19,20,23,24,27,28,31,33,34,41,42,43'

@attribute dtsk1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
63,62,78,78,94,78,110,62,94,78,94,94,78,78,94,31,79,78,63,94,47,1
93,62,62,62,94,94,62,79,78,78,94,78,62,79,78,78,156,93,47,78,62,1
93,94,32,78,78,94,62,94,78,93,63,94,78,78,94,31,79,63,140,47,47,1
109,78,62,62,391,62,16,78,78,94,453,94,62,47,47,234,78,62,125,16,31,1
78,93,62,62,516,32,125,16,62,78,15,31,63,62,63,172,16,16,78,94,47,1
16,78,50,62,484,62,47,15,47,90,640,63,62,47,47,234,78,46,32,62,31,1
62,62,78,78,219,63,125,63,47,78,94,16,62,94,93,16,78,63,62,78,79,1
63,62,78,47,62,94,62,47,63,63,94,78,94,47,109,62,16,62,63,78,63,1
62,47,47,78,62,94,78,94,78,79,78,47,62,94,93,16,78,63,266,109,79,1
156,94,78,78,266,94,63,94,93,94,79,46,63,93,31,31,78,63,78,15,94,1
94,78,93,78,0,78,63,844,63,63,63,47,78,47,47,78,63,16,109,78,94,1
16,93,94,78,0,78,31,63,93,62,844,62,63,93,31,31,78,78,47,110,94,1
94,78,63,63,281,47,187,47,62,125,47,140,78,63,156,93,16,16,78,94,47,1
78,63,32,47,0,47,94,62,16,187,47,94,63,62,78,94,156,328,62,47,63,1
328,62,63,63,0,109,15,47,78,63,1062,94,78,63,156,93,16,31,62,328,47,1
109,94,78,78,94,78,93,94,63,63,94,94,78,94,63,78,78,78,125,63,63,1
78,62,94,78,47,78,78,94,78,62,125,94,78,47,62,46,79,78,47,78,78,1
78,63,63,78,78,78,63,125,78,78,94,15,78,94,63,78,78,78,218,79,63,1
125,94,63,63,125,125,62,125,31,94,94,93,79,62,78,16,78,109,16,94,125,1
47,16,47,109,156,125,78,110,109,109,93,94,78,93,94,62,47,109,32,78,78,1
109,31,15,63,156,172,79,93,125,78,0,78,79,62,78,16,78,124,16,78,125,1
141,94,93,93,94,31,62,110,16,4,562,640,47,78,79,31,78,15,78,32,16,1
15,63,16,110,532,32,141,47,15,172,47,109,63,62,32,47,125,15,125,15,78,1
15,16,31,93,563,32,31,47,16,72,703,734,47,78,79,31,78,78,31,109,16,1
125,94,62,62,125,16,31,62,62,78,0,31,47,78,31,16,94,16,63,31,94,1
78,62,110,78,0,47,140,32,16,63,62,32,63,47,16,109,94,391,78,15,62,1
391,62,62,62,93,78,16,62,93,77,1312,1375,47,78,31,16,94,62,16,62,94,1
110,109,78,78,78,78,94,110,62,109,94,94,63,93,78,31,109,94,78,78,78,1
78,93,78,109,156,266,63,109,94,93,110,62,78,79,86,93,47,62,47,78,93,1
62,62,94,78,94,109,93,110,62,110,78,172,63,93,78,31,109,109,63,78,78,1
157,63,62,62,156,78,16,94,78,140,125,109,78,78,141,94,484,62,47,78,78,1
94,79,109,250,0,79,78,157,62,31,16,78,47,78,94,78,62,93,32,78,31,1
93,78,79,62,0,141,113,16,78,78,62,78,78,78,141,94,484,47,63,31,78,1
63,47,16,16,78,31,31,78,78,78,94,63,47,93,15,16,125,110,125,93,63,1
110,94,47,110,0,78,79,15,110,62,94,31,79,78,15,94,16,32,63,47,47,1
32,78,63,16,125,125,16,94,78,78,0,31,47,93,15,16,125,94,63,93,63,1
125,94,78,78,235,94,188,250,63,78,78,94,94,110,47,125,62,63,47,265,62,1
125,94,62,78,94,109,62,141,63,62,43,173,78,62,31,141,343,156,32,93,62,1
156,63,94,78,0,109,85,43,93,78,1063,1172,94,110,47,125,62,93,32,78,62,1
94,78,63,63,94,78,32,110,94,78,78,109,94,62,47,156,110,32,79,78,94,1
78,78,78,47,94,79,63,62,32,62,16,94,110,62,63,94,156,62,78,78,125,1
62,94,63,63,78,63,109,16,93,110,812,63,94,62,47,156,110,94,31,63,94,1
109,94,93,93,110,62,62,63,63,79,562,94,47,63,78,782,15,47,125,16,15,1
78,93,32,78,640,63,62,141,47,16,16,31,63,141,15,62,32,15,78,15,15,1
15,63,78,93,0,125,31,16,47,62,719,812,47,63,78,782,15,31,109,16,15,1
93,78,63,63,78,78,109,94,78,94,703,109,79,62,93,0,94,15,94,469,110,1
94,204,78,110,47,219,47,94,15,15,94,63,78,62,94,93,32,78,156,78,94,1
78,78,78,63,94,234,62,94,62,78,859,78,79,62,93,0,94,78,32,109,110,1
94,78,94,94,125,78,141,250,172,94,906,94,156,78,94,78,78,94,63,109,78,1
125,110,78,93,0,93,78,94,94,47,93,266,62,79,78,109,16,94,703,62,109,1
94,172,78,94,891,172,141,93,78,156,1078,78,156,78,94,78,78,125,31,110,78,1
78,78,94,94,94,94,157,93,79,94,94,109,62,94,125,594,125,78,47,78,93,1
78,109,62,110,94,94,78,94,78,62,47,109,78,109,78,78,63,78,31,78,78,1
78,79,93,94,94,94,94,47,78,78,62,94,62,94,125,594,125,94,172,94,93,1
109,93,141,141,390,110,78,38,219,109,78,94,125,985,62,172,359,125,94,141,78,1
297,594,15,172,0,187,94,140,125,94,31,78,172,109,110,282,15,344,406,16,156,1
344,219,15,141,0,140,125,31,94,94,1312,109,125,985,62,172,359,391,31,109,78,1
110,141,94,94,156,93,63,78,110,94,78,78,63,234,63,94,63,62,125,94,94,1
94,128,93,94,0,125,78,94,62,641,94,62,94,78,47,78,140,32,93,47,78,1
32,110,94,94,125,94,94,94,109,94,797,94,63,234,63,94,63,109,156,63,94,1
93,94,62,62,110,110,235,93,79,125,109,47,78,235,31,282,109,344,62,360,93,1
93,93,78,94,125,141,78,250,344,125,218,157,94,94,31,141,15,62,94,344,94,1
62,79,94,62,0,109,63,218,109,94,1172,1313,78,235,31,282,109,94,141,266,93,1
109,78,63,63,109,62,141,63,63,63,62,78,47,94,16,47,125,15,78,47,62,1
94,79,31,78,0,62,78,78,15,93,94,62,63,62,47,78,110,62,31,63,63,1
