@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,5,6,8,10,15,16,17,18,19,20,21,22,23,24,27,33,34,39,43'

@attribute dtfk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,63,62,78,109,94,94,156,94,94,141,78,78,94,94,31,79,78,63,47,109,63,1
62,78,62,62,32,62,94,125,94,78,47,62,79,110,78,78,156,93,47,62,94,63,1
63,94,94,32,109,94,78,140,63,94,141,78,78,94,94,31,79,63,140,47,109,63,1
109,109,78,62,313,391,391,47,453,94,16,62,47,62,47,234,78,62,125,31,63,15,1
78,15,93,62,16,47,516,578,15,31,32,63,62,47,63,172,16,16,78,47,32,46,1
32,79,78,50,313,391,484,79,640,63,16,62,47,62,47,234,78,46,32,31,63,15,1
78,62,62,78,109,219,219,15,94,16,63,62,94,63,93,16,78,63,62,79,171,63,1
63,453,62,78,62,63,62,47,94,78,62,94,47,47,109,62,16,62,63,63,46,63,1
78,62,47,47,109,219,62,32,78,47,63,62,94,63,93,16,78,63,266,79,171,63,1
119,156,94,78,172,266,266,47,79,46,594,63,93,109,31,31,78,63,78,94,31,78,1
94,125,78,93,15,78,0,31,63,47,94,78,47,110,47,78,63,16,109,94,78,78,1
15,187,93,94,172,266,0,16,844,62,594,63,93,109,31,31,78,78,47,94,31,78,1
78,94,78,63,141,281,281,47,47,140,47,78,63,93,156,93,16,16,78,47,94,47,1
47,156,63,32,47,78,0,47,47,94,78,63,62,16,78,94,156,328,62,63,141,31,1
235,141,62,63,141,281,0,31,1062,94,47,78,63,93,156,93,16,31,62,47,94,47,1
79,109,94,78,94,94,94,312,94,94,78,78,94,78,63,78,78,78,125,63,31,62,1
94,141,62,94,16,62,47,188,125,94,47,78,47,78,62,46,79,78,47,78,63,78,1
78,47,63,63,94,94,78,172,94,15,78,78,94,78,63,78,78,78,218,63,31,62,1
109,125,94,63,172,125,125,156,94,93,16,79,62,141,78,16,78,109,16,125,16,109,1
125,94,16,47,16,78,156,109,93,94,94,78,93,94,94,62,47,109,32,78,47,124,1
93,125,31,15,172,125,156,547,0,78,16,79,62,141,78,16,78,124,16,125,16,109,1
94,141,94,93,16,94,94,47,562,640,15,47,78,16,79,31,78,15,78,16,110,31,1
110,47,63,16,78,94,532,625,47,109,62,63,62,78,32,47,125,15,125,78,16,78,1
31,47,16,31,16,94,563,656,703,734,15,47,78,16,79,31,78,78,31,16,110,31,1
62,125,94,62,16,125,125,32,0,31,15,47,78,94,31,16,94,16,63,94,15,78,1
62,78,62,110,32,62,0,16,62,32,46,63,47,94,16,109,94,391,78,62,32,62,1
16,109,62,62,16,125,93,16,1312,1375,15,47,78,94,31,16,94,62,16,94,15,78,1
94,110,109,78,63,78,78,94,94,94,31,63,93,94,78,31,109,94,78,78,16,94,1
110,109,93,78,31,78,156,141,110,62,62,78,79,75,86,93,47,62,47,93,16,109,1
109,78,62,94,63,78,94,78,78,172,31,63,93,94,78,31,109,109,63,78,16,94,1
78,157,63,62,62,156,156,32,125,109,219,78,78,31,141,94,484,62,47,78,32,93,1
94,187,79,109,63,31,0,15,16,78,78,47,78,15,94,78,62,93,32,31,78,47,1
94,62,78,79,62,156,0,47,62,78,219,78,78,31,141,94,484,47,63,78,32,93,1
47,63,47,16,63,78,78,156,94,63,47,47,93,172,15,16,125,110,125,63,15,79,1
78,141,94,47,15,79,0,16,94,31,78,79,78,78,15,94,16,32,63,47,31,94,1
16,203,78,63,63,78,125,16,0,31,47,47,93,172,15,16,125,94,63,63,15,79,1
47,125,94,78,156,235,235,31,78,94,156,94,110,156,47,125,62,63,47,62,16,94,1
250,156,94,62,15,78,94,125,43,173,79,78,62,203,31,141,343,156,32,62,32,93,1
78,63,63,94,156,235,0,46,1063,1172,156,94,110,156,47,125,62,93,32,62,16,94,1
78,94,78,63,62,94,94,141,78,109,31,94,62,78,47,156,110,32,79,94,31,78,1
110,93,78,78,47,62,94,109,16,94,47,110,62,156,63,94,156,62,78,125,16,94,1
94,78,94,63,62,94,78,94,812,63,31,94,62,78,47,156,110,94,31,94,31,78,1
109,109,94,93,32,110,110,62,562,94,656,47,63,32,78,782,15,47,125,15,62,47,1
63,16,93,32,15,62,640,703,16,31,78,63,141,110,15,62,32,15,78,15,62,31,1
94,46,63,78,32,110,0,15,719,812,656,47,63,32,78,782,15,31,109,15,62,47,1
78,93,78,63,15,78,78,94,703,109,31,79,62,63,93,0,94,15,94,110,15,78,1
