@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,9,13,14,16,17,18,22,23,24,25,27,28,33,34,36,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,63,62,78,109,94,78,62,94,94,94,78,78,94,94,31,78,63,94,47,109,63,1
62,32,78,62,62,32,62,94,93,47,78,78,62,79,110,78,78,93,47,78,62,94,63,1
63,78,94,94,78,109,94,94,62,94,78,94,78,78,94,94,31,63,140,47,47,109,63,1
109,16,109,78,62,313,391,62,79,15,78,94,62,47,62,47,234,62,125,16,31,63,15,1
78,16,15,93,62,16,47,32,437,63,62,31,63,62,47,63,172,16,78,94,47,32,46,1
32,62,79,78,62,313,391,62,250,78,47,63,62,47,62,47,234,46,32,62,31,63,15,1
78,594,62,62,78,109,219,63,79,46,47,16,62,94,63,93,16,63,62,78,79,171,63,1
63,31,453,62,47,62,63,94,93,47,63,78,94,47,47,109,62,62,63,78,63,46,63,1
78,110,62,47,78,109,219,94,62,16,78,47,62,94,63,93,16,63,266,109,79,171,63,1
119,47,156,94,78,172,266,94,78,157,93,46,63,93,109,31,31,63,78,15,94,31,78,1
94,93,125,78,78,15,78,78,31,94,63,47,78,47,110,47,78,16,109,78,94,78,78,1
15,94,187,93,78,172,266,78,78,16,93,62,63,93,109,31,31,78,47,110,94,31,78,1
78,78,94,78,63,141,281,47,62,94,62,140,78,63,93,156,93,16,78,94,47,94,47,1
47,78,156,63,47,47,78,47,94,93,16,94,63,62,16,78,94,328,62,47,63,141,31,1
235,47,141,62,63,141,281,109,78,47,78,94,78,63,93,156,93,31,62,328,47,94,47,1
79,125,109,94,78,94,94,78,78,78,63,94,78,94,78,63,78,78,125,63,63,31,62,1
94,16,141,62,78,16,62,78,79,187,78,94,78,47,78,62,46,78,47,78,78,63,78,1
78,31,47,63,78,94,94,78,78,47,78,15,78,94,78,63,78,78,218,79,63,31,62,1
109,78,125,94,63,172,125,125,16,47,31,93,79,62,141,78,16,109,16,94,125,16,109,1
