@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,7,8,10,15,20,21,23,25,26,27,29,32,33,37,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,31,63,172,62,78,109,94,94,156,62,110,62,62,78,62,141,78,94,109,31,79,63,94,109,1
62,32,93,94,62,62,32,62,94,125,78,62,79,93,78,47,47,79,110,125,78,156,47,78,94,1
63,78,93,78,79,32,109,94,78,140,47,62,94,62,93,125,141,78,94,109,31,79,140,47,109,1
109,16,109,32,78,62,313,391,391,47,62,16,78,79,94,109,16,47,62,94,234,78,125,16,63,1
78,16,78,93,16,62,16,47,516,578,47,125,16,437,78,94,32,62,47,94,172,16,78,94,32,1
32,62,16,172,63,50,313,391,484,79,79,47,15,250,90,94,16,47,62,94,234,78,32,62,63,1
78,594,62,188,62,78,109,219,219,15,78,125,63,79,78,63,63,94,63,78,16,78,62,78,171,1
63,31,63,31,94,78,62,63,62,47,94,62,47,93,63,63,62,47,47,94,62,16,63,78,46,1
78,110,62,94,62,47,109,219,62,32,16,78,94,62,79,94,63,94,63,78,16,78,266,109,171,1
119,47,156,16,94,78,172,266,266,47,93,63,94,78,94,63,594,93,109,94,31,78,78,15,31,1
94,93,94,16,78,93,15,78,0,31,93,63,844,31,63,62,94,47,110,172,78,63,109,78,78,1
15,94,16,32,94,94,172,266,0,16,62,31,63,78,62,172,594,93,109,94,31,78,47,110,31,1
78,78,94,141,78,63,141,281,281,47,32,187,47,62,125,63,47,63,93,15,93,16,78,94,94,1
47,78,78,78,125,32,47,78,0,47,63,94,62,94,187,63,78,62,16,32,94,156,62,47,141,1
235,47,328,219,47,63,141,281,0,31,78,15,47,78,63,32,47,63,93,15,93,16,62,328,94,1
79,125,109,109,94,78,94,94,94,312,94,93,94,78,63,62,78,94,78,62,78,78,125,63,31,1
94,16,78,16,78,94,16,62,47,188,94,78,94,79,62,78,47,47,78,204,46,79,47,78,63,1
78,31,78,109,47,63,94,94,78,172,31,63,125,78,78,204,78,94,78,62,78,78,218,79,31,1
109,78,125,94,94,63,172,125,125,156,47,62,125,16,94,78,16,62,141,203,16,78,16,94,16,1
125,188,47,125,62,47,16,78,156,109,62,78,110,47,109,94,94,93,94,79,62,47,32,78,47,1
93,16,109,78,78,15,172,125,156,547,15,79,93,78,78,79,16,62,141,203,16,78,16,78,16,1
94,47,141,47,94,93,16,94,94,47,16,62,110,31,4,31,15,78,16,672,31,78,78,32,110,1
110,94,15,125,94,16,78,94,532,625,78,141,47,62,172,31,62,62,78,671,47,125,125,15,16,1
