@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,5,9,13,14,16,17,19,20,22,23,24,25,26,27,29,32,33,37,39,42,43'

@attribute dtfk1 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtsk6 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,62,62,63,78,109,94,78,62,94,141,78,94,109,31,79,63,47,109,1
62,62,62,63,62,32,62,94,79,78,47,79,110,125,78,156,47,62,94,1
63,79,94,15,78,109,94,94,94,78,141,78,94,109,31,79,140,47,109,1
109,78,78,15,62,313,391,62,78,78,16,47,62,94,234,78,125,31,63,1
78,16,93,32,62,16,47,32,16,62,32,62,47,94,172,16,78,47,32,1
32,63,78,62,62,313,391,62,15,47,16,47,62,94,234,78,32,31,63,1
78,62,62,32,78,109,219,63,63,47,63,94,63,78,16,78,62,79,171,1
63,94,62,78,47,62,63,94,47,63,62,47,47,94,62,16,63,63,46,1
78,62,47,63,78,109,219,94,94,78,63,94,63,78,16,78,266,79,171,1
119,94,94,62,78,172,266,94,94,93,594,93,109,94,31,78,78,94,31,1
94,78,78,47,78,15,78,78,844,63,94,47,110,172,78,63,109,94,78,1
15,94,93,47,78,172,266,78,63,93,594,93,109,94,31,78,47,94,31,1
78,78,78,62,63,141,281,47,47,62,47,63,93,15,93,16,78,47,94,1
47,125,63,62,47,47,78,47,62,16,78,62,16,32,94,156,62,63,141,1
235,47,62,47,63,141,281,109,47,78,47,63,93,15,93,16,62,47,94,1
79,94,94,78,78,94,94,78,94,63,78,94,78,62,78,78,125,63,31,1
94,78,62,110,78,16,62,78,94,78,47,47,78,204,46,79,47,78,63,1
78,47,63,15,78,94,94,78,125,78,78,94,78,62,78,78,218,63,31,1
109,94,94,15,63,172,125,125,125,31,16,62,141,203,16,78,16,125,16,1
125,62,16,110,109,16,78,125,110,109,94,93,94,79,62,47,32,78,47,1
93,78,31,94,63,172,125,172,93,125,16,62,141,203,16,78,16,125,16,1
94,94,94,125,93,16,94,31,110,16,15,78,16,672,31,78,78,16,110,1
110,94,63,141,110,78,94,32,47,15,62,62,78,671,47,125,125,78,16,1
31,15,16,78,93,16,94,32,47,16,15,78,16,672,31,78,31,16,110,1
62,94,94,47,62,16,125,16,62,62,15,78,94,93,16,94,63,94,15,1
62,78,62,78,78,32,62,47,32,16,46,47,94,78,109,94,78,62,32,1
16,31,62,32,62,16,125,78,62,93,15,78,94,93,16,94,16,94,15,1
94,109,109,16,78,63,78,78,110,62,31,93,94,94,31,109,78,78,16,1
110,47,93,47,109,31,78,266,109,94,62,79,75,78,93,47,47,93,16,1
109,78,62,31,78,63,78,109,110,62,31,93,94,94,31,109,63,78,16,1
78,63,63,16,62,62,156,78,94,78,219,78,31,15,94,484,47,78,32,1
94,78,79,15,250,63,31,79,157,62,78,78,15,125,78,62,32,31,78,1
94,94,78,93,62,62,156,141,16,78,219,78,31,15,94,484,63,78,32,1
47,47,47,31,16,63,78,31,78,78,47,93,172,78,16,125,125,63,15,1
78,94,94,31,110,15,79,78,15,110,78,78,78,93,94,16,63,47,31,1
16,78,78,15,16,63,78,125,94,78,47,93,172,78,16,125,63,63,15,1
47,94,94,78,78,156,235,94,250,63,156,110,156,109,125,62,47,62,16,1
250,94,94,63,78,15,78,109,141,63,79,62,203,31,141,343,32,62,32,1
78,46,63,15,78,156,235,109,43,93,156,110,156,109,125,62,32,62,16,1
78,78,78,15,63,62,94,78,110,94,31,62,78,109,156,110,79,94,31,1
110,78,78,31,47,47,62,79,62,32,47,62,156,78,94,156,78,125,16,1
94,93,94,15,63,62,94,63,16,93,31,62,78,109,156,110,31,94,31,1
109,94,94,32,93,32,110,62,63,63,656,63,32,766,782,15,125,15,62,1
63,32,93,16,78,15,62,63,141,47,78,141,110,832,62,32,78,15,62,1
94,94,63,31,93,32,110,125,16,47,656,63,32,766,782,15,109,15,62,1
78,78,78,62,63,15,78,78,94,78,31,62,63,78,0,94,94,110,15,1
94,62,204,15,110,15,93,219,94,15,63,62,63,78,93,32,156,94,31,1
94,47,78,594,63,15,78,234,94,62,31,62,63,78,0,94,32,110,15,1
93,78,78,140,94,78,125,78,250,172,94,78,94,94,78,78,63,78,78,1
250,110,110,109,93,16,78,93,94,94,172,79,265,156,109,16,703,109,813,1
140,93,172,15,94,78,125,172,93,78,94,78,94,94,78,78,31,78,78,1
562,78,78,109,94,0,94,94,93,79,109,94,94,78,594,125,47,93,47,1
93,78,109,16,110,78,78,94,94,78,63,109,94,109,78,63,31,78,47,1
156,94,79,31,94,0,94,94,47,78,109,94,94,78,594,125,172,93,47,1
125,93,93,16,141,265,390,110,38,219,46,985,203,47,172,359,94,78,110,1
38,109,594,94,172,250,31,187,140,125,94,109,16,157,282,15,406,156,313,1
16,78,219,110,141,265,390,140,31,94,46,985,203,47,172,359,31,78,110,1
94,141,141,109,94,78,156,93,78,110,78,234,234,109,94,63,125,94,203,1
78,156,128,63,94,16,62,125,94,62,78,78,156,141,78,140,93,78,63,1
125,94,110,62,94,78,156,94,94,109,78,234,234,109,94,63,156,94,203,1
141,94,94,125,62,391,110,110,93,79,297,235,297,93,282,109,62,93,32,1
93,125,93,16,94,47,94,141,250,344,78,94,172,78,141,15,94,94,62,1
234,94,79,31,62,391,110,109,218,109,297,235,297,93,282,109,141,93,32,1
62,78,78,94,63,15,109,62,63,63,94,94,109,94,47,125,78,62,32,1
63,78,79,15,78,63,31,62,78,15,78,62,94,109,78,110,31,63,47,1
78,16,63,47,63,15,109,63,94,79,94,94,109,94,47,125,46,62,32,1
141,102,102,31,118,53,91,144,109,16,156,78,110,110,343,125,31,94,15,1
109,94,16,141,110,15,63,94,157,110,79,93,94,125,125,250,15,156,15,1
125,109,16,93,118,53,91,125,110,78,156,78,110,110,343,125,16,94,15,1
94,78,78,16,94,15,63,63,78,46,78,79,63,78,16,62,15,15,47,1
78,125,156,32,78,79,62,78,78,79,63,125,78,109,172,15,47,109,16,1
140,78,46,16,94,15,63,79,109,16,78,79,63,78,16,62,78,15,47,1
125,63,63,78,109,63,78,47,172,63,265,78,141,62,32,109,65,78,15,1
172,63,62,63,94,31,94,203,110,41,31,79,156,126,46,219,63,78,47,1
94,78,63,15,109,63,78,110,63,62,265,78,141,62,32,109,47,78,15,1
78,78,78,31,78,156,141,125,203,94,47,94,94,187,16,94,32,79,78,1
203,94,32,218,78,16,62,94,125,109,63,79,78,110,93,32,16,94,31,1
78,110,94,31,78,156,141,125,109,63,47,94,94,187,16,94,62,79,78,1
62,47,47,46,63,47,62,62,78,78,78,79,79,63,15,78,94,78,16,1
78,94,78,78,62,32,93,62,125,47,47,47,109,125,47,78,47,63,47,1
63,62,78,47,63,47,62,78,141,63,78,79,79,63,15,78,62,78,16,1
94,47,47,47,78,250,328,172,313,125,62,344,140,47,125,78,125,78,31,1
313,110,141,62,46,79,31,172,140,62,62,78,16,94,78,62,16,62,281,1
78,78,125,78,78,250,328,172,62,62,62,344,140,47,125,78,31,78,31,1
93,78,78,891,78,234,94,94,63,47,78,78,63,78,828,78,297,63,219,1
63,62,78,250,62,188,62,109,203,78,62,62,78,94,62,344,484,78,204,1
62,62,47,235,78,234,94,109,125,47,78,78,63,78,828,78,375,63,219,1
93,94,94,78,62,110,250,63,78,0,78,63,125,109,32,93,78,93,78,1
78,109,62,47,78,31,78,63,141,47,63,63,125,94,93,547,78,62,16,1
31,78,0,16,62,110,250,31,94,78,78,63,125,109,32,93,63,93,78,1
156,93,93,16,109,32,171,109,62,63,31,375,156,63,16,78,78,78,31,1
62,16,63,47,94,93,47,109,78,47,63,78,78,16,109,0,16,94,15,1
47,93,63,62,109,32,171,125,140,109,31,375,156,63,16,78,62,78,31,1
125,78,78,63,93,94,78,63,187,78,141,63,94,93,16,78,78,93,32,1
