@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,11,13,15,17,18,19,21,22,23,25,26,27,29,32,33,35,37,39,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute ft7 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,31,62,62,63,78,78,94,156,62,94,62,141,78,94,109,79,63,47,109,1
62,32,62,62,63,62,62,62,125,78,47,47,47,79,110,125,156,47,62,94,1
63,78,79,94,15,32,78,94,140,47,94,125,141,78,94,109,79,140,47,109,1
109,16,78,78,15,62,62,391,47,62,15,109,16,47,62,94,78,125,31,63,1
78,16,16,93,32,62,62,47,578,47,63,94,32,62,47,94,16,78,47,32,1
32,62,63,78,62,50,62,391,79,79,78,94,16,47,62,94,78,32,31,63,1
78,594,62,62,32,78,78,219,15,78,46,63,63,94,63,78,78,62,79,171,1
63,31,94,62,78,78,47,63,47,94,47,63,62,47,47,94,16,63,63,46,1
78,110,62,47,63,47,78,219,32,16,16,94,63,94,63,78,78,266,79,171,1
119,47,94,94,62,78,78,266,47,93,157,63,594,93,109,94,78,78,94,31,1
94,93,78,78,47,93,78,78,31,93,94,62,94,47,110,172,63,109,94,78,1
15,94,94,93,47,94,78,266,16,62,16,172,594,93,109,94,78,47,94,31,1
78,78,78,78,62,63,63,281,47,32,94,63,47,63,93,15,16,78,47,94,1
47,78,125,63,62,32,47,78,47,63,93,63,78,62,16,32,156,62,63,141,1
235,47,47,62,47,63,63,281,31,78,47,32,47,63,93,15,16,62,47,94,1
79,125,94,94,78,78,78,94,312,94,78,62,78,94,78,62,78,125,63,31,1
94,16,78,62,110,94,78,62,188,94,187,78,47,47,78,204,79,47,78,63,1
78,31,47,63,15,63,78,94,172,31,47,204,78,94,78,62,78,218,63,31,1
109,78,94,94,15,63,63,125,156,47,47,78,16,62,141,203,78,16,125,16,1
125,188,62,16,110,47,109,78,109,62,31,94,94,93,94,79,47,32,78,47,1
93,16,78,31,94,15,63,125,547,15,47,79,16,62,141,203,78,16,125,16,1
94,47,94,94,125,93,93,94,47,16,94,31,15,78,16,672,78,78,16,110,1
110,94,94,63,141,16,110,94,625,78,141,31,62,62,78,671,125,125,78,16,1
31,94,15,16,78,31,93,94,656,156,78,671,15,78,16,672,78,31,16,110,1
62,63,94,94,47,62,62,125,32,110,16,78,15,78,94,93,94,63,94,15,1
62,16,78,62,78,110,78,62,16,78,47,78,46,47,94,78,94,78,62,32,1
16,94,31,62,32,62,62,125,16,62,31,78,15,78,94,93,94,16,94,15,1
94,62,109,109,16,78,78,78,94,78,16,93,31,93,94,94,109,78,78,16,1
110,15,47,93,47,78,109,78,141,93,16,110,62,79,75,78,47,47,93,16,1
109,16,78,62,31,94,78,78,78,47,16,78,31,93,94,94,109,63,78,16,1
78,31,63,63,16,62,62,156,32,109,204,78,219,78,31,15,484,47,78,32,1
94,31,78,79,15,109,250,31,15,78,31,31,78,78,15,125,62,32,31,78,1
94,16,94,78,93,79,62,156,47,19,32,125,219,78,31,15,484,63,78,32,1
47,93,47,47,31,16,16,78,156,47,63,62,47,93,172,78,125,125,63,15,1
78,32,94,94,31,47,110,79,16,93,15,47,78,78,78,93,16,63,47,31,1
16,62,78,78,15,63,16,78,16,94,16,93,47,93,172,78,125,63,63,15,1
47,281,94,94,78,78,78,235,31,62,47,125,156,110,156,109,62,47,62,16,1
250,16,94,94,63,62,78,78,125,110,109,125,79,62,203,31,343,32,62,32,1
78,47,46,63,15,94,78,235,46,62,110,31,156,110,156,109,62,32,62,16,1
78,187,78,78,15,63,63,94,141,78,16,78,31,62,78,109,110,79,94,31,1
110,15,78,78,31,78,47,62,109,62,265,78,47,62,156,78,156,78,125,16,1
94,16,93,94,15,63,63,94,94,16,15,78,31,62,78,109,110,31,94,31,1
109,31,94,94,32,93,93,110,62,32,16,62,656,63,32,766,15,125,15,62,1
63,15,32,93,16,32,78,62,703,63,94,62,78,141,110,832,32,78,15,62,1
94,157,94,63,31,78,93,110,15,110,16,832,656,63,32,766,15,109,15,62,1
78,16,78,78,62,63,63,78,94,78,94,47,31,62,63,78,94,94,110,15,1
94,15,62,204,15,78,110,93,125,62,78,78,63,62,63,78,32,156,94,31,1
94,47,47,78,594,78,63,78,125,15,15,78,31,62,63,78,94,32,110,15,1
93,16,78,78,140,94,94,125,94,78,109,110,94,78,94,94,78,63,78,78,1
250,16,110,110,109,78,93,78,62,78,93,110,172,79,265,156,16,703,109,813,1
140,16,93,172,15,78,94,125,93,94,78,156,94,78,94,94,78,31,78,78,1
562,16,78,78,109,94,94,94,109,62,15,93,109,94,94,78,125,47,93,47,1
93,16,78,109,16,62,110,78,78,94,31,94,63,109,94,109,63,31,78,47,1
156,47,94,79,31,93,94,94,78,31,31,109,109,94,94,78,125,172,93,47,1
125,157,93,93,16,141,141,390,63,15,93,94,46,985,203,47,359,94,78,110,1
38,129,109,594,94,15,172,31,15,985,125,62,94,109,16,157,15,406,156,313,1
16,125,78,219,110,15,141,390,46,31,187,157,46,985,203,47,359,31,78,110,1
