@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,7,8,9,10,11,15,17,24,25,26,27,28,29,33,37,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,63,94,94,156,62,62,62,94,94,78,94,78,94,94,109,31,79,47,109,63,1
62,32,93,62,94,125,78,79,93,47,78,78,125,79,110,78,125,78,156,62,94,63,1
63,78,93,94,78,140,47,94,62,94,78,93,94,78,94,94,109,31,79,47,109,63,1
109,16,109,391,391,47,62,78,79,15,78,94,62,47,62,47,94,234,78,31,63,15,1
78,16,78,47,516,578,47,16,437,63,62,78,94,62,47,63,94,172,16,47,32,46,1
32,62,16,391,484,79,79,15,250,78,47,90,62,47,62,47,94,234,78,31,63,15,1
78,594,62,219,219,15,78,63,79,46,47,78,125,94,63,93,78,16,78,79,171,63,1
63,31,63,63,62,47,94,47,93,47,63,63,109,47,47,109,94,62,16,63,46,63,1
78,110,62,219,62,32,16,94,62,16,78,79,63,94,63,93,78,16,78,79,171,63,1
119,47,156,266,266,47,93,94,78,157,93,94,312,93,109,31,94,31,78,94,31,78,1
94,93,94,78,0,31,93,844,31,94,63,63,94,47,110,47,172,78,63,94,78,78,1
15,94,16,266,0,16,62,63,78,16,93,62,109,93,109,31,94,31,78,94,31,78,1
78,78,94,281,281,47,32,47,62,94,62,125,31,63,93,156,15,93,16,47,94,47,1
47,78,78,78,0,47,63,62,94,93,16,187,32,62,16,78,32,94,156,63,141,31,1
235,47,328,281,0,31,78,47,78,47,78,63,0,63,93,156,15,93,16,47,94,47,1
79,125,109,94,94,312,94,94,78,78,63,63,125,94,78,63,62,78,78,63,31,62,1
94,16,78,62,47,188,94,94,79,187,78,62,94,47,78,62,204,46,79,78,63,78,1
78,31,78,94,78,172,31,125,78,47,78,78,46,94,78,63,62,78,78,63,31,62,1
109,78,125,125,125,156,47,125,16,47,31,94,94,62,141,78,203,16,78,125,16,109,1
125,188,47,78,156,109,62,110,47,31,109,109,78,93,94,94,79,62,47,78,47,124,1
93,16,109,125,156,547,15,93,78,47,125,78,109,62,141,78,203,16,78,125,16,109,1
94,47,141,94,94,47,16,110,31,94,16,4,80,78,16,79,672,31,78,16,110,31,1
110,94,15,94,532,625,78,47,62,141,15,172,16,62,78,32,671,47,125,78,16,78,1
31,94,15,94,563,656,156,47,31,78,16,72,593,78,16,79,672,31,78,16,110,31,1
62,63,125,125,125,32,110,62,78,16,62,78,78,78,94,31,93,16,94,94,15,78,1
62,16,78,62,0,16,78,32,31,47,16,63,78,47,94,16,78,109,94,62,32,62,1
16,94,391,125,93,16,62,62,94,31,93,77,703,78,94,31,93,16,94,94,15,78,1
94,62,110,78,78,94,78,110,78,16,62,109,79,93,94,78,94,31,109,78,16,94,1
110,15,78,78,156,141,93,109,109,16,94,93,78,79,75,86,78,93,47,93,16,109,1
109,16,62,78,94,78,47,110,109,16,62,110,110,93,94,78,94,31,109,78,16,94,1
78,31,157,156,156,32,109,94,78,204,78,140,16,78,31,141,15,94,484,78,32,93,1
94,31,94,31,0,15,78,157,63,31,62,31,141,78,15,94,125,78,62,31,78,47,1
94,16,93,156,0,47,19,16,62,32,78,78,63,78,31,141,15,94,484,78,32,93,1
47,93,63,78,78,156,47,78,62,63,78,78,94,93,172,15,78,16,125,63,15,79,1
78,32,110,79,0,16,93,15,110,15,110,62,110,78,78,15,93,94,16,47,31,94,1
16,62,32,78,125,16,94,94,78,16,78,78,94,93,172,15,78,16,125,63,15,79,1
47,281,125,235,235,31,62,250,78,47,63,78,157,110,156,47,109,125,62,62,16,94,1
250,16,125,78,94,125,110,141,16,109,63,62,47,62,203,31,31,141,343,62,32,93,1
78,47,156,235,0,46,62,43,78,110,93,78,0,110,156,47,109,125,62,62,16,94,1
78,187,94,94,94,141,78,110,62,16,94,78,157,62,78,47,109,156,110,94,31,78,1
110,15,78,62,94,109,62,62,203,265,32,62,78,62,156,63,78,94,156,125,16,94,1
