@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,7,8,10,13,15,16,17,21,22,23,24,25,27,31,32,33,36,38,41,43'

@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
63,172,62,78,109,94,156,62,62,94,94,141,78,78,109,31,78,94,47,63,1
78,94,62,62,32,62,125,79,93,47,78,47,62,79,125,78,93,78,62,63,1
94,78,79,32,109,94,140,94,62,94,94,141,78,78,109,31,63,47,47,63,1
109,32,78,62,313,391,47,78,79,15,94,16,62,47,94,234,62,16,31,15,1
15,93,16,62,16,47,578,16,437,63,31,32,63,62,94,172,16,94,47,46,1
79,172,63,50,313,391,79,15,250,78,63,16,62,47,94,234,46,62,31,15,1
62,188,62,78,109,219,15,63,79,46,16,63,62,94,78,16,63,78,79,63,1
453,31,94,78,62,63,47,47,93,47,78,62,94,47,94,62,62,78,63,63,1
62,94,62,47,109,219,32,94,62,16,47,63,62,94,78,16,63,109,79,63,1
156,16,94,78,172,266,47,94,78,157,46,594,63,93,94,31,63,15,94,78,1
125,16,78,93,15,78,31,844,31,94,47,94,78,47,172,78,16,78,94,78,1
187,32,94,94,172,266,16,63,78,16,62,594,63,93,94,31,78,110,94,78,1
94,141,78,63,141,281,47,47,62,94,140,47,78,63,15,93,16,94,47,47,1
156,78,125,32,47,78,47,62,94,93,94,78,63,62,32,94,328,47,63,31,1
141,219,47,63,141,281,31,47,78,47,94,47,78,63,15,93,31,328,47,47,1
109,109,94,78,94,94,312,94,78,78,94,78,78,94,62,78,78,63,63,62,1
141,16,78,94,16,62,188,94,79,187,94,47,78,47,204,46,78,78,78,78,1
47,109,47,63,94,94,172,125,78,47,15,78,78,94,62,78,78,79,63,62,1
125,94,94,63,172,125,156,125,16,47,93,16,79,62,203,16,109,94,125,109,1
94,125,62,47,16,78,109,110,47,31,94,94,78,93,79,62,109,78,78,124,1
125,78,78,15,172,125,547,93,78,47,78,16,79,62,203,16,124,78,125,109,1
141,47,94,93,16,94,47,110,31,94,640,15,47,78,672,31,15,32,16,31,1
47,125,94,16,78,94,625,47,62,141,109,62,63,62,671,47,15,15,78,78,1
47,141,15,31,16,94,656,47,31,78,734,15,47,78,672,31,78,109,16,31,1
125,31,94,62,16,125,32,62,78,16,31,15,47,78,93,16,16,31,94,78,1
78,16,78,110,32,62,16,32,31,47,32,46,63,47,78,109,391,15,62,62,1
109,172,31,62,16,125,16,62,94,31,1375,15,47,78,93,16,62,62,94,78,1
110,109,109,78,63,78,94,110,78,16,94,31,63,93,94,31,94,78,78,94,1
109,78,47,78,31,78,141,109,109,16,62,62,78,79,78,93,62,78,93,109,1
78,94,78,94,63,78,78,110,109,16,172,31,63,93,94,31,109,78,78,94,1
157,171,63,62,62,156,32,94,78,204,109,219,78,78,15,94,62,78,78,93,1
187,31,78,109,63,31,15,157,63,31,78,78,47,78,125,78,93,78,31,47,1
62,94,94,79,62,156,47,16,62,32,78,219,78,78,15,94,47,31,78,93,1
63,125,47,16,63,78,156,78,62,63,63,47,47,93,78,16,110,93,63,79,1
141,15,94,47,15,79,16,15,110,15,31,78,79,78,93,94,32,47,47,94,1
203,31,78,63,63,78,16,94,78,16,31,47,47,93,78,16,94,93,63,79,1
125,500,94,78,156,235,31,250,78,47,94,156,94,110,109,125,63,265,62,94,1
156,15,94,62,15,78,125,141,16,109,173,79,78,62,31,141,156,93,62,93,1
63,141,46,94,156,235,46,43,78,110,1172,156,94,110,109,125,93,78,62,94,1
94,110,78,63,62,94,141,110,62,16,109,31,94,62,109,156,32,78,94,78,1
93,79,78,78,47,62,109,62,203,265,94,47,110,62,78,94,62,78,125,94,1
78,63,93,63,62,94,94,16,32,15,63,31,94,62,109,156,94,63,94,78,1
109,79,94,93,32,110,62,63,78,16,94,656,47,63,766,782,47,16,15,47,1
16,93,32,32,15,62,703,141,47,94,31,78,63,141,832,62,15,15,15,31,1
46,63,94,78,32,110,15,16,703,16,812,656,47,63,766,782,31,16,15,47,1
93,79,78,63,15,78,94,94,63,94,109,31,79,62,78,0,15,469,110,78,1
93,156,62,78,15,93,125,94,79,78,63,63,78,62,78,93,78,78,94,78,1
78,125,47,78,15,78,125,94,141,15,78,31,79,62,78,0,78,109,110,78,1
94,94,78,94,78,125,94,250,125,109,94,94,156,78,94,78,94,109,78,78,1
172,15,110,78,16,78,62,94,141,93,266,172,62,79,156,109,94,62,109,125,1
93,110,93,78,78,125,93,93,94,78,78,94,156,78,94,78,125,110,78,78,1
78,110,78,94,0,94,109,93,78,15,109,109,62,94,78,594,78,78,93,78,1
125,16,78,62,78,78,78,94,78,31,109,63,78,109,109,78,78,78,78,94,1
94,94,94,93,0,94,78,47,47,31,94,109,62,94,78,594,94,94,93,78,1
109,141,93,141,265,390,63,38,15,93,94,46,125,985,47,172,125,141,78,109,1
110,47,109,15,250,31,15,140,94,125,78,94,172,109,157,282,344,16,156,391,1
78,141,78,15,265,390,46,31,141,187,109,46,125,985,47,172,391,109,78,109,1
110,31,141,94,78,156,63,78,109,31,78,78,63,234,109,94,62,94,94,140,1
172,63,156,93,16,62,78,94,94,94,62,78,94,78,141,78,32,47,78,109,1
344,62,94,94,78,156,62,94,125,62,94,78,63,234,109,94,109,63,94,140,1
93,172,94,62,391,110,15,93,78,109,47,297,78,235,93,282,344,360,93,109,1
172,31,125,78,47,94,15,250,16,125,157,78,94,94,78,141,62,344,94,94,1
394,16,94,94,391,110,15,218,125,188,1313,297,78,235,93,282,94,266,93,109,1
109,234,78,63,15,109,16,63,46,47,78,94,47,94,94,47,15,47,62,78,1
109,16,78,31,63,31,15,78,78,63,62,78,63,62,109,78,62,63,63,94,1
109,203,16,47,15,109,16,94,62,16,62,94,47,94,94,47,94,47,62,78,1
82,121,102,118,53,91,259,109,31,78,125,156,47,78,110,343,110,125,94,125,1
109,78,94,63,15,63,172,157,219,16,125,79,78,93,125,125,110,109,156,109,1
110,78,109,532,53,91,223,110,156,16,110,156,47,78,110,343,109,125,94,125,1
78,94,78,94,15,63,62,78,62,32,78,78,15,79,78,16,79,47,15,16,1
62,94,125,78,79,62,63,78,78,31,63,63,62,125,109,172,63,78,109,79,1
63,78,78,78,15,63,62,109,110,172,109,78,15,79,78,16,79,62,15,16,1
94,125,63,109,63,78,125,172,46,16,172,265,79,78,62,32,41,78,78,63,1
156,31,63,78,31,94,125,110,172,116,109,31,62,79,126,46,47,62,78,46,1
63,62,78,94,63,78,125,63,32,31,94,265,79,78,62,32,46,94,78,63,1
110,125,78,78,156,141,16,203,78,16,16,47,63,94,187,16,109,109,79,62,1
110,125,94,110,16,62,15,125,109,63,79,63,93,79,110,93,78,93,94,63,1
78,125,110,78,156,141,109,109,94,15,62,47,63,94,187,16,63,47,79,62,1
78,125,47,63,47,62,141,78,62,110,140,78,62,79,63,15,47,63,78,62,1
93,110,94,63,32,93,157,125,94,203,62,47,109,47,125,47,47,62,63,78,1
94,94,62,62,47,62,140,141,78,31,171,78,62,79,63,15,78,63,78,62,1
93,157,47,78,250,328,62,313,47,78,94,62,78,344,47,125,62,125,78,94,1
