@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,4,8,11,12,17,21,23,25,26,27,29,31,32,33,36,43'

@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
63,172,62,62,78,78,94,156,78,62,62,62,94,78,62,141,78,109,31,78,63,94,47,109,63,1
93,94,62,62,62,62,94,125,94,78,79,93,47,78,47,47,79,125,78,93,47,78,62,94,63,1
93,78,79,94,32,78,78,140,94,47,94,62,94,93,125,141,78,109,31,63,140,47,47,109,63,1
109,32,78,78,62,62,391,47,62,62,78,79,15,94,109,16,47,94,234,62,125,16,31,63,15,1
78,93,16,93,62,62,516,578,32,47,16,437,63,78,94,32,62,94,172,16,78,94,47,32,46,1
16,172,63,78,50,62,484,79,62,79,15,250,78,90,94,16,47,94,234,46,32,62,31,63,15,1
62,188,62,62,78,78,219,15,63,78,63,79,46,78,63,63,94,78,16,63,62,78,79,171,63,1
63,31,94,62,78,47,62,47,94,94,47,93,47,63,63,62,47,94,62,62,63,78,63,46,63,1
62,94,62,47,47,78,62,32,94,16,94,62,16,79,94,63,94,78,16,63,266,109,79,171,63,1
156,16,94,94,78,78,266,47,94,93,94,78,157,94,63,594,93,94,31,63,78,15,94,31,78,1
94,16,78,78,93,78,0,31,78,93,844,31,94,63,62,94,47,172,78,16,109,78,94,78,78,1
16,32,94,93,94,78,0,16,78,62,63,78,16,62,172,594,93,94,31,78,47,110,94,31,78,1
94,141,78,78,63,63,281,47,47,32,47,62,94,125,63,47,63,15,93,16,78,94,47,94,47,1
78,78,125,63,32,47,0,47,47,63,62,94,93,187,63,78,62,32,94,328,62,47,63,141,31,1
328,219,47,62,63,63,0,31,109,78,47,78,47,63,32,47,63,15,93,31,62,328,47,94,47,1
109,109,94,94,78,78,94,312,78,94,94,78,78,63,62,78,94,62,78,78,125,63,63,31,62,1
78,16,78,62,94,78,47,188,78,94,94,79,187,62,78,47,47,204,46,78,47,78,78,63,78,1
78,109,47,63,63,78,78,172,78,31,125,78,47,78,204,78,94,62,78,78,218,79,63,31,62,1
125,94,94,94,63,63,125,156,125,47,125,16,47,94,78,16,62,203,16,109,16,94,125,16,109,1
47,125,62,16,47,109,156,109,125,62,110,47,31,109,94,94,93,79,62,109,32,78,78,47,124,1
109,78,78,31,15,63,156,547,172,15,93,78,47,78,79,16,62,203,16,124,16,78,125,16,109,1
141,47,94,94,93,93,94,47,31,16,110,31,94,4,31,15,78,672,31,15,78,32,16,110,31,1
15,125,94,63,16,110,532,625,32,78,47,62,141,172,31,62,62,671,47,15,125,15,78,16,78,1
15,141,15,16,31,93,563,656,32,156,47,31,78,72,671,15,78,672,31,78,31,109,16,110,31,1
125,31,94,94,62,62,125,32,16,110,62,78,16,78,78,15,78,93,16,16,63,31,94,15,78,1
78,16,78,62,110,78,0,16,47,78,32,31,47,63,78,46,47,78,109,391,78,15,62,32,62,1
391,172,31,62,62,62,93,16,78,62,62,94,31,77,78,15,78,93,16,62,16,62,94,15,78,1
110,109,109,109,78,78,78,94,78,78,110,78,16,109,93,31,93,94,31,94,78,78,78,16,94,1
78,78,47,93,78,109,156,141,266,93,109,109,16,93,110,62,79,78,93,62,47,78,93,16,109,1
62,94,78,62,94,78,94,78,109,47,110,109,16,110,78,31,93,94,31,109,63,78,78,16,94,1
157,171,63,63,62,62,156,32,78,109,94,78,204,140,78,219,78,15,94,62,47,78,78,32,93,1
94,31,78,79,109,250,0,15,79,78,157,63,31,31,31,78,78,125,78,93,32,78,31,78,47,1
93,94,94,78,79,62,0,47,141,19,16,62,32,78,125,219,78,15,94,47,63,31,78,32,93,1
63,125,47,47,16,16,78,156,31,47,78,62,63,78,62,47,93,78,16,110,125,93,63,15,79,1
110,15,94,94,47,110,0,16,78,93,15,110,15,62,47,78,78,93,94,32,63,47,47,31,94,1
32,31,78,78,63,16,125,16,125,94,94,78,16,78,93,47,93,78,16,94,63,93,63,15,79,1
125,500,94,94,78,78,235,31,94,62,250,78,47,78,125,156,110,109,125,63,47,265,62,16,94,1
125,15,94,94,62,78,94,125,109,110,141,16,109,62,125,79,62,31,141,156,32,93,62,32,93,1
156,141,46,63,94,78,0,46,109,62,43,78,110,78,31,156,110,109,125,93,32,78,62,16,94,1
94,110,78,78,63,63,94,141,78,78,110,62,16,78,78,31,62,109,156,32,79,78,94,31,78,1
78,79,78,78,78,47,94,109,79,62,62,203,265,62,78,47,62,78,94,62,78,78,125,16,94,1
62,63,93,94,63,63,78,94,63,16,16,32,15,110,78,31,62,109,156,94,31,63,94,31,78,1
109,79,94,94,93,93,110,62,62,32,63,78,16,79,62,656,63,766,782,47,125,16,15,62,47,1
78,93,32,93,32,78,640,703,63,63,141,47,94,16,62,78,141,832,62,15,78,15,15,62,31,1
15,63,94,63,78,93,0,15,125,110,16,703,16,62,832,656,63,766,782,31,109,16,15,62,47,1
93,79,78,78,63,63,78,94,78,78,94,63,94,94,47,31,62,78,0,15,94,469,110,15,78,1
94,156,62,204,78,110,47,125,219,62,94,79,78,15,78,63,62,78,93,78,156,78,94,31,78,1
78,125,47,78,78,63,94,125,234,15,94,141,15,78,78,31,62,78,0,78,32,109,110,15,78,1
94,94,78,78,94,94,125,94,78,78,250,125,109,94,110,94,78,94,78,94,63,109,78,78,78,1
125,15,110,110,78,93,0,62,93,78,94,141,93,47,110,172,79,156,109,94,703,62,109,813,125,1
94,110,93,172,78,94,891,93,172,94,93,94,78,156,156,94,78,94,78,125,31,110,78,78,78,1
78,110,78,78,94,94,94,109,94,62,93,78,15,94,93,109,94,78,594,78,47,78,93,47,78,1
78,16,78,109,62,110,94,78,94,94,94,78,31,62,94,63,109,109,78,78,31,78,78,47,94,1
78,94,94,79,93,94,94,78,94,31,47,47,31,78,109,109,94,78,594,94,172,94,93,47,78,1
109,141,93,93,141,141,390,63,110,15,38,15,93,109,94,46,985,47,172,125,94,141,78,110,109,1
297,47,109,594,15,172,0,15,187,985,140,94,125,94,62,94,109,157,282,344,406,16,156,313,391,1
344,141,78,219,15,141,0,46,140,31,31,141,187,94,157,46,985,47,172,391,31,109,78,110,109,1
110,31,141,141,94,94,156,63,93,93,78,109,31,94,109,78,234,109,94,62,125,94,94,203,140,1
94,63,156,128,93,94,0,78,125,234,94,94,94,641,108,78,78,141,78,32,93,47,78,63,109,1
32,62,94,110,94,94,125,62,94,93,94,125,62,94,141,78,234,109,94,109,156,63,94,203,140,1
93,172,94,94,62,62,110,15,110,78,93,78,109,125,109,297,235,93,282,344,62,360,93,32,109,1
93,31,125,93,78,94,125,15,141,235,250,16,125,125,125,78,94,78,141,62,94,344,94,62,94,1
62,16,94,79,94,62,0,15,109,16,218,125,188,94,78,297,235,93,282,94,141,266,93,32,109,1
109,234,78,78,63,63,109,16,62,31,63,46,47,63,78,94,94,94,47,15,78,47,62,32,78,1
94,16,78,79,31,78,0,15,62,94,78,78,63,93,62,78,62,109,78,62,31,63,63,47,94,1
62,203,16,63,47,63,125,16,63,16,94,62,16,78,109,94,94,94,47,94,46,47,62,32,78,1
82,121,102,102,118,118,91,259,144,63,109,31,78,125,93,156,78,110,343,110,31,125,94,15,125,1
62,78,94,16,63,110,78,172,94,78,157,219,16,16,109,79,93,125,125,110,15,109,156,15,109,1
110,78,109,16,532,118,94,223,125,16,110,156,16,171,125,156,78,110,343,109,16,125,94,15,125,1
78,94,78,78,94,94,63,62,63,78,78,62,32,31,94,78,79,78,16,79,15,47,15,47,16,1
62,94,125,156,78,78,515,63,78,79,78,78,31,15,172,63,125,109,172,63,47,78,109,16,79,1
63,78,78,46,78,94,94,62,79,31,109,110,172,110,109,78,79,78,16,79,78,62,15,47,16,1
94,125,63,63,109,109,78,125,47,78,172,46,16,125,63,265,78,62,32,41,65,78,78,15,63,1
78,31,63,62,78,94,78,125,203,78,110,172,116,63,46,31,79,126,46,47,63,62,78,47,46,1
47,62,78,63,94,109,62,125,110,78,63,32,31,94,126,265,78,62,32,46,47,94,78,15,63,1
110,125,78,78,78,78,141,16,125,110,203,78,16,109,78,47,94,187,16,109,32,109,79,78,62,1
125,125,94,32,110,78,172,15,94,94,125,109,63,78,78,63,79,110,93,78,16,93,94,31,63,1
78,125,110,94,78,78,125,109,125,47,109,94,15,63,110,47,94,187,16,63,62,47,79,78,62,1
78,125,47,47,63,63,62,141,62,63,78,62,110,78,78,78,79,63,15,47,94,63,78,16,62,1
62,110,94,78,63,62,78,157,62,79,125,94,203,78,94,47,47,125,47,47,47,62,63,47,78,1
47,94,62,78,62,63,63,140,78,46,141,78,31,63,125,78,79,63,15,78,62,63,78,16,62,1
93,157,47,47,78,78,328,62,172,157,313,47,78,422,250,62,344,47,125,62,125,125,78,31,94,1
32,47,110,141,157,46,0,62,172,344,140,140,235,359,63,62,78,94,78,156,16,78,62,281,79,1
156,47,78,125,15,78,0,63,172,47,62,109,141,94,94,62,344,47,125,79,31,109,78,31,94,1
93,94,78,78,78,78,94,47,94,63,63,63,218,79,62,78,78,78,828,78,297,78,63,219,78,1
62,141,62,78,63,62,93,63,109,78,203,78,250,93,78,62,62,94,62,94,484,79,78,204,62,1
94,94,62,47,62,78,141,203,109,219,125,78,375,62,94,78,78,78,828,62,375,63,63,219,78,1
93,63,94,94,62,62,250,63,63,78,78,125,46,187,93,78,63,109,32,47,78,78,93,78,63,1
94,47,109,62,78,78,125,16,63,63,141,78,16,62,78,63,63,94,93,0,78,31,62,16,78,1
0,93,78,0,78,62,844,938,31,16,94,109,32,94,94,78,63,109,32,78,63,187,93,78,63,1
94,16,93,93,109,109,171,16,109,47,62,63,62,156,110,31,375,63,16,47,78,16,78,31,125,1
94,141,16,63,47,94,110,31,109,375,78,94,109,93,125,63,78,16,109,62,16,62,94,15,94,1
62,16,93,63,78,109,94,31,125,15,140,62,125,125,16,31,375,63,16,94,62,78,78,31,125,1
110,78,78,78,93,93,78,203,63,63,187,141,0,78,78,141,63,93,16,78,78,78,93,32,62,1
78,125,63,94,63,78,0,0,94,63,125,94,63,93,94,234,110,94,93,78,32,62,94,31,78,1
78,109,62,78,78,93,94,171,63,15,94,109,16,79,94,141,63,93,16,78,16,78,93,32,62,1
94,203,109,109,109,109,78,110,78,78,110,125,140,62,47,94,110,94,265,63,422,78,93,94,78,1
94,62,78,78,78,78,94,78,78,110,610,62,328,109,109,93,63,156,94,93,547,94,110,125,93,1
93,109,78,63,94,109,93,250,94,78,156,94,187,109,156,94,110,94,265,93,203,63,93,94,78,1
93,125,47,47,63,63,156,31,63,63,62,78,125,141,172,78,73,79,15,78,78,47,62,31,63,1
47,140,47,63,63,47,0,594,656,73,16,62,125,78,62,62,63,47,110,31,47,63,63,31,78,1
31,94,63,78,62,63,0,16,94,62,15,94,31,78,47,78,73,79,15,78,172,78,62,31,63,1
110,47,109,109,47,47,438,31,46,94,94,78,31,110,79,94,78,109,16,15,78,31,78,0,94,1
109,63,110,78,94,78,0,32,46,78,78,31,78,63,47,63,78,687,94,32,110,31,78,31,94,1
32,31,93,94,78,47,0,31,94,78,46,110,31,0,687,94,78,109,16,94,62,63,78,0,94,1
110,46,125,125,93,93,594,47,140,94,93,78,141,125,63,47,78,125,16,0,125,62,78,32,93,1
94,31,125,78,94,109,125,31,141,78,109,32,110,78,109,62,62,172,78,94,15,63,94,47,93,1
94,47,63,62,94,93,234,16,109,94,109,125,78,109,172,47,78,125,16,93,125,94,78,32,93,1
93,110,47,47,31,31,63,171,79,63,172,62,32,78,78,63,93,78,172,63,78,63,46,79,78,1
93,94,47,78,63,79,47,31,94,93,125,78,15,78,109,62,63,125,62,63,125,31,62,63,78,1
63,78,63,78,62,31,46,47,94,94,109,62,16,62,125,63,93,78,172,78,62,32,46,79,78,1
156,16,172,172,79,79,225,40,110,63,78,63,47,15,94,47,109,47,15,32,93,16,94,47,94,1
