@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,5,8,9,14,16,17,19,22,23,25,26,27,29,33,34,39,42,43'

@attribute dtfk2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtsk6 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
63,62,62,78,109,94,94,78,62,94,94,62,141,78,94,94,31,79,78,63,47,109,1
78,62,62,62,32,62,94,94,79,47,78,47,47,79,110,78,78,156,93,47,62,94,1
94,79,94,78,109,94,78,94,94,94,78,125,141,78,94,94,31,79,63,140,47,109,1
109,78,78,62,313,391,391,62,78,15,78,109,16,47,62,47,234,78,62,125,31,63,1
15,16,93,62,16,47,516,32,16,63,62,94,32,62,47,63,172,16,16,78,47,32,1
79,63,78,62,313,391,484,62,15,78,47,94,16,47,62,47,234,78,46,32,31,63,1
62,62,62,78,109,219,219,63,63,46,47,63,63,94,63,93,16,78,63,62,79,171,1
453,94,62,47,62,63,62,94,47,47,63,63,62,47,47,109,62,16,62,63,63,46,1
62,62,47,78,109,219,62,94,94,16,78,94,63,94,63,93,16,78,63,266,79,171,1
156,94,94,78,172,266,266,94,94,157,93,63,594,93,109,31,31,78,63,78,94,31,1
125,78,78,78,15,78,0,78,844,94,63,62,94,47,110,47,78,63,16,109,94,78,1
187,94,93,78,172,266,0,78,63,16,93,172,594,93,109,31,31,78,78,47,94,31,1
94,78,78,63,141,281,281,47,47,94,62,63,47,63,93,156,93,16,16,78,47,94,1
156,125,63,47,47,78,0,47,62,93,16,63,78,62,16,78,94,156,328,62,63,141,1
141,47,62,63,141,281,0,109,47,47,78,32,47,63,93,156,93,16,31,62,47,94,1
109,94,94,78,94,94,94,78,94,78,63,62,78,94,78,63,78,78,78,125,63,31,1
141,78,62,78,16,62,47,78,94,187,78,78,47,47,78,62,46,79,78,47,78,63,1
47,47,63,78,94,94,78,78,125,47,78,204,78,94,78,63,78,78,78,218,63,31,1
125,94,94,63,172,125,125,125,125,47,31,78,16,62,141,78,16,78,109,16,125,16,1
94,62,16,109,16,78,156,125,110,31,109,94,94,93,94,94,62,47,109,32,78,47,1
125,78,31,63,172,125,156,172,93,47,125,79,16,62,141,78,16,78,124,16,125,16,1
141,94,94,93,16,94,94,31,110,94,16,31,15,78,16,79,31,78,15,78,16,110,1
47,94,63,110,78,94,532,32,47,141,15,31,62,62,78,32,47,125,15,125,78,16,1
47,15,16,93,16,94,563,32,47,78,16,671,15,78,16,79,31,78,78,31,16,110,1
125,94,94,62,16,125,125,16,62,16,62,78,15,78,94,31,16,94,16,63,94,15,1
78,78,62,78,32,62,0,47,32,47,16,78,46,47,94,16,109,94,391,78,62,32,1
109,31,62,62,16,125,93,78,62,31,93,78,15,78,94,31,16,94,62,16,94,15,1
110,109,109,78,63,78,78,78,110,16,62,93,31,93,94,78,31,109,94,78,78,16,1
109,47,93,109,31,78,156,266,109,16,94,110,62,79,75,86,93,47,62,47,93,16,1
78,78,62,78,63,78,94,109,110,16,62,78,31,93,94,78,31,109,109,63,78,16,1
157,63,63,62,62,156,156,78,94,204,78,78,219,78,31,141,94,484,62,47,78,32,1
187,78,79,250,63,31,0,79,157,31,62,31,78,78,15,94,78,62,93,32,31,78,1
62,94,78,62,62,156,0,141,16,32,78,125,219,78,31,141,94,484,47,63,78,32,1
63,47,47,16,63,78,78,31,78,63,78,62,47,93,172,15,16,125,110,125,63,15,1
141,94,94,110,15,79,0,78,15,15,110,47,78,78,78,15,94,16,32,63,47,31,1
203,78,78,16,63,78,125,125,94,16,78,93,47,93,172,15,16,125,94,63,63,15,1
125,94,94,78,156,235,235,94,250,47,63,125,156,110,156,47,125,62,63,47,62,16,1
156,94,94,78,15,78,94,109,141,109,63,125,79,62,203,31,141,343,156,32,62,32,1
63,46,63,78,156,235,0,109,43,110,93,31,156,110,156,47,125,62,93,32,62,16,1
94,78,78,63,62,94,94,78,110,16,94,78,31,62,78,47,156,110,32,79,94,31,1
93,78,78,47,47,62,94,79,62,265,32,78,47,62,156,63,94,156,62,78,125,16,1
78,93,94,63,62,94,78,63,16,15,93,78,31,62,78,47,156,110,94,31,94,31,1
109,94,94,93,32,110,110,62,63,16,63,62,656,63,32,78,782,15,47,125,15,62,1
16,32,93,78,15,62,640,63,141,94,47,62,78,141,110,15,62,32,15,78,15,62,1
46,94,63,93,32,110,0,125,16,16,47,832,656,63,32,78,782,15,31,109,15,62,1
93,78,78,63,15,78,78,78,94,94,78,47,31,62,63,93,0,94,15,94,110,15,1
93,62,204,110,15,93,47,219,94,78,15,78,63,62,63,94,93,32,78,156,94,31,1
78,47,78,63,15,78,94,234,94,15,62,78,31,62,63,93,0,94,78,32,110,15,1
94,78,78,94,78,125,125,78,250,109,172,110,94,78,94,94,78,78,94,63,78,78,1
172,110,110,93,16,78,0,93,94,93,94,110,172,79,265,78,109,16,94,703,109,813,1
93,93,172,94,78,125,891,172,93,78,78,156,94,78,94,94,78,78,125,31,78,78,1
78,78,78,94,0,94,94,94,93,15,79,93,109,94,94,125,594,125,78,47,93,47,1
125,78,109,110,78,78,94,94,94,31,78,94,63,109,94,78,78,63,78,31,78,47,1
94,94,79,94,0,94,94,94,47,31,78,109,109,94,94,125,594,125,94,172,93,47,1
109,93,93,141,265,390,390,110,38,93,219,94,46,985,203,62,172,359,125,94,78,110,1
110,109,594,172,250,31,0,187,140,125,125,62,94,109,16,110,282,15,344,406,156,313,1
78,78,219,141,265,390,0,140,31,187,94,157,46,985,203,62,172,359,391,31,78,110,1
110,141,141,94,78,156,156,93,78,31,110,109,78,234,234,63,94,63,62,125,94,203,1
172,156,128,94,16,62,0,125,94,94,62,108,78,78,156,47,78,140,32,93,78,63,1
344,94,110,94,78,156,125,94,94,62,109,141,78,234,234,63,94,63,109,156,94,203,1
93,94,94,62,391,110,110,110,93,109,79,109,297,235,297,31,282,109,344,62,93,32,1
172,125,93,94,47,94,125,141,250,125,344,125,78,94,172,31,141,15,62,94,94,62,1
394,94,79,62,391,110,0,109,218,188,109,78,297,235,297,31,282,109,94,141,93,32,1
109,78,78,63,15,109,109,62,63,47,63,78,94,94,109,16,47,125,15,78,62,32,1
109,78,79,78,63,31,0,62,78,63,15,62,78,62,94,47,78,110,62,31,63,47,1
109,16,63,63,15,109,125,63,94,16,79,109,94,94,109,16,47,125,94,46,62,32,1
82,102,102,118,53,91,91,144,109,78,16,93,156,78,110,94,343,125,110,31,94,15,1
109,94,16,110,15,63,78,94,157,16,110,109,79,93,94,125,125,250,110,15,156,15,1
110,109,16,118,53,91,94,125,110,16,78,125,156,78,110,94,343,125,109,16,94,15,1
78,78,78,94,15,63,63,63,78,32,46,94,78,79,63,109,16,62,79,15,15,47,1
62,125,156,78,79,62,515,78,78,31,79,172,63,125,78,79,172,15,63,47,109,16,1
63,78,46,94,15,63,94,79,109,172,16,109,78,79,63,109,16,62,79,78,15,47,1
94,63,63,109,63,78,78,47,172,16,63,63,265,78,141,46,32,109,41,65,78,15,1
156,63,62,94,31,94,78,203,110,116,41,46,31,79,156,47,46,219,47,63,78,47,1
63,78,63,109,63,78,62,110,63,31,62,126,265,78,141,46,32,109,46,47,78,15,1
110,78,78,78,156,141,141,125,203,16,94,78,47,94,94,125,16,94,109,32,79,78,1
110,94,32,78,16,62,172,94,125,63,109,78,63,79,78,110,93,32,78,16,94,31,1
78,110,94,78,156,141,125,125,109,15,63,110,47,94,94,125,16,94,63,62,79,78,1
78,47,47,63,47,62,62,62,78,110,78,78,78,79,79,140,15,78,47,94,78,16,1
93,94,78,62,32,93,78,62,125,203,47,94,47,47,109,94,47,78,47,47,63,47,1
94,62,78,63,47,62,63,78,141,31,63,125,78,79,79,140,15,78,78,62,78,16,1
93,47,47,78,250,328,328,172,313,78,125,250,62,344,140,234,125,78,62,125,78,31,1
31,110,141,46,79,31,0,172,140,235,62,63,62,78,16,93,78,62,156,16,62,281,1
297,78,125,78,250,328,0,172,62,141,62,94,62,344,140,234,125,78,79,31,78,31,1
93,78,78,78,234,94,94,94,63,218,47,62,78,78,63,140,828,78,78,297,63,219,1
47,62,78,62,188,62,93,109,203,250,78,78,62,62,78,140,62,344,94,484,78,204,1
78,62,47,78,234,94,141,109,125,375,47,94,78,78,63,140,828,78,62,375,63,219,1
93,94,94,62,110,250,250,63,78,46,0,93,78,63,125,47,32,93,47,78,93,78,1
94,109,62,78,31,78,125,63,141,16,47,78,63,63,125,15,93,547,0,78,62,16,1
172,78,0,62,110,250,844,31,94,32,78,94,78,63,125,47,32,93,78,63,93,78,1
94,93,93,109,32,171,171,109,62,62,63,110,31,375,156,47,16,78,47,78,78,31,1
47,16,63,94,93,47,110,109,78,109,47,125,63,78,78,47,109,0,62,16,94,15,1
109,93,63,109,32,171,94,125,140,125,109,16,31,375,156,47,16,78,94,62,78,31,1
110,78,78,93,94,78,78,63,187,0,78,78,141,63,94,78,16,78,78,78,93,32,1
93,63,94,78,31,63,0,94,125,63,78,94,234,110,110,93,93,32,78,32,94,31,1
63,62,78,93,94,78,94,63,94,16,62,94,141,63,94,78,16,78,78,16,93,32,1
94,109,109,109,250,78,78,78,110,140,63,47,94,110,47,156,265,94,63,422,93,94,1
79,78,78,78,219,93,94,78,610,328,63,109,93,63,78,109,94,140,93,547,110,125,1
94,78,63,109,250,78,93,94,156,187,78,156,94,110,47,156,265,94,93,203,93,94,1
93,47,47,63,93,156,156,63,62,125,78,172,78,73,78,31,15,110,78,78,62,31,1
63,47,63,47,16,47,0,656,16,125,78,62,62,63,140,0,110,62,31,47,63,31,1
47,63,78,63,93,156,0,94,15,31,63,47,78,73,78,31,15,110,78,172,62,31,1
110,109,109,47,391,438,438,46,94,31,94,79,94,78,109,125,16,78,15,78,78,0,1
93,110,78,78,141,78,0,46,78,78,15,47,63,78,125,31,94,78,32,110,78,31,1
203,93,94,47,391,438,0,94,46,31,94,687,94,78,109,125,16,78,94,62,78,0,1
110,125,125,93,485,594,594,140,93,141,62,63,47,78,47,62,16,93,0,125,78,32,1
125,125,78,109,47,78,125,141,109,110,0,109,62,62,125,62,78,94,94,15,94,47,1
188,63,62,93,485,594,234,109,109,78,94,172,47,78,47,62,16,93,93,125,78,32,1
93,47,47,31,125,63,63,79,172,32,78,78,63,93,78,78,172,78,63,78,46,79,1
94,47,78,79,46,47,47,94,125,15,63,109,62,63,78,94,62,47,63,125,62,63,1
78,63,78,31,125,63,46,94,109,16,62,125,63,93,78,78,172,78,78,62,46,79,1
156,172,172,79,128,225,225,110,78,47,78,94,47,109,78,63,15,62,32,93,94,47,1
109,109,109,78,47,62,609,0,172,93,32,125,78,78,79,78,94,78,78,0,15,62,1
15,47,78,79,128,225,0,141,62,31,172,110,47,109,78,63,15,62,47,78,94,47,1
63,63,63,93,63,140,140,109,62,578,94,62,47,141,78,94,78,62,47,109,93,63,1
79,63,94,79,62,78,125,109,156,78,47,62,47,63,78,125,110,78,47,438,94,31,1
63,63,94,93,63,140,47,94,94,453,78,93,47,141,78,94,78,62,94,47,93,63,1
94,78,78,40,271,380,380,125,62,16,62,62,47,63,125,32,15,78,32,94,62,16,1
31,0,78,78,32,78,0,125,15,31,32,78,63,63,312,63,94,141,62,32,78,31,1
141,78,62,40,271,380,125,94,94,0,32,62,47,63,125,32,15,78,79,31,62,16,1
94,78,78,78,140,79,79,93,63,141,62,63,125,63,63,93,125,62,63,125,62,110,1
94,63,63,63,94,62,94,125,172,78,63,62,62,63,78,110,62,78,78,63,63,47,1
94,47,62,78,140,79,78,125,125,125,83,110,125,63,63,93,125,62,78,78,62,110,1
125,78,78,109,31,172,172,156,125,16,93,63,0,453,140,47,46,79,31,94,78,32,1
47,16,109,125,15,78,110,156,47,63,31,62,93,78,829,31,78,110,62,47,157,31,1
78,110,93,109,31,172,172,157,15,78,94,109,0,453,140,47,46,79,109,0,78,32,1
110,78,78,63,78,62,62,94,94,31,94,31,32,110,78,94,0,78,31,79,78,62,1
0,16,47,78,61,52,78,188,141,62,31,78,78,63,62,110,94,15,31,31,78,47,1
93,94,94,63,78,62,79,78,31,47,78,141,32,110,78,94,0,78,78,47,78,62,1
94,78,78,93,188,78,78,94,156,31,78,125,78,62,78,110,125,110,125,125,78,32,1
140,78,109,78,0,78,0,109,313,31,125,125,78,63,62,94,94,235,125,0,62,235,1
78,78,78,93,188,78,0,94,78,16,94,125,78,62,78,110,125,110,125,31,78,32,1
109,125,125,47,109,203,203,62,47,63,31,31,16,94,157,31,31,47,156,110,78,16,1
32,63,31,344,94,0,1469,31,63,62,156,31,78,78,0,47,156,16,31,125,63,31,1
47,62,31,47,109,203,141,125,47,719,109,78,16,94,157,31,31,47,94,0,78,16,1
110,94,94,78,203,78,78,88,109,344,407,78,234,93,94,140,47,109,78,391,78,109,1
94,94,109,62,157,78,62,78,172,172,78,78,281,93,94,172,94,110,78,516,94,125,1
109,78,407,78,203,78,1109,250,157,203,78,213,234,93,94,140,47,109,93,235,78,109,1
47,140,140,78,79,110,110,110,15,16,110,78,63,79,63,47,31,63,48,5,46,109,1
31,46,93,15,94,31,141,94,31,78,48,93,31,63,16,78,109,31,16,94,16,109,1
235,32,110,78,79,110,438,31,47,32,79,31,63,79,63,47,31,63,16,110,46,109,1
125,109,109,187,109,157,157,94,125,94,93,111,94,63,94,203,157,171,110,93,141,15,1
156,94,94,78,141,47,172,172,500,125,110,109,93,62,16,141,172,78,531,140,125,63,1
312,125,93,187,109,157,94,110,125,140,78,47,94,63,94,203,157,171,93,110,141,15,1
125,94,94,94,125,125,125,125,141,63,93,93,94,94,125,94,110,93,94,47,109,62,1
125,94,94,94,47,109,109,171,140,140,94,94,47,78,156,47,94,453,94,31,109,94,1
156,78,93,94,125,125,125,141,94,110,78,187,94,94,125,94,110,93,94,78,109,62,1
109,63,63,78,125,94,94,98,109,109,63,78,93,78,78,110,46,63,63,94,110,62,1
78,47,62,94,31,78,94,78,125,15,63,78,78,47,94,93,63,109,63,16,78,109,1
109,62,63,78,125,94,110,78,63,0,63,125,93,78,78,110,46,63,63,31,110,62,1
110,171,171,94,47,156,156,140,94,31,109,125,15,94,250,31,16,114,78,109,125,0,1
0,63,110,125,0,63,110,187,47,109,78,78,62,93,125,93,93,110,62,140,78,0,1
312,125,109,94,47,156,125,140,0,15,94,110,15,94,250,31,16,114,125,0,125,0,1
78,78,78,78,16,141,141,125,78,63,78,63,47,63,62,140,78,16,0,110,110,62,1
32,16,125,78,78,63,0,125,110,78,0,63,78,63,78,93,109,187,94,15,94,31,1
79,110,78,78,16,141,187,94,47,63,62,31,47,63,62,140,78,16,78,141,110,62,1
94,109,109,297,16,203,203,137,172,16,94,94,157,125,94,78,94,78,94,109,109,31,1
219,125,94,93,32,78,156,137,94,0,94,125,110,79,109,63,78,109,15,78,78,15,1
63,62,94,297,16,203,0,140,16,16,172,375,157,125,94,78,94,78,78,15,109,31,1
125,109,109,110,109,203,203,109,500,47,110,78,156,125,109,63,110,93,78,94,94,47,1
141,93,109,125,47,62,0,109,609,109,78,78,79,94,78,110,94,172,79,78,78,31,1
94,63,110,110,109,203,0,125,141,31,110,94,156,125,109,63,110,93,94,484,94,47,1
78,141,141,109,31,78,78,31,78,47,31,32,94,62,47,125,47,63,31,78,0,78,1
15,47,47,31,156,16,531,31,172,79,31,63,31,62,94,0,109,31,32,78,31,62,1
62,62,31,109,31,78,671,31,0,32,93,47,94,62,47,125,47,63,0,79,0,78,1
109,141,141,110,31,125,125,125,47,125,203,93,125,93,47,141,16,63,46,109,15,93,1
62,125,94,16,110,94,0,125,78,16,46,62,47,79,0,93,78,156,0,94,0,63,1
15,47,203,110,31,125,657,15,125,78,453,1000,125,93,47,141,16,63,93,63,15,93,1
62,63,63,63,172,78,78,78,78,79,62,47,40,106,47,125,94,62,63,94,78,79,1
47,46,63,79,62,63,78,47,91,93,63,47,47,31,78,109,176,13,63,78,62,141,1
62,46,62,63,172,78,62,78,115,140,63,101,40,106,47,125,94,62,62,141,78,79,1
110,109,109,109,79,109,109,78,78,234,78,62,141,109,140,16,203,63,32,78,63,16,2
94,94,93,125,63,62,0,141,203,109,32,63,78,63,109,16,63,94,78,265,78,16,2
328,125,78,109,79,109,0,94,62,109,109,125,141,109,140,16,203,63,78,219,63,16,2
78,62,62,94,156,250,250,141,94,62,94,141,156,62,94,62,47,78,156,63,93,47,2
219,110,63,47,47,62,0,141,16,125,156,110,63,63,79,78,62,266,16,78,110,31,2
218,31,94,94,156,250,62,94,172,15,62,94,156,62,94,62,47,78,78,110,93,47,2
172,78,78,94,141,250,250,47,63,47,62,47,63,78,32,141,78,16,16,78,63,31,2
110,109,94,78,172,16,0,47,47,125,16,49,15,78,31,94,63,125,16,78,63,31,2
110,62,62,94,141,250,906,47,141,203,78,968,63,78,32,141,78,16,110,15,63,31,2
109,62,62,78,31,109,109,63,47,32,78,94,16,359,218,47,47,62,16,78,47,46,2
63,47,63,62,16,47,0,94,47,47,16,78,62,94,94,15,156,16,16,78,63,47,2
110,16,78,78,31,109,0,94,79,78,78,94,16,359,218,47,47,62,47,15,47,46,2
94,78,78,94,31,140,140,62,219,16,94,78,125,109,62,94,94,109,125,78,78,78,2
125,78,94,94,62,78,0,62,110,109,125,78,78,63,94,109,78,78,16,78,78,63,2
219,63,94,94,31,140,109,78,94,16,78,109,125,109,62,94,94,109,78,94,78,78,2
113,69,69,90,63,80,80,110,192,36,79,80,47,78,69,111,78,109,81,37,33,69,2
68,72,98,78,31,78,70,65,187,24,81,78,58,150,78,94,62,141,79,13,78,63,2
39,79,79,90,63,80,73,103,172,73,31,141,47,78,69,111,78,109,78,15,33,69,2
125,94,94,109,63,172,172,109,94,78,78,94,110,78,156,63,47,125,15,63,78,78,2
78,78,78,156,16,78,0,109,62,94,15,94,78,63,110,47,94,62,410,94,109,172,2
110,94,78,109,63,172,0,109,141,172,94,109,110,78,156,63,47,125,125,266,78,78,2
125,63,63,93,32,187,187,78,125,31,78,94,16,78,94,78,15,78,20,88,109,16,2
47,32,94,62,16,62,110,78,78,117,20,156,47,63,94,31,172,15,32,32,63,46,2
125,78,78,93,32,187,109,63,94,15,78,109,16,78,94,78,15,78,125,15,109,16,2
78,63,63,78,219,62,62,47,62,109,47,63,547,1015,79,125,203,62,62,188,47,47,2
62,47,47,62,63,78,63,78,125,125,62,63,31,62,93,110,62,485,47,172,63,62,2
47,78,47,78,219,62,47,109,125,219,47,188,547,1015,79,125,203,62,63,125,47,47,2
109,78,78,125,63,109,109,125,94,0,94,110,63,109,78,93,47,78,47,78,79,31,2
156,78,78,94,31,110,78,187,46,62,47,94,78,78,109,110,94,62,78,78,78,31,2
94,94,94,125,63,109,93,110,63,31,78,94,63,109,78,93,47,78,94,31,79,31,2
125,110,110,94,31,79,79,140,94,16,46,78,31,79,125,62,15,94,31,78,94,16,2
125,125,62,78,32,78,98,124,125,94,31,94,63,93,79,93,78,0,62,32,93,32,2
31,344,46,94,31,79,94,125,62,16,94,78,31,79,125,62,15,94,62,32,94,16,2
78,79,79,79,15,140,140,90,94,0,62,47,47,78,94,94,0,78,16,78,94,16,2
16,94,62,78,32,94,0,93,31,140,16,78,63,78,78,94,78,31,78,15,62,16,2
78,63,62,79,15,140,0,125,31,31,78,94,47,78,94,94,0,78,94,15,94,16,2
63,46,46,47,62,78,78,79,63,16,62,94,94,156,63,109,234,31,47,78,62,31,2
125,47,47,93,47,63,125,141,141,62,47,63,32,47,62,125,63,94,16,78,47,47,2
63,16,62,47,62,78,79,110,156,16,62,140,94,156,63,109,234,31,62,47,62,31,2
141,109,109,94,62,172,172,100,125,46,63,78,78,62,141,62,109,94,16,93,94,47,2
172,78,94,93,32,78,94,110,62,141,16,63,47,46,109,31,78,47,16,78,78,62,2
250,94,63,94,62,172,78,125,78,15,94,110,78,62,141,62,109,94,79,46,94,47,2
78,62,62,62,63,78,78,79,78,78,62,62,109,94,78,93,78,62,47,31,63,47,2
47,63,62,63,78,63,63,62,15,125,47,62,62,63,78,94,93,78,78,47,78,62,2
