ft1,dtsk2,dtfk4,ft4,dtsk4,ft5,dtsk5,dtfk6,ft7,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk12,dtfk13,dtfk14,dtsk14,gender
31,62,78,109,94,156,78,62,94,141,78,78,94,94,79,78,47,63,1
32,62,62,32,62,125,94,78,47,47,62,79,110,78,156,93,62,63,1
78,79,78,109,94,140,94,47,94,141,78,78,94,94,79,63,47,63,1
16,78,62,313,391,47,62,62,15,16,62,47,62,47,78,62,31,15,1
16,16,62,16,47,578,32,47,63,32,63,62,47,63,16,16,47,46,1
62,63,62,313,391,79,62,79,78,16,62,47,62,47,78,46,31,15,1
594,62,78,109,219,15,63,78,46,63,62,94,63,93,78,63,79,63,1
31,94,47,62,63,47,94,94,47,62,94,47,47,109,16,62,63,63,1
110,62,78,109,219,32,94,16,16,63,62,94,63,93,78,63,79,63,1
47,94,78,172,266,47,94,93,157,594,63,93,109,31,78,63,94,78,1
93,78,78,15,78,31,78,93,94,94,78,47,110,47,63,16,94,78,1
94,94,78,172,266,16,78,62,16,594,63,93,109,31,78,78,94,78,1
78,78,63,141,281,47,47,32,94,47,78,63,93,156,16,16,47,47,1
78,125,47,47,78,47,47,63,93,78,63,62,16,78,156,328,63,31,1
47,47,63,141,281,31,109,78,47,47,78,63,93,156,16,31,47,47,1
125,94,78,94,94,312,78,94,78,78,78,94,78,63,78,78,63,62,1
16,78,78,16,62,188,78,94,187,47,78,47,78,62,79,78,78,78,1
31,47,78,94,94,172,78,31,47,78,78,94,78,63,78,78,63,62,1
78,94,63,172,125,156,125,47,47,16,79,62,141,78,78,109,125,109,1
188,62,109,16,78,109,125,62,31,94,78,93,94,94,47,109,78,124,1
16,78,63,172,125,547,172,15,47,16,79,62,141,78,78,124,125,109,1
47,94,93,16,94,47,31,16,94,15,47,78,16,79,78,15,16,31,1
94,94,110,78,94,625,32,78,141,62,63,62,78,32,125,15,78,78,1
94,15,93,16,94,656,32,156,78,15,47,78,16,79,78,78,16,31,1
63,94,62,16,125,32,16,110,16,15,47,78,94,31,94,16,94,78,1
16,78,78,32,62,16,47,78,47,46,63,47,94,16,94,391,62,62,1
94,31,62,16,125,16,78,62,31,15,47,78,94,31,94,62,94,78,1
62,109,78,63,78,94,78,78,16,31,63,93,94,78,109,94,78,94,1
15,47,109,31,78,141,266,93,16,62,78,79,75,86,47,62,93,109,1
16,78,78,63,78,78,109,47,16,31,63,93,94,78,109,109,78,94,1
31,63,62,62,156,32,78,109,204,219,78,78,31,141,484,62,78,93,1
31,78,250,63,31,15,79,78,31,78,47,78,15,94,62,93,31,47,1
16,94,62,62,156,47,141,19,32,219,78,78,31,141,484,47,78,93,1
93,47,16,63,78,156,31,47,63,47,47,93,172,15,125,110,63,79,1
32,94,110,15,79,16,78,93,15,78,79,78,78,15,16,32,47,94,1
62,78,16,63,78,16,125,94,16,47,47,93,172,15,125,94,63,79,1
281,94,78,156,235,31,94,62,47,156,94,110,156,47,62,63,62,94,1
16,94,78,15,78,125,109,110,109,79,78,62,203,31,343,156,62,93,1
47,46,78,156,235,46,109,62,110,156,94,110,156,47,62,93,62,94,1
187,78,63,62,94,141,78,78,16,31,94,62,78,47,110,32,94,78,1
15,78,47,47,62,109,79,62,265,47,110,62,156,63,156,62,125,94,1
16,93,63,62,94,94,63,16,15,31,94,62,78,47,110,94,94,78,1
31,94,93,32,110,62,62,32,16,656,47,63,32,78,15,47,15,47,1
15,32,78,15,62,703,63,63,94,78,63,141,110,15,32,15,15,31,1
157,94,93,32,110,15,125,110,16,656,47,63,32,78,15,31,15,47,1
16,78,63,15,78,94,78,78,94,31,79,62,63,93,94,15,110,78,1
15,62,110,15,93,125,219,62,78,63,78,62,63,94,32,78,94,78,1
47,47,63,15,78,125,234,15,15,31,79,62,63,93,94,78,110,78,1
16,78,94,78,125,94,78,78,109,94,156,78,94,94,78,94,78,78,1
16,110,93,16,78,62,93,78,93,172,62,79,265,78,16,94,109,125,1
16,93,94,78,125,93,172,94,78,94,156,78,94,94,78,125,78,78,1
16,78,94,0,94,109,94,62,15,109,62,94,94,125,125,78,93,78,1
16,78,110,78,78,78,94,94,31,63,78,109,94,78,63,78,78,94,1
47,94,94,0,94,78,94,31,31,109,62,94,94,125,125,94,93,78,1
157,93,141,265,390,63,110,15,93,46,125,985,203,62,359,125,78,109,1
129,109,172,250,31,15,187,985,125,94,172,109,16,110,15,344,156,391,1
125,78,141,265,390,46,140,31,187,46,125,985,203,62,359,391,78,109,1
296,141,94,78,156,63,93,93,31,78,63,234,234,63,63,62,94,140,1
94,156,94,16,62,78,125,234,94,78,94,78,156,47,140,32,78,109,1
93,94,94,78,156,62,94,93,62,78,63,234,234,63,63,109,94,140,1
16,94,62,391,110,15,110,78,109,297,78,235,297,31,109,344,93,109,1
32,125,94,47,94,15,141,235,125,78,94,94,172,31,15,62,94,94,1
141,94,62,391,110,15,109,16,188,297,78,235,297,31,109,94,93,109,1
32,78,63,15,109,16,62,31,47,94,47,94,109,16,125,15,62,78,1
15,78,78,63,31,15,62,94,63,78,63,62,94,47,110,62,63,94,1
63,16,63,15,109,16,63,16,16,94,47,94,109,16,125,94,62,78,1
15,102,118,53,91,259,144,63,78,156,47,78,110,94,125,110,94,125,1
188,94,110,15,63,172,94,78,16,79,78,93,94,125,250,110,156,109,1
15,109,118,53,91,223,125,16,16,156,47,78,110,94,125,109,94,125,1
31,78,94,15,63,62,63,78,32,78,15,79,63,109,62,79,15,16,1
16,125,78,79,62,63,78,79,31,63,62,125,78,79,15,63,109,79,1
31,78,94,15,63,62,79,31,172,78,15,79,63,109,62,79,15,16,1
62,63,109,63,78,125,47,78,16,265,79,78,141,46,109,41,78,63,1
16,63,94,31,94,125,203,78,116,31,62,79,156,47,219,47,78,46,1
31,78,109,63,78,125,110,78,31,265,79,78,141,46,109,46,78,63,1
62,78,78,156,141,16,125,110,16,47,63,94,94,125,94,109,79,62,1
31,94,78,16,62,15,94,94,63,63,93,79,78,110,32,78,94,63,1
47,110,78,156,141,109,125,47,15,47,63,94,94,125,94,63,79,62,1
32,47,63,47,62,141,62,63,110,78,62,79,79,140,78,47,78,62,1
47,94,62,32,93,157,62,79,203,47,109,47,109,94,78,47,63,78,1
125,62,63,47,62,140,78,46,31,78,62,79,79,140,78,78,78,62,1
141,47,78,250,328,62,172,157,78,62,78,344,140,234,78,62,78,94,1
109,110,46,79,31,62,172,344,235,62,78,78,16,93,62,156,62,79,1
78,78,78,250,328,63,172,47,141,62,78,344,140,234,78,79,78,94,1
282,78,78,234,94,47,94,63,218,78,78,78,63,140,78,78,63,78,1
297,62,62,188,62,63,109,78,250,62,94,62,78,140,344,94,78,62,1
797,62,78,234,94,203,109,219,375,78,78,78,63,140,78,62,63,78,1
32,94,62,110,250,63,63,78,46,78,78,63,125,47,93,47,93,63,1
16,109,78,31,78,16,63,63,16,63,93,63,125,15,547,0,62,78,1
172,78,62,110,250,938,31,16,32,78,78,63,125,47,93,78,93,63,1
0,93,109,32,171,16,109,47,62,31,47,375,156,47,78,47,78,125,1
16,16,94,93,47,31,109,375,109,63,78,78,78,47,0,62,94,94,1
31,93,109,32,171,31,125,15,125,31,47,375,156,47,78,94,78,125,1
15,78,93,94,78,203,63,63,0,141,109,63,94,78,78,78,93,62,1
16,63,78,31,63,0,94,63,63,234,328,110,110,93,32,78,94,78,1
31,62,93,94,78,171,63,15,16,141,109,63,94,78,78,78,93,62,1
172,109,109,250,78,110,78,78,140,94,78,110,47,156,94,63,93,78,1
359,78,78,219,93,78,78,110,328,93,94,63,78,109,140,93,110,93,1
313,78,109,250,78,250,94,78,187,94,78,110,47,156,94,93,93,78,1
94,47,63,93,156,31,63,63,125,78,56,73,78,31,110,78,62,63,1
16,47,47,16,47,594,656,73,125,62,78,63,140,0,62,31,63,78,1
31,63,63,93,156,16,94,62,31,78,56,73,78,31,110,78,62,63,1
16,109,47,391,438,31,46,94,31,94,31,78,109,125,78,15,78,94,1
0,110,78,141,78,32,46,78,78,63,62,78,125,31,78,32,78,94,1
109,93,47,391,438,31,94,78,31,94,31,78,109,125,78,94,78,94,1
31,125,93,485,594,47,140,94,141,47,78,78,47,62,93,0,78,93,1
16,125,109,47,78,31,141,78,110,62,94,62,125,62,94,94,94,93,1
16,63,93,485,594,16,109,94,78,47,78,78,47,62,93,93,78,93,1
63,47,31,125,63,171,79,63,32,63,47,93,78,78,78,63,46,78,1
15,47,79,46,47,31,94,93,15,62,78,63,78,94,47,63,62,78,1
0,63,31,125,63,47,94,94,16,63,47,93,78,78,78,78,46,78,1
547,172,79,128,225,40,110,63,47,47,62,109,78,63,62,32,94,94,1
16,109,78,47,62,734,0,109,93,78,78,78,79,78,78,78,15,47,1
78,47,79,128,225,47,141,93,31,47,62,109,78,63,62,47,94,94,1
15,63,93,63,140,188,109,31,578,47,94,141,78,94,62,47,93,62,1
78,63,79,62,78,207,109,141,78,47,78,63,78,125,78,47,94,94,1
31,63,93,63,140,687,94,78,453,47,94,141,78,94,62,94,93,62,1
47,78,40,271,380,47,125,79,16,47,62,63,125,32,78,32,62,78,1
31,0,78,32,78,47,125,63,31,63,62,63,312,63,141,62,78,79,1
0,78,40,271,380,140,94,63,0,47,62,63,125,32,78,79,62,78,1
94,78,78,140,79,250,93,62,141,125,47,63,63,93,62,63,62,78,1
47,63,63,94,62,125,125,63,78,62,78,63,78,110,78,78,63,78,1
78,47,78,140,79,172,125,62,125,125,47,63,63,93,62,78,62,78,1
31,78,109,31,172,31,156,110,16,0,93,453,140,47,79,31,78,78,1
46,16,125,15,78,125,156,453,63,93,110,78,829,31,110,62,157,109,1
0,110,109,31,172,93,157,31,78,0,93,453,140,47,79,109,78,78,1
78,78,63,78,62,94,94,62,31,32,62,110,78,94,78,31,78,63,1
0,16,78,61,52,94,188,110,62,78,78,63,62,110,15,31,78,78,1
47,94,63,78,62,78,78,16,47,32,62,110,78,94,78,78,78,63,1
16,78,93,188,78,31,94,94,31,78,63,62,78,110,110,125,78,125,1
16,78,78,0,78,31,109,62,31,78,47,63,62,94,235,125,62,125,1
31,78,93,188,78,0,94,0,16,78,63,62,78,110,110,125,78,125,1
16,125,47,109,203,47,62,31,63,16,62,94,157,31,47,156,78,62,1
78,63,344,94,0,140,31,94,62,78,78,78,0,47,16,31,63,94,1
79,62,47,109,203,15,125,125,719,16,62,94,157,31,47,94,78,62,1
62,94,78,203,78,249,88,78,344,234,79,93,94,140,109,78,78,94,1
63,94,62,157,78,204,78,93,172,281,63,93,94,172,110,78,94,93,1
