dtfk1,ft1,dtsk3,dtfk4,ft4,dtsk4,dtsk5,dtfk7,dtfk8,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,gender
47,31,78,78,109,94,78,62,78,78,94,94,31,109,79,78,1
62,32,62,62,32,62,94,93,78,79,110,78,93,125,156,93,1
63,78,32,78,109,94,94,62,93,78,94,94,31,109,79,63,1
109,16,62,62,313,391,62,79,94,47,62,47,32,94,78,62,1
78,16,62,62,16,47,32,437,78,62,47,63,94,94,16,16,1
32,62,50,62,313,391,62,250,90,47,62,47,32,94,78,46,1
78,594,78,78,109,219,63,79,78,94,63,93,63,78,78,63,1
63,31,78,47,62,63,94,93,63,47,47,109,47,94,16,62,1
78,110,47,78,109,219,94,62,79,94,63,93,63,78,78,63,1
119,47,78,78,172,266,94,78,94,93,109,31,94,94,78,63,1
94,93,93,78,15,78,78,31,63,47,110,47,78,172,63,16,1
15,94,94,78,172,266,78,78,62,93,109,31,94,94,78,78,1
78,78,63,63,141,281,47,62,125,63,93,156,47,15,16,16,1
47,78,32,47,47,78,47,94,187,62,16,78,47,32,156,328,1
235,47,63,63,141,281,109,78,63,63,93,156,47,15,16,31,1
79,125,78,78,94,94,78,78,63,94,78,63,78,62,78,78,1
94,16,94,78,16,62,78,79,62,47,78,62,63,204,79,78,1
78,31,63,78,94,94,78,78,78,94,78,63,78,62,78,78,1
109,78,63,63,172,125,125,16,94,62,141,78,157,203,78,109,1
125,188,47,109,16,78,125,47,109,93,94,94,62,79,47,109,1
93,16,15,63,172,125,172,78,78,62,141,78,157,203,78,124,1
94,47,93,93,16,94,31,31,4,78,16,79,62,672,78,15,1
110,94,16,110,78,94,32,62,172,62,78,32,141,671,125,15,1
31,94,31,93,16,94,32,31,72,78,16,79,62,672,78,78,1
62,63,62,62,16,125,16,78,78,78,94,31,47,93,94,16,1
62,16,110,78,32,62,47,31,63,47,94,16,109,78,94,391,1
16,94,62,62,16,125,78,94,77,78,94,31,47,93,94,62,1
94,62,78,78,63,78,78,78,109,93,94,78,109,94,109,94,1
110,15,78,109,31,78,266,109,93,79,75,86,93,78,47,62,1
109,16,94,78,63,78,109,109,110,93,94,78,109,94,109,109,1
78,31,62,62,62,156,78,78,140,78,31,141,62,15,484,62,1
94,31,109,250,63,31,79,63,31,78,15,94,109,125,62,93,1
94,16,79,62,62,156,141,62,78,78,31,141,62,15,484,47,1
47,93,16,16,63,78,31,62,78,93,172,15,63,78,125,110,1
78,32,47,110,15,79,78,110,62,78,78,15,78,93,16,32,1
16,62,63,16,63,78,125,78,78,93,172,15,63,78,125,94,1
47,281,78,78,156,235,94,78,78,110,156,47,125,109,62,63,1
250,16,62,78,15,78,109,16,62,62,203,31,109,31,343,156,1
78,47,94,78,156,235,109,78,78,110,156,47,125,109,62,93,1
78,187,63,63,62,94,78,62,78,62,78,47,78,109,110,32,1
110,15,78,47,47,62,79,203,62,62,156,63,125,78,156,62,1
94,16,63,63,62,94,63,32,110,62,78,47,78,109,110,94,1
109,31,93,93,32,110,62,78,79,63,32,78,79,766,15,47,1
63,15,32,78,15,62,63,47,16,141,110,15,93,832,32,15,1
94,157,78,93,32,110,125,703,62,63,32,78,79,766,15,31,1
78,16,63,63,15,78,78,63,94,62,63,93,63,78,94,15,1
94,15,78,110,15,93,219,79,15,62,63,94,62,78,32,78,1
94,47,78,63,15,78,234,141,78,62,63,93,63,78,94,78,1
93,16,94,94,78,125,78,125,94,78,94,94,203,94,78,94,1
