ft1,dtsk1,dtfk4,dtsk4,ft5,dtsk5,dtfk6,dtfk7,ft7,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtsk12,dtfk13,ft14,gender
31,63,78,94,156,78,62,62,94,141,78,78,94,94,31,79,78,109,1
32,93,62,62,125,94,78,93,47,47,62,79,110,78,93,156,93,94,1
78,93,78,94,140,94,47,62,94,141,78,78,94,94,31,79,63,109,1
16,109,62,391,47,62,62,79,15,16,62,47,62,47,32,78,62,63,1
16,78,62,47,578,32,47,437,63,32,63,62,47,63,94,16,16,32,1
62,16,62,391,79,62,79,250,78,16,62,47,62,47,32,78,46,63,1
594,62,78,219,15,63,78,79,46,63,62,94,63,93,63,78,63,171,1
31,63,47,63,47,94,94,93,47,62,94,47,47,109,47,16,62,46,1
110,62,78,219,32,94,16,62,16,63,62,94,63,93,63,78,63,171,1
47,156,78,266,47,94,93,78,157,594,63,93,109,31,94,78,63,31,1
93,94,78,78,31,78,93,31,94,94,78,47,110,47,78,63,16,78,1
94,16,78,266,16,78,62,78,16,594,63,93,109,31,94,78,78,31,1
78,94,63,281,47,47,32,62,94,47,78,63,93,156,47,16,16,94,1
78,78,47,78,47,47,63,94,93,78,63,62,16,78,47,156,328,141,1
47,328,63,281,31,109,78,78,47,47,78,63,93,156,47,16,31,94,1
125,109,78,94,312,78,94,78,78,78,78,94,78,63,78,78,78,31,1
16,78,78,62,188,78,94,79,187,47,78,47,78,62,63,79,78,63,1
31,78,78,94,172,78,31,78,47,78,78,94,78,63,78,78,78,31,1
78,125,63,125,156,125,47,16,47,16,79,62,141,78,157,78,109,16,1
188,47,109,78,109,125,62,47,31,94,78,93,94,94,62,47,109,47,1
16,109,63,125,547,172,15,78,47,16,79,62,141,78,157,78,124,16,1
47,141,93,94,47,31,16,31,94,15,47,78,16,79,62,78,15,110,1
94,15,110,94,625,32,78,62,141,62,63,62,78,32,141,125,15,16,1
94,15,93,94,656,32,156,31,78,15,47,78,16,79,62,78,78,110,1
63,125,62,125,32,16,110,78,16,15,47,78,94,31,47,94,16,15,1
16,78,78,62,16,47,78,31,47,46,63,47,94,16,109,94,391,32,1
94,391,62,125,16,78,62,94,31,15,47,78,94,31,47,94,62,15,1
62,110,78,78,94,78,78,78,16,31,63,93,94,78,109,109,94,16,1
15,78,109,78,141,266,93,109,16,62,78,79,75,86,93,47,62,16,1
16,62,78,78,78,109,47,109,16,31,63,93,94,78,109,109,109,16,1
31,157,62,156,32,78,109,78,204,219,78,78,31,141,62,484,62,32,1
31,94,250,31,15,79,78,63,31,78,47,78,15,94,109,62,93,78,1
