ft1,dtsk1,ft2,dtsk2,ft4,dtsk4,dtfk5,ft5,dtfk7,ft7,dtfk8,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtfk13,dtsk13,ft14,dtsk14,gender
31,63,172,62,109,94,94,156,62,94,78,78,141,78,78,94,94,31,109,78,94,109,63,1
32,93,94,62,32,62,94,125,93,47,78,94,47,62,79,110,78,93,125,93,78,94,63,1
78,93,78,79,109,94,78,140,62,94,93,93,141,78,78,94,94,31,109,63,47,109,63,1
16,109,32,78,313,391,391,47,79,15,94,31,16,62,47,62,47,32,94,62,16,63,15,1
16,78,93,16,16,47,516,578,437,63,78,94,32,63,62,47,63,94,94,16,94,32,46,1
62,16,172,63,313,391,484,79,250,78,90,437,16,62,47,62,47,32,94,46,62,63,15,1
594,62,188,62,109,219,219,15,79,46,78,109,63,62,94,63,93,63,78,63,78,171,63,1
31,63,31,94,62,63,62,47,93,47,63,78,62,94,47,47,109,47,94,62,78,46,63,1
110,62,94,62,109,219,62,32,62,16,79,93,63,62,94,63,93,63,78,63,109,171,63,1
47,156,16,94,172,266,266,47,78,157,94,114,594,63,93,109,31,94,94,63,15,31,78,1
93,94,16,78,15,78,0,31,31,94,63,109,94,78,47,110,47,78,172,16,78,78,78,1
94,16,32,94,172,266,0,16,78,16,62,31,594,63,93,109,31,94,94,78,110,31,78,1
78,94,141,78,141,281,281,47,62,94,125,234,47,78,63,93,156,47,15,16,94,94,47,1
78,78,78,125,47,78,0,47,94,93,187,94,78,63,62,16,78,47,32,328,47,141,31,1
47,328,219,47,141,281,0,31,78,47,63,94,47,78,63,93,156,47,15,31,328,94,47,1
125,109,109,94,94,94,94,312,78,78,63,93,78,78,94,78,63,78,62,78,63,31,62,1
16,78,16,78,16,62,47,188,79,187,62,78,47,78,47,78,62,63,204,78,78,63,78,1
31,78,109,47,94,94,78,172,78,47,78,79,78,78,94,78,63,78,62,78,79,31,62,1
78,125,94,94,172,125,125,156,16,47,94,94,16,79,62,141,78,157,203,109,94,16,109,1
188,47,125,62,16,78,156,109,47,31,109,94,94,78,93,94,94,62,79,109,78,47,124,1
16,109,78,78,172,125,156,547,78,47,78,47,16,79,62,141,78,157,203,124,78,16,109,1
47,141,47,94,16,94,94,47,31,94,4,16,15,47,78,16,79,62,672,15,32,110,31,1
94,15,125,94,78,94,532,625,62,141,172,141,62,63,62,78,32,141,671,15,15,16,78,1
94,15,141,15,16,94,563,656,31,78,72,62,15,47,78,16,79,62,672,78,109,110,31,1
63,125,31,94,16,125,125,32,78,16,78,94,15,47,78,94,31,47,93,16,31,15,78,1
16,78,16,78,32,62,0,16,31,47,63,62,46,63,47,94,16,109,78,391,15,32,62,1
94,391,172,31,16,125,93,16,94,31,77,31,15,47,78,94,31,47,93,62,62,15,78,1
62,110,109,109,63,78,78,94,78,16,109,109,31,63,93,94,78,109,94,94,78,16,94,1
15,78,78,47,31,78,156,141,109,16,93,94,62,78,79,75,86,93,78,62,78,16,109,1
16,62,94,78,63,78,94,78,109,16,110,109,31,63,93,94,78,109,94,109,78,16,94,1
31,157,171,63,62,156,156,32,78,204,140,31,219,78,78,31,141,62,15,62,78,32,93,1
31,94,31,78,63,31,0,15,63,31,31,94,78,47,78,15,94,109,125,93,78,78,47,1
16,93,94,94,62,156,0,47,62,32,78,63,219,78,78,31,141,62,15,47,31,32,93,1
93,63,125,47,63,78,78,156,62,63,78,125,47,47,93,172,15,63,78,110,93,15,79,1
32,110,15,94,15,79,0,16,110,15,62,109,78,79,78,78,15,78,93,32,47,31,94,1
62,32,31,78,63,78,125,16,78,16,78,110,47,47,93,172,15,63,78,94,93,15,79,1
281,125,500,94,156,235,235,31,78,47,78,94,156,94,110,156,47,125,109,63,265,16,94,1
16,125,15,94,15,78,94,125,16,109,62,267,79,78,62,203,31,109,31,156,93,32,93,1
47,156,141,46,156,235,0,46,78,110,78,16,156,94,110,156,47,125,109,93,78,16,94,1
