dtsk2,dtfk4,ft4,dtsk4,dtfk5,ft5,dtsk5,ft7,dtfk8,dtfk10,dtsk10,dtfk11,ft11,dtsk11,dtfk13,dtsk13,ft14,dtsk14,gender
62,78,109,94,94,156,78,94,78,141,78,94,94,31,78,94,109,63,1
62,62,32,62,94,125,94,47,78,47,79,110,78,93,93,78,94,63,1
79,78,109,94,78,140,94,94,93,141,78,94,94,31,63,47,109,63,1
78,62,313,391,391,47,62,15,94,16,47,62,47,32,62,16,63,15,1
16,62,16,47,516,578,32,63,78,32,62,47,63,94,16,94,32,46,1
63,62,313,391,484,79,62,78,90,16,47,62,47,32,46,62,63,15,1
62,78,109,219,219,15,63,46,78,63,94,63,93,63,63,78,171,63,1
94,47,62,63,62,47,94,47,63,62,47,47,109,47,62,78,46,63,1
62,78,109,219,62,32,94,16,79,63,94,63,93,63,63,109,171,63,1
94,78,172,266,266,47,94,157,94,594,93,109,31,94,63,15,31,78,1
78,78,15,78,0,31,78,94,63,94,47,110,47,78,16,78,78,78,1
94,78,172,266,0,16,78,16,62,594,93,109,31,94,78,110,31,78,1
78,63,141,281,281,47,47,94,125,47,63,93,156,47,16,94,94,47,1
125,47,47,78,0,47,47,93,187,78,62,16,78,47,328,47,141,31,1
47,63,141,281,0,31,109,47,63,47,63,93,156,47,31,328,94,47,1
94,78,94,94,94,312,78,78,63,78,94,78,63,78,78,63,31,62,1
78,78,16,62,47,188,78,187,62,47,47,78,62,63,78,78,63,78,1
47,78,94,94,78,172,78,47,78,78,94,78,63,78,78,79,31,62,1
94,63,172,125,125,156,125,47,94,16,62,141,78,157,109,94,16,109,1
62,109,16,78,156,109,125,31,109,94,93,94,94,62,109,78,47,124,1
78,63,172,125,156,547,172,47,78,16,62,141,78,157,124,78,16,109,1
94,93,16,94,94,47,31,94,4,15,78,16,79,62,15,32,110,31,1
94,110,78,94,532,625,32,141,172,62,62,78,32,141,15,15,16,78,1
15,93,16,94,563,656,32,78,72,15,78,16,79,62,78,109,110,31,1
94,62,16,125,125,32,16,16,78,15,78,94,31,47,16,31,15,78,1
78,78,32,62,0,16,47,47,63,46,47,94,16,109,391,15,32,62,1
31,62,16,125,93,16,78,31,77,15,78,94,31,47,62,62,15,78,1
109,78,63,78,78,94,78,16,109,31,93,94,78,109,94,78,16,94,1
47,109,31,78,156,141,266,16,93,62,79,75,86,93,62,78,16,109,1
78,78,63,78,94,78,109,16,110,31,93,94,78,109,109,78,16,94,1
63,62,62,156,156,32,78,204,140,219,78,31,141,62,62,78,32,93,1
78,250,63,31,0,15,79,31,31,78,78,15,94,109,93,78,78,47,1
94,62,62,156,0,47,141,32,78,219,78,31,141,62,47,31,32,93,1
47,16,63,78,78,156,31,63,78,47,93,172,15,63,110,93,15,79,1
94,110,15,79,0,16,78,15,62,78,78,78,15,78,32,47,31,94,1
78,16,63,78,125,16,125,16,78,47,93,172,15,63,94,93,15,79,1
94,78,156,235,235,31,94,47,78,156,110,156,47,125,63,265,16,94,1
94,78,15,78,94,125,109,109,62,79,62,203,31,109,156,93,32,93,1
46,78,156,235,0,46,109,110,78,156,110,156,47,125,93,78,16,94,1
78,63,62,94,94,141,78,16,78,31,62,78,47,78,32,78,31,78,1
78,47,47,62,94,109,79,265,62,47,62,156,63,125,62,78,16,94,1
93,63,62,94,78,94,63,15,110,31,62,78,47,78,94,63,31,78,1
94,93,32,110,110,62,62,16,79,656,63,32,78,79,47,16,62,47,1
32,78,15,62,640,703,63,94,16,78,141,110,15,93,15,15,62,31,1
94,93,32,110,0,15,125,16,62,656,63,32,78,79,31,16,62,47,1
78,63,15,78,78,94,78,94,94,31,62,63,93,63,15,469,15,78,1
62,110,15,93,47,125,219,78,15,63,62,63,94,62,78,78,31,78,1
47,63,15,78,94,125,234,15,78,31,62,63,93,63,78,109,15,78,1
