dtfk1,dtsk1,dtfk3,dtsk4,dtfk5,ft5,dtfk7,ft7,dtsk7,dtsk10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtfk14,gender
47,63,62,94,94,156,62,94,94,78,94,94,31,109,31,79,78,63,47,1
62,93,62,62,94,125,93,47,78,79,110,78,93,125,78,156,93,47,62,1
63,93,94,94,78,140,62,94,78,78,94,94,31,109,31,79,63,140,47,1
109,109,78,391,391,47,79,15,78,47,62,47,32,94,234,78,62,125,31,1
78,78,93,47,516,578,437,63,62,62,47,63,94,94,172,16,16,78,47,1
32,16,78,391,484,79,250,78,47,47,62,47,32,94,234,78,46,32,31,1
78,62,62,219,219,15,79,46,47,94,63,93,63,78,16,78,63,62,79,1
63,63,62,63,62,47,93,47,63,47,47,109,47,94,62,16,62,63,63,1
78,62,47,219,62,32,62,16,78,94,63,93,63,78,16,78,63,266,79,1
119,156,94,266,266,47,78,157,93,93,109,31,94,94,31,78,63,78,94,1
94,94,78,78,0,31,31,94,63,47,110,47,78,172,78,63,16,109,94,1
15,16,93,266,0,16,78,16,93,93,109,31,94,94,31,78,78,47,94,1
78,94,78,281,281,47,62,94,62,63,93,156,47,15,93,16,16,78,47,1
47,78,63,78,0,47,94,93,16,62,16,78,47,32,94,156,328,62,63,1
235,328,62,281,0,31,78,47,78,63,93,156,47,15,93,16,31,62,47,1
79,109,94,94,94,312,78,78,63,94,78,63,78,62,78,78,78,125,63,1
94,78,62,62,47,188,79,187,78,47,78,62,63,204,46,79,78,47,78,1
78,78,63,94,78,172,78,47,78,94,78,63,78,62,78,78,78,218,63,1
109,125,94,125,125,156,16,47,31,62,141,78,157,203,16,78,109,16,125,1
125,47,16,78,156,109,47,31,109,93,94,94,62,79,62,47,109,32,78,1
93,109,31,125,156,547,78,47,125,62,141,78,157,203,16,78,124,16,125,1
94,141,94,94,94,47,31,94,16,78,16,79,62,672,31,78,15,78,16,1
110,15,63,94,532,625,62,141,15,62,78,32,141,671,47,125,15,125,78,1
31,15,16,94,563,656,31,78,16,78,16,79,62,672,31,78,78,31,16,1
62,125,94,125,125,32,78,16,62,78,94,31,47,93,16,94,16,63,94,1
62,78,62,62,0,16,31,47,16,47,94,16,109,78,109,94,391,78,62,1
16,391,62,125,93,16,94,31,93,78,94,31,47,93,16,94,62,16,94,1
