dtfk1,ft1,dtfk4,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk7,ft7,dtfk8,dtsk8,dtsk9,dtfk10,dtsk10,dtfk11,ft11,dtfk13,ft14,dtsk14,gender
47,31,78,109,94,94,156,78,62,94,78,62,78,141,78,94,94,78,109,63,1
62,32,62,32,62,94,125,94,93,47,78,47,94,47,79,110,78,93,94,63,1
63,78,78,109,94,78,140,94,62,94,93,125,93,141,78,94,94,63,109,63,1
109,16,62,313,391,391,47,62,79,15,94,109,31,16,47,62,47,62,63,15,1
78,16,62,16,47,516,578,32,437,63,78,94,94,32,62,47,63,16,32,46,1
32,62,62,313,391,484,79,62,250,78,90,94,437,16,47,62,47,46,63,15,1
78,594,78,109,219,219,15,63,79,46,78,63,109,63,94,63,93,63,171,63,1
63,31,47,62,63,62,47,94,93,47,63,63,78,62,47,47,109,62,46,63,1
78,110,78,109,219,62,32,94,62,16,79,94,93,63,94,63,93,63,171,63,1
119,47,78,172,266,266,47,94,78,157,94,63,114,594,93,109,31,63,31,78,1
94,93,78,15,78,0,31,78,31,94,63,62,109,94,47,110,47,16,78,78,1
15,94,78,172,266,0,16,78,78,16,62,172,31,594,93,109,31,78,31,78,1
78,78,63,141,281,281,47,47,62,94,125,63,234,47,63,93,156,16,94,47,1
47,78,47,47,78,0,47,47,94,93,187,63,94,78,62,16,78,328,141,31,1
235,47,63,141,281,0,31,109,78,47,63,32,94,47,63,93,156,31,94,47,1
79,125,78,94,94,94,312,78,78,78,63,62,93,78,94,78,63,78,31,62,1
94,16,78,16,62,47,188,78,79,187,62,78,78,47,47,78,62,78,63,78,1
78,31,78,94,94,78,172,78,78,47,78,204,79,78,94,78,63,78,31,62,1
109,78,63,172,125,125,156,125,16,47,94,78,94,16,62,141,78,109,16,109,1
125,188,109,16,78,156,109,125,47,31,109,94,94,94,93,94,94,109,47,124,1
93,16,63,172,125,156,547,172,78,47,78,79,47,16,62,141,78,124,16,109,1
94,47,93,16,94,94,47,31,31,94,4,31,16,15,78,16,79,15,110,31,1
110,94,110,78,94,532,625,32,62,141,172,31,141,62,62,78,32,15,16,78,1
31,94,93,16,94,563,656,32,31,78,72,671,62,15,78,16,79,78,110,31,1
62,63,62,16,125,125,32,16,78,16,78,78,94,15,78,94,31,16,15,78,1
62,16,78,32,62,0,16,47,31,47,63,78,62,46,47,94,16,391,32,62,1
16,94,62,16,125,93,16,78,94,31,77,78,31,15,78,94,31,62,15,78,1
94,62,78,63,78,78,94,78,78,16,109,93,109,31,93,94,78,94,16,94,1
110,15,109,31,78,156,141,266,109,16,93,110,94,62,79,75,86,62,16,109,1
109,16,78,63,78,94,78,109,109,16,110,78,109,31,93,94,78,109,16,94,1
78,31,62,62,156,156,32,78,78,204,140,78,31,219,78,31,141,62,32,93,1
94,31,250,63,31,0,15,79,63,31,31,31,94,78,78,15,94,93,78,47,1
94,16,62,62,156,0,47,141,62,32,78,125,63,219,78,31,141,47,32,93,1
47,93,16,63,78,78,156,31,62,63,78,62,125,47,93,172,15,110,15,79,1
78,32,110,15,79,0,16,78,110,15,62,47,109,78,78,78,15,32,31,94,1
16,62,16,63,78,125,16,125,78,16,78,93,110,47,93,172,15,94,15,79,1
47,281,78,156,235,235,31,94,78,47,78,125,94,156,110,156,47,63,16,94,1
250,16,78,15,78,94,125,109,16,109,62,125,267,79,62,203,31,156,32,93,1
78,47,78,156,235,0,46,109,78,110,78,31,16,156,110,156,47,93,16,94,1
78,187,63,62,94,94,141,78,62,16,78,78,156,31,62,78,47,32,31,78,1
110,15,47,47,62,94,109,79,203,265,62,78,94,47,62,156,63,62,16,94,1
94,16,63,62,94,78,94,63,32,15,110,78,203,31,62,78,47,94,31,78,1
109,31,93,32,110,110,62,62,78,16,79,62,16,656,63,32,78,47,62,47,1
63,15,78,15,62,640,703,63,47,94,16,62,62,78,141,110,15,15,62,31,1
94,157,93,32,110,0,15,125,703,16,62,832,47,656,63,32,78,31,62,47,1
78,16,63,15,78,78,94,78,63,94,94,47,78,31,62,63,93,15,15,78,1
94,15,110,15,93,47,125,219,79,78,15,78,46,63,62,63,94,78,31,78,1
94,47,63,15,78,94,125,234,141,15,78,78,79,31,62,63,93,78,15,78,1
93,16,94,78,125,125,94,78,125,109,94,110,891,94,78,94,94,94,78,78,1
250,16,93,16,78,0,62,93,141,93,47,110,63,172,79,265,78,94,813,125,1
140,16,94,78,125,891,93,172,94,78,156,156,141,94,78,94,94,125,78,78,1
562,16,94,0,94,94,109,94,78,15,94,93,234,109,94,94,125,78,47,78,1
93,16,110,78,78,94,78,94,78,31,62,94,32,63,109,94,78,78,47,94,1
156,47,94,0,94,94,78,94,47,31,78,109,78,109,94,94,125,94,47,78,1
125,157,141,265,390,390,63,110,15,93,109,94,141,46,985,203,62,125,110,109,1
38,129,172,250,31,0,15,187,94,125,94,62,235,94,109,16,110,344,313,391,1
16,125,141,265,390,0,46,140,141,187,94,157,94,46,985,203,62,391,110,109,1
94,296,94,78,156,156,63,93,109,31,94,109,78,78,234,234,63,62,203,140,1
78,94,94,16,62,0,78,125,94,94,641,108,94,78,78,156,47,32,63,109,1
125,93,94,78,156,125,62,94,125,62,94,141,94,78,234,234,63,109,203,140,1
141,16,62,391,110,110,15,110,78,109,125,109,172,297,235,297,31,344,32,109,1
93,32,94,47,94,125,15,141,16,125,125,125,15,78,94,172,31,62,62,94,1
234,141,62,391,110,0,15,109,125,188,94,78,16,297,235,297,31,94,32,109,1
62,32,63,15,109,109,16,62,46,47,63,78,188,94,94,109,16,15,32,78,1
63,15,78,63,31,0,15,62,78,63,93,62,94,78,62,94,47,62,47,94,1
78,63,63,15,109,125,16,63,62,16,78,109,78,94,94,109,16,94,32,78,1
141,15,118,53,91,91,259,144,31,78,125,93,125,156,78,110,94,110,15,125,1
109,188,110,15,63,78,172,94,219,16,16,109,109,79,93,94,125,110,15,109,1
125,15,118,53,91,94,223,125,156,16,171,125,219,156,78,110,94,109,15,125,1
94,31,94,15,63,63,62,63,62,32,31,94,109,78,79,63,109,79,47,16,1
78,16,78,79,62,515,63,78,78,31,15,172,94,63,125,78,79,63,16,79,1
140,31,94,15,63,94,62,79,110,172,110,109,78,78,79,63,109,79,47,16,1
125,62,109,63,78,78,125,47,46,16,125,63,78,265,78,141,46,41,15,63,1
172,16,94,31,94,78,125,203,172,116,63,46,62,31,79,156,47,47,47,46,1
94,31,109,63,78,62,125,110,32,31,94,126,172,265,78,141,46,46,15,63,1
78,62,78,156,141,141,16,125,78,16,109,78,140,47,94,94,125,109,78,62,1
203,31,78,16,62,172,15,94,109,63,78,78,15,63,79,78,110,78,31,63,1
78,47,78,156,141,125,109,125,94,15,63,110,109,47,94,94,125,63,78,62,1
62,32,63,47,62,62,141,62,62,110,78,78,79,78,79,79,140,47,16,62,1
78,47,62,32,93,78,157,62,94,203,78,94,125,47,47,109,94,47,47,78,1
63,125,63,47,62,63,140,78,78,31,63,125,94,78,79,79,140,78,16,62,1
94,141,78,250,328,328,62,172,47,78,422,250,172,62,344,140,234,62,31,94,1
313,109,46,79,31,0,62,172,140,235,359,63,282,62,78,16,93,156,281,79,1
78,78,78,250,328,0,63,172,109,141,94,94,140,62,344,140,234,79,31,94,1
93,282,78,234,94,94,47,94,63,218,79,62,78,78,78,63,140,78,219,78,1
63,297,62,188,62,93,63,109,78,250,93,78,125,62,62,78,140,94,204,62,1
62,797,78,234,94,141,203,109,78,375,62,94,78,78,78,63,140,62,219,78,1
93,32,62,110,250,250,63,63,125,46,187,93,344,78,63,125,47,47,78,63,1
78,16,78,31,78,125,16,63,78,16,62,78,16,63,63,125,15,0,16,78,1
31,172,62,110,250,844,938,31,109,32,94,94,78,78,63,125,47,78,78,63,1
156,0,109,32,171,171,16,109,63,62,156,110,78,31,375,156,47,47,31,125,1
62,16,94,93,47,110,31,109,94,109,93,125,78,63,78,78,47,62,15,94,1
47,31,109,32,171,94,31,125,62,125,125,16,94,31,375,156,47,94,31,125,1
125,15,93,94,78,78,203,63,141,0,78,78,203,141,63,94,78,78,32,62,1
187,16,78,31,63,0,0,94,94,63,93,94,31,234,110,110,93,78,31,78,1
78,31,93,94,78,94,171,63,109,16,79,94,94,141,63,94,78,78,32,62,1
125,172,109,250,78,78,110,78,125,140,62,47,78,94,110,47,156,63,94,78,1
110,359,78,219,93,94,78,78,62,328,109,109,141,93,63,78,109,93,125,93,1
94,313,109,250,78,93,250,94,94,187,109,156,62,94,110,47,156,93,94,78,1
63,94,63,93,156,156,31,63,78,125,141,172,141,78,73,78,31,78,31,63,1
62,16,47,16,47,0,594,656,62,125,78,62,16,62,63,140,0,31,31,78,1
78,31,63,93,156,0,16,94,94,31,78,47,62,78,73,78,31,78,31,63,1
109,16,47,391,438,438,31,46,78,31,110,79,109,94,78,109,125,15,0,94,1
94,0,78,141,78,0,32,46,31,78,63,47,110,63,78,125,31,32,31,94,1
78,109,47,391,438,0,31,94,110,31,0,687,31,94,78,109,125,94,0,94,1
125,31,93,485,594,594,47,140,78,141,125,63,125,47,78,47,62,0,32,93,1
93,16,109,47,78,125,31,141,32,110,78,109,109,62,62,125,62,94,47,93,1
156,16,93,485,594,234,16,109,125,78,109,172,32,47,78,47,62,93,32,93,1
62,63,31,125,63,63,171,79,62,32,78,78,78,63,93,78,78,63,79,78,1
172,15,79,46,47,47,31,94,78,15,78,109,125,62,63,78,94,63,63,78,1
62,0,31,125,63,46,47,94,62,16,62,125,78,63,93,78,78,78,79,78,1
93,547,79,128,225,225,40,110,63,47,15,94,203,47,109,78,63,32,47,94,1
78,16,78,47,62,609,734,0,79,93,109,125,78,78,78,79,78,78,62,47,1
78,78,79,128,225,0,47,141,94,31,47,110,79,47,109,78,63,47,47,94,1
63,15,93,63,140,140,188,109,63,578,78,62,78,47,141,78,94,47,63,62,1
62,78,79,62,78,125,207,109,94,78,94,62,93,47,63,78,125,47,31,94,1
62,31,93,63,140,47,687,94,125,453,63,93,94,47,141,78,94,94,63,62,1
