dtfk1,dtfk3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk6,dtsk6,dtsk7,dtfk8,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,dtfk14,gender
47,62,78,109,94,94,78,62,62,94,78,78,94,94,31,109,79,78,47,1
62,62,62,32,62,94,94,78,79,78,78,79,110,78,93,125,156,93,62,1
63,94,78,109,94,78,94,47,94,78,93,78,94,94,31,109,79,63,47,1
109,78,62,313,391,391,62,62,78,78,94,47,62,47,32,94,78,62,31,1
78,93,62,16,47,516,32,47,16,62,78,62,47,63,94,94,16,16,47,1
32,78,62,313,391,484,62,79,15,47,90,47,62,47,32,94,78,46,31,1
78,62,78,109,219,219,63,78,63,47,78,94,63,93,63,78,78,63,79,1
63,62,47,62,63,62,94,94,47,63,63,47,47,109,47,94,16,62,63,1
78,47,78,109,219,62,94,16,94,78,79,94,63,93,63,78,78,63,79,1
119,94,78,172,266,266,94,93,94,93,94,93,109,31,94,94,78,63,94,1
94,78,78,15,78,0,78,93,844,63,63,47,110,47,78,172,63,16,94,1
15,93,78,172,266,0,78,62,63,93,62,93,109,31,94,94,78,78,94,1
78,78,63,141,281,281,47,32,47,62,125,63,93,156,47,15,16,16,47,1
47,63,47,47,78,0,47,63,62,16,187,62,16,78,47,32,156,328,63,1
235,62,63,141,281,0,109,78,47,78,63,63,93,156,47,15,16,31,47,1
79,94,78,94,94,94,78,94,94,63,63,94,78,63,78,62,78,78,63,1
94,62,78,16,62,47,78,94,94,78,62,47,78,62,63,204,79,78,78,1
78,63,78,94,94,78,78,31,125,78,78,94,78,63,78,62,78,78,63,1
109,94,63,172,125,125,125,47,125,31,94,62,141,78,157,203,78,109,125,1
125,16,109,16,78,156,125,62,110,109,109,93,94,94,62,79,47,109,78,1
93,31,63,172,125,156,172,15,93,125,78,62,141,78,157,203,78,124,125,1
94,94,93,16,94,94,31,16,110,16,4,78,16,79,62,672,78,15,16,1
110,63,110,78,94,532,32,78,47,15,172,62,78,32,141,671,125,15,78,1
31,16,93,16,94,563,32,156,47,16,72,78,16,79,62,672,78,78,16,1
62,94,62,16,125,125,16,110,62,62,78,78,94,31,47,93,94,16,94,1
62,62,78,32,62,0,47,78,32,16,63,47,94,16,109,78,94,391,62,1
16,62,62,16,125,93,78,62,62,93,77,78,94,31,47,93,94,62,94,1
94,109,78,63,78,78,78,78,110,62,109,93,94,78,109,94,109,94,78,1
110,93,109,31,78,156,266,93,109,94,93,79,75,86,93,78,47,62,93,1
109,62,78,63,78,94,109,47,110,62,110,93,94,78,109,94,109,109,78,1
78,63,62,62,156,156,78,109,94,78,140,78,31,141,62,15,484,62,78,1
94,79,250,63,31,0,79,78,157,62,31,78,15,94,109,125,62,93,31,1
94,78,62,62,156,0,141,19,16,78,78,78,31,141,62,15,484,47,78,1
47,47,16,63,78,78,31,47,78,78,78,93,172,15,63,78,125,110,63,1
78,94,110,15,79,0,78,93,15,110,62,78,78,15,78,93,16,32,47,1
16,78,16,63,78,125,125,94,94,78,78,93,172,15,63,78,125,94,63,1
47,94,78,156,235,235,94,62,250,63,78,110,156,47,125,109,62,63,62,1
250,94,78,15,78,94,109,110,141,63,62,62,203,31,109,31,343,156,62,1
78,63,78,156,235,0,109,62,43,93,78,110,156,47,125,109,62,93,62,1
78,78,63,62,94,94,78,78,110,94,78,62,78,47,78,109,110,32,94,1
110,78,47,47,62,94,79,62,62,32,62,62,156,63,125,78,156,62,125,1
94,94,63,62,94,78,63,16,16,93,110,62,78,47,78,109,110,94,94,1
109,94,93,32,110,110,62,32,63,63,79,63,32,78,79,766,15,47,15,1
63,93,78,15,62,640,63,63,141,47,16,141,110,15,93,832,32,15,15,1
94,63,93,32,110,0,125,110,16,47,62,63,32,78,79,766,15,31,15,1
78,78,63,15,78,78,78,78,94,78,94,62,63,93,63,78,94,15,110,1
94,204,110,15,93,47,219,62,94,15,15,62,63,94,62,78,32,78,94,1
94,78,63,15,78,94,234,15,94,62,78,62,63,93,63,78,94,78,110,1
93,78,94,78,125,125,78,78,250,172,94,78,94,94,203,94,78,94,78,1
250,110,93,16,78,0,93,78,94,94,47,79,265,78,110,156,16,94,109,1
140,172,94,78,125,891,172,94,93,78,156,78,94,94,203,94,78,125,78,1
562,78,94,0,94,94,94,62,93,79,94,94,94,125,78,78,125,78,93,1
93,109,110,78,78,94,94,94,94,78,62,109,94,78,78,109,63,78,78,1
156,79,94,0,94,94,94,31,47,78,78,94,94,125,78,78,125,94,93,1
125,93,141,265,390,390,110,15,38,219,109,985,203,62,141,47,359,125,78,1
38,594,172,250,31,0,187,985,140,125,94,109,16,110,78,157,15,344,156,1
16,219,141,265,390,0,140,31,31,94,94,985,203,62,141,47,359,391,78,1
94,141,94,78,156,156,93,93,78,110,94,234,234,63,157,109,63,62,94,1
78,128,94,16,62,0,125,234,94,62,641,78,156,47,109,141,140,32,78,1
125,110,94,78,156,125,94,93,94,109,94,234,234,63,157,109,63,109,94,1
141,94,62,391,110,110,110,78,93,79,125,235,297,31,141,93,109,344,93,1
93,93,94,47,94,125,141,235,250,344,125,94,172,31,140,78,15,62,94,1
234,79,62,391,110,0,109,16,218,109,94,235,297,31,141,93,109,94,93,1
62,78,63,15,109,109,62,31,63,63,63,94,109,16,31,94,125,15,62,1
63,79,78,63,31,0,62,94,78,15,93,62,94,47,94,109,110,62,63,1
78,63,63,15,109,125,63,16,94,79,78,94,109,16,31,94,125,94,62,1
141,102,118,53,91,91,144,63,109,16,125,78,110,94,187,110,125,110,94,1
109,16,110,15,63,78,94,78,157,110,16,93,94,125,78,125,250,110,156,1
125,16,118,53,91,94,125,16,110,78,171,78,110,94,187,110,125,109,94,1
94,78,94,15,63,63,63,78,78,46,31,79,63,109,140,78,62,79,15,1
78,156,78,79,62,515,78,79,78,79,15,125,78,79,78,109,15,63,109,1
140,46,94,15,63,94,79,31,109,16,110,79,63,109,140,78,62,79,15,1
125,63,109,63,78,78,47,78,172,63,125,78,141,46,32,62,109,41,78,1
172,62,94,31,94,78,203,78,110,41,63,79,156,47,94,126,219,47,78,1
94,63,109,63,78,62,110,78,63,62,94,78,141,46,32,62,109,46,78,1
78,78,78,156,141,141,125,110,203,94,109,94,94,125,78,187,94,109,79,1
203,32,78,16,62,172,94,94,125,109,78,79,78,110,78,110,32,78,94,1
78,94,78,156,141,125,125,47,109,63,63,94,94,125,78,187,94,63,79,1
62,47,63,47,62,62,62,63,78,78,78,79,79,140,47,63,78,47,78,1
78,78,62,32,93,78,62,79,125,47,78,47,109,94,62,125,78,47,63,1
63,78,63,47,62,63,78,46,141,63,63,79,79,140,47,63,78,78,78,1
94,47,78,250,328,328,172,157,313,125,422,344,140,234,63,47,78,62,78,1
313,141,46,79,31,0,172,344,140,62,359,78,16,93,63,94,62,156,62,1
78,125,78,250,328,0,172,47,62,62,94,344,140,234,63,47,78,79,78,1
93,78,78,234,94,94,94,63,63,47,79,78,63,140,94,78,78,78,63,1
63,78,62,188,62,93,109,78,203,78,93,62,78,140,78,94,344,94,78,1
62,47,78,234,94,141,109,219,125,47,62,78,63,140,94,78,78,62,63,1
93,94,62,110,250,250,63,78,78,0,187,63,125,47,63,109,93,47,93,1
78,62,78,31,78,125,63,63,141,47,62,63,125,15,78,94,547,0,62,1
31,0,62,110,250,844,31,16,94,78,94,63,125,47,63,109,93,78,93,1
156,93,109,32,171,171,109,47,62,63,156,375,156,47,78,63,78,47,78,1
62,63,94,93,47,110,109,375,78,47,93,78,78,47,125,16,0,62,94,1
47,63,109,32,171,94,125,15,140,109,125,375,156,47,78,63,78,94,78,1
125,78,93,94,78,78,63,63,187,78,78,63,94,78,94,93,78,78,93,1
187,94,78,31,63,0,94,63,125,78,93,110,110,93,78,94,32,78,94,1
78,78,93,94,78,94,63,15,94,62,79,63,94,78,94,93,78,78,93,1
125,109,109,250,78,78,78,78,110,63,62,110,47,156,79,94,94,63,93,1
110,78,78,219,93,94,78,110,610,63,109,63,78,109,79,156,140,93,110,1
94,63,109,250,78,93,94,78,156,78,109,110,47,156,79,94,94,93,93,1
63,47,63,93,156,156,63,63,62,78,141,73,78,31,125,79,110,78,62,1
62,63,47,16,47,0,656,73,16,78,78,63,140,0,63,47,62,31,63,1
78,78,63,93,156,0,94,62,15,63,78,73,78,31,125,79,110,78,62,1
109,109,47,391,438,438,46,94,94,94,110,78,109,125,109,109,78,15,78,1
