ft1,dtsk1,dtsk2,dtsk3,dtsk4,dtfk5,ft5,dtsk5,dtfk7,ft7,dtsk7,dtfk8,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,ft13,dtfk14,ft14,dtsk14,gender
31,63,62,78,94,94,156,78,62,94,94,78,78,141,78,78,94,94,31,109,31,79,63,47,109,63,1
32,93,62,62,62,94,125,94,93,47,78,78,94,47,62,79,110,78,93,125,78,156,47,62,94,63,1
78,93,79,32,94,78,140,94,62,94,78,93,93,141,78,78,94,94,31,109,31,79,140,47,109,63,1
16,109,78,62,391,391,47,62,79,15,78,94,31,16,62,47,62,47,32,94,234,78,125,31,63,15,1
16,78,16,62,47,516,578,32,437,63,62,78,94,32,63,62,47,63,94,94,172,16,78,47,32,46,1
62,16,63,50,391,484,79,62,250,78,47,90,437,16,62,47,62,47,32,94,234,78,32,31,63,15,1
594,62,62,78,219,219,15,63,79,46,47,78,109,63,62,94,63,93,63,78,16,78,62,79,171,63,1
31,63,94,78,63,62,47,94,93,47,63,63,78,62,94,47,47,109,47,94,62,16,63,63,46,63,1
110,62,62,47,219,62,32,94,62,16,78,79,93,63,62,94,63,93,63,78,16,78,266,79,171,63,1
47,156,94,78,266,266,47,94,78,157,93,94,114,594,63,93,109,31,94,94,31,78,78,94,31,78,1
93,94,78,93,78,0,31,78,31,94,63,63,109,94,78,47,110,47,78,172,78,63,109,94,78,78,1
94,16,94,94,266,0,16,78,78,16,93,62,31,594,63,93,109,31,94,94,31,78,47,94,31,78,1
78,94,78,63,281,281,47,47,62,94,62,125,234,47,78,63,93,156,47,15,93,16,78,47,94,47,1
78,78,125,32,78,0,47,47,94,93,16,187,94,78,63,62,16,78,47,32,94,156,62,63,141,31,1
47,328,47,63,281,0,31,109,78,47,78,63,94,47,78,63,93,156,47,15,93,16,62,47,94,47,1
125,109,94,78,94,94,312,78,78,78,63,63,93,78,78,94,78,63,78,62,78,78,125,63,31,62,1
16,78,78,94,62,47,188,78,79,187,78,62,78,47,78,47,78,62,63,204,46,79,47,78,63,78,1
31,78,47,63,94,78,172,78,78,47,78,78,79,78,78,94,78,63,78,62,78,78,218,63,31,62,1
78,125,94,63,125,125,156,125,16,47,31,94,94,16,79,62,141,78,157,203,16,78,16,125,16,109,1
188,47,62,47,78,156,109,125,47,31,109,109,94,94,78,93,94,94,62,79,62,47,32,78,47,124,1
16,109,78,15,125,156,547,172,78,47,125,78,47,16,79,62,141,78,157,203,16,78,16,125,16,109,1
47,141,94,93,94,94,47,31,31,94,16,4,16,15,47,78,16,79,62,672,31,78,78,16,110,31,1
94,15,94,16,94,532,625,32,62,141,15,172,141,62,63,62,78,32,141,671,47,125,125,78,16,78,1
94,15,15,31,94,563,656,32,31,78,16,72,62,15,47,78,16,79,62,672,31,78,31,16,110,31,1
63,125,94,62,125,125,32,16,78,16,62,78,94,15,47,78,94,31,47,93,16,94,63,94,15,78,1
16,78,78,110,62,0,16,47,31,47,16,63,62,46,63,47,94,16,109,78,109,94,78,62,32,62,1
94,391,31,62,125,93,16,78,94,31,93,77,31,15,47,78,94,31,47,93,16,94,16,94,15,78,1
62,110,109,78,78,78,94,78,78,16,62,109,109,31,63,93,94,78,109,94,31,109,78,78,16,94,1
15,78,47,78,78,156,141,266,109,16,94,93,94,62,78,79,75,86,93,78,93,47,47,93,16,109,1
16,62,78,94,78,94,78,109,109,16,62,110,109,31,63,93,94,78,109,94,31,109,63,78,16,94,1
31,157,63,62,156,156,32,78,78,204,78,140,31,219,78,78,31,141,62,15,94,484,47,78,32,93,1
31,94,78,109,31,0,15,79,63,31,62,31,94,78,47,78,15,94,109,125,78,62,32,31,78,47,1
16,93,94,79,156,0,47,141,62,32,78,78,63,219,78,78,31,141,62,15,94,484,63,78,32,93,1
93,63,47,16,78,78,156,31,62,63,78,78,125,47,47,93,172,15,63,78,16,125,125,63,15,79,1
