dtfk1,ft1,dtsk1,ft2,dtfk3,ft3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtsk6,ft7,dtsk7,ft8,dtsk8,dtfk9,ft10,dtsk10,dtfk11,dtsk11,ft12,dtfk13,dtsk13,dtfk14,ft14,sum,gender
47,31,63,172,62,63,78,109,94,94,78,62,94,94,94,62,94,78,78,94,31,31,78,94,47,109,3423,1
62,32,93,94,62,63,62,32,62,94,94,79,47,78,125,47,94,62,79,110,93,78,93,78,62,94,3295,1
63,78,93,78,94,15,78,109,94,78,94,94,94,78,94,125,63,78,78,94,31,31,63,47,47,109,3422,1
109,16,109,32,78,15,62,313,391,391,62,78,15,78,62,109,453,62,47,62,32,234,62,16,31,63,4029,1
78,16,78,93,93,32,62,16,47,516,32,16,63,62,94,94,15,63,62,47,94,172,16,94,47,32,3846,1
32,62,16,172,78,62,62,313,391,484,62,15,78,47,62,94,640,62,47,62,32,234,46,62,31,63,4828,1
78,594,62,188,62,32,78,109,219,219,63,63,46,47,125,63,94,62,94,63,63,16,63,78,79,171,3970,1
63,31,63,31,62,78,47,62,63,62,94,47,47,63,109,63,94,94,47,47,47,62,62,78,63,46,3172,1
78,110,62,94,47,63,78,109,219,62,94,94,16,78,63,94,78,62,94,63,63,16,63,109,79,171,3378,1
119,47,156,16,94,62,78,172,266,266,94,94,157,93,312,63,79,63,93,109,94,31,63,15,94,31,4577,1
94,93,94,16,78,47,78,15,78,0,78,844,94,63,94,62,63,78,47,110,78,78,16,78,94,78,3844,1
15,94,16,32,93,47,78,172,266,0,78,63,16,93,109,172,844,63,93,109,94,31,78,110,94,31,4530,1
78,78,94,141,78,62,63,141,281,281,47,47,94,62,31,63,47,78,63,93,47,93,16,94,47,94,3734,1
47,78,78,78,63,62,47,47,78,0,47,62,93,16,32,63,47,63,62,16,47,94,328,47,63,141,3222,1
235,47,328,219,62,47,63,141,281,0,109,47,47,78,0,32,1062,78,63,93,47,93,31,328,47,94,4719,1
79,125,109,109,94,78,78,94,94,94,78,94,78,63,125,62,94,78,94,78,78,78,78,63,63,31,3765,1
94,16,78,16,62,110,78,16,62,47,78,94,187,78,94,78,125,78,47,78,63,46,78,78,78,63,3425,1
78,31,78,109,63,15,78,94,94,78,78,125,47,78,46,204,94,78,94,78,78,78,78,79,63,31,3281,1
109,78,125,94,94,15,63,172,125,125,125,125,47,31,94,78,94,79,62,141,157,16,109,94,125,16,3737,1
125,188,47,125,16,110,109,16,78,156,125,110,31,109,78,94,93,78,93,94,62,62,109,78,78,47,3577,1
93,16,109,78,31,94,63,172,125,156,172,93,47,125,109,79,0,79,62,141,157,16,124,78,125,16,4000,1
94,47,141,47,94,125,93,16,94,94,31,110,94,16,80,31,562,47,78,16,62,31,15,32,16,110,4273,1
110,94,15,125,63,141,110,78,94,532,32,47,141,15,16,31,47,63,62,78,141,47,15,15,78,16,4784,1
31,94,15,141,16,78,93,16,94,563,32,47,78,16,593,671,703,47,78,16,62,31,78,109,16,110,6569,1
62,63,125,31,94,47,62,16,125,125,16,62,16,62,78,78,0,47,78,94,47,16,16,31,94,15,2609,1
62,16,78,16,62,78,78,32,62,0,47,32,47,16,78,78,62,63,47,94,109,109,391,15,62,32,2828,1
16,94,391,172,62,32,62,16,125,93,78,62,31,93,703,78,1312,47,78,94,47,16,62,62,94,15,6135,1
94,62,110,109,109,16,78,63,78,78,78,110,16,62,79,93,94,63,93,94,109,31,94,78,78,16,3422,1
