dtfk3,ft3,dtsk3,ft4,dtfk5,ft5,dtfk7,ft7,dtsk7,dtsk8,dtfk9,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtfk13,ft13,dtsk13,ft14,dtsk14,gender
62,63,78,109,94,156,62,94,94,62,94,141,78,78,94,94,31,78,63,94,109,63,1
62,63,62,32,94,125,93,47,78,47,94,47,62,79,110,78,78,93,47,78,94,63,1
94,15,32,109,78,140,62,94,78,125,63,141,78,78,94,94,31,63,140,47,109,63,1
78,15,62,313,391,47,79,15,78,109,453,16,62,47,62,47,234,62,125,16,63,15,1
93,32,62,16,516,578,437,63,62,94,15,32,63,62,47,63,172,16,78,94,32,46,1
78,62,50,313,484,79,250,78,47,94,640,16,62,47,62,47,234,46,32,62,63,15,1
62,32,78,109,219,15,79,46,47,63,94,63,62,94,63,93,16,63,62,78,171,63,1
62,78,78,62,62,47,93,47,63,63,94,62,94,47,47,109,62,62,63,78,46,63,1
47,63,47,109,62,32,62,16,78,94,78,63,62,94,63,93,16,63,266,109,171,63,1
94,62,78,172,266,47,78,157,93,63,79,594,63,93,109,31,31,63,78,15,31,78,1
78,47,93,15,0,31,31,94,63,62,63,94,78,47,110,47,78,16,109,78,78,78,1
93,47,94,172,0,16,78,16,93,172,844,594,63,93,109,31,31,78,47,110,31,78,1
78,62,63,141,281,47,62,94,62,63,47,47,78,63,93,156,93,16,78,94,94,47,1
63,62,32,47,0,47,94,93,16,63,47,78,63,62,16,78,94,328,62,47,141,31,1
62,47,63,141,0,31,78,47,78,32,1062,47,78,63,93,156,93,31,62,328,94,47,1
94,78,78,94,94,312,78,78,63,62,94,78,78,94,78,63,78,78,125,63,31,62,1
62,110,94,16,47,188,79,187,78,78,125,47,78,47,78,62,46,78,47,78,63,78,1
63,15,63,94,78,172,78,47,78,204,94,78,78,94,78,63,78,78,218,79,31,62,1
94,15,63,172,125,156,16,47,31,78,94,16,79,62,141,78,16,109,16,94,16,109,1
16,110,47,16,156,109,47,31,109,94,93,94,78,93,94,94,62,109,32,78,47,124,1
31,94,15,172,156,547,78,47,125,79,0,16,79,62,141,78,16,124,16,78,16,109,1
94,125,93,16,94,47,31,94,16,31,562,15,47,78,16,79,31,15,78,32,110,31,1
63,141,16,78,532,625,62,141,15,31,47,62,63,62,78,32,47,15,125,15,16,78,1
16,78,31,16,563,656,31,78,16,671,703,15,47,78,16,79,31,78,31,109,110,31,1
94,47,62,16,125,32,78,16,62,78,0,15,47,78,94,31,16,16,63,31,15,78,1
62,78,110,32,0,16,31,47,16,78,62,46,63,47,94,16,109,391,78,15,32,62,1
62,32,62,16,93,16,94,31,93,78,1312,15,47,78,94,31,16,62,16,62,15,78,1
109,16,78,63,78,94,78,16,62,93,94,31,63,93,94,78,31,94,78,78,16,94,1
93,47,78,31,156,141,109,16,94,110,110,62,78,79,75,86,93,62,47,78,16,109,1
62,31,94,63,94,78,109,16,62,78,78,31,63,93,94,78,31,109,63,78,16,94,1
63,16,62,62,156,32,78,204,78,78,125,219,78,78,31,141,94,62,47,78,32,93,1
79,15,109,63,0,15,63,31,62,31,16,78,47,78,15,94,78,93,32,78,78,47,1
78,93,79,62,0,47,62,32,78,125,62,219,78,78,31,141,94,47,63,31,32,93,1
47,31,16,63,78,156,62,63,78,62,94,47,47,93,172,15,16,110,125,93,15,79,1
