dtfk1,ft1,dtfk2,dtfk3,dtsk3,ft4,dtsk4,dtfk5,dtsk5,ft6,dtsk6,dtfk9,ft9,dtsk9,ft10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,ft14,dtsk14,gender
47,31,63,62,78,109,94,94,78,110,62,94,94,78,78,78,94,109,31,79,78,63,94,109,63,1
62,32,78,62,62,32,62,94,94,62,79,94,78,94,62,79,110,125,78,156,93,47,78,94,63,1
63,78,94,94,32,109,94,78,94,62,94,63,94,93,78,78,94,109,31,79,63,140,47,109,63,1
109,16,109,78,62,313,391,391,62,16,78,453,94,31,62,47,62,94,234,78,62,125,16,63,15,1
78,16,15,93,62,16,47,516,32,125,16,15,31,94,63,62,47,94,172,16,16,78,94,32,46,1
32,62,79,78,50,313,391,484,62,47,15,640,63,437,62,47,62,94,234,78,46,32,62,63,15,1
78,594,62,62,78,109,219,219,63,125,63,94,16,109,62,94,63,78,16,78,63,62,78,171,63,1
63,31,453,62,78,62,63,62,94,62,47,94,78,78,94,47,47,94,62,16,62,63,78,46,63,1
78,110,62,47,47,109,219,62,94,78,94,78,47,93,62,94,63,78,16,78,63,266,109,171,63,1
119,47,156,94,78,172,266,266,94,63,94,79,46,114,63,93,109,94,31,78,63,78,15,31,78,1
94,93,125,78,93,15,78,0,78,63,844,63,47,109,78,47,110,172,78,63,16,109,78,78,78,1
15,94,187,93,94,172,266,0,78,31,63,844,62,31,63,93,109,94,31,78,78,47,110,31,78,1
78,78,94,78,63,141,281,281,47,187,47,47,140,234,78,63,93,15,93,16,16,78,94,94,47,1
47,78,156,63,32,47,78,0,47,94,62,47,94,94,63,62,16,32,94,156,328,62,47,141,31,1
235,47,141,62,63,141,281,0,109,15,47,1062,94,94,78,63,93,15,93,16,31,62,328,94,47,1
79,125,109,94,78,94,94,94,78,93,94,94,94,93,78,94,78,62,78,78,78,125,63,31,62,1
94,16,141,62,94,16,62,47,78,78,94,125,94,78,78,47,78,204,46,79,78,47,78,63,78,1
78,31,47,63,63,94,94,78,78,63,125,94,15,79,78,94,78,62,78,78,78,218,79,31,62,1
109,78,125,94,63,172,125,125,125,62,125,94,93,94,79,62,141,203,16,78,109,16,94,16,109,1
125,188,94,16,47,16,78,156,125,78,110,93,94,94,78,93,94,79,62,47,109,32,78,47,124,1
93,16,125,31,15,172,125,156,172,79,93,0,78,47,79,62,141,203,16,78,124,16,78,16,109,1
94,47,141,94,93,16,94,94,31,62,110,562,640,16,47,78,16,672,31,78,15,78,32,110,31,1
110,94,47,63,16,78,94,532,32,141,47,47,109,141,63,62,78,671,47,125,15,125,15,16,78,1
31,94,47,16,31,16,94,563,32,31,47,703,734,62,47,78,16,672,31,78,78,31,109,110,31,1
62,63,125,94,62,16,125,125,16,31,62,0,31,94,47,78,94,93,16,94,16,63,31,15,78,1
62,16,78,62,110,32,62,0,47,140,32,62,32,62,63,47,94,78,109,94,391,78,15,32,62,1
16,94,109,62,62,16,125,93,78,16,62,1312,1375,31,47,78,94,93,16,94,62,16,62,15,78,1
94,62,110,109,78,63,78,78,78,94,110,94,94,109,63,93,94,94,31,109,94,78,78,16,94,1
110,15,109,93,78,31,78,156,266,63,109,110,62,94,78,79,75,78,93,47,62,47,78,16,109,1
109,16,78,62,94,63,78,94,109,93,110,78,172,109,63,93,94,94,31,109,109,63,78,16,94,1
78,31,157,63,62,62,156,156,78,16,94,125,109,31,78,78,31,15,94,484,62,47,78,32,93,1
94,31,187,79,109,63,31,0,79,78,157,16,78,94,47,78,15,125,78,62,93,32,78,78,47,1
94,16,62,78,79,62,156,0,141,113,16,62,78,63,78,78,31,15,94,484,47,63,31,32,93,1
47,93,63,47,16,63,78,78,31,31,78,94,63,125,47,93,172,78,16,125,110,125,93,15,79,1
78,32,141,94,47,15,79,0,78,79,15,94,31,109,79,78,78,93,94,16,32,63,47,31,94,1
16,62,203,78,63,63,78,125,125,16,94,0,31,110,47,93,172,78,16,125,94,63,93,15,79,1
47,281,125,94,78,156,235,235,94,188,250,78,94,94,94,110,156,109,125,62,63,47,265,16,94,1
250,16,156,94,62,15,78,94,109,62,141,43,173,267,78,62,203,31,141,343,156,32,93,32,93,1
78,47,63,63,94,156,235,0,109,85,43,1063,1172,16,94,110,156,109,125,62,93,32,78,16,94,1
78,187,94,78,63,62,94,94,78,32,110,78,109,156,94,62,78,109,156,110,32,79,78,31,78,1
110,15,93,78,78,47,62,94,79,63,62,16,94,94,110,62,156,78,94,156,62,78,78,16,94,1
94,16,78,94,63,62,94,78,63,109,16,812,63,203,94,62,78,109,156,110,94,31,63,31,78,1
109,31,109,94,93,32,110,110,62,62,63,562,94,16,47,63,32,766,782,15,47,125,16,62,47,1
63,15,16,93,32,15,62,640,63,62,141,16,31,62,63,141,110,832,62,32,15,78,15,62,31,1
94,157,46,63,78,32,110,0,125,31,16,719,812,47,47,63,32,766,782,15,31,109,16,62,47,1
78,16,93,78,63,15,78,78,78,109,94,703,109,78,79,62,63,78,0,94,15,94,469,15,78,1
94,15,93,204,78,15,93,47,219,47,94,94,63,46,78,62,63,78,93,32,78,156,78,31,78,1
94,47,78,78,78,15,78,94,234,62,94,859,78,79,79,62,63,78,0,94,78,32,109,15,78,1
93,16,94,78,94,78,125,125,78,141,250,906,94,891,156,78,94,94,78,78,94,63,109,78,78,1
250,16,172,110,78,16,78,0,93,78,94,93,266,63,62,79,265,156,109,16,94,703,62,813,125,1
140,16,93,172,78,78,125,891,172,141,93,1078,78,141,156,78,94,94,78,78,125,31,110,78,78,1
562,16,78,78,94,0,94,94,94,157,93,94,109,234,62,94,94,78,594,125,78,47,78,47,78,1
93,16,125,109,62,78,78,94,94,78,94,47,109,32,78,109,94,109,78,63,78,31,78,47,94,1
156,47,94,79,93,0,94,94,94,94,47,62,94,78,62,94,94,78,594,125,94,172,94,47,78,1
125,157,109,93,141,265,390,390,110,78,38,78,94,141,125,985,203,47,172,359,125,94,141,110,109,1
38,129,110,594,15,250,31,0,187,94,140,31,78,235,172,109,16,157,282,15,344,406,16,313,391,1
16,125,78,219,15,265,390,0,140,125,31,1312,109,94,125,985,203,47,172,359,391,31,109,110,109,1
94,296,110,141,94,78,156,156,93,63,78,78,78,78,63,234,234,109,94,63,62,125,94,203,140,1
78,94,172,128,93,16,62,0,125,78,94,94,62,94,94,78,156,141,78,140,32,93,47,63,109,1
125,93,344,110,94,78,156,125,94,94,94,797,94,94,63,234,234,109,94,63,109,156,63,203,140,1
141,16,93,94,62,391,110,110,110,235,93,109,47,172,78,235,297,93,282,109,344,62,360,32,109,1
93,32,172,93,78,47,94,125,141,78,250,218,157,15,94,94,172,78,141,15,62,94,344,62,94,1
234,141,394,79,94,391,110,0,109,63,218,1172,1313,16,78,235,297,93,282,109,94,141,266,32,109,1
