dtfk1,ft1,dtsk1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft7,dtsk7,dtfk8,dtfk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,ft13,dtsk13,ft14,gender
47,31,63,63,62,78,78,109,94,78,62,110,62,62,94,94,78,94,141,78,78,94,94,31,31,78,63,94,109,1
62,32,93,78,62,62,62,32,94,94,78,62,79,93,47,78,78,94,47,62,79,110,78,93,78,93,47,78,94,1
63,78,93,94,94,32,78,109,78,94,47,62,94,62,94,78,93,63,141,78,78,94,94,31,31,63,140,47,109,1
109,16,109,109,78,62,62,313,391,62,62,16,78,79,15,78,94,453,16,62,47,62,47,32,234,62,125,16,63,1
78,16,78,15,93,62,62,16,516,32,47,125,16,437,63,62,78,15,32,63,62,47,63,94,172,16,78,94,32,1
32,62,16,79,78,50,62,313,484,62,79,47,15,250,78,47,90,640,16,62,47,62,47,32,234,46,32,62,63,1
78,594,62,62,62,78,78,109,219,63,78,125,63,79,46,47,78,94,63,62,94,63,93,63,16,63,62,78,171,1
63,31,63,453,62,78,47,62,62,94,94,62,47,93,47,63,63,94,62,94,47,47,109,47,62,62,63,78,46,1
78,110,62,62,47,47,78,109,62,94,16,78,94,62,16,78,79,78,63,62,94,63,93,63,16,63,266,109,171,1
119,47,156,156,94,78,78,172,266,94,93,63,94,78,157,93,94,79,594,63,93,109,31,94,31,63,78,15,31,1
94,93,94,125,78,93,78,15,0,78,93,63,844,31,94,63,63,63,94,78,47,110,47,78,78,16,109,78,78,1
15,94,16,187,93,94,78,172,0,78,62,31,63,78,16,93,62,844,594,63,93,109,31,94,31,78,47,110,31,1
78,78,94,94,78,63,63,141,281,47,32,187,47,62,94,62,125,47,47,78,63,93,156,47,93,16,78,94,94,1
47,78,78,156,63,32,47,47,0,47,63,94,62,94,93,16,187,47,78,63,62,16,78,47,94,328,62,47,141,1
235,47,328,141,62,63,63,141,0,109,78,15,47,78,47,78,63,1062,47,78,63,93,156,47,93,31,62,328,94,1
79,125,109,109,94,78,78,94,94,78,94,93,94,78,78,63,63,94,78,78,94,78,63,78,78,78,125,63,31,1
94,16,78,141,62,94,78,16,47,78,94,78,94,79,187,78,62,125,47,78,47,78,62,63,46,78,47,78,63,1
78,31,78,47,63,63,78,94,78,78,31,63,125,78,47,78,78,94,78,78,94,78,63,78,78,78,218,79,31,1
109,78,125,125,94,63,63,172,125,125,47,62,125,16,47,31,94,94,16,79,62,141,78,157,16,109,16,94,16,1
125,188,47,94,16,47,109,16,156,125,62,78,110,47,31,109,109,93,94,78,93,94,94,62,62,109,32,78,47,1
93,16,109,125,31,15,63,172,156,172,15,79,93,78,47,125,78,0,16,79,62,141,78,157,16,124,16,78,16,1
94,47,141,141,94,93,93,16,94,31,16,62,110,31,94,16,4,562,15,47,78,16,79,62,31,15,78,32,110,1
110,94,15,47,63,16,110,78,532,32,78,141,47,62,141,15,172,47,62,63,62,78,32,141,47,15,125,15,16,1
31,94,15,47,16,31,93,16,563,32,156,31,47,31,78,16,72,703,15,47,78,16,79,62,31,78,31,109,110,1
62,63,125,125,94,62,62,16,125,16,110,31,62,78,16,62,78,0,15,47,78,94,31,47,16,16,63,31,15,1
62,16,78,78,62,110,78,32,0,47,78,140,32,31,47,16,63,62,46,63,47,94,16,109,109,391,78,15,32,1
16,94,391,109,62,62,62,16,93,78,62,16,62,94,31,93,77,1312,15,47,78,94,31,47,16,62,16,62,15,1
94,62,110,110,109,78,78,63,78,78,78,94,110,78,16,62,109,94,31,63,93,94,78,109,31,94,78,78,16,1
110,15,78,109,93,78,109,31,156,266,93,63,109,109,16,94,93,110,62,78,79,75,86,93,93,62,47,78,16,1
109,16,62,78,62,94,78,63,94,109,47,93,110,109,16,62,110,78,31,63,93,94,78,109,31,109,63,78,16,1
78,31,157,157,63,62,62,62,156,78,109,16,94,78,204,78,140,125,219,78,78,31,141,62,94,62,47,78,32,1
94,31,94,187,79,109,250,63,0,79,78,78,157,63,31,62,31,16,78,47,78,15,94,109,78,93,32,78,78,1
94,16,93,62,78,79,62,62,0,141,19,113,16,62,32,78,78,62,219,78,78,31,141,62,94,47,63,31,32,1
47,93,63,63,47,16,16,63,78,31,47,31,78,62,63,78,78,94,47,47,93,172,15,63,16,110,125,93,15,1
78,32,110,141,94,47,110,15,0,78,93,79,15,110,15,110,62,94,78,79,78,78,15,78,94,32,63,47,31,1
16,62,32,203,78,63,16,63,125,125,94,16,94,78,16,78,78,0,47,47,93,172,15,63,16,94,63,93,15,1
47,281,125,125,94,78,78,156,235,94,62,188,250,78,47,63,78,78,156,94,110,156,47,125,125,63,47,265,16,1
250,16,125,156,94,62,78,15,94,109,110,62,141,16,109,63,62,43,79,78,62,203,31,109,141,156,32,93,32,1
78,47,156,63,63,94,78,156,0,109,62,85,43,78,110,93,78,1063,156,94,110,156,47,125,125,93,32,78,16,1
