dtfk1,dtsk1,dtfk2,dtfk3,dtsk3,ft4,dtsk4,ft5,ft6,dtfk7,ft7,dtfk9,dtfk10,ft10,dtfk11,ft11,ft12,dtsk12,dtfk13,dtsk13,ft14,gender
47,63,63,62,78,109,94,156,110,62,94,94,141,78,94,94,31,79,78,94,109,1
62,93,78,62,62,32,62,125,62,93,47,94,47,62,110,78,78,156,93,78,94,1
63,93,94,94,32,109,94,140,62,62,94,63,141,78,94,94,31,79,63,47,109,1
109,109,109,78,62,313,391,47,16,79,15,453,16,62,62,47,234,78,62,16,63,1
78,78,15,93,62,16,47,578,125,437,63,15,32,63,47,63,172,16,16,94,32,1
32,16,79,78,50,313,391,79,47,250,78,640,16,62,62,47,234,78,46,62,63,1
78,62,62,62,78,109,219,15,125,79,46,94,63,62,63,93,16,78,63,78,171,1
63,63,453,62,78,62,63,47,62,93,47,94,62,94,47,109,62,16,62,78,46,1
78,62,62,47,47,109,219,32,78,62,16,78,63,62,63,93,16,78,63,109,171,1
119,156,156,94,78,172,266,47,63,78,157,79,594,63,109,31,31,78,63,15,31,1
94,94,125,78,93,15,78,31,63,31,94,63,94,78,110,47,78,63,16,78,78,1
15,16,187,93,94,172,266,16,31,78,16,844,594,63,109,31,31,78,78,110,31,1
78,94,94,78,63,141,281,47,187,62,94,47,47,78,93,156,93,16,16,94,94,1
47,78,156,63,32,47,78,47,94,94,93,47,78,63,16,78,94,156,328,47,141,1
235,328,141,62,63,141,281,31,15,78,47,1062,47,78,93,156,93,16,31,328,94,1
79,109,109,94,78,94,94,312,93,78,78,94,78,78,78,63,78,78,78,63,31,1
94,78,141,62,94,16,62,188,78,79,187,125,47,78,78,62,46,79,78,78,63,1
78,78,47,63,63,94,94,172,63,78,47,94,78,78,78,63,78,78,78,79,31,1
109,125,125,94,63,172,125,156,62,16,47,94,16,79,141,78,16,78,109,94,16,1
125,47,94,16,47,16,78,109,78,47,31,93,94,78,94,94,62,47,109,78,47,1
93,109,125,31,15,172,125,547,79,78,47,0,16,79,141,78,16,78,124,78,16,1
94,141,141,94,93,16,94,47,62,31,94,562,15,47,16,79,31,78,15,32,110,1
110,15,47,63,16,78,94,625,141,62,141,47,62,63,78,32,47,125,15,15,16,1
31,15,47,16,31,16,94,656,31,31,78,703,15,47,16,79,31,78,78,109,110,1
62,125,125,94,62,16,125,32,31,78,16,0,15,47,94,31,16,94,16,31,15,1
62,78,78,62,110,32,62,16,140,31,47,62,46,63,94,16,109,94,391,15,32,1
16,391,109,62,62,16,125,16,16,94,31,1312,15,47,94,31,16,94,62,62,15,1
94,110,110,109,78,63,78,94,94,78,16,94,31,63,94,78,31,109,94,78,16,1
110,78,109,93,78,31,78,141,63,109,16,110,62,78,75,86,93,47,62,78,16,1
109,62,78,62,94,63,78,78,93,109,16,78,31,63,94,78,31,109,109,78,16,1
78,157,157,63,62,62,156,32,16,78,204,125,219,78,31,141,94,484,62,78,32,1
94,94,187,79,109,63,31,15,78,63,31,16,78,47,15,94,78,62,93,78,78,1
94,93,62,78,79,62,156,47,113,62,32,62,219,78,31,141,94,484,47,31,32,1
47,63,63,47,16,63,78,156,31,62,63,94,47,47,172,15,16,125,110,93,15,1
78,110,141,94,47,15,79,16,79,110,15,94,78,79,78,15,94,16,32,47,31,1
16,32,203,78,63,63,78,16,16,78,16,0,47,47,172,15,16,125,94,93,15,1
47,125,125,94,78,156,235,31,188,78,47,78,156,94,156,47,125,62,63,265,16,1
250,125,156,94,62,15,78,125,62,16,109,43,79,78,203,31,141,343,156,93,32,1
78,156,63,63,94,156,235,46,85,78,110,1063,156,94,156,47,125,62,93,78,16,1
78,94,94,78,63,62,94,141,32,62,16,78,31,94,78,47,156,110,32,78,31,1
110,78,93,78,78,47,62,109,63,203,265,16,47,110,156,63,94,156,62,78,16,1
94,62,78,94,63,62,94,94,109,32,15,812,31,94,78,47,156,110,94,63,31,1
109,109,109,94,93,32,110,62,62,78,16,562,656,47,32,78,782,15,47,16,62,1
63,78,16,93,32,15,62,703,62,47,94,16,78,63,110,15,62,32,15,15,62,1
94,15,46,63,78,32,110,15,31,703,16,719,656,47,32,78,782,15,31,16,62,1
78,93,93,78,63,15,78,94,109,63,94,703,31,79,63,93,0,94,15,469,15,1
94,94,93,204,78,15,93,125,47,79,78,94,63,78,63,94,93,32,78,78,31,1
94,78,78,78,78,15,78,125,62,141,15,859,31,79,63,93,0,94,78,109,15,1
93,94,94,78,94,78,125,94,141,125,109,906,94,156,94,94,78,78,94,109,78,1
250,125,172,110,78,16,78,62,78,141,93,93,172,62,265,78,109,16,94,62,813,1
140,94,93,172,78,78,125,93,141,94,78,1078,94,156,94,94,78,78,125,110,78,1
562,78,78,78,94,0,94,109,157,78,15,94,109,62,94,125,594,125,78,78,47,1
93,78,125,109,62,78,78,78,78,78,31,47,63,78,94,78,78,63,78,78,47,1
156,78,94,79,93,0,94,78,94,47,31,62,109,62,94,125,594,125,94,94,47,1
125,109,109,93,141,265,390,63,78,15,93,78,46,125,203,62,172,359,125,141,110,1
38,297,110,594,15,250,31,15,94,94,125,31,94,172,16,110,282,15,344,16,313,1
16,344,78,219,15,265,390,46,125,141,187,1312,46,125,203,62,172,359,391,109,110,1
94,110,110,141,94,78,156,63,63,109,31,78,78,63,234,63,94,63,62,94,203,1
78,94,172,128,93,16,62,78,78,94,94,94,78,94,156,47,78,140,32,47,63,1
125,32,344,110,94,78,156,62,94,125,62,797,78,63,234,63,94,63,109,63,203,1
141,93,93,94,62,391,110,15,235,78,109,109,297,78,297,31,282,109,344,360,32,1
93,93,172,93,78,47,94,15,78,16,125,218,78,94,172,31,141,15,62,344,62,1
234,62,394,79,94,391,110,15,63,125,188,1172,297,78,297,31,282,109,94,266,32,1
62,109,109,78,63,15,109,16,141,46,47,62,94,47,109,16,47,125,15,47,32,1
63,94,109,79,31,63,31,15,78,78,63,94,78,63,94,47,78,110,62,63,47,1
78,62,109,63,47,15,109,16,31,62,16,884,94,47,109,16,47,125,94,47,32,1
141,82,82,102,118,53,91,259,62,31,78,875,156,47,110,94,343,125,110,125,15,1
109,62,109,16,63,15,63,172,78,219,16,110,79,78,94,125,125,250,110,109,15,1
125,110,110,16,532,53,91,223,93,156,16,125,156,47,110,94,343,125,109,125,15,1
94,78,78,78,94,15,63,62,94,62,32,657,78,15,63,109,16,62,79,47,47,1
78,62,62,156,78,79,62,63,62,78,31,109,63,62,78,79,172,15,63,78,16,1
140,63,63,46,78,15,63,62,63,110,172,63,78,15,63,109,16,62,79,62,47,1
125,94,94,63,109,63,78,125,109,46,16,63,265,79,141,46,32,109,41,78,15,1
172,78,156,62,78,31,94,125,93,172,116,63,31,62,156,47,46,219,47,62,47,1
94,47,63,63,94,63,78,125,47,32,31,906,265,79,141,46,32,109,46,94,15,1
78,110,110,78,78,156,141,16,125,78,16,109,47,63,94,125,16,94,109,109,78,1
203,125,110,32,110,16,62,15,62,109,63,109,63,93,78,110,93,32,78,93,31,1
78,78,78,94,78,156,141,109,78,94,15,129,47,63,94,125,16,94,63,47,78,1
62,78,78,47,63,47,62,141,125,62,110,63,78,62,79,140,15,78,47,63,16,1
78,62,93,78,63,32,93,157,62,94,203,141,47,109,109,94,47,78,47,62,47,1
63,47,94,78,62,47,62,140,47,78,31,79,78,62,79,140,15,78,78,63,16,1
94,93,93,47,78,250,328,62,93,47,78,1078,62,78,140,234,125,78,62,125,31,1
313,32,31,141,157,79,31,62,94,140,235,62,62,78,16,93,78,62,156,78,281,1
78,156,297,125,15,250,328,63,63,109,141,0,62,78,140,234,125,78,79,109,31,1
93,93,93,78,78,234,94,47,984,63,218,78,78,78,63,140,828,78,78,78,219,1
63,62,47,78,63,188,62,63,63,78,250,125,62,94,78,140,62,344,94,79,204,1
62,94,78,47,62,234,94,203,78,78,375,110,78,78,63,140,828,78,62,63,219,1
93,93,93,94,62,110,250,63,94,125,46,62,78,78,125,47,32,93,47,78,78,1
78,94,94,62,78,31,78,16,62,78,16,94,63,93,125,15,93,547,0,31,16,1
31,0,172,0,78,110,250,938,46,109,32,1047,78,78,125,47,32,93,78,187,78,1
156,94,94,93,109,32,171,16,125,63,62,126,31,47,156,47,16,78,47,16,31,1
62,94,47,63,47,93,47,31,78,94,109,140,63,78,78,47,109,0,62,62,15,1
47,62,109,63,78,32,171,31,63,62,125,1176,31,47,156,47,16,78,94,78,31,1
125,110,110,78,93,94,78,203,94,141,0,141,141,109,94,78,16,78,78,78,32,1
187,78,93,94,63,31,63,0,62,94,63,94,234,328,110,93,93,32,78,62,31,1
78,78,63,78,78,94,78,171,78,109,16,78,141,109,94,78,16,78,78,78,32,1
125,94,94,109,109,250,78,110,156,125,140,94,94,78,47,156,265,94,63,78,94,1
110,94,79,78,78,219,93,78,93,62,328,156,93,94,78,109,94,140,93,94,125,1
