dtfk2,dtfk3,ft4,dtfk5,dtfk7,ft7,dtfk9,ft9,ft10,dtfk11,ft11,ft12,dtsk12,dtfk13,ft13,ft14,gender
63,62,109,94,62,94,94,94,78,94,94,31,79,78,63,109,1
78,62,32,94,93,47,94,78,62,110,78,78,156,93,47,94,1
94,94,109,78,62,94,63,94,78,94,94,31,79,63,140,109,1
109,78,313,391,79,15,453,94,62,62,47,234,78,62,125,63,1
15,93,16,516,437,63,15,31,63,47,63,172,16,16,78,32,1
79,78,313,484,250,78,640,63,62,62,47,234,78,46,32,63,1
62,62,109,219,79,46,94,16,62,63,93,16,78,63,62,171,1
453,62,62,62,93,47,94,78,94,47,109,62,16,62,63,46,1
62,47,109,62,62,16,78,47,62,63,93,16,78,63,266,171,1
156,94,172,266,78,157,79,46,63,109,31,31,78,63,78,31,1
125,78,15,0,31,94,63,47,78,110,47,78,63,16,109,78,1
187,93,172,0,78,16,844,62,63,109,31,31,78,78,47,31,1
94,78,141,281,62,94,47,140,78,93,156,93,16,16,78,94,1
156,63,47,0,94,93,47,94,63,16,78,94,156,328,62,141,1
141,62,141,0,78,47,1062,94,78,93,156,93,16,31,62,94,1
109,94,94,94,78,78,94,94,78,78,63,78,78,78,125,31,1
141,62,16,47,79,187,125,94,78,78,62,46,79,78,47,63,1
47,63,94,78,78,47,94,15,78,78,63,78,78,78,218,31,1
125,94,172,125,16,47,94,93,79,141,78,16,78,109,16,16,1
94,16,16,156,47,31,93,94,78,94,94,62,47,109,32,47,1
125,31,172,156,78,47,0,78,79,141,78,16,78,124,16,16,1
141,94,16,94,31,94,562,640,47,16,79,31,78,15,78,110,1
47,63,78,532,62,141,47,109,63,78,32,47,125,15,125,16,1
47,16,16,563,31,78,703,734,47,16,79,31,78,78,31,110,1
125,94,16,125,78,16,0,31,47,94,31,16,94,16,63,15,1
78,62,32,0,31,47,62,32,63,94,16,109,94,391,78,32,1
109,62,16,93,94,31,1312,1375,47,94,31,16,94,62,16,15,1
110,109,63,78,78,16,94,94,63,94,78,31,109,94,78,16,1
109,93,31,156,109,16,110,62,78,75,86,93,47,62,47,16,1
78,62,63,94,109,16,78,172,63,94,78,31,109,109,63,16,1
157,63,62,156,78,204,125,109,78,31,141,94,484,62,47,32,1
187,79,63,0,63,31,16,78,47,15,94,78,62,93,32,78,1
62,78,62,0,62,32,62,78,78,31,141,94,484,47,63,32,1
63,47,63,78,62,63,94,63,47,172,15,16,125,110,125,15,1
141,94,15,0,110,15,94,31,79,78,15,94,16,32,63,31,1
203,78,63,125,78,16,0,31,47,172,15,16,125,94,63,15,1
125,94,156,235,78,47,78,94,94,156,47,125,62,63,47,16,1
156,94,15,94,16,109,43,173,78,203,31,141,343,156,32,32,1
63,63,156,0,78,110,1063,1172,94,156,47,125,62,93,32,16,1
94,78,62,94,62,16,78,109,94,78,47,156,110,32,79,31,1
93,78,47,94,203,265,16,94,110,156,63,94,156,62,78,16,1
78,94,62,78,32,15,812,63,94,78,47,156,110,94,31,31,1
109,94,32,110,78,16,562,94,47,32,78,782,15,47,125,62,1
16,93,15,640,47,94,16,31,63,110,15,62,32,15,78,62,1
46,63,32,0,703,16,719,812,47,32,78,782,15,31,109,62,1
93,78,15,78,63,94,703,109,79,63,93,0,94,15,94,15,1
93,204,15,47,79,78,94,63,78,63,94,93,32,78,156,31,1
78,78,15,94,141,15,859,78,79,63,93,0,94,78,32,15,1
94,78,78,125,125,109,906,94,156,94,94,78,78,94,63,78,1
172,110,16,0,141,93,93,266,62,265,78,109,16,94,703,813,1
93,172,78,891,94,78,1078,78,156,94,94,78,78,125,31,78,1
78,78,0,94,78,15,94,109,62,94,125,594,125,78,47,47,1
125,109,78,94,78,31,47,109,78,94,78,78,63,78,31,47,1
94,79,0,94,47,31,62,94,62,94,125,594,125,94,172,47,1
109,93,265,390,15,93,78,94,125,203,62,172,359,125,94,110,1
110,594,250,0,94,125,31,78,172,16,110,282,15,344,406,313,1
78,219,265,0,141,187,1312,109,125,203,62,172,359,391,31,110,1
110,141,78,156,109,31,78,78,63,234,63,94,63,62,125,203,1
172,128,16,0,94,94,94,62,94,156,47,78,140,32,93,63,1
344,110,78,125,125,62,797,94,63,234,63,94,63,109,156,203,1
93,94,391,110,78,109,109,47,78,297,31,282,109,344,62,32,1
172,93,47,125,16,125,218,157,94,172,31,141,15,62,94,62,1
394,79,391,0,125,188,1172,1313,78,297,31,282,109,94,141,32,1
109,78,15,109,46,47,62,78,47,109,16,47,125,15,78,32,1
109,79,63,0,78,63,94,62,63,94,47,78,110,62,31,47,1
109,63,15,125,62,16,884,62,47,109,16,47,125,94,46,32,1
82,102,53,91,31,78,875,125,47,110,94,343,125,110,31,15,1
109,16,15,78,219,16,110,125,78,94,125,125,250,110,15,15,1
110,16,53,94,156,16,125,110,47,110,94,343,125,109,16,15,1
78,78,15,63,62,32,657,78,15,63,109,16,62,79,15,47,1
62,156,79,515,78,31,109,63,62,78,79,172,15,63,47,16,1
63,46,15,94,110,172,63,109,15,63,109,16,62,79,78,47,1
94,63,63,78,46,16,63,172,79,141,46,32,109,41,65,15,1
156,62,31,78,172,116,63,109,62,156,47,46,219,47,63,47,1
63,63,63,62,32,31,906,94,79,141,46,32,109,46,47,15,1
110,78,156,141,78,16,109,16,63,94,125,16,94,109,32,78,1
110,32,16,172,109,63,109,79,93,78,110,93,32,78,16,31,1
78,94,156,125,94,15,129,62,63,94,125,16,94,63,62,78,1
78,47,47,62,62,110,63,140,62,79,140,15,78,47,94,16,1
93,78,32,78,94,203,141,62,109,109,94,47,78,47,47,47,1
94,78,47,63,78,31,79,171,62,79,140,15,78,78,62,16,1
93,47,250,328,47,78,1078,94,78,140,234,125,78,62,125,31,1
31,141,79,0,140,235,62,188,78,16,93,78,62,156,16,281,1
297,125,250,0,109,141,0,47,78,140,234,125,78,79,31,31,1
93,78,234,94,63,218,78,156,78,63,140,828,78,78,297,219,1
47,78,188,93,78,250,125,62,94,78,140,62,344,94,484,204,1
78,47,234,141,78,375,110,141,78,63,140,828,78,62,375,219,1
93,94,110,250,125,46,62,204,78,125,47,32,93,47,78,78,1
94,62,31,125,78,16,94,266,93,125,15,93,547,0,78,16,1
172,0,110,844,109,32,1047,1203,78,125,47,32,93,78,63,78,1
94,93,32,171,63,62,126,109,47,156,47,16,78,47,78,31,1
47,63,93,110,94,109,140,94,78,78,47,109,0,62,16,15,1
109,63,32,94,62,125,1176,94,47,156,47,16,78,94,62,31,1
110,78,94,78,141,0,141,0,109,94,78,16,78,78,78,32,1
93,94,31,0,94,63,94,125,328,110,93,93,32,78,32,31,1
63,78,94,94,109,16,78,93,109,94,78,16,78,78,16,32,1
94,109,250,78,125,140,94,172,78,47,156,265,94,63,422,94,1
79,78,219,94,62,328,156,94,94,78,109,94,140,93,547,125,1
94,63,250,93,94,187,78,188,78,47,156,265,94,93,203,94,1
93,47,93,156,78,125,78,63,56,78,31,15,110,78,78,31,1
63,63,16,0,62,125,15,109,78,140,0,110,62,31,47,31,1
47,78,93,0,94,31,844,891,56,78,31,15,110,78,172,31,1
110,109,391,438,78,31,78,32,31,109,125,16,78,15,78,0,1
93,78,141,0,31,78,46,125,62,125,31,94,78,32,110,31,1
203,94,391,0,110,31,765,844,31,109,125,16,78,94,62,0,1
110,125,485,594,78,141,140,16,78,47,62,16,93,0,125,32,1
125,78,47,125,32,110,109,0,94,125,62,78,94,94,15,47,1
188,62,485,234,125,78,985,1078,78,47,62,16,93,93,125,32,1
93,47,125,63,62,32,63,156,47,78,78,172,78,63,78,79,1
94,78,46,47,78,15,109,63,78,78,94,62,47,63,125,63,1
78,78,125,46,62,16,62,141,47,78,78,172,78,78,62,79,1
156,172,128,225,63,47,94,93,62,78,63,15,62,32,93,47,1
109,109,47,609,79,93,62,94,78,79,78,94,78,78,0,62,1
15,78,128,0,94,31,812,78,62,78,63,15,62,47,78,47,1
63,63,63,140,63,578,63,109,94,78,94,78,62,47,109,63,1
79,94,62,125,94,78,94,63,78,78,125,110,78,47,438,31,1
63,94,63,47,125,453,63,125,94,78,94,78,62,94,47,63,1
94,78,271,380,47,16,62,78,62,125,32,15,78,32,94,16,1
31,78,32,0,62,31,94,31,62,312,63,94,141,62,32,31,1
141,62,271,125,62,0,813,891,62,125,32,15,78,79,31,16,1
94,78,140,79,47,141,63,156,47,63,93,125,62,63,125,110,1
94,63,94,94,78,78,125,47,78,78,110,62,78,78,63,47,1
94,62,140,78,63,125,63,187,47,63,93,125,62,78,78,110,1
125,78,31,172,94,16,172,47,93,140,47,46,79,31,94,32,1
47,109,15,110,31,63,15,141,110,829,31,78,110,62,47,31,1
78,93,31,172,94,78,719,875,93,140,47,46,79,109,0,32,1
110,78,78,62,78,31,47,547,62,78,94,0,78,31,79,62,1
0,47,61,78,63,62,31,110,78,62,110,94,15,31,31,47,1
93,94,78,79,94,47,895,62,62,78,94,0,78,78,47,62,1
94,78,188,78,110,31,78,110,63,78,110,125,110,125,125,32,1
140,109,0,0,156,31,78,156,47,62,94,94,235,125,0,235,1
78,78,188,0,156,16,203,62,63,78,110,125,110,125,31,32,1
109,125,109,203,31,63,93,0,62,157,31,31,47,156,110,16,1
32,31,94,1469,0,62,47,32,78,0,47,156,16,31,125,31,1
47,31,109,141,125,719,859,110,62,157,31,31,47,94,0,16,1
110,94,203,78,78,344,94,531,79,94,140,47,109,78,391,109,1
94,109,157,62,78,172,157,78,63,94,172,94,110,78,516,125,1
109,407,203,1109,94,203,63,250,79,94,140,47,109,93,235,109,1
47,140,79,110,78,16,469,578,78,63,47,31,63,48,5,109,1
31,93,94,141,16,78,47,140,78,16,78,109,31,16,94,109,1
235,110,79,438,625,32,0,62,78,63,47,31,63,16,110,109,1
125,109,109,157,110,94,125,110,109,94,203,157,171,110,93,15,1
156,94,141,172,125,125,125,156,110,16,141,172,78,531,140,63,1
312,93,109,94,141,140,750,125,109,94,203,157,171,93,110,15,1
125,94,125,125,109,63,94,109,62,125,94,110,93,94,47,62,1
125,94,47,109,110,140,94,125,93,156,47,94,453,94,31,94,1
156,93,125,125,125,110,125,94,62,125,94,110,93,94,78,62,1
109,63,125,94,78,109,78,94,63,78,110,46,63,63,94,62,1
78,62,31,94,110,15,63,78,109,94,93,63,109,63,16,109,1
109,63,125,110,93,0,93,125,63,78,110,46,63,63,31,62,1
110,171,47,156,94,31,110,47,141,250,31,16,114,78,109,0,1
0,110,0,110,62,109,0,140,110,125,93,93,110,62,140,0,1
312,109,47,125,141,15,860,125,141,250,31,16,114,125,0,0,1
78,78,16,141,78,63,109,32,47,62,140,78,16,0,110,62,1
32,125,78,0,78,78,47,93,109,78,93,109,187,94,15,31,1
79,78,16,187,140,63,937,94,47,62,140,78,16,78,141,62,1
94,109,16,203,125,16,94,188,62,94,78,94,78,94,109,31,1
219,94,32,156,109,0,16,141,93,109,63,78,109,15,78,15,1
63,94,16,0,47,16,110,78,62,94,78,94,78,78,15,31,1
125,109,109,203,125,47,94,343,78,109,63,110,93,78,94,47,1
141,109,47,0,46,109,141,266,62,78,110,94,172,79,78,31,1
94,110,109,0,141,31,1020,1114,78,109,63,110,93,94,484,47,1
78,141,31,78,15,47,687,125,16,47,125,47,63,31,78,78,1
15,47,156,531,47,79,0,78,94,94,0,109,31,32,78,62,1
62,31,31,671,78,32,797,937,16,47,125,47,63,0,79,78,1
109,141,31,125,63,125,610,109,47,47,141,16,63,46,109,93,1
62,94,110,0,0,16,125,203,93,0,93,78,156,0,94,63,1
15,203,31,657,250,78,656,781,47,47,141,16,63,93,63,93,1
62,63,172,78,78,79,109,125,60,47,125,94,62,63,94,79,1
47,63,62,78,94,93,115,76,78,78,109,176,13,63,78,141,1
62,62,172,62,78,140,62,63,60,47,125,94,62,62,141,79,1
110,109,79,109,47,234,0,16,62,140,16,203,63,32,78,16,2
94,93,63,0,94,109,62,203,78,109,16,63,94,78,265,16,2
328,78,79,0,125,109,813,156,62,140,16,203,63,78,219,16,2
78,62,156,250,109,62,93,157,63,94,62,47,78,156,63,47,2
219,63,47,0,47,125,172,219,62,79,78,62,266,16,78,31,2
218,94,156,62,63,15,953,1047,63,94,62,47,78,78,110,47,2
172,78,141,250,62,47,0,31,62,32,141,78,16,16,78,31,2
110,94,172,0,47,125,141,31,63,31,94,63,125,16,78,31,2
110,62,141,906,94,203,735,797,62,32,141,78,16,110,15,31,2
109,62,31,109,62,32,0,47,188,218,47,47,62,16,78,46,2
63,63,16,0,31,47,79,93,63,94,15,156,16,16,78,47,2
110,78,31,0,125,78,703,766,188,218,47,47,62,47,15,46,2
94,78,31,140,93,16,94,125,63,62,94,94,109,125,78,78,2
125,94,62,0,31,109,94,46,78,94,109,78,78,16,78,63,2
219,94,31,109,109,16,937,63,63,62,94,94,109,78,94,78,2
113,69,63,80,89,36,78,297,78,69,111,78,109,81,37,69,2
68,98,31,70,89,24,172,94,68,78,94,62,141,79,13,63,2
39,79,63,73,11,73,74,258,78,69,111,78,109,78,15,69,2
125,94,63,172,79,78,78,109,250,156,63,47,125,15,63,78,2
78,78,16,0,109,94,141,78,78,110,47,94,62,410,94,172,2
110,78,63,0,93,172,828,94,250,156,63,47,125,125,266,78,2
125,63,32,187,63,31,562,110,94,94,78,15,78,20,88,16,2
47,94,16,110,47,117,94,78,47,94,31,172,15,32,32,46,2
125,78,32,109,63,15,719,94,94,94,78,15,78,125,15,16,2
78,63,219,62,63,109,78,109,63,79,125,203,62,62,188,47,2
62,47,63,63,79,125,125,94,828,93,110,62,485,47,172,62,2
47,47,219,47,94,219,79,171,63,79,125,203,62,63,125,47,2
109,78,63,109,94,0,109,47,78,78,93,47,78,47,78,31,2
156,78,31,78,16,62,63,93,78,109,110,94,62,78,78,31,2
94,94,63,93,94,31,843,984,78,78,93,47,78,94,31,31,2
125,110,31,79,78,16,172,78,62,125,62,15,94,31,78,16,2
125,62,32,98,62,94,62,94,78,79,93,78,0,62,32,32,2
31,46,31,94,78,16,609,94,62,125,62,15,94,62,32,16,2
78,79,15,140,109,0,94,46,63,94,94,0,78,16,78,16,2
16,62,32,0,31,140,31,125,78,78,94,78,31,78,15,16,2
78,62,15,0,62,31,781,94,63,94,94,0,78,94,15,16,2
63,46,62,78,62,16,62,157,62,63,109,234,31,47,78,31,2
125,47,47,125,110,62,156,63,125,62,125,63,94,16,78,47,2
63,62,62,79,62,16,922,62,62,63,109,234,31,62,47,31,2
141,109,62,172,94,46,94,16,47,141,62,109,94,16,93,47,2
172,94,32,94,16,141,78,62,94,109,31,78,47,16,78,62,2
250,63,62,78,79,15,828,968,47,141,62,109,94,79,46,47,2
78,62,63,78,63,78,62,63,62,78,93,78,62,47,31,47,2
47,62,78,63,78,125,94,157,78,78,94,93,78,78,47,62,2
47,62,63,47,62,78,62,63,62,78,93,78,62,63,31,47,2
63,31,47,125,93,16,594,78,78,47,63,110,62,16,47,0,2
31,78,93,484,609,47,110,31,63,31,62,109,62,0,94,94,2
32,78,47,0,31,78,0,547,78,47,63,110,62,16,93,0,2
109,78,157,78,79,78,125,141,62,79,78,63,93,94,15,31,2
78,78,0,109,125,141,15,125,78,78,110,78,94,78,47,94,2
93,93,157,47,140,63,0,32,62,79,78,63,93,94,156,31,2
