dtfk1,dtsk1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk5,dtsk6,dtfk7,ft7,dtfk8,dtfk9,ft9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtfk13,dtfk14,ft14,sum,gender
47,63,63,62,78,78,109,94,78,62,62,94,78,94,94,141,78,78,94,94,78,47,109,3423,1
62,93,78,62,62,62,32,94,94,79,93,47,78,94,78,47,62,79,110,78,93,62,94,3295,1
63,93,94,94,32,78,109,78,94,94,62,94,93,63,94,141,78,78,94,94,63,47,109,3422,1
109,109,109,78,62,62,313,391,62,78,79,15,94,453,94,16,62,47,62,47,62,31,63,4029,1
78,78,15,93,62,62,16,516,32,16,437,63,78,15,31,32,63,62,47,63,16,47,32,3846,1
32,16,79,78,50,62,313,484,62,15,250,78,90,640,63,16,62,47,62,47,46,31,63,4828,1
78,62,62,62,78,78,109,219,63,63,79,46,78,94,16,63,62,94,63,93,63,79,171,3970,1
63,63,453,62,78,47,62,62,94,47,93,47,63,94,78,62,94,47,47,109,62,63,46,3172,1
78,62,62,47,47,78,109,62,94,94,62,16,79,78,47,63,62,94,63,93,63,79,171,3378,1
119,156,156,94,78,78,172,266,94,94,78,157,94,79,46,594,63,93,109,31,63,94,31,4577,1
94,94,125,78,93,78,15,0,78,844,31,94,63,63,47,94,78,47,110,47,16,94,78,3844,1
15,16,187,93,94,78,172,0,78,63,78,16,62,844,62,594,63,93,109,31,78,94,31,4530,1
78,94,94,78,63,63,141,281,47,47,62,94,125,47,140,47,78,63,93,156,16,47,94,3734,1
47,78,156,63,32,47,47,0,47,62,94,93,187,47,94,78,63,62,16,78,328,63,141,3222,1
235,328,141,62,63,63,141,0,109,47,78,47,63,1062,94,47,78,63,93,156,31,47,94,4719,1
79,109,109,94,78,78,94,94,78,94,78,78,63,94,94,78,78,94,78,63,78,63,31,3765,1
94,78,141,62,94,78,16,47,78,94,79,187,62,125,94,47,78,47,78,62,78,78,63,3425,1
78,78,47,63,63,78,94,78,78,125,78,47,78,94,15,78,78,94,78,63,78,63,31,3281,1
109,125,125,94,63,63,172,125,125,125,16,47,94,94,93,16,79,62,141,78,109,125,16,3737,1
125,47,94,16,47,109,16,156,125,110,47,31,109,93,94,94,78,93,94,94,109,78,47,3577,1
93,109,125,31,15,63,172,156,172,93,78,47,78,0,78,16,79,62,141,78,124,125,16,4000,1
94,141,141,94,93,93,16,94,31,110,31,94,4,562,640,15,47,78,16,79,15,16,110,4273,1
110,15,47,63,16,110,78,532,32,47,62,141,172,47,109,62,63,62,78,32,15,78,16,4784,1
31,15,47,16,31,93,16,563,32,47,31,78,72,703,734,15,47,78,16,79,78,16,110,6569,1
62,125,125,94,62,62,16,125,16,62,78,16,78,0,31,15,47,78,94,31,16,94,15,2609,1
62,78,78,62,110,78,32,0,47,32,31,47,63,62,32,46,63,47,94,16,391,62,32,2828,1
16,391,109,62,62,62,16,93,78,62,94,31,77,1312,1375,15,47,78,94,31,62,94,15,6135,1
94,110,110,109,78,78,63,78,78,110,78,16,109,94,94,31,63,93,94,78,94,78,16,3422,1
110,78,109,93,78,109,31,156,266,109,109,16,93,110,62,62,78,79,75,86,62,93,16,3563,1
109,62,78,62,94,78,63,94,109,110,109,16,110,78,172,31,63,93,94,78,109,78,16,3358,1
78,157,157,63,62,62,62,156,78,94,78,204,140,125,109,219,78,78,31,141,62,78,32,4014,1
94,94,187,79,109,250,63,0,79,157,63,31,31,16,78,78,47,78,15,94,93,31,78,3061,1
94,93,62,78,79,62,62,0,141,16,62,32,78,62,78,219,78,78,31,141,47,78,32,3506,1
47,63,63,47,16,16,63,78,31,78,62,63,78,94,63,47,47,93,172,15,110,63,15,2970,1
78,110,141,94,47,110,15,0,78,15,110,15,62,94,31,78,79,78,78,15,32,47,31,2738,1
16,32,203,78,63,16,63,125,125,94,78,16,78,0,31,47,47,93,172,15,94,63,15,2846,1
47,125,125,94,78,78,156,235,94,250,78,47,78,78,94,156,94,110,156,47,63,62,16,5096,1
250,125,156,94,62,78,15,94,109,141,16,109,62,43,173,79,78,62,203,31,156,62,32,4137,1
78,156,63,63,94,78,156,0,109,43,78,110,78,1063,1172,156,94,110,156,47,93,62,16,5517,1
78,94,94,78,63,63,62,94,78,110,62,16,78,78,109,31,94,62,78,47,32,94,31,3534,1
110,78,93,78,78,47,47,94,79,62,203,265,62,16,94,47,110,62,156,63,62,125,16,3531,1
94,62,78,94,63,63,62,78,63,16,32,15,110,812,63,31,94,62,78,47,94,94,31,4454,1
109,109,109,94,93,93,32,110,62,63,78,16,79,562,94,656,47,63,32,78,47,15,62,5333,1
63,78,16,93,32,78,15,640,63,141,47,94,16,16,31,78,63,141,110,15,15,15,62,4297,1
94,15,46,63,78,93,32,0,125,16,703,16,62,719,812,656,47,63,32,78,31,15,62,7947,1
78,93,93,78,63,63,15,78,78,94,63,94,94,703,109,31,79,62,63,93,15,110,15,4015,1
94,94,93,204,78,110,15,47,219,94,79,78,15,94,63,63,78,62,63,94,78,94,31,3294,1
94,78,78,78,78,63,15,94,234,94,141,15,78,859,78,31,79,62,63,93,78,110,15,4452,1
93,94,94,78,94,94,78,125,78,250,125,109,94,906,94,94,156,78,94,94,94,78,78,5954,1
250,125,172,110,78,93,16,0,93,94,141,93,47,93,266,172,62,79,265,78,94,109,813,5530,1
140,94,93,172,78,94,78,891,172,93,94,78,156,1078,78,94,156,78,94,94,125,78,78,5998,1
562,78,78,78,94,94,0,94,94,93,78,15,94,94,109,109,62,94,94,125,78,93,47,4670,1
93,78,125,109,62,110,78,94,94,94,78,31,62,47,109,63,78,109,94,78,78,78,47,3172,1
156,78,94,79,93,94,0,94,94,47,47,31,78,62,94,109,62,94,94,125,94,93,47,4016,1
125,109,109,93,141,141,265,390,110,38,15,93,109,78,94,46,125,985,203,62,125,78,110,6223,1
38,297,110,594,15,172,250,0,187,140,94,125,94,31,78,94,172,109,16,110,344,156,313,6904,1
16,344,78,219,15,141,265,0,140,31,141,187,94,1312,109,46,125,985,203,62,391,78,110,7576,1
94,110,110,141,94,94,78,156,93,78,109,31,94,78,78,78,63,234,234,63,62,94,203,4641,1
