dtfk1,ft1,dtfk3,dtsk3,ft4,ft5,dtsk5,ft6,dtsk6,dtfk7,ft9,dtsk9,ft10,dtsk10,dtfk11,ft11,dtfk12,ft12,ft13,dtfk14,sum,gender
47,31,62,78,109,156,78,110,62,62,94,78,78,78,94,94,109,31,63,47,3423,1
62,32,62,62,32,125,94,62,79,93,78,94,62,79,110,78,125,78,47,62,3295,1
63,78,94,32,109,140,94,62,94,62,94,93,78,78,94,94,109,31,140,47,3422,1
109,16,78,62,313,47,62,16,78,79,94,31,62,47,62,47,94,234,125,31,4029,1
78,16,93,62,16,578,32,125,16,437,31,94,63,62,47,63,94,172,78,47,3846,1
32,62,78,50,313,79,62,47,15,250,63,437,62,47,62,47,94,234,32,31,4828,1
78,594,62,78,109,15,63,125,63,79,16,109,62,94,63,93,78,16,62,79,3970,1
63,31,62,78,62,47,94,62,47,93,78,78,94,47,47,109,94,62,63,63,3172,1
78,110,47,47,109,32,94,78,94,62,47,93,62,94,63,93,78,16,266,79,3378,1
119,47,94,78,172,47,94,63,94,78,46,114,63,93,109,31,94,31,78,94,4577,1
94,93,78,93,15,31,78,63,844,31,47,109,78,47,110,47,172,78,109,94,3844,1
15,94,93,94,172,16,78,31,63,78,62,31,63,93,109,31,94,31,47,94,4530,1
78,78,78,63,141,47,47,187,47,62,140,234,78,63,93,156,15,93,78,47,3734,1
47,78,63,32,47,47,47,94,62,94,94,94,63,62,16,78,32,94,62,63,3222,1
235,47,62,63,141,31,109,15,47,78,94,94,78,63,93,156,15,93,62,47,4719,1
79,125,94,78,94,312,78,93,94,78,94,93,78,94,78,63,62,78,125,63,3765,1
94,16,62,94,16,188,78,78,94,79,94,78,78,47,78,62,204,46,47,78,3425,1
78,31,63,63,94,172,78,63,125,78,15,79,78,94,78,63,62,78,218,63,3281,1
109,78,94,63,172,156,125,62,125,16,93,94,79,62,141,78,203,16,16,125,3737,1
125,188,16,47,16,109,125,78,110,47,94,94,78,93,94,94,79,62,32,78,3577,1
93,16,31,15,172,547,172,79,93,78,78,47,79,62,141,78,203,16,16,125,4000,1
94,47,94,93,16,47,31,62,110,31,640,16,47,78,16,79,672,31,78,16,4273,1
110,94,63,16,78,625,32,141,47,62,109,141,63,62,78,32,671,47,125,78,4784,1
31,94,16,31,16,656,32,31,47,31,734,62,47,78,16,79,672,31,31,16,6569,1
62,63,94,62,16,32,16,31,62,78,31,94,47,78,94,31,93,16,63,94,2609,1
62,16,62,110,32,16,47,140,32,31,32,62,63,47,94,16,78,109,78,62,2828,1
16,94,62,62,16,16,78,16,62,94,1375,31,47,78,94,31,93,16,16,94,6135,1
94,62,109,78,63,94,78,94,110,78,94,109,63,93,94,78,94,31,78,78,3422,1
110,15,93,78,31,141,266,63,109,109,62,94,78,79,75,86,78,93,47,93,3563,1
109,16,62,94,63,78,109,93,110,109,172,109,63,93,94,78,94,31,63,78,3358,1
78,31,63,62,62,32,78,16,94,78,109,31,78,78,31,141,15,94,47,78,4014,1
94,31,79,109,63,15,79,78,157,63,78,94,47,78,15,94,125,78,32,31,3061,1
94,16,78,79,62,47,141,113,16,62,78,63,78,78,31,141,15,94,63,78,3506,1
47,93,47,16,63,156,31,31,78,62,63,125,47,93,172,15,78,16,125,63,2970,1
78,32,94,47,15,16,78,79,15,110,31,109,79,78,78,15,93,94,63,47,2738,1
16,62,78,63,63,16,125,16,94,78,31,110,47,93,172,15,78,16,63,63,2846,1
47,281,94,78,156,31,94,188,250,78,94,94,94,110,156,47,109,125,47,62,5096,1
250,16,94,62,15,125,109,62,141,16,173,267,78,62,203,31,31,141,32,62,4137,1
78,47,63,94,156,46,109,85,43,78,1172,16,94,110,156,47,109,125,32,62,5517,1
78,187,78,63,62,141,78,32,110,62,109,156,94,62,78,47,109,156,79,94,3534,1
110,15,78,78,47,109,79,63,62,203,94,94,110,62,156,63,78,94,78,125,3531,1
94,16,94,63,62,94,63,109,16,32,63,203,94,62,78,47,109,156,31,94,4454,1
109,31,94,93,32,62,62,62,63,78,94,16,47,63,32,78,766,782,125,15,5333,1
63,15,93,32,15,703,63,62,141,47,31,62,63,141,110,15,832,62,78,15,4297,1
94,157,63,78,32,15,125,31,16,703,812,47,47,63,32,78,766,782,109,15,7947,1
78,16,78,63,15,94,78,109,94,63,109,78,79,62,63,93,78,0,94,110,4015,1
94,15,204,78,15,125,219,47,94,79,63,46,78,62,63,94,78,93,156,94,3294,1
