ft1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk5,ft6,dtsk6,dtfk7,dtfk9,dtsk9,dtfk10,ft10,dtsk10,ft11,dtsk11,dtfk12,dtfk13,ft13,dtsk13,ft14,gender
31,63,62,78,78,109,94,78,110,62,62,94,78,141,78,78,94,31,109,78,63,94,109,1
32,78,62,62,62,32,94,94,62,79,93,94,94,47,62,79,78,93,125,93,47,78,94,1
78,94,94,32,78,109,78,94,62,94,62,63,93,141,78,78,94,31,109,63,140,47,109,1
16,109,78,62,62,313,391,62,16,78,79,453,31,16,62,47,47,32,94,62,125,16,63,1
16,15,93,62,62,16,516,32,125,16,437,15,94,32,63,62,63,94,94,16,78,94,32,1
62,79,78,50,62,313,484,62,47,15,250,640,437,16,62,47,47,32,94,46,32,62,63,1
594,62,62,78,78,109,219,63,125,63,79,94,109,63,62,94,93,63,78,63,62,78,171,1
31,453,62,78,47,62,62,94,62,47,93,94,78,62,94,47,109,47,94,62,63,78,46,1
110,62,47,47,78,109,62,94,78,94,62,78,93,63,62,94,93,63,78,63,266,109,171,1
47,156,94,78,78,172,266,94,63,94,78,79,114,594,63,93,31,94,94,63,78,15,31,1
93,125,78,93,78,15,0,78,63,844,31,63,109,94,78,47,47,78,172,16,109,78,78,1
94,187,93,94,78,172,0,78,31,63,78,844,31,594,63,93,31,94,94,78,47,110,31,1
78,94,78,63,63,141,281,47,187,47,62,47,234,47,78,63,156,47,15,16,78,94,94,1
78,156,63,32,47,47,0,47,94,62,94,47,94,78,63,62,78,47,32,328,62,47,141,1
47,141,62,63,63,141,0,109,15,47,78,1062,94,47,78,63,156,47,15,31,62,328,94,1
125,109,94,78,78,94,94,78,93,94,78,94,93,78,78,94,63,78,62,78,125,63,31,1
16,141,62,94,78,16,47,78,78,94,79,125,78,47,78,47,62,63,204,78,47,78,63,1
31,47,63,63,78,94,78,78,63,125,78,94,79,78,78,94,63,78,62,78,218,79,31,1
78,125,94,63,63,172,125,125,62,125,16,94,94,16,79,62,78,157,203,109,16,94,16,1
188,94,16,47,109,16,156,125,78,110,47,93,94,94,78,93,94,62,79,109,32,78,47,1
16,125,31,15,63,172,156,172,79,93,78,0,47,16,79,62,78,157,203,124,16,78,16,1
47,141,94,93,93,16,94,31,62,110,31,562,16,15,47,78,79,62,672,15,78,32,110,1
94,47,63,16,110,78,532,32,141,47,62,47,141,62,63,62,32,141,671,15,125,15,16,1
94,47,16,31,93,16,563,32,31,47,31,703,62,15,47,78,79,62,672,78,31,109,110,1
63,125,94,62,62,16,125,16,31,62,78,0,94,15,47,78,31,47,93,16,63,31,15,1
16,78,62,110,78,32,0,47,140,32,31,62,62,46,63,47,16,109,78,391,78,15,32,1
94,109,62,62,62,16,93,78,16,62,94,1312,31,15,47,78,31,47,93,62,16,62,15,1
62,110,109,78,78,63,78,78,94,110,78,94,109,31,63,93,78,109,94,94,78,78,16,1
