dtfk1,ft1,dtfk2,dtfk3,ft4,dtsk4,dtfk5,ft5,dtfk6,dtsk6,dtfk7,ft7,dtfk9,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtfk12,dtsk12,ft13,dtsk13,dtfk14,ft14,dtsk14,gender
47,31,63,62,109,94,94,156,62,62,62,94,94,78,141,78,78,94,94,109,79,63,94,47,109,63,1
62,32,78,62,32,62,94,125,78,79,93,47,94,94,47,62,79,110,78,125,156,47,78,62,94,63,1
63,78,94,94,109,94,78,140,47,94,62,94,63,93,141,78,78,94,94,109,79,140,47,47,109,63,1
109,16,109,78,313,391,391,47,62,78,79,15,453,31,16,62,47,62,47,94,78,125,16,31,63,15,1
78,16,15,93,16,47,516,578,47,16,437,63,15,94,32,63,62,47,63,94,16,78,94,47,32,46,1
32,62,79,78,313,391,484,79,79,15,250,78,640,437,16,62,47,62,47,94,78,32,62,31,63,15,1
78,594,62,62,109,219,219,15,78,63,79,46,94,109,63,62,94,63,93,78,78,62,78,79,171,63,1
63,31,453,62,62,63,62,47,94,47,93,47,94,78,62,94,47,47,109,94,16,63,78,63,46,63,1
78,110,62,47,109,219,62,32,16,94,62,16,78,93,63,62,94,63,93,78,78,266,109,79,171,63,1
119,47,156,94,172,266,266,47,93,94,78,157,79,114,594,63,93,109,31,94,78,78,15,94,31,78,1
94,93,125,78,15,78,0,31,93,844,31,94,63,109,94,78,47,110,47,172,63,109,78,94,78,78,1
15,94,187,93,172,266,0,16,62,63,78,16,844,31,594,63,93,109,31,94,78,47,110,94,31,78,1
78,78,94,78,141,281,281,47,32,47,62,94,47,234,47,78,63,93,156,15,16,78,94,47,94,47,1
47,78,156,63,47,78,0,47,63,62,94,93,47,94,78,63,62,16,78,32,156,62,47,63,141,31,1
235,47,141,62,141,281,0,31,78,47,78,47,1062,94,47,78,63,93,156,15,16,62,328,47,94,47,1
79,125,109,94,94,94,94,312,94,94,78,78,94,93,78,78,94,78,63,62,78,125,63,63,31,62,1
94,16,141,62,16,62,47,188,94,94,79,187,125,78,47,78,47,78,62,204,79,47,78,78,63,78,1
78,31,47,63,94,94,78,172,31,125,78,47,94,79,78,78,94,78,63,62,78,218,79,63,31,62,1
109,78,125,94,172,125,125,156,47,125,16,47,94,94,16,79,62,141,78,203,78,16,94,125,16,109,1
125,188,94,16,16,78,156,109,62,110,47,31,93,94,94,78,93,94,94,79,47,32,78,78,47,124,1
93,16,125,31,172,125,156,547,15,93,78,47,0,47,16,79,62,141,78,203,78,16,78,125,16,109,1
94,47,141,94,16,94,94,47,16,110,31,94,562,16,15,47,78,16,79,672,78,78,32,16,110,31,1
110,94,47,63,78,94,532,625,78,47,62,141,47,141,62,63,62,78,32,671,125,125,15,78,16,78,1
31,94,47,16,16,94,563,656,156,47,31,78,703,62,15,47,78,16,79,672,78,31,109,16,110,31,1
62,63,125,94,16,125,125,32,110,62,78,16,0,94,15,47,78,94,31,93,94,63,31,94,15,78,1
62,16,78,62,32,62,0,16,78,32,31,47,62,62,46,63,47,94,16,78,94,78,15,62,32,62,1
16,94,109,62,16,125,93,16,62,62,94,31,1312,31,15,47,78,94,31,93,94,16,62,94,15,78,1
94,62,110,109,63,78,78,94,78,110,78,16,94,109,31,63,93,94,78,94,109,78,78,78,16,94,1
110,15,109,93,31,78,156,141,93,109,109,16,110,94,62,78,79,75,86,78,47,47,78,93,16,109,1
109,16,78,62,63,78,94,78,47,110,109,16,78,109,31,63,93,94,78,94,109,63,78,78,16,94,1
78,31,157,63,62,156,156,32,109,94,78,204,125,31,219,78,78,31,141,15,484,47,78,78,32,93,1
94,31,187,79,63,31,0,15,78,157,63,31,16,94,78,47,78,15,94,125,62,32,78,31,78,47,1
94,16,62,78,62,156,0,47,19,16,62,32,62,63,219,78,78,31,141,15,484,63,31,78,32,93,1
47,93,63,47,63,78,78,156,47,78,62,63,94,125,47,47,93,172,15,78,125,125,93,63,15,79,1
78,32,141,94,15,79,0,16,93,15,110,15,94,109,78,79,78,78,15,93,16,63,47,47,31,94,1
16,62,203,78,63,78,125,16,94,94,78,16,0,110,47,47,93,172,15,78,125,63,93,63,15,79,1
47,281,125,94,156,235,235,31,62,250,78,47,78,94,156,94,110,156,47,109,62,47,265,62,16,94,1
250,16,156,94,15,78,94,125,110,141,16,109,43,267,79,78,62,203,31,31,343,32,93,62,32,93,1
78,47,63,63,156,235,0,46,62,43,78,110,1063,16,156,94,110,156,47,109,62,32,78,62,16,94,1
78,187,94,78,62,94,94,141,78,110,62,16,78,156,31,94,62,78,47,109,110,79,78,94,31,78,1
110,15,93,78,47,62,94,109,62,62,203,265,16,94,47,110,62,156,63,78,156,78,78,125,16,94,1
94,16,78,94,62,94,78,94,16,16,32,15,812,203,31,94,62,78,47,109,110,31,63,94,31,78,1
109,31,109,94,32,110,110,62,32,63,78,16,562,16,656,47,63,32,78,766,15,125,16,15,62,47,1
63,15,16,93,15,62,640,703,63,141,47,94,16,62,78,63,141,110,15,832,32,78,15,15,62,31,1
94,157,46,63,32,110,0,15,110,16,703,16,719,47,656,47,63,32,78,766,15,109,16,15,62,47,1
78,16,93,78,15,78,78,94,78,94,63,94,703,78,31,79,62,63,93,78,94,94,469,110,15,78,1
94,15,93,204,15,93,47,125,62,94,79,78,94,46,63,78,62,63,94,78,32,156,78,94,31,78,1
94,47,78,78,15,78,94,125,15,94,141,15,859,79,31,79,62,63,93,78,94,32,109,110,15,78,1
93,16,94,78,78,125,125,94,78,250,125,109,906,891,94,156,78,94,94,94,78,63,109,78,78,78,1
250,16,172,110,16,78,0,62,78,94,141,93,93,63,172,62,79,265,78,156,16,703,62,109,813,125,1
140,16,93,172,78,125,891,93,94,93,94,78,1078,141,94,156,78,94,94,94,78,31,110,78,78,78,1
562,16,78,78,0,94,94,109,62,93,78,15,94,234,109,62,94,94,125,78,125,47,78,93,47,78,1
93,16,125,109,78,78,94,78,94,94,78,31,47,32,63,78,109,94,78,109,63,31,78,78,47,94,1
156,47,94,79,0,94,94,78,31,47,47,31,62,78,109,62,94,94,125,78,125,172,94,93,47,78,1
125,157,109,93,265,390,390,63,15,38,15,93,78,141,46,125,985,203,62,47,359,94,141,78,110,109,1
38,129,110,594,250,31,0,15,985,140,94,125,31,235,94,172,109,16,110,157,15,406,16,156,313,391,1
16,125,78,219,265,390,0,46,31,31,141,187,1312,94,46,125,985,203,62,47,359,31,109,78,110,109,1
94,296,110,141,78,156,156,63,93,78,109,31,78,78,78,63,234,234,63,109,63,125,94,94,203,140,1
78,94,172,128,16,62,0,78,234,94,94,94,94,94,78,94,78,156,47,141,140,93,47,78,63,109,1
125,93,344,110,78,156,125,62,93,94,125,62,797,94,78,63,234,234,63,109,63,156,63,94,203,140,1
141,16,93,94,391,110,110,15,78,93,78,109,109,172,297,78,235,297,31,93,109,62,360,93,32,109,1
93,32,172,93,47,94,125,15,235,250,16,125,218,15,78,94,94,172,31,78,15,94,344,94,62,94,1
234,141,394,79,391,110,0,15,16,218,125,188,1172,16,297,78,235,297,31,93,109,141,266,93,32,109,1
62,32,109,78,15,109,109,16,31,63,46,47,62,188,94,47,94,109,16,94,125,78,47,62,32,78,1
63,15,109,79,63,31,0,15,94,78,78,63,94,94,78,63,62,94,47,109,110,31,63,63,47,94,1
78,63,109,63,15,109,125,16,16,94,62,16,884,78,94,47,94,109,16,94,125,46,47,62,32,78,1
141,15,82,102,53,91,91,259,63,109,31,78,875,125,156,47,78,110,94,110,125,31,125,94,15,125,1
109,188,109,16,15,63,78,172,78,157,219,16,110,109,79,78,93,94,125,125,250,15,109,156,15,109,1
125,15,110,16,53,91,94,223,16,110,156,16,125,219,156,47,78,110,94,110,125,16,125,94,15,125,1
94,31,78,78,15,63,63,62,78,78,62,32,657,109,78,15,79,63,109,78,62,15,47,15,47,16,1
78,16,62,156,79,62,515,63,79,78,78,31,109,94,63,62,125,78,79,109,15,47,78,109,16,79,1
140,31,63,46,15,63,94,62,31,109,110,172,63,78,78,15,79,63,109,78,62,78,62,15,47,16,1
125,62,94,63,63,78,78,125,78,172,46,16,63,78,265,79,78,141,46,62,109,65,78,78,15,63,1
172,16,156,62,31,94,78,125,78,110,172,116,63,62,31,62,79,156,47,126,219,63,62,78,47,46,1
94,31,63,63,63,78,62,125,78,63,32,31,906,172,265,79,78,141,46,62,109,47,94,78,15,63,1
78,62,110,78,156,141,141,16,110,203,78,16,109,140,47,63,94,94,125,187,94,32,109,79,78,62,1
203,31,110,32,16,62,172,15,94,125,109,63,109,15,63,93,79,78,110,110,32,16,93,94,31,63,1
78,47,78,94,156,141,125,109,47,109,94,15,129,109,47,63,94,94,125,187,94,62,47,79,78,62,1
62,32,78,47,47,62,62,141,63,78,62,110,63,79,78,62,79,79,140,63,78,94,63,78,16,62,1
