dtsk1,dtfk3,dtsk3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtsk6,dtfk7,ft7,dtsk7,dtfk8,dtsk8,dtfk9,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,ft13,dtsk13,dtfk14,ft14,sum,gender
63,62,78,109,94,94,156,78,62,62,94,94,78,62,94,78,141,78,78,94,94,31,63,94,47,109,3423,1
93,62,62,32,62,94,125,94,79,93,47,78,78,47,94,94,47,62,79,110,78,78,47,78,62,94,3295,1
93,94,32,109,94,78,140,94,94,62,94,78,93,125,63,93,141,78,78,94,94,31,140,47,47,109,3422,1
109,78,62,313,391,391,47,62,78,79,15,78,94,109,453,31,16,62,47,62,47,234,125,16,31,63,4029,1
78,93,62,16,47,516,578,32,16,437,63,62,78,94,15,94,32,63,62,47,63,172,78,94,47,32,3846,1
16,78,50,313,391,484,79,62,15,250,78,47,90,94,640,437,16,62,47,62,47,234,32,62,31,63,4828,1
62,62,78,109,219,219,15,63,63,79,46,47,78,63,94,109,63,62,94,63,93,16,62,78,79,171,3970,1
63,62,78,62,63,62,47,94,47,93,47,63,63,63,94,78,62,94,47,47,109,62,63,78,63,46,3172,1
62,47,47,109,219,62,32,94,94,62,16,78,79,94,78,93,63,62,94,63,93,16,266,109,79,171,3378,1
156,94,78,172,266,266,47,94,94,78,157,93,94,63,79,114,594,63,93,109,31,31,78,15,94,31,4577,1
94,78,93,15,78,0,31,78,844,31,94,63,63,62,63,109,94,78,47,110,47,78,109,78,94,78,3844,1
16,93,94,172,266,0,16,78,63,78,16,93,62,172,844,31,594,63,93,109,31,31,47,110,94,31,4530,1
94,78,63,141,281,281,47,47,47,62,94,62,125,63,47,234,47,78,63,93,156,93,78,94,47,94,3734,1
78,63,32,47,78,0,47,47,62,94,93,16,187,63,47,94,78,63,62,16,78,94,62,47,63,141,3222,1
328,62,63,141,281,0,31,109,47,78,47,78,63,32,1062,94,47,78,63,93,156,93,62,328,47,94,4719,1
109,94,78,94,94,94,312,78,94,78,78,63,63,62,94,93,78,78,94,78,63,78,125,63,63,31,3765,1
78,62,94,16,62,47,188,78,94,79,187,78,62,78,125,78,47,78,47,78,62,46,47,78,78,63,3425,1
78,63,63,94,94,78,172,78,125,78,47,78,78,204,94,79,78,78,94,78,63,78,218,79,63,31,3281,1
125,94,63,172,125,125,156,125,125,16,47,31,94,78,94,94,16,79,62,141,78,16,16,94,125,16,3737,1
47,16,47,16,78,156,109,125,110,47,31,109,109,94,93,94,94,78,93,94,94,62,32,78,78,47,3577,1
109,31,15,172,125,156,547,172,93,78,47,125,78,79,0,47,16,79,62,141,78,16,16,78,125,16,4000,1
141,94,93,16,94,94,47,31,110,31,94,16,4,31,562,16,15,47,78,16,79,31,78,32,16,110,4273,1
15,63,16,78,94,532,625,32,47,62,141,15,172,31,47,141,62,63,62,78,32,47,125,15,78,16,4784,1
15,16,31,16,94,563,656,32,47,31,78,16,72,671,703,62,15,47,78,16,79,31,31,109,16,110,6569,1
125,94,62,16,125,125,32,16,62,78,16,62,78,78,0,94,15,47,78,94,31,16,63,31,94,15,2609,1
78,62,110,32,62,0,16,47,32,31,47,16,63,78,62,62,46,63,47,94,16,109,78,15,62,32,2828,1
391,62,62,16,125,93,16,78,62,94,31,93,77,78,1312,31,15,47,78,94,31,16,16,62,94,15,6135,1
110,109,78,63,78,78,94,78,110,78,16,62,109,93,94,109,31,63,93,94,78,31,78,78,78,16,3422,1
78,93,78,31,78,156,141,266,109,109,16,94,93,110,110,94,62,78,79,75,86,93,47,78,93,16,3563,1
62,62,94,63,78,94,78,109,110,109,16,62,110,78,78,109,31,63,93,94,78,31,63,78,78,16,3358,1
157,63,62,62,156,156,32,78,94,78,204,78,140,78,125,31,219,78,78,31,141,94,47,78,78,32,4014,1
94,79,109,63,31,0,15,79,157,63,31,62,31,31,16,94,78,47,78,15,94,78,32,78,31,78,3061,1
93,78,79,62,156,0,47,141,16,62,32,78,78,125,62,63,219,78,78,31,141,94,63,31,78,32,3506,1
63,47,16,63,78,78,156,31,78,62,63,78,78,62,94,125,47,47,93,172,15,16,125,93,63,15,2970,1
110,94,47,15,79,0,16,78,15,110,15,110,62,47,94,109,78,79,78,78,15,94,63,47,47,31,2738,1
32,78,63,63,78,125,16,125,94,78,16,78,78,93,0,110,47,47,93,172,15,16,63,93,63,15,2846,1
125,94,78,156,235,235,31,94,250,78,47,63,78,125,78,94,156,94,110,156,47,125,47,265,62,16,5096,1
125,94,62,15,78,94,125,109,141,16,109,63,62,125,43,267,79,78,62,203,31,141,32,93,62,32,4137,1
156,63,94,156,235,0,46,109,43,78,110,93,78,31,1063,16,156,94,110,156,47,125,32,78,62,16,5517,1
94,78,63,62,94,94,141,78,110,62,16,94,78,78,78,156,31,94,62,78,47,156,79,78,94,31,3534,1
78,78,78,47,62,94,109,79,62,203,265,32,62,78,16,94,47,110,62,156,63,94,78,78,125,16,3531,1
62,94,63,62,94,78,94,63,16,32,15,93,110,78,812,203,31,94,62,78,47,156,31,63,94,31,4454,1
109,94,93,32,110,110,62,62,63,78,16,63,79,62,562,16,656,47,63,32,78,782,125,16,15,62,5333,1
78,93,32,15,62,640,703,63,141,47,94,47,16,62,16,62,78,63,141,110,15,62,78,15,15,62,4297,1
15,63,78,32,110,0,15,125,16,703,16,47,62,832,719,47,656,47,63,32,78,782,109,16,15,62,7947,1
93,78,63,15,78,78,94,78,94,63,94,78,94,47,703,78,31,79,62,63,93,0,94,469,110,15,4015,1
94,204,78,15,93,47,125,219,94,79,78,15,15,78,94,46,63,78,62,63,94,93,156,78,94,31,3294,1
78,78,78,15,78,94,125,234,94,141,15,62,78,78,859,79,31,79,62,63,93,0,32,109,110,15,4452,1
94,78,94,78,125,125,94,78,250,125,109,172,94,110,906,891,94,156,78,94,94,78,63,109,78,78,5954,1
125,110,78,16,78,0,62,93,94,141,93,94,47,110,93,63,172,62,79,265,78,109,703,62,109,813,5530,1
94,172,78,78,125,891,93,172,93,94,78,78,156,156,1078,141,94,156,78,94,94,78,31,110,78,78,5998,1
78,78,94,0,94,94,109,94,93,78,15,79,94,93,94,234,109,62,94,94,125,594,47,78,93,47,4670,1
78,109,62,78,78,94,78,94,94,78,31,78,62,94,47,32,63,78,109,94,78,78,31,78,78,47,3172,1
78,79,93,0,94,94,78,94,47,47,31,78,78,109,62,78,109,62,94,94,125,594,172,94,93,47,4016,1
109,93,141,265,390,390,63,110,38,15,93,219,109,94,78,141,46,125,985,203,62,172,94,141,78,110,6223,1
297,594,15,250,31,0,15,187,140,94,125,125,94,62,31,235,94,172,109,16,110,282,406,16,156,313,6904,1
344,219,15,265,390,0,46,140,31,141,187,94,94,157,1312,94,46,125,985,203,62,172,31,109,78,110,7576,1
110,141,94,78,156,156,63,93,78,109,31,110,94,109,78,78,78,63,234,234,63,94,125,94,94,203,4641,1
94,128,93,16,62,0,78,125,94,94,94,62,641,108,94,94,78,94,78,156,47,78,93,47,78,63,4392,1
32,110,94,78,156,125,62,94,94,125,62,109,94,141,797,94,78,63,234,234,63,94,156,63,94,203,5392,1
93,94,62,391,110,110,15,110,93,78,109,79,125,109,109,172,297,78,235,297,31,282,62,360,93,32,5689,1
93,93,78,47,94,125,15,141,250,16,125,344,125,125,218,15,78,94,94,172,31,141,94,344,94,62,4655,1
62,79,94,391,110,0,15,109,218,125,188,109,94,78,1172,16,297,78,235,297,31,282,141,266,93,32,7678,1
109,78,63,15,109,109,16,62,63,46,47,63,63,78,62,188,94,47,94,109,16,47,78,47,62,32,3155,1
94,79,31,63,31,0,15,62,78,78,63,15,93,62,94,94,78,63,62,94,47,78,31,63,63,47,2765,1
62,63,47,15,109,125,16,63,94,62,16,79,78,109,884,78,94,47,94,109,16,47,46,47,62,32,3729,1
82,102,118,53,91,91,259,144,109,31,78,16,125,93,875,125,156,47,78,110,94,343,31,125,94,15,5127,1
