dtfk1,ft1,ft2,dtfk3,ft3,dtfk4,dtsk4,dtfk5,ft5,ft6,dtfk7,ft7,dtsk7,ft10,dtsk10,dtfk11,dtsk11,ft12,dtsk12,dtfk13,ft13,dtsk13,dtsk14,sum,gender
47,31,172,62,63,78,94,94,156,110,62,94,94,78,78,94,31,31,79,78,63,94,63,3423,1
62,32,94,62,63,62,62,94,125,62,93,47,78,62,79,110,93,78,156,93,47,78,63,3295,1
63,78,78,94,15,78,94,78,140,62,62,94,78,78,78,94,31,31,79,63,140,47,63,3422,1
109,16,32,78,15,62,391,391,47,16,79,15,78,62,47,62,32,234,78,62,125,16,15,4029,1
78,16,93,93,32,62,47,516,578,125,437,63,62,63,62,47,94,172,16,16,78,94,46,3846,1
32,62,172,78,62,62,391,484,79,47,250,78,47,62,47,62,32,234,78,46,32,62,15,4828,1
78,594,188,62,32,78,219,219,15,125,79,46,47,62,94,63,63,16,78,63,62,78,63,3970,1
63,31,31,62,78,47,63,62,47,62,93,47,63,94,47,47,47,62,16,62,63,78,63,3172,1
78,110,94,47,63,78,219,62,32,78,62,16,78,62,94,63,63,16,78,63,266,109,63,3378,1
119,47,16,94,62,78,266,266,47,63,78,157,93,63,93,109,94,31,78,63,78,15,78,4577,1
94,93,16,78,47,78,78,0,31,63,31,94,63,78,47,110,78,78,63,16,109,78,78,3844,1
15,94,32,93,47,78,266,0,16,31,78,16,93,63,93,109,94,31,78,78,47,110,78,4530,1
78,78,141,78,62,63,281,281,47,187,62,94,62,78,63,93,47,93,16,16,78,94,47,3734,1
47,78,78,63,62,47,78,0,47,94,94,93,16,63,62,16,47,94,156,328,62,47,31,3222,1
235,47,219,62,47,63,281,0,31,15,78,47,78,78,63,93,47,93,16,31,62,328,47,4719,1
79,125,109,94,78,78,94,94,312,93,78,78,63,78,94,78,78,78,78,78,125,63,62,3765,1
94,16,16,62,110,78,62,47,188,78,79,187,78,78,47,78,63,46,79,78,47,78,78,3425,1
