dtfk1,ft1,dtsk1,dtfk3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,ft6,dtfk7,ft7,dtsk7,dtfk9,dtfk10,ft10,dtfk11,ft11,dtsk11,ft12,ft13,dtsk13,dtfk14,ft14,gender
47,31,63,62,78,78,109,94,94,110,62,94,94,94,141,78,94,94,31,31,63,94,47,109,1
62,32,93,62,62,62,32,62,94,62,93,47,78,94,47,62,110,78,93,78,47,78,62,94,1
63,78,93,94,32,78,109,94,78,62,62,94,78,63,141,78,94,94,31,31,140,47,47,109,1
109,16,109,78,62,62,313,391,391,16,79,15,78,453,16,62,62,47,32,234,125,16,31,63,1
78,16,78,93,62,62,16,47,516,125,437,63,62,15,32,63,47,63,94,172,78,94,47,32,1
32,62,16,78,50,62,313,391,484,47,250,78,47,640,16,62,62,47,32,234,32,62,31,63,1
78,594,62,62,78,78,109,219,219,125,79,46,47,94,63,62,63,93,63,16,62,78,79,171,1
63,31,63,62,78,47,62,63,62,62,93,47,63,94,62,94,47,109,47,62,63,78,63,46,1
78,110,62,47,47,78,109,219,62,78,62,16,78,78,63,62,63,93,63,16,266,109,79,171,1
119,47,156,94,78,78,172,266,266,63,78,157,93,79,594,63,109,31,94,31,78,15,94,31,1
94,93,94,78,93,78,15,78,0,63,31,94,63,63,94,78,110,47,78,78,109,78,94,78,1
15,94,16,93,94,78,172,266,0,31,78,16,93,844,594,63,109,31,94,31,47,110,94,31,1
78,78,94,78,63,63,141,281,281,187,62,94,62,47,47,78,93,156,47,93,78,94,47,94,1
47,78,78,63,32,47,47,78,0,94,94,93,16,47,78,63,16,78,47,94,62,47,63,141,1
235,47,328,62,63,63,141,281,0,15,78,47,78,1062,47,78,93,156,47,93,62,328,47,94,1
79,125,109,94,78,78,94,94,94,93,78,78,63,94,78,78,78,63,78,78,125,63,63,31,1
94,16,78,62,94,78,16,62,47,78,79,187,78,125,47,78,78,62,63,46,47,78,78,63,1
78,31,78,63,63,78,94,94,78,63,78,47,78,94,78,78,78,63,78,78,218,79,63,31,1
109,78,125,94,63,63,172,125,125,62,16,47,31,94,16,79,141,78,157,16,16,94,125,16,1
125,188,47,16,47,109,16,78,156,78,47,31,109,93,94,78,94,94,62,62,32,78,78,47,1
93,16,109,31,15,63,172,125,156,79,78,47,125,0,16,79,141,78,157,16,16,78,125,16,1
94,47,141,94,93,93,16,94,94,62,31,94,16,562,15,47,16,79,62,31,78,32,16,110,1
110,94,15,63,16,110,78,94,532,141,62,141,15,47,62,63,78,32,141,47,125,15,78,16,1
31,94,15,16,31,93,16,94,563,31,31,78,16,703,15,47,16,79,62,31,31,109,16,110,1
62,63,125,94,62,62,16,125,125,31,78,16,62,0,15,47,94,31,47,16,63,31,94,15,1
62,16,78,62,110,78,32,62,0,140,31,47,16,62,46,63,94,16,109,109,78,15,62,32,1
16,94,391,62,62,62,16,125,93,16,94,31,93,1312,15,47,94,31,47,16,16,62,94,15,1
94,62,110,109,78,78,63,78,78,94,78,16,62,94,31,63,94,78,109,31,78,78,78,16,1
110,15,78,93,78,109,31,78,156,63,109,16,94,110,62,78,75,86,93,93,47,78,93,16,1
109,16,62,62,94,78,63,78,94,93,109,16,62,78,31,63,94,78,109,31,63,78,78,16,1
78,31,157,63,62,62,62,156,156,16,78,204,78,125,219,78,31,141,62,94,47,78,78,32,1
94,31,94,79,109,250,63,31,0,78,63,31,62,16,78,47,15,94,109,78,32,78,31,78,1
94,16,93,78,79,62,62,156,0,113,62,32,78,62,219,78,31,141,62,94,63,31,78,32,1
47,93,63,47,16,16,63,78,78,31,62,63,78,94,47,47,172,15,63,16,125,93,63,15,1
78,32,110,94,47,110,15,79,0,79,110,15,110,94,78,79,78,15,78,94,63,47,47,31,1
16,62,32,78,63,16,63,78,125,16,78,16,78,0,47,47,172,15,63,16,63,93,63,15,1
47,281,125,94,78,78,156,235,235,188,78,47,63,78,156,94,156,47,125,125,47,265,62,16,1
250,16,125,94,62,78,15,78,94,62,16,109,63,43,79,78,203,31,109,141,32,93,62,32,1
78,47,156,63,94,78,156,235,0,85,78,110,93,1063,156,94,156,47,125,125,32,78,62,16,1
78,187,94,78,63,63,62,94,94,32,62,16,94,78,31,94,78,47,78,156,79,78,94,31,1
110,15,78,78,78,47,47,62,94,63,203,265,32,16,47,110,156,63,125,94,78,78,125,16,1
94,16,62,94,63,63,62,94,78,109,32,15,93,812,31,94,78,47,78,156,31,63,94,31,1
109,31,109,94,93,93,32,110,110,62,78,16,63,562,656,47,32,78,79,782,125,16,15,62,1
63,15,78,93,32,78,15,62,640,62,47,94,47,16,78,63,110,15,93,62,78,15,15,62,1
94,157,15,63,78,93,32,110,0,31,703,16,47,719,656,47,32,78,79,782,109,16,15,62,1
78,16,93,78,63,63,15,78,78,109,63,94,78,703,31,79,63,93,63,0,94,469,110,15,1
94,15,94,204,78,110,15,93,47,47,79,78,15,94,63,78,63,94,62,93,156,78,94,31,1
94,47,78,78,78,63,15,78,94,62,141,15,62,859,31,79,63,93,63,0,32,109,110,15,1
93,16,94,78,94,94,78,125,125,141,125,109,172,906,94,156,94,94,203,78,63,109,78,78,1
250,16,125,110,78,93,16,78,0,78,141,93,94,93,172,62,265,78,110,109,703,62,109,813,1
140,16,94,172,78,94,78,125,891,141,94,78,78,1078,94,156,94,94,203,78,31,110,78,78,1
562,16,78,78,94,94,0,94,94,157,78,15,79,94,109,62,94,125,78,594,47,78,93,47,1
93,16,78,109,62,110,78,78,94,78,78,31,78,47,63,78,94,78,78,78,31,78,78,47,1
156,47,78,79,93,94,0,94,94,94,47,31,78,62,109,62,94,125,78,594,172,94,93,47,1
125,157,109,93,141,141,265,390,390,78,15,93,219,78,46,125,203,62,141,172,94,141,78,110,1
38,129,297,594,15,172,250,31,0,94,94,125,125,31,94,172,16,110,78,282,406,16,156,313,1
16,125,344,219,15,141,265,390,0,125,141,187,94,1312,46,125,203,62,141,172,31,109,78,110,1
94,296,110,141,94,94,78,156,156,63,109,31,110,78,78,63,234,63,157,94,125,94,94,203,1
78,94,94,128,93,94,16,62,0,78,94,94,62,94,78,94,156,47,109,78,93,47,78,63,1
125,93,32,110,94,94,78,156,125,94,125,62,109,797,78,63,234,63,157,94,156,63,94,203,1
141,16,93,94,62,62,391,110,110,235,78,109,79,109,297,78,297,31,141,282,62,360,93,32,1
93,32,93,93,78,94,47,94,125,78,16,125,344,218,78,94,172,31,140,141,94,344,94,62,1
234,141,62,79,94,62,391,110,0,63,125,188,109,1172,297,78,297,31,141,282,141,266,93,32,1
62,32,109,78,63,63,15,109,109,141,46,47,63,62,94,47,109,16,31,47,78,47,62,32,1
63,15,94,79,31,78,63,31,0,78,78,63,15,94,78,63,94,47,94,78,31,63,63,47,1
78,63,62,63,47,63,15,109,125,31,62,16,79,884,94,47,109,16,31,47,46,47,62,32,1
141,15,82,102,118,118,53,91,91,62,31,78,16,875,156,47,110,94,187,343,31,125,94,15,1
109,188,62,16,63,110,15,63,78,78,219,16,110,110,79,78,94,125,78,125,15,109,156,15,1
125,15,110,16,532,118,53,91,94,93,156,16,78,125,156,47,110,94,187,343,16,125,94,15,1
94,31,78,78,94,94,15,63,63,94,62,32,46,657,78,15,63,109,140,16,15,47,15,47,1
78,16,62,156,78,78,79,62,515,62,78,31,79,109,63,62,78,79,78,172,47,78,109,16,1
140,31,63,46,78,94,15,63,94,63,110,172,16,63,78,15,63,109,140,16,78,62,15,47,1
125,62,94,63,109,109,63,78,78,109,46,16,63,63,265,79,141,46,32,32,65,78,78,15,1
172,16,78,62,78,94,31,94,78,93,172,116,41,63,31,62,156,47,94,46,63,62,78,47,1
94,31,47,63,94,109,63,78,62,47,32,31,62,906,265,79,141,46,32,32,47,94,78,15,1
78,62,110,78,78,78,156,141,141,125,78,16,94,109,47,63,94,125,78,16,32,109,79,78,1
203,31,125,32,110,78,16,62,172,62,109,63,109,109,63,93,78,110,78,93,16,93,94,31,1
78,47,78,94,78,78,156,141,125,78,94,15,63,129,47,63,94,125,78,16,62,47,79,78,1
62,32,78,47,63,63,47,62,62,125,62,110,78,63,78,62,79,140,47,15,94,63,78,16,1
78,47,62,78,63,62,32,93,78,62,94,203,47,141,47,109,109,94,62,47,47,62,63,47,1
63,125,47,78,62,63,47,62,63,47,78,31,63,79,78,62,79,140,47,15,62,63,78,16,1
94,141,93,47,78,78,250,328,328,93,47,78,125,1078,62,78,140,234,63,125,125,125,78,31,1
313,109,32,141,157,46,79,31,0,94,140,235,62,62,62,78,16,93,63,78,16,78,62,281,1
78,78,156,125,15,78,250,328,0,63,109,141,62,0,62,78,140,234,63,125,31,109,78,31,1
93,282,93,78,78,78,234,94,94,984,63,218,47,78,78,78,63,140,94,828,297,78,63,219,1
63,297,62,78,63,62,188,62,93,63,78,250,78,125,62,94,78,140,78,62,484,79,78,204,1
62,797,94,47,62,78,234,94,141,78,78,375,47,110,78,78,63,140,94,828,375,63,63,219,1
93,32,93,94,62,62,110,250,250,94,125,46,0,62,78,78,125,47,63,32,78,78,93,78,1
78,16,94,62,78,78,31,78,125,62,78,16,47,94,63,93,125,15,78,93,78,31,62,16,1
31,172,0,0,78,62,110,250,844,46,109,32,78,1047,78,78,125,47,63,32,63,187,93,78,1
156,0,94,93,109,109,32,171,171,125,63,62,63,126,31,47,156,47,78,16,78,16,78,31,1
62,16,94,63,47,94,93,47,110,78,94,109,47,140,63,78,78,47,125,109,16,62,94,15,1
47,31,62,63,78,109,32,171,94,63,62,125,109,1176,31,47,156,47,78,16,62,78,78,31,1
125,15,110,78,93,93,94,78,78,94,141,0,78,141,141,109,94,78,94,16,78,78,93,32,1
187,16,78,94,63,78,31,63,0,62,94,63,78,94,234,328,110,93,78,93,32,62,94,31,1
78,31,78,78,78,93,94,78,94,78,109,16,62,78,141,109,94,78,94,16,16,78,93,32,1
125,172,94,109,109,109,250,78,78,156,125,140,63,94,94,78,47,156,79,265,422,78,93,94,1
110,359,94,78,78,78,219,93,94,93,62,328,63,156,93,94,78,109,79,94,547,94,110,125,1
94,313,93,63,94,109,250,78,93,63,94,187,78,78,94,78,47,156,79,265,203,63,93,94,1
63,94,93,47,63,63,93,156,156,469,78,125,78,78,78,56,78,31,125,15,78,47,62,31,1
62,16,47,63,63,47,16,47,0,166,62,125,78,15,62,78,140,0,63,110,47,63,63,31,1
78,31,31,78,62,63,93,156,0,141,94,31,63,844,78,56,78,31,125,15,172,78,62,31,1
109,16,110,109,47,47,391,438,438,62,78,31,94,78,94,31,109,125,109,16,78,31,78,0,1
94,0,109,78,94,78,141,78,0,94,31,78,15,46,63,62,125,31,62,94,110,31,78,31,1
78,109,32,94,78,47,391,438,0,47,110,31,94,765,94,31,109,125,109,16,62,63,78,0,1
125,31,110,125,93,93,485,594,594,47,78,141,62,140,47,78,47,62,109,16,125,62,78,32,1
93,16,94,78,94,109,47,78,125,79,32,110,0,109,62,94,125,62,125,78,15,63,94,47,1
156,16,94,62,94,93,485,594,234,94,125,78,94,985,47,78,47,62,109,16,125,94,78,32,1
62,63,93,47,31,31,125,63,63,109,62,32,78,63,63,47,78,78,47,172,78,63,46,79,1
172,15,93,78,63,79,46,47,47,63,78,15,63,109,62,78,78,94,63,62,125,31,62,63,1
62,0,63,78,62,31,125,63,46,47,62,16,62,62,63,47,78,78,47,172,62,32,46,79,1
93,547,156,172,79,79,128,225,225,78,63,47,78,94,47,62,78,63,93,15,93,16,94,47,1
78,16,109,109,63,78,47,62,609,63,79,93,32,62,78,78,79,78,172,94,0,63,15,62,1
78,78,78,78,78,79,128,225,0,32,94,31,172,812,47,62,78,63,93,15,78,47,94,47,1
63,15,63,63,93,93,63,140,140,141,63,578,94,63,47,94,78,94,188,78,109,47,93,63,1
62,78,125,94,31,79,62,78,125,62,94,78,47,94,47,78,78,125,62,110,438,62,94,31,1
62,31,47,94,78,93,63,140,47,62,125,453,78,63,47,94,78,94,188,78,47,62,93,63,1
78,47,94,78,40,40,271,380,380,15,47,16,62,62,47,62,125,32,0,15,94,31,62,16,1
62,31,78,78,79,78,32,78,0,157,62,31,32,94,63,62,312,63,94,94,32,62,78,31,1
63,0,62,62,94,40,271,380,125,0,62,0,32,813,47,62,125,32,0,15,31,156,62,16,1
78,94,94,78,78,78,140,79,79,125,47,141,62,63,125,47,63,93,63,125,125,62,62,110,1
63,47,78,63,62,63,94,62,94,62,78,78,63,125,62,78,78,110,62,62,63,46,63,47,1
63,78,78,62,47,78,140,79,78,63,63,125,83,63,125,47,63,93,63,125,78,47,62,110,1
126,31,125,78,109,109,31,172,172,46,94,16,93,172,0,93,140,47,63,46,94,78,78,32,1
125,46,125,109,110,125,15,78,110,94,31,63,31,15,93,110,829,31,93,78,47,94,157,31,1
141,0,62,93,78,109,31,172,172,78,94,78,94,719,0,93,140,47,63,46,0,110,78,32,1
62,78,110,78,63,63,78,62,62,47,78,31,94,47,32,62,78,94,63,0,79,46,78,62,1
94,0,78,47,62,78,61,52,78,62,63,62,31,31,78,78,62,110,62,94,31,94,78,47,1
94,47,31,94,47,63,78,62,79,94,94,47,78,895,32,62,78,94,63,0,47,78,78,62,1
125,16,94,78,93,93,188,78,78,62,110,31,78,78,78,63,78,110,78,125,125,125,78,32,1
156,16,62,109,94,78,0,78,0,94,156,31,125,78,78,47,62,94,62,94,0,94,62,235,1
109,31,125,78,109,93,188,78,0,62,156,16,94,203,78,63,78,110,78,125,31,109,78,32,1
125,16,109,125,47,47,109,203,203,78,31,63,31,93,16,62,157,31,62,31,110,62,78,16,1
47,78,16,31,31,344,94,0,1469,78,0,62,156,47,78,78,0,47,63,156,125,15,63,31,1
16,79,31,31,62,47,109,203,141,0,125,719,109,859,16,62,157,31,62,31,0,62,78,16,1
141,62,110,94,78,78,203,78,78,282,78,344,407,94,234,79,94,140,79,47,391,109,78,109,1
109,63,93,109,78,62,157,78,62,63,78,172,78,157,281,63,94,172,78,94,516,78,94,125,1
110,0,78,407,78,78,203,78,1109,93,94,203,78,63,234,79,94,140,79,47,235,78,78,109,1
156,47,47,140,78,78,79,110,110,47,78,16,110,469,63,78,63,47,15,31,5,84,46,109,1
15,63,31,93,31,15,94,31,141,188,16,78,48,47,31,78,16,78,62,109,94,0,16,109,1
63,15,16,110,16,78,79,110,438,32,625,32,79,0,63,78,63,47,15,31,110,15,46,109,1
156,16,125,109,187,187,109,157,157,203,110,94,93,125,94,109,94,203,63,157,93,161,141,15,1
125,110,109,94,109,78,141,47,172,93,125,125,110,125,93,110,16,141,62,172,140,516,125,63,1
250,110,531,93,125,187,109,157,94,78,141,140,78,750,94,109,94,203,63,157,110,109,141,15,1
125,93,125,94,94,94,125,125,125,109,109,63,93,94,94,62,125,94,78,110,47,109,109,62,1
141,78,125,94,94,94,47,109,109,94,110,140,94,94,47,93,156,47,110,94,31,125,109,94,1
109,16,94,93,109,94,125,125,125,140,125,110,78,125,94,62,125,94,78,110,78,141,109,62,1
78,63,109,63,78,78,125,94,94,94,78,109,63,78,93,63,78,110,46,46,94,78,110,62,1
109,32,62,62,78,94,31,78,94,62,110,15,63,63,78,109,94,93,78,63,16,93,78,109,1
78,78,63,63,94,78,125,94,110,109,93,0,63,93,93,63,78,110,46,46,31,94,110,62,1
93,47,110,171,94,94,47,156,156,15,94,31,109,110,15,141,250,31,125,16,109,16,125,0,1
94,16,109,110,172,125,0,63,110,109,62,109,78,0,62,110,125,93,94,93,140,16,78,0,1
250,0,62,109,78,94,47,156,125,125,141,15,94,860,15,141,250,31,125,16,0,109,125,0,1
125,15,78,78,78,78,16,141,141,79,78,63,78,109,47,47,62,140,63,78,110,15,110,62,1
78,15,94,125,78,78,78,63,0,62,78,78,0,47,78,109,78,93,32,109,15,94,94,31,1
78,31,94,78,94,78,16,141,187,0,140,63,62,937,47,47,62,140,63,78,141,78,110,62,1
93,47,94,109,297,297,16,203,203,63,125,16,94,94,157,62,94,78,109,94,109,125,109,31,1
