ft1,dtsk1,dtfk3,ft3,dtfk4,ft4,dtfk5,ft5,dtsk5,ft6,dtsk6,dtfk7,ft7,dtfk8,dtsk8,dtfk9,ft9,dtfk10,ft10,dtsk10,dtsk11,dtfk12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,sum,gender
31,63,62,63,78,109,94,156,78,110,62,62,94,78,62,94,94,141,78,78,31,109,79,78,63,94,47,109,3423,1
32,93,62,63,62,32,94,125,94,62,79,93,47,78,47,94,78,47,62,79,93,125,156,93,47,78,62,94,3295,1
78,93,94,15,78,109,78,140,94,62,94,62,94,93,125,63,94,141,78,78,31,109,79,63,140,47,47,109,3422,1
16,109,78,15,62,313,391,47,62,16,78,79,15,94,109,453,94,16,62,47,32,94,78,62,125,16,31,63,4029,1
16,78,93,32,62,16,516,578,32,125,16,437,63,78,94,15,31,32,63,62,94,94,16,16,78,94,47,32,3846,1
62,16,78,62,62,313,484,79,62,47,15,250,78,90,94,640,63,16,62,47,32,94,78,46,32,62,31,63,4828,1
594,62,62,32,78,109,219,15,63,125,63,79,46,78,63,94,16,63,62,94,63,78,78,63,62,78,79,171,3970,1
31,63,62,78,47,62,62,47,94,62,47,93,47,63,63,94,78,62,94,47,47,94,16,62,63,78,63,46,3172,1
110,62,47,63,78,109,62,32,94,78,94,62,16,79,94,78,47,63,62,94,63,78,78,63,266,109,79,171,3378,1
47,156,94,62,78,172,266,47,94,63,94,78,157,94,63,79,46,594,63,93,94,94,78,63,78,15,94,31,4577,1
93,94,78,47,78,15,0,31,78,63,844,31,94,63,62,63,47,94,78,47,78,172,63,16,109,78,94,78,3844,1
94,16,93,47,78,172,0,16,78,31,63,78,16,62,172,844,62,594,63,93,94,94,78,78,47,110,94,31,4530,1
78,94,78,62,63,141,281,47,47,187,47,62,94,125,63,47,140,47,78,63,47,15,16,16,78,94,47,94,3734,1
78,78,63,62,47,47,0,47,47,94,62,94,93,187,63,47,94,78,63,62,47,32,156,328,62,47,63,141,3222,1
47,328,62,47,63,141,0,31,109,15,47,78,47,63,32,1062,94,47,78,63,47,15,16,31,62,328,47,94,4719,1
125,109,94,78,78,94,94,312,78,93,94,78,78,63,62,94,94,78,78,94,78,62,78,78,125,63,63,31,3765,1
16,78,62,110,78,16,47,188,78,78,94,79,187,62,78,125,94,47,78,47,63,204,79,78,47,78,78,63,3425,1
31,78,63,15,78,94,78,172,78,63,125,78,47,78,204,94,15,78,78,94,78,62,78,78,218,79,63,31,3281,1
78,125,94,15,63,172,125,156,125,62,125,16,47,94,78,94,93,16,79,62,157,203,78,109,16,94,125,16,3737,1
188,47,16,110,109,16,156,109,125,78,110,47,31,109,94,93,94,94,78,93,62,79,47,109,32,78,78,47,3577,1
16,109,31,94,63,172,156,547,172,79,93,78,47,78,79,0,78,16,79,62,157,203,78,124,16,78,125,16,4000,1
