ft1,dtfk3,ft3,dtsk3,dtfk4,ft4,dtsk5,dtsk6,dtfk7,ft7,dtfk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtfk12,ft12,dtfk13,ft13,dtsk13,ft14,sum,gender
31,62,63,78,78,109,78,62,62,94,94,141,78,78,94,94,109,31,78,63,94,109,3423,1
32,62,63,62,62,32,94,79,93,47,94,47,62,79,110,78,125,78,93,47,78,94,3295,1
78,94,15,32,78,109,94,94,62,94,63,141,78,78,94,94,109,31,63,140,47,109,3422,1
16,78,15,62,62,313,62,78,79,15,453,16,62,47,62,47,94,234,62,125,16,63,4029,1
16,93,32,62,62,16,32,16,437,63,15,32,63,62,47,63,94,172,16,78,94,32,3846,1
62,78,62,50,62,313,62,15,250,78,640,16,62,47,62,47,94,234,46,32,62,63,4828,1
594,62,32,78,78,109,63,63,79,46,94,63,62,94,63,93,78,16,63,62,78,171,3970,1
31,62,78,78,47,62,94,47,93,47,94,62,94,47,47,109,94,62,62,63,78,46,3172,1
110,47,63,47,78,109,94,94,62,16,78,63,62,94,63,93,78,16,63,266,109,171,3378,1
47,94,62,78,78,172,94,94,78,157,79,594,63,93,109,31,94,31,63,78,15,31,4577,1
93,78,47,93,78,15,78,844,31,94,63,94,78,47,110,47,172,78,16,109,78,78,3844,1
94,93,47,94,78,172,78,63,78,16,844,594,63,93,109,31,94,31,78,47,110,31,4530,1
78,78,62,63,63,141,47,47,62,94,47,47,78,63,93,156,15,93,16,78,94,94,3734,1
78,63,62,32,47,47,47,62,94,93,47,78,63,62,16,78,32,94,328,62,47,141,3222,1
47,62,47,63,63,141,109,47,78,47,1062,47,78,63,93,156,15,93,31,62,328,94,4719,1
125,94,78,78,78,94,78,94,78,78,94,78,78,94,78,63,62,78,78,125,63,31,3765,1
16,62,110,94,78,16,78,94,79,187,125,47,78,47,78,62,204,46,78,47,78,63,3425,1
31,63,15,63,78,94,78,125,78,47,94,78,78,94,78,63,62,78,78,218,79,31,3281,1
78,94,15,63,63,172,125,125,16,47,94,16,79,62,141,78,203,16,109,16,94,16,3737,1
188,16,110,47,109,16,125,110,47,31,93,94,78,93,94,94,79,62,109,32,78,47,3577,1
16,31,94,15,63,172,172,93,78,47,0,16,79,62,141,78,203,16,124,16,78,16,4000,1
47,94,125,93,93,16,31,110,31,94,562,15,47,78,16,79,672,31,15,78,32,110,4273,1
94,63,141,16,110,78,32,47,62,141,47,62,63,62,78,32,671,47,15,125,15,16,4784,1
94,16,78,31,93,16,32,47,31,78,703,15,47,78,16,79,672,31,78,31,109,110,6569,1
63,94,47,62,62,16,16,62,78,16,0,15,47,78,94,31,93,16,16,63,31,15,2609,1
16,62,78,110,78,32,47,32,31,47,62,46,63,47,94,16,78,109,391,78,15,32,2828,1
