dtfk1,dtfk2,dtfk3,ft3,ft4,dtsk4,ft5,dtsk6,ft7,dtfk8,ft9,dtfk10,ft10,dtfk11,ft11,ft12,dtfk13,ft13,dtsk13,dtfk14,ft14,gender
47,63,62,63,109,94,156,62,94,78,94,141,78,94,94,31,78,63,94,47,109,1
62,78,62,63,32,62,125,79,47,78,78,47,62,110,78,78,93,47,78,62,94,1
63,94,94,15,109,94,140,94,94,93,94,141,78,94,94,31,63,140,47,47,109,1
109,109,78,15,313,391,47,78,15,94,94,16,62,62,47,234,62,125,16,31,63,1
78,15,93,32,16,47,578,16,63,78,31,32,63,47,63,172,16,78,94,47,32,1
32,79,78,62,313,391,79,15,78,90,63,16,62,62,47,234,46,32,62,31,63,1
78,62,62,32,109,219,15,63,46,78,16,63,62,63,93,16,63,62,78,79,171,1
63,453,62,78,62,63,47,47,47,63,78,62,94,47,109,62,62,63,78,63,46,1
78,62,47,63,109,219,32,94,16,79,47,63,62,63,93,16,63,266,109,79,171,1
119,156,94,62,172,266,47,94,157,94,46,594,63,109,31,31,63,78,15,94,31,1
94,125,78,47,15,78,31,844,94,63,47,94,78,110,47,78,16,109,78,94,78,1
15,187,93,47,172,266,16,63,16,62,62,594,63,109,31,31,78,47,110,94,31,1
78,94,78,62,141,281,47,47,94,125,140,47,78,93,156,93,16,78,94,47,94,1
47,156,63,62,47,78,47,62,93,187,94,78,63,16,78,94,328,62,47,63,141,1
235,141,62,47,141,281,31,47,47,63,94,47,78,93,156,93,31,62,328,47,94,1
79,109,94,78,94,94,312,94,78,63,94,78,78,78,63,78,78,125,63,63,31,1
94,141,62,110,16,62,188,94,187,62,94,47,78,78,62,46,78,47,78,78,63,1
78,47,63,15,94,94,172,125,47,78,15,78,78,78,63,78,78,218,79,63,31,1
109,125,94,15,172,125,156,125,47,94,93,16,79,141,78,16,109,16,94,125,16,1
125,94,16,110,16,78,109,110,31,109,94,94,78,94,94,62,109,32,78,78,47,1
93,125,31,94,172,125,547,93,47,78,78,16,79,141,78,16,124,16,78,125,16,1
94,141,94,125,16,94,47,110,94,4,640,15,47,16,79,31,15,78,32,16,110,1
110,47,63,141,78,94,625,47,141,172,109,62,63,78,32,47,15,125,15,78,16,1
31,47,16,78,16,94,656,47,78,72,734,15,47,16,79,31,78,31,109,16,110,1
62,125,94,47,16,125,32,62,16,78,31,15,47,94,31,16,16,63,31,94,15,1
62,78,62,78,32,62,16,32,47,63,32,46,63,94,16,109,391,78,15,62,32,1
16,109,62,32,16,125,16,62,31,77,1375,15,47,94,31,16,62,16,62,94,15,1
94,110,109,16,63,78,94,110,16,109,94,31,63,94,78,31,94,78,78,78,16,1
110,109,93,47,31,78,141,109,16,93,62,62,78,75,86,93,62,47,78,93,16,1
109,78,62,31,63,78,78,110,16,110,172,31,63,94,78,31,109,63,78,78,16,1
78,157,63,16,62,156,32,94,204,140,109,219,78,31,141,94,62,47,78,78,32,1
94,187,79,15,63,31,15,157,31,31,78,78,47,15,94,78,93,32,78,31,78,1
