dtsk1,dtfk2,dtfk3,ft4,dtsk4,dtfk5,ft6,dtfk7,ft7,ft9,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtfk13,ft13,ft14,dtsk14,gender
63,63,62,109,94,94,110,62,94,94,141,78,78,94,94,31,78,63,109,63,1
93,78,62,32,62,94,62,93,47,78,47,62,79,110,78,78,93,47,94,63,1
93,94,94,109,94,78,62,62,94,94,141,78,78,94,94,31,63,140,109,63,1
109,109,78,313,391,391,16,79,15,94,16,62,47,62,47,234,62,125,63,15,1
78,15,93,16,47,516,125,437,63,31,32,63,62,47,63,172,16,78,32,46,1
16,79,78,313,391,484,47,250,78,63,16,62,47,62,47,234,46,32,63,15,1
62,62,62,109,219,219,125,79,46,16,63,62,94,63,93,16,63,62,171,63,1
63,453,62,62,63,62,62,93,47,78,62,94,47,47,109,62,62,63,46,63,1
62,62,47,109,219,62,78,62,16,47,63,62,94,63,93,16,63,266,171,63,1
156,156,94,172,266,266,63,78,157,46,594,63,93,109,31,31,63,78,31,78,1
94,125,78,15,78,0,63,31,94,47,94,78,47,110,47,78,16,109,78,78,1
16,187,93,172,266,0,31,78,16,62,594,63,93,109,31,31,78,47,31,78,1
94,94,78,141,281,281,187,62,94,140,47,78,63,93,156,93,16,78,94,47,1
78,156,63,47,78,0,94,94,93,94,78,63,62,16,78,94,328,62,141,31,1
328,141,62,141,281,0,15,78,47,94,47,78,63,93,156,93,31,62,94,47,1
109,109,94,94,94,94,93,78,78,94,78,78,94,78,63,78,78,125,31,62,1
78,141,62,16,62,47,78,79,187,94,47,78,47,78,62,46,78,47,63,78,1
78,47,63,94,94,78,63,78,47,15,78,78,94,78,63,78,78,218,31,62,1
125,125,94,172,125,125,62,16,47,93,16,79,62,141,78,16,109,16,16,109,1
47,94,16,16,78,156,78,47,31,94,94,78,93,94,94,62,109,32,47,124,1
109,125,31,172,125,156,79,78,47,78,16,79,62,141,78,16,124,16,16,109,1
141,141,94,16,94,94,62,31,94,640,15,47,78,16,79,31,15,78,110,31,1
15,47,63,78,94,532,141,62,141,109,62,63,62,78,32,47,15,125,16,78,1
