dtfk1,ft1,ft2,dtfk3,dtfk4,dtsk4,dtfk5,ft5,dtsk5,dtfk6,dtfk7,dtsk7,dtfk8,ft8,ft9,dtfk10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk14,ft14,dtsk14,gender
47,31,172,62,78,94,94,156,78,62,62,94,78,94,94,141,78,94,109,31,79,47,109,63,1
62,32,94,62,62,62,94,125,94,78,93,78,78,125,78,47,79,110,125,78,156,62,94,63,1
63,78,78,94,78,94,78,140,94,47,62,78,93,94,94,141,78,94,109,31,79,47,109,63,1
109,16,32,78,62,391,391,47,62,62,79,78,94,62,94,16,47,62,94,234,78,31,63,15,1
78,16,93,93,62,47,516,578,32,47,437,62,78,94,31,32,62,47,94,172,16,47,32,46,1
32,62,172,78,62,391,484,79,62,79,250,47,90,62,63,16,47,62,94,234,78,31,63,15,1
78,594,188,62,78,219,219,15,63,78,79,47,78,125,16,63,94,63,78,16,78,79,171,63,1
63,31,31,62,47,63,62,47,94,94,93,63,63,109,78,62,47,47,94,62,16,63,46,63,1
78,110,94,47,78,219,62,32,94,16,62,78,79,63,47,63,94,63,78,16,78,79,171,63,1
119,47,16,94,78,266,266,47,94,93,78,93,94,312,46,594,93,109,94,31,78,94,31,78,1
94,93,16,78,78,78,0,31,78,93,31,63,63,94,47,94,47,110,172,78,63,94,78,78,1
15,94,32,93,78,266,0,16,78,62,78,93,62,109,62,594,93,109,94,31,78,94,31,78,1
78,78,141,78,63,281,281,47,47,32,62,62,125,31,140,47,63,93,15,93,16,47,94,47,1
47,78,78,63,47,78,0,47,47,63,94,16,187,32,94,78,62,16,32,94,156,63,141,31,1
235,47,219,62,63,281,0,31,109,78,78,78,63,0,94,47,63,93,15,93,16,47,94,47,1
79,125,109,94,78,94,94,312,78,94,78,63,63,125,94,78,94,78,62,78,78,63,31,62,1
94,16,16,62,78,62,47,188,78,94,79,78,62,94,94,47,47,78,204,46,79,78,63,78,1
78,31,109,63,78,94,78,172,78,31,78,78,78,46,15,78,94,78,62,78,78,63,31,62,1
109,78,94,94,63,125,125,156,125,47,16,31,94,94,93,16,62,141,203,16,78,125,16,109,1
125,188,125,16,109,78,156,109,125,62,47,109,109,78,94,94,93,94,79,62,47,78,47,124,1
93,16,78,31,63,125,156,547,172,15,78,125,78,109,78,16,62,141,203,16,78,125,16,109,1
94,47,47,94,93,94,94,47,31,16,31,16,4,80,640,15,78,16,672,31,78,16,110,31,1
110,94,125,63,110,94,532,625,32,78,62,15,172,16,109,62,62,78,671,47,125,78,16,78,1
31,94,141,16,93,94,563,656,32,156,31,16,72,593,734,15,78,16,672,31,78,16,110,31,1
62,63,31,94,62,125,125,32,16,110,78,62,78,78,31,15,78,94,93,16,94,94,15,78,1
62,16,16,62,78,62,0,16,47,78,31,16,63,78,32,46,47,94,78,109,94,62,32,62,1
16,94,172,62,62,125,93,16,78,62,94,93,77,703,1375,15,78,94,93,16,94,94,15,78,1
94,62,109,109,78,78,78,94,78,78,78,62,109,79,94,31,93,94,94,31,109,78,16,94,1
110,15,78,93,109,78,156,141,266,93,109,94,93,78,62,62,79,75,78,93,47,93,16,109,1
109,16,94,62,78,78,94,78,109,47,109,62,110,110,172,31,93,94,94,31,109,78,16,94,1
78,31,171,63,62,156,156,32,78,109,78,78,140,16,109,219,78,31,15,94,484,78,32,93,1
94,31,31,79,250,31,0,15,79,78,63,62,31,141,78,78,78,15,125,78,62,31,78,47,1
94,16,94,78,62,156,0,47,141,19,62,78,78,63,78,219,78,31,15,94,484,78,32,93,1
47,93,125,47,16,78,78,156,31,47,62,78,78,94,63,47,93,172,78,16,125,63,15,79,1
78,32,15,94,110,79,0,16,78,93,110,110,62,110,31,78,78,78,93,94,16,47,31,94,1
16,62,31,78,16,78,125,16,125,94,78,78,78,94,31,47,93,172,78,16,125,63,15,79,1
47,281,500,94,78,235,235,31,94,62,78,63,78,157,94,156,110,156,109,125,62,62,16,94,1
250,16,15,94,78,78,94,125,109,110,16,63,62,47,173,79,62,203,31,141,343,62,32,93,1
78,47,141,63,78,235,0,46,109,62,78,93,78,0,1172,156,110,156,109,125,62,62,16,94,1
78,187,110,78,63,94,94,141,78,78,62,94,78,157,109,31,62,78,109,156,110,94,31,78,1
110,15,79,78,47,62,94,109,79,62,203,32,62,78,94,47,62,156,78,94,156,125,16,94,1
94,16,63,94,63,94,78,94,63,16,32,93,110,719,63,31,62,78,109,156,110,94,31,78,1
109,31,79,94,93,110,110,62,62,32,78,63,79,157,94,656,63,32,766,782,15,15,62,47,1
63,15,93,93,78,62,640,703,63,63,47,47,16,15,31,78,141,110,832,62,32,15,62,31,1
94,157,63,63,93,110,0,15,125,110,703,47,62,738,812,656,63,32,766,782,15,15,62,47,1
78,16,79,78,63,78,78,94,78,78,63,78,94,78,109,31,62,63,78,0,94,110,15,78,1
94,15,156,204,110,93,47,125,219,62,79,15,15,63,63,63,62,63,78,93,32,94,31,78,1
94,47,125,78,63,78,94,125,234,15,141,62,78,78,78,31,62,63,78,0,94,110,15,78,1
93,16,94,78,94,125,125,94,78,78,125,172,94,140,94,94,78,94,94,78,78,78,78,78,1
250,16,15,110,93,78,0,62,93,78,141,94,47,93,266,172,79,265,156,109,16,109,813,125,1
140,16,110,172,94,125,891,93,172,94,94,78,156,78,78,94,78,94,94,78,78,78,78,78,1
562,16,110,78,94,94,94,109,94,62,78,79,94,94,109,109,94,94,78,594,125,93,47,78,1
93,16,16,109,110,78,94,78,94,94,78,78,62,94,109,63,109,94,109,78,63,78,47,94,1
