dtfk1,ft1,dtsk1,dtsk2,dtfk3,dtsk3,dtfk4,ft4,dtsk4,ft5,dtsk5,dtsk6,dtfk7,ft7,dtsk7,dtfk8,dtfk10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,ft14,gender
47,31,63,62,62,78,78,109,94,156,78,62,62,94,94,78,141,78,94,94,31,109,79,78,109,1
62,32,93,62,62,62,62,32,62,125,94,79,93,47,78,78,47,79,110,78,93,125,156,93,94,1
63,78,93,79,94,32,78,109,94,140,94,94,62,94,78,93,141,78,94,94,31,109,79,63,109,1
109,16,109,78,78,62,62,313,391,47,62,78,79,15,78,94,16,47,62,47,32,94,78,62,63,1
78,16,78,16,93,62,62,16,47,578,32,16,437,63,62,78,32,62,47,63,94,94,16,16,32,1
32,62,16,63,78,50,62,313,391,79,62,15,250,78,47,90,16,47,62,47,32,94,78,46,63,1
78,594,62,62,62,78,78,109,219,15,63,63,79,46,47,78,63,94,63,93,63,78,78,63,171,1
63,31,63,94,62,78,47,62,63,47,94,47,93,47,63,63,62,47,47,109,47,94,16,62,46,1
78,110,62,62,47,47,78,109,219,32,94,94,62,16,78,79,63,94,63,93,63,78,78,63,171,1
119,47,156,94,94,78,78,172,266,47,94,94,78,157,93,94,594,93,109,31,94,94,78,63,31,1
94,93,94,78,78,93,78,15,78,31,78,844,31,94,63,63,94,47,110,47,78,172,63,16,78,1
15,94,16,94,93,94,78,172,266,16,78,63,78,16,93,62,594,93,109,31,94,94,78,78,31,1
78,78,94,78,78,63,63,141,281,47,47,47,62,94,62,125,47,63,93,156,47,15,16,16,94,1
47,78,78,125,63,32,47,47,78,47,47,62,94,93,16,187,78,62,16,78,47,32,156,328,141,1
235,47,328,47,62,63,63,141,281,31,109,47,78,47,78,63,47,63,93,156,47,15,16,31,94,1
79,125,109,94,94,78,78,94,94,312,78,94,78,78,63,63,78,94,78,63,78,62,78,78,31,1
94,16,78,78,62,94,78,16,62,188,78,94,79,187,78,62,47,47,78,62,63,204,79,78,63,1
78,31,78,47,63,63,78,94,94,172,78,125,78,47,78,78,78,94,78,63,78,62,78,78,31,1
109,78,125,94,94,63,63,172,125,156,125,125,16,47,31,94,16,62,141,78,157,203,78,109,16,1
125,188,47,62,16,47,109,16,78,109,125,110,47,31,109,109,94,93,94,94,62,79,47,109,47,1
93,16,109,78,31,15,63,172,125,547,172,93,78,47,125,78,16,62,141,78,157,203,78,124,16,1
94,47,141,94,94,93,93,16,94,47,31,110,31,94,16,4,15,78,16,79,62,672,78,15,110,1
110,94,15,94,63,16,110,78,94,625,32,47,62,141,15,172,62,62,78,32,141,671,125,15,16,1
31,94,15,15,16,31,93,16,94,656,32,47,31,78,16,72,15,78,16,79,62,672,78,78,110,1
62,63,125,94,94,62,62,16,125,32,16,62,78,16,62,78,15,78,94,31,47,93,94,16,15,1
62,16,78,78,62,110,78,32,62,16,47,32,31,47,16,63,46,47,94,16,109,78,94,391,32,1
16,94,391,31,62,62,62,16,125,16,78,62,94,31,93,77,15,78,94,31,47,93,94,62,15,1
