dtfk1,dtfk3,dtsk3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtsk7,dtfk10,dtsk10,dtfk11,ft11,dtfk12,ft12,dtsk12,dtfk13,dtfk14,dtsk14,gender
47,62,78,109,94,94,156,78,94,141,78,94,94,109,31,79,78,47,63,1
62,62,62,32,62,94,125,94,78,47,79,110,78,125,78,156,93,62,63,1
63,94,32,109,94,78,140,94,78,141,78,94,94,109,31,79,63,47,63,1
109,78,62,313,391,391,47,62,78,16,47,62,47,94,234,78,62,31,15,1
78,93,62,16,47,516,578,32,62,32,62,47,63,94,172,16,16,47,46,1
32,78,50,313,391,484,79,62,47,16,47,62,47,94,234,78,46,31,15,1
78,62,78,109,219,219,15,63,47,63,94,63,93,78,16,78,63,79,63,1
63,62,78,62,63,62,47,94,63,62,47,47,109,94,62,16,62,63,63,1
78,47,47,109,219,62,32,94,78,63,94,63,93,78,16,78,63,79,63,1
119,94,78,172,266,266,47,94,93,594,93,109,31,94,31,78,63,94,78,1
94,78,93,15,78,0,31,78,63,94,47,110,47,172,78,63,16,94,78,1
15,93,94,172,266,0,16,78,93,594,93,109,31,94,31,78,78,94,78,1
78,78,63,141,281,281,47,47,62,47,63,93,156,15,93,16,16,47,47,1
47,63,32,47,78,0,47,47,16,78,62,16,78,32,94,156,328,63,31,1
235,62,63,141,281,0,31,109,78,47,63,93,156,15,93,16,31,47,47,1
79,94,78,94,94,94,312,78,63,78,94,78,63,62,78,78,78,63,62,1
94,62,94,16,62,47,188,78,78,47,47,78,62,204,46,79,78,78,78,1
78,63,63,94,94,78,172,78,78,78,94,78,63,62,78,78,78,63,62,1
109,94,63,172,125,125,156,125,31,16,62,141,78,203,16,78,109,125,109,1
125,16,47,16,78,156,109,125,109,94,93,94,94,79,62,47,109,78,124,1
93,31,15,172,125,156,547,172,125,16,62,141,78,203,16,78,124,125,109,1
94,94,93,16,94,94,47,31,16,15,78,16,79,672,31,78,15,16,31,1
110,63,16,78,94,532,625,32,15,62,62,78,32,671,47,125,15,78,78,1
31,16,31,16,94,563,656,32,16,15,78,16,79,672,31,78,78,16,31,1
62,94,62,16,125,125,32,16,62,15,78,94,31,93,16,94,16,94,78,1
62,62,110,32,62,0,16,47,16,46,47,94,16,78,109,94,391,62,62,1
16,62,62,16,125,93,16,78,93,15,78,94,31,93,16,94,62,94,78,1
94,109,78,63,78,78,94,78,62,31,93,94,78,94,31,109,94,78,94,1
110,93,78,31,78,156,141,266,94,62,79,75,86,78,93,47,62,93,109,1
109,62,94,63,78,94,78,109,62,31,93,94,78,94,31,109,109,78,94,1
78,63,62,62,156,156,32,78,78,219,78,31,141,15,94,484,62,78,93,1
94,79,109,63,31,0,15,79,62,78,78,15,94,125,78,62,93,31,47,1
94,78,79,62,156,0,47,141,78,219,78,31,141,15,94,484,47,78,93,1
47,47,16,63,78,78,156,31,78,47,93,172,15,78,16,125,110,63,79,1
78,94,47,15,79,0,16,78,110,78,78,78,15,93,94,16,32,47,94,1
16,78,63,63,78,125,16,125,78,47,93,172,15,78,16,125,94,63,79,1
47,94,78,156,235,235,31,94,63,156,110,156,47,109,125,62,63,62,94,1
250,94,62,15,78,94,125,109,63,79,62,203,31,31,141,343,156,62,93,1
78,63,94,156,235,0,46,109,93,156,110,156,47,109,125,62,93,62,94,1
78,78,63,62,94,94,141,78,94,31,62,78,47,109,156,110,32,94,78,1
110,78,78,47,62,94,109,79,32,47,62,156,63,78,94,156,62,125,94,1
94,94,63,62,94,78,94,63,93,31,62,78,47,109,156,110,94,94,78,1
109,94,93,32,110,110,62,62,63,656,63,32,78,766,782,15,47,15,47,1
63,93,32,15,62,640,703,63,47,78,141,110,15,832,62,32,15,15,31,1
94,63,78,32,110,0,15,125,47,656,63,32,78,766,782,15,31,15,47,1
78,78,63,15,78,78,94,78,78,31,62,63,93,78,0,94,15,110,78,1
94,204,78,15,93,47,125,219,15,63,62,63,94,78,93,32,78,94,78,1
94,78,78,15,78,94,125,234,62,31,62,63,93,78,0,94,78,110,78,1
93,78,94,78,125,125,94,78,172,94,78,94,94,94,78,78,94,78,78,1
250,110,78,16,78,0,62,93,94,172,79,265,78,156,109,16,94,109,125,1
140,172,78,78,125,891,93,172,78,94,78,94,94,94,78,78,125,78,78,1
562,78,94,0,94,94,109,94,79,109,94,94,125,78,594,125,78,93,78,1
93,109,62,78,78,94,78,94,78,63,109,94,78,109,78,63,78,78,94,1
156,79,93,0,94,94,78,94,78,109,94,94,125,78,594,125,94,93,78,1
125,93,141,265,390,390,63,110,219,46,985,203,62,47,172,359,125,78,109,1
38,594,15,250,31,0,15,187,125,94,109,16,110,157,282,15,344,156,391,1
16,219,15,265,390,0,46,140,94,46,985,203,62,47,172,359,391,78,109,1
94,141,94,78,156,156,63,93,110,78,234,234,63,109,94,63,62,94,140,1
78,128,93,16,62,0,78,125,62,78,78,156,47,141,78,140,32,78,109,1
125,110,94,78,156,125,62,94,109,78,234,234,63,109,94,63,109,94,140,1
141,94,62,391,110,110,15,110,79,297,235,297,31,93,282,109,344,93,109,1
93,93,78,47,94,125,15,141,344,78,94,172,31,78,141,15,62,94,94,1
234,79,94,391,110,0,15,109,109,297,235,297,31,93,282,109,94,93,109,1
62,78,63,15,109,109,16,62,63,94,94,109,16,94,47,125,15,62,78,1
