dtfk1,dtsk1,ft2,dtfk3,ft4,dtsk4,ft5,dtfk7,dtsk7,dtfk8,dtfk10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,gender
47,63,172,62,109,94,156,62,94,78,141,78,94,109,31,79,78,63,94,47,1
62,93,94,62,32,62,125,93,78,78,47,79,110,125,78,156,93,47,78,62,1
63,93,78,94,109,94,140,62,78,93,141,78,94,109,31,79,63,140,47,47,1
109,109,32,78,313,391,47,79,78,94,16,47,62,94,234,78,62,125,16,31,1
78,78,93,93,16,47,578,437,62,78,32,62,47,94,172,16,16,78,94,47,1
32,16,172,78,313,391,79,250,47,90,16,47,62,94,234,78,46,32,62,31,1
78,62,188,62,109,219,15,79,47,78,63,94,63,78,16,78,63,62,78,79,1
63,63,31,62,62,63,47,93,63,63,62,47,47,94,62,16,62,63,78,63,1
78,62,94,47,109,219,32,62,78,79,63,94,63,78,16,78,63,266,109,79,1
119,156,16,94,172,266,47,78,93,94,594,93,109,94,31,78,63,78,15,94,1
94,94,16,78,15,78,31,31,63,63,94,47,110,172,78,63,16,109,78,94,1
15,16,32,93,172,266,16,78,93,62,594,93,109,94,31,78,78,47,110,94,1
78,94,141,78,141,281,47,62,62,125,47,63,93,15,93,16,16,78,94,47,1
47,78,78,63,47,78,47,94,16,187,78,62,16,32,94,156,328,62,47,63,1
235,328,219,62,141,281,31,78,78,63,47,63,93,15,93,16,31,62,328,47,1
79,109,109,94,94,94,312,78,63,63,78,94,78,62,78,78,78,125,63,63,1
94,78,16,62,16,62,188,79,78,62,47,47,78,204,46,79,78,47,78,78,1
78,78,109,63,94,94,172,78,78,78,78,94,78,62,78,78,78,218,79,63,1
109,125,94,94,172,125,156,16,31,94,16,62,141,203,16,78,109,16,94,125,1
125,47,125,16,16,78,109,47,109,109,94,93,94,79,62,47,109,32,78,78,1
93,109,78,31,172,125,547,78,125,78,16,62,141,203,16,78,124,16,78,125,1
94,141,47,94,16,94,47,31,16,4,15,78,16,672,31,78,15,78,32,16,1
110,15,125,63,78,94,625,62,15,172,62,62,78,671,47,125,15,125,15,78,1
31,15,141,16,16,94,656,31,16,72,15,78,16,672,31,78,78,31,109,16,1
