dtfk1,ft1,dtsk2,dtfk3,dtfk4,ft4,dtsk4,dtfk5,ft5,ft6,dtsk6,dtfk7,dtfk8,ft8,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,ft13,dtsk13,gender
47,31,62,62,78,109,94,94,156,110,62,62,78,94,78,94,94,31,109,79,78,63,94,1
62,32,62,62,62,32,62,94,125,62,79,93,78,125,79,110,78,93,125,156,93,47,78,1
63,78,79,94,78,109,94,78,140,62,94,62,93,94,78,94,94,31,109,79,63,140,47,1
109,16,78,78,62,313,391,391,47,16,78,79,94,62,47,62,47,32,94,78,62,125,16,1
78,16,16,93,62,16,47,516,578,125,16,437,78,94,62,47,63,94,94,16,16,78,94,1
32,62,63,78,62,313,391,484,79,47,15,250,90,62,47,62,47,32,94,78,46,32,62,1
78,594,62,62,78,109,219,219,15,125,63,79,78,125,94,63,93,63,78,78,63,62,78,1
63,31,94,62,47,62,63,62,47,62,47,93,63,109,47,47,109,47,94,16,62,63,78,1
78,110,62,47,78,109,219,62,32,78,94,62,79,63,94,63,93,63,78,78,63,266,109,1
119,47,94,94,78,172,266,266,47,63,94,78,94,312,93,109,31,94,94,78,63,78,15,1
94,93,78,78,78,15,78,0,31,63,844,31,63,94,47,110,47,78,172,63,16,109,78,1
15,94,94,93,78,172,266,0,16,31,63,78,62,109,93,109,31,94,94,78,78,47,110,1
78,78,78,78,63,141,281,281,47,187,47,62,125,31,63,93,156,47,15,16,16,78,94,1
47,78,125,63,47,47,78,0,47,94,62,94,187,32,62,16,78,47,32,156,328,62,47,1
235,47,47,62,63,141,281,0,31,15,47,78,63,0,63,93,156,47,15,16,31,62,328,1
79,125,94,94,78,94,94,94,312,93,94,78,63,125,94,78,63,78,62,78,78,125,63,1
94,16,78,62,78,16,62,47,188,78,94,79,62,94,47,78,62,63,204,79,78,47,78,1
78,31,47,63,78,94,94,78,172,63,125,78,78,46,94,78,63,78,62,78,78,218,79,1
109,78,94,94,63,172,125,125,156,62,125,16,94,94,62,141,78,157,203,78,109,16,94,1
125,188,62,16,109,16,78,156,109,78,110,47,109,78,93,94,94,62,79,47,109,32,78,1
93,16,78,31,63,172,125,156,547,79,93,78,78,109,62,141,78,157,203,78,124,16,78,1
94,47,94,94,93,16,94,94,47,62,110,31,4,80,78,16,79,62,672,78,15,78,32,1
110,94,94,63,110,78,94,532,625,141,47,62,172,16,62,78,32,141,671,125,15,125,15,1
31,94,15,16,93,16,94,563,656,31,47,31,72,593,78,16,79,62,672,78,78,31,109,1
62,63,94,94,62,16,125,125,32,31,62,78,78,78,78,94,31,47,93,94,16,63,31,1
62,16,78,62,78,32,62,0,16,140,32,31,63,78,47,94,16,109,78,94,391,78,15,1
16,94,31,62,62,16,125,93,16,16,62,94,77,703,78,94,31,47,93,94,62,16,62,1
94,62,109,109,78,63,78,78,94,94,110,78,109,79,93,94,78,109,94,109,94,78,78,1
110,15,47,93,109,31,78,156,141,63,109,109,93,78,79,75,86,93,78,47,62,47,78,1
109,16,78,62,78,63,78,94,78,93,110,109,110,110,93,94,78,109,94,109,109,63,78,1
78,31,63,63,62,62,156,156,32,16,94,78,140,16,78,31,141,62,15,484,62,47,78,1
94,31,78,79,250,63,31,0,15,78,157,63,31,141,78,15,94,109,125,62,93,32,78,1
94,16,94,78,62,62,156,0,47,113,16,62,78,63,78,31,141,62,15,484,47,63,31,1
47,93,47,47,16,63,78,78,156,31,78,62,78,94,93,172,15,63,78,125,110,125,93,1
78,32,94,94,110,15,79,0,16,79,15,110,62,110,78,78,15,78,93,16,32,63,47,1
16,62,78,78,16,63,78,125,16,16,94,78,78,94,93,172,15,63,78,125,94,63,93,1
47,281,94,94,78,156,235,235,31,188,250,78,78,157,110,156,47,125,109,62,63,47,265,1
250,16,94,94,78,15,78,94,125,62,141,16,62,47,62,203,31,109,31,343,156,32,93,1
78,47,46,63,78,156,235,0,46,85,43,78,78,0,110,156,47,125,109,62,93,32,78,1
78,187,78,78,63,62,94,94,141,32,110,62,78,157,62,78,47,78,109,110,32,79,78,1
110,15,78,78,47,47,62,94,109,63,62,203,62,78,62,156,63,125,78,156,62,78,78,1
94,16,93,94,63,62,94,78,94,109,16,32,110,719,62,78,47,78,109,110,94,31,63,1
109,31,94,94,93,32,110,110,62,62,63,78,79,157,63,32,78,79,766,15,47,125,16,1
63,15,32,93,78,15,62,640,703,62,141,47,16,15,141,110,15,93,832,32,15,78,15,1
94,157,94,63,93,32,110,0,15,31,16,703,62,738,63,32,78,79,766,15,31,109,16,1
78,16,78,78,63,15,78,78,94,109,94,63,94,78,62,63,93,63,78,94,15,94,469,1
94,15,62,204,110,15,93,47,125,47,94,79,15,63,62,63,94,62,78,32,78,156,78,1
94,47,47,78,63,15,78,94,125,62,94,141,78,78,62,63,93,63,78,94,78,32,109,1
93,16,78,78,94,78,125,125,94,141,250,125,94,140,78,94,94,203,94,78,94,63,109,1
250,16,110,110,93,16,78,0,62,78,94,141,47,93,79,265,78,110,156,16,94,703,62,1
140,16,93,172,94,78,125,891,93,141,93,94,156,78,78,94,94,203,94,78,125,31,110,1
562,16,78,78,94,0,94,94,109,157,93,78,94,94,94,94,125,78,78,125,78,47,78,1
93,16,78,109,110,78,78,94,78,78,94,78,62,94,109,94,78,78,109,63,78,31,78,1
156,47,94,79,94,0,94,94,78,94,47,47,78,110,94,94,125,78,78,125,94,172,94,1
125,157,93,93,141,265,390,390,63,78,38,15,109,109,985,203,62,141,47,359,125,94,141,1
38,129,109,594,172,250,31,0,15,94,140,94,94,94,109,16,110,78,157,15,344,406,16,1
16,125,78,219,141,265,390,0,46,125,31,141,94,125,985,203,62,141,47,359,391,31,109,1
94,296,141,141,94,78,156,156,63,63,78,109,94,141,234,234,63,157,109,63,62,125,94,1
78,94,156,128,94,16,62,0,78,78,94,94,641,78,78,156,47,109,141,140,32,93,47,1
125,93,94,110,94,78,156,125,62,94,94,125,94,110,234,234,63,157,109,63,109,156,63,1
141,16,94,94,62,391,110,110,15,235,93,78,125,204,235,297,31,141,93,109,344,62,360,1
93,32,125,93,94,47,94,125,15,78,250,16,125,125,94,172,31,140,78,15,62,94,344,1
234,141,94,79,62,391,110,0,15,63,218,125,94,156,235,297,31,141,93,109,94,141,266,1
62,32,78,78,63,15,109,109,16,141,63,46,63,93,94,109,16,31,94,125,15,78,47,1
63,15,78,79,78,63,31,0,15,78,78,78,93,110,62,94,47,94,109,110,62,31,63,1
78,63,16,63,63,15,109,125,16,31,94,62,78,125,94,109,16,31,94,125,94,46,47,1
141,15,102,102,118,53,91,91,259,62,109,31,125,125,78,110,94,187,110,125,110,31,125,1
109,188,94,16,110,15,63,78,172,78,157,219,16,94,93,94,125,78,125,250,110,15,109,1
125,15,109,16,118,53,91,94,223,93,110,156,171,125,78,110,94,187,110,125,109,16,125,1
94,31,78,78,94,15,63,63,62,94,78,62,31,93,79,63,109,140,78,62,79,15,47,1
78,16,125,156,78,79,62,515,63,62,78,78,15,47,125,78,79,78,109,15,63,47,78,1
140,31,78,46,94,15,63,94,62,63,109,110,110,78,79,63,109,140,78,62,79,78,62,1
125,62,63,63,109,63,78,78,125,109,172,46,125,78,78,141,46,32,62,109,41,65,78,1
172,16,63,62,94,31,94,78,125,93,110,172,63,141,79,156,47,94,126,219,47,63,62,1
94,31,78,63,109,63,78,62,125,47,63,32,94,62,78,141,46,32,62,109,46,47,94,1
78,62,78,78,78,156,141,141,16,125,203,78,109,110,94,94,125,78,187,94,109,32,109,1
203,31,94,32,78,16,62,172,15,62,125,109,78,94,79,78,110,78,110,32,78,16,93,1
78,47,110,94,78,156,141,125,109,78,109,94,63,93,94,94,125,78,187,94,63,62,47,1
62,32,47,47,63,47,62,62,141,125,78,62,78,110,79,79,140,47,63,78,47,94,63,1
78,47,94,78,62,32,93,78,157,62,125,94,78,156,47,109,94,62,125,78,47,47,62,1
63,125,62,78,63,47,62,63,140,47,141,78,63,78,79,79,140,47,63,78,78,62,63,1
94,141,47,47,78,250,328,328,62,93,313,47,422,47,344,140,234,63,47,78,62,125,125,1
313,109,110,141,46,79,31,0,62,94,140,140,359,515,78,16,93,63,94,62,156,16,78,1
78,78,78,125,78,250,328,0,63,63,62,109,94,125,344,140,234,63,47,78,79,31,109,1
93,282,78,78,78,234,94,94,47,984,63,63,79,109,78,63,140,94,78,78,78,297,78,1
63,297,62,78,62,188,62,93,63,63,203,78,93,47,62,78,140,78,94,344,94,484,79,1
62,797,62,47,78,234,94,141,203,78,125,78,62,78,78,63,140,94,78,78,62,375,63,1
93,32,94,94,62,110,250,250,63,94,78,125,187,266,63,125,47,63,109,93,47,78,78,1
78,16,109,62,78,31,78,125,16,62,141,78,62,516,63,125,15,78,94,547,0,78,31,1
31,172,78,0,62,110,250,844,938,46,94,109,94,78,63,125,47,63,109,93,78,63,187,1
156,0,93,93,109,32,171,171,16,125,62,63,156,78,375,156,47,78,63,78,47,78,16,1
62,16,16,63,94,93,47,110,31,78,78,94,93,16,78,78,47,125,16,0,62,16,62,1
47,31,93,63,109,32,171,94,31,63,140,62,125,0,375,156,47,78,63,78,94,62,78,1
125,15,78,78,93,94,78,78,203,94,187,141,78,94,63,94,78,94,93,78,78,78,78,1
187,16,63,94,78,31,63,0,0,62,125,94,93,94,110,110,93,78,94,32,78,32,62,1
78,31,62,78,93,94,78,94,171,78,94,109,79,110,63,94,78,94,93,78,78,16,78,1
125,172,109,109,109,250,78,78,110,156,110,125,62,125,110,47,156,79,94,94,63,422,78,1
110,359,78,78,78,219,93,94,78,93,610,62,109,141,63,78,109,79,156,140,93,547,94,1
94,313,78,63,109,250,78,93,250,63,156,94,109,94,110,47,156,79,94,94,93,203,63,1
63,94,47,47,63,93,156,156,31,469,62,78,141,47,73,78,31,125,79,110,78,78,47,1
62,16,47,63,47,16,47,0,594,166,16,62,78,78,63,140,0,63,47,62,31,47,63,1
78,31,63,78,63,93,156,0,16,141,15,94,78,703,73,78,31,125,79,110,78,172,78,1
109,16,109,109,47,391,438,438,31,62,94,78,110,140,78,109,125,109,109,78,15,78,31,1
94,0,110,78,78,141,78,0,32,94,78,31,63,109,78,125,31,62,687,78,32,110,31,1
78,109,93,94,47,391,438,0,31,47,46,110,0,94,78,109,125,109,109,78,94,62,63,1
