ft1,dtsk2,dtfk3,dtsk3,ft4,dtsk4,ft5,dtsk5,ft7,dtsk7,dtfk8,dtsk8,dtfk10,dtsk10,dtfk12,ft12,dtsk12,ft13,dtfk14,ft14,gender
31,62,62,78,109,94,156,78,94,94,78,62,141,78,109,31,79,63,47,109,1
32,62,62,62,32,62,125,94,47,78,78,47,47,79,125,78,156,47,62,94,1
78,79,94,32,109,94,140,94,94,78,93,125,141,78,109,31,79,140,47,109,1
16,78,78,62,313,391,47,62,15,78,94,109,16,47,94,234,78,125,31,63,1
16,16,93,62,16,47,578,32,63,62,78,94,32,62,94,172,16,78,47,32,1
62,63,78,50,313,391,79,62,78,47,90,94,16,47,94,234,78,32,31,63,1
594,62,62,78,109,219,15,63,46,47,78,63,63,94,78,16,78,62,79,171,1
31,94,62,78,62,63,47,94,47,63,63,63,62,47,94,62,16,63,63,46,1
110,62,47,47,109,219,32,94,16,78,79,94,63,94,78,16,78,266,79,171,1
47,94,94,78,172,266,47,94,157,93,94,63,594,93,94,31,78,78,94,31,1
93,78,78,93,15,78,31,78,94,63,63,62,94,47,172,78,63,109,94,78,1
94,94,93,94,172,266,16,78,16,93,62,172,594,93,94,31,78,47,94,31,1
78,78,78,63,141,281,47,47,94,62,125,63,47,63,15,93,16,78,47,94,1
78,125,63,32,47,78,47,47,93,16,187,63,78,62,32,94,156,62,63,141,1
47,47,62,63,141,281,31,109,47,78,63,32,47,63,15,93,16,62,47,94,1
125,94,94,78,94,94,312,78,78,63,63,62,78,94,62,78,78,125,63,31,1
16,78,62,94,16,62,188,78,187,78,62,78,47,47,204,46,79,47,78,63,1
31,47,63,63,94,94,172,78,47,78,78,204,78,94,62,78,78,218,63,31,1
78,94,94,63,172,125,156,125,47,31,94,78,16,62,203,16,78,16,125,16,1
188,62,16,47,16,78,109,125,31,109,109,94,94,93,79,62,47,32,78,47,1
16,78,31,15,172,125,547,172,47,125,78,79,16,62,203,16,78,16,125,16,1
47,94,94,93,16,94,47,31,94,16,4,31,15,78,672,31,78,78,16,110,1
94,94,63,16,78,94,625,32,141,15,172,31,62,62,671,47,125,125,78,16,1
94,15,16,31,16,94,656,32,78,16,72,671,15,78,672,31,78,31,16,110,1
63,94,94,62,16,125,32,16,16,62,78,78,15,78,93,16,94,63,94,15,1
16,78,62,110,32,62,16,47,47,16,63,78,46,47,78,109,94,78,62,32,1
94,31,62,62,16,125,16,78,31,93,77,78,15,78,93,16,94,16,94,15,1
62,109,109,78,63,78,94,78,16,62,109,93,31,93,94,31,109,78,78,16,1
15,47,93,78,31,78,141,266,16,94,93,110,62,79,78,93,47,47,93,16,1
16,78,62,94,63,78,78,109,16,62,110,78,31,93,94,31,109,63,78,16,1
31,63,63,62,62,156,32,78,204,78,140,78,219,78,15,94,484,47,78,32,1
31,78,79,109,63,31,15,79,31,62,31,31,78,78,125,78,62,32,31,78,1
16,94,78,79,62,156,47,141,32,78,78,125,219,78,15,94,484,63,78,32,1
93,47,47,16,63,78,156,31,63,78,78,62,47,93,78,16,125,125,63,15,1
32,94,94,47,15,79,16,78,15,110,62,47,78,78,93,94,16,63,47,31,1
62,78,78,63,63,78,16,125,16,78,78,93,47,93,78,16,125,63,63,15,1
281,94,94,78,156,235,31,94,47,63,78,125,156,110,109,125,62,47,62,16,1
16,94,94,62,15,78,125,109,109,63,62,125,79,62,31,141,343,32,62,32,1
47,46,63,94,156,235,46,109,110,93,78,31,156,110,109,125,62,32,62,16,1
187,78,78,63,62,94,141,78,16,94,78,78,31,62,109,156,110,79,94,31,1
15,78,78,78,47,62,109,79,265,32,62,78,47,62,78,94,156,78,125,16,1
16,93,94,63,62,94,94,63,15,93,110,78,31,62,109,156,110,31,94,31,1
31,94,94,93,32,110,62,62,16,63,79,62,656,63,766,782,15,125,15,62,1
15,32,93,32,15,62,703,63,94,47,16,62,78,141,832,62,32,78,15,62,1
157,94,63,78,32,110,15,125,16,47,62,832,656,63,766,782,15,109,15,62,1
16,78,78,63,15,78,94,78,94,78,94,47,31,62,78,0,94,94,110,15,1
15,62,204,78,15,93,125,219,78,15,15,78,63,62,78,93,32,156,94,31,1
47,47,78,78,15,78,125,234,15,62,78,78,31,62,78,0,94,32,110,15,1
16,78,78,94,78,125,94,78,109,172,94,110,94,78,94,78,78,63,78,78,1
16,110,110,78,16,78,62,93,93,94,47,110,172,79,156,109,16,703,109,813,1
16,93,172,78,78,125,93,172,78,78,156,156,94,78,94,78,78,31,78,78,1
16,78,78,94,0,94,109,94,15,79,94,93,109,94,78,594,125,47,93,47,1
16,78,109,62,78,78,78,94,31,78,62,94,63,109,109,78,63,31,78,47,1
47,94,79,93,0,94,78,94,31,78,78,109,109,94,78,594,125,172,93,47,1
157,93,93,141,265,390,63,110,93,219,109,94,46,985,47,172,359,94,78,110,1
129,109,594,15,250,31,15,187,125,125,94,62,94,109,157,282,15,406,156,313,1
125,78,219,15,265,390,46,140,187,94,94,157,46,985,47,172,359,31,78,110,1
296,141,141,94,78,156,63,93,31,110,94,109,78,234,109,94,63,125,94,203,1
94,156,128,93,16,62,78,125,94,62,641,108,78,78,141,78,140,93,78,63,1
93,94,110,94,78,156,62,94,62,109,94,141,78,234,109,94,63,156,94,203,1
16,94,94,62,391,110,15,110,109,79,125,109,297,235,93,282,109,62,93,32,1
32,125,93,78,47,94,15,141,125,344,125,125,78,94,78,141,15,94,94,62,1
141,94,79,94,391,110,15,109,188,109,94,78,297,235,93,282,109,141,93,32,1
32,78,78,63,15,109,16,62,47,63,63,78,94,94,94,47,125,78,62,32,1
15,78,79,31,63,31,15,62,63,15,93,62,78,62,109,78,110,31,63,47,1
63,16,63,47,15,109,16,63,16,79,78,109,94,94,94,47,125,46,62,32,1
15,102,102,118,53,91,259,144,78,16,125,93,156,78,110,343,125,31,94,15,1
188,94,16,63,15,63,172,94,16,110,16,109,79,93,125,125,250,15,156,15,1
15,109,16,532,53,91,223,125,16,78,171,125,156,78,110,343,125,16,94,15,1
31,78,78,94,15,63,62,63,32,46,31,94,78,79,78,16,62,15,15,47,1
16,125,156,78,79,62,63,78,31,79,15,172,63,125,109,172,15,47,109,16,1
31,78,46,78,15,63,62,79,172,16,110,109,78,79,78,16,62,78,15,47,1
62,63,63,109,63,78,125,47,16,63,125,63,265,78,62,32,109,65,78,15,1
16,63,62,78,31,94,125,203,116,41,63,46,31,79,126,46,219,63,78,47,1
31,78,63,94,63,78,125,110,31,62,94,126,265,78,62,32,109,47,78,15,1
62,78,78,78,156,141,16,125,16,94,109,78,47,94,187,16,94,32,79,78,1
31,94,32,110,16,62,15,94,63,109,78,78,63,79,110,93,32,16,94,31,1
47,110,94,78,156,141,109,125,15,63,63,110,47,94,187,16,94,62,79,78,1
32,47,47,63,47,62,141,62,110,78,78,78,78,79,63,15,78,94,78,16,1
47,94,78,63,32,93,157,62,203,47,78,94,47,47,125,47,78,47,63,47,1
125,62,78,62,47,62,140,78,31,63,63,125,78,79,63,15,78,62,78,16,1
141,47,47,78,250,328,62,172,78,125,422,250,62,344,47,125,78,125,78,31,1
109,110,141,157,79,31,62,172,235,62,359,63,62,78,94,78,62,16,62,281,1
78,78,125,15,250,328,63,172,141,62,94,94,62,344,47,125,78,31,78,31,1
282,78,78,78,234,94,47,94,218,47,79,62,78,78,78,828,78,297,63,219,1
297,62,78,63,188,62,63,109,250,78,93,78,62,62,94,62,344,484,78,204,1
797,62,47,62,234,94,203,109,375,47,62,94,78,78,78,828,78,375,63,219,1
32,94,94,62,110,250,63,63,46,0,187,93,78,63,109,32,93,78,93,78,1
16,109,62,78,31,78,16,63,16,47,62,78,63,63,94,93,547,78,62,16,1
172,78,0,78,110,250,938,31,32,78,94,94,78,63,109,32,93,63,93,78,1
0,93,93,109,32,171,16,109,62,63,156,110,31,375,63,16,78,78,78,31,1
16,16,63,47,93,47,31,109,109,47,93,125,63,78,16,109,0,16,94,15,1
31,93,63,78,32,171,31,125,125,109,125,16,31,375,63,16,78,62,78,31,1
15,78,78,93,94,78,203,63,0,78,78,78,141,63,93,16,78,78,93,32,1
16,63,94,63,31,63,0,94,63,78,93,94,234,110,94,93,32,32,94,31,1
