ft3,dtsk3,ft4,dtsk4,dtfk5,dtfk6,ft7,dtsk7,dtfk8,dtsk8,dtfk10,dtsk10,dtfk11,ft11,ft12,dtsk12,dtfk13,dtsk13,ft14,gender
63,78,109,94,94,62,94,94,78,62,141,78,94,94,31,79,78,94,109,1
63,62,32,62,94,78,47,78,78,47,47,79,110,78,78,156,93,78,94,1
15,32,109,94,78,47,94,78,93,125,141,78,94,94,31,79,63,47,109,1
15,62,313,391,391,62,15,78,94,109,16,47,62,47,234,78,62,16,63,1
32,62,16,47,516,47,63,62,78,94,32,62,47,63,172,16,16,94,32,1
62,50,313,391,484,79,78,47,90,94,16,47,62,47,234,78,46,62,63,1
32,78,109,219,219,78,46,47,78,63,63,94,63,93,16,78,63,78,171,1
78,78,62,63,62,94,47,63,63,63,62,47,47,109,62,16,62,78,46,1
63,47,109,219,62,16,16,78,79,94,63,94,63,93,16,78,63,109,171,1
62,78,172,266,266,93,157,93,94,63,594,93,109,31,31,78,63,15,31,1
47,93,15,78,0,93,94,63,63,62,94,47,110,47,78,63,16,78,78,1
47,94,172,266,0,62,16,93,62,172,594,93,109,31,31,78,78,110,31,1
62,63,141,281,281,32,94,62,125,63,47,63,93,156,93,16,16,94,94,1
62,32,47,78,0,63,93,16,187,63,78,62,16,78,94,156,328,47,141,1
47,63,141,281,0,78,47,78,63,32,47,63,93,156,93,16,31,328,94,1
78,78,94,94,94,94,78,63,63,62,78,94,78,63,78,78,78,63,31,1
110,94,16,62,47,94,187,78,62,78,47,47,78,62,46,79,78,78,63,1
15,63,94,94,78,31,47,78,78,204,78,94,78,63,78,78,78,79,31,1
15,63,172,125,125,47,47,31,94,78,16,62,141,78,16,78,109,94,16,1
110,47,16,78,156,62,31,109,109,94,94,93,94,94,62,47,109,78,47,1
94,15,172,125,156,15,47,125,78,79,16,62,141,78,16,78,124,78,16,1
125,93,16,94,94,16,94,16,4,31,15,78,16,79,31,78,15,32,110,1
141,16,78,94,532,78,141,15,172,31,62,62,78,32,47,125,15,15,16,1
78,31,16,94,563,156,78,16,72,671,15,78,16,79,31,78,78,109,110,1
47,62,16,125,125,110,16,62,78,78,15,78,94,31,16,94,16,31,15,1
78,110,32,62,0,78,47,16,63,78,46,47,94,16,109,94,391,15,32,1
32,62,16,125,93,62,31,93,77,78,15,78,94,31,16,94,62,62,15,1
16,78,63,78,78,78,16,62,109,93,31,93,94,78,31,109,94,78,16,1
47,78,31,78,156,93,16,94,93,110,62,79,75,86,93,47,62,78,16,1
31,94,63,78,94,47,16,62,110,78,31,93,94,78,31,109,109,78,16,1
16,62,62,156,156,109,204,78,140,78,219,78,31,141,94,484,62,78,32,1
15,109,63,31,0,78,31,62,31,31,78,78,15,94,78,62,93,78,78,1
93,79,62,156,0,19,32,78,78,125,219,78,31,141,94,484,47,31,32,1
31,16,63,78,78,47,63,78,78,62,47,93,172,15,16,125,110,93,15,1
31,47,15,79,0,93,15,110,62,47,78,78,78,15,94,16,32,47,31,1
15,63,63,78,125,94,16,78,78,93,47,93,172,15,16,125,94,93,15,1
78,78,156,235,235,62,47,63,78,125,156,110,156,47,125,62,63,265,16,1
63,62,15,78,94,110,109,63,62,125,79,62,203,31,141,343,156,93,32,1
15,94,156,235,0,62,110,93,78,31,156,110,156,47,125,62,93,78,16,1
15,63,62,94,94,78,16,94,78,78,31,62,78,47,156,110,32,78,31,1
31,78,47,62,94,62,265,32,62,78,47,62,156,63,94,156,62,78,16,1
15,63,62,94,78,16,15,93,110,78,31,62,78,47,156,110,94,63,31,1
32,93,32,110,110,32,16,63,79,62,656,63,32,78,782,15,47,16,62,1
16,32,15,62,640,63,94,47,16,62,78,141,110,15,62,32,15,15,62,1
31,78,32,110,0,110,16,47,62,832,656,63,32,78,782,15,31,16,62,1
62,63,15,78,78,78,94,78,94,47,31,62,63,93,0,94,15,469,15,1
15,78,15,93,47,62,78,15,15,78,63,62,63,94,93,32,78,78,31,1
594,78,15,78,94,15,15,62,78,78,31,62,63,93,0,94,78,109,15,1
140,94,78,125,125,78,109,172,94,110,94,78,94,94,78,78,94,109,78,1
109,78,16,78,0,78,93,94,47,110,172,79,265,78,109,16,94,62,813,1
15,78,78,125,891,94,78,78,156,156,94,78,94,94,78,78,125,110,78,1
109,94,0,94,94,62,15,79,94,93,109,94,94,125,594,125,78,78,47,1
16,62,78,78,94,94,31,78,62,94,63,109,94,78,78,63,78,78,47,1
31,93,0,94,94,31,31,78,78,109,109,94,94,125,594,125,94,94,47,1
16,141,265,390,390,15,93,219,109,94,46,985,203,62,172,359,125,141,110,1
94,15,250,31,0,985,125,125,94,62,94,109,16,110,282,15,344,16,313,1
110,15,265,390,0,31,187,94,94,157,46,985,203,62,172,359,391,109,110,1
109,94,78,156,156,93,31,110,94,109,78,234,234,63,94,63,62,94,203,1
63,93,16,62,0,234,94,62,641,108,78,78,156,47,78,140,32,47,63,1
62,94,78,156,125,93,62,109,94,141,78,234,234,63,94,63,109,63,203,1
125,62,391,110,110,78,109,79,125,109,297,235,297,31,282,109,344,360,32,1
16,78,47,94,125,235,125,344,125,125,78,94,172,31,141,15,62,344,62,1
31,94,391,110,0,16,188,109,94,78,297,235,297,31,282,109,94,266,32,1
94,63,15,109,109,31,47,63,63,78,94,94,109,16,47,125,15,47,32,1
15,31,63,31,0,94,63,15,93,62,78,62,94,47,78,110,62,63,47,1
47,47,15,109,125,16,16,79,78,109,94,94,109,16,47,125,94,47,32,1
31,118,53,91,91,63,78,16,125,93,156,78,110,94,343,125,110,125,15,1
141,63,15,63,78,78,16,110,16,109,79,93,94,125,125,250,110,109,15,1
93,532,53,91,94,16,16,78,171,125,156,78,110,94,343,125,109,125,15,1
16,94,15,63,63,78,32,46,31,94,78,79,63,109,16,62,79,47,47,1
32,78,79,62,515,79,31,79,15,172,63,125,78,79,172,15,63,78,16,1
16,78,15,63,94,31,172,16,110,109,78,79,63,109,16,62,79,62,47,1
78,109,63,78,78,78,16,63,125,63,265,78,141,46,32,109,41,78,15,1
63,78,31,94,78,78,116,41,63,46,31,79,156,47,46,219,47,62,47,1
15,94,63,78,62,78,31,62,94,126,265,78,141,46,32,109,46,94,15,1
31,78,156,141,141,110,16,94,109,78,47,94,94,125,16,94,109,109,78,1
218,110,16,62,172,94,63,109,78,78,63,79,78,110,93,32,78,93,31,1
31,78,156,141,125,47,15,63,63,110,47,94,94,125,16,94,63,47,78,1
46,63,47,62,62,63,110,78,78,78,78,79,79,140,15,78,47,63,16,1
78,63,32,93,78,79,203,47,78,94,47,47,109,94,47,78,47,62,47,1
47,62,47,62,63,46,31,63,63,125,78,79,79,140,15,78,78,63,16,1
47,78,250,328,328,157,78,125,422,250,62,344,140,234,125,78,62,125,31,1
62,157,79,31,0,344,235,62,359,63,62,78,16,93,78,62,156,78,281,1
78,15,250,328,0,47,141,62,94,94,62,344,140,234,125,78,79,109,31,1
891,78,234,94,94,63,218,47,79,62,78,78,63,140,828,78,78,78,219,1
250,63,188,62,93,78,250,78,93,78,62,62,78,140,62,344,94,79,204,1
235,62,234,94,141,219,375,47,62,94,78,78,63,140,828,78,62,63,219,1
78,62,110,250,250,78,46,0,187,93,78,63,125,47,32,93,47,78,78,1
47,78,31,78,125,63,16,47,62,78,63,63,125,15,93,547,0,31,16,1
16,78,110,250,844,16,32,78,94,94,78,63,125,47,32,93,78,187,78,1
16,109,32,171,171,47,62,63,156,110,31,375,156,47,16,78,47,16,31,1
47,47,93,47,110,375,109,47,93,125,63,78,78,47,109,0,62,62,15,1
62,78,32,171,94,15,125,109,125,16,31,375,156,47,16,78,94,78,31,1
63,93,94,78,78,63,0,78,78,78,141,63,94,78,16,78,78,78,32,1
62,63,31,63,0,63,63,78,93,94,234,110,110,93,93,32,78,62,31,1
63,78,94,78,94,15,16,62,79,94,141,63,94,78,16,78,78,78,32,1
110,109,250,78,78,78,140,63,62,47,94,110,47,156,265,94,63,78,94,1
110,78,219,93,94,110,328,63,109,109,93,63,78,109,94,140,93,94,125,1
15,94,250,78,93,78,187,78,109,156,94,110,47,156,265,94,93,63,94,1
47,63,93,156,156,63,125,78,141,172,78,73,78,31,15,110,78,47,31,1
62,63,16,47,0,73,125,78,78,62,62,63,140,0,110,62,31,63,31,1
32,62,93,156,0,62,31,63,78,47,78,73,78,31,15,110,78,78,31,1
78,47,391,438,438,94,31,94,110,79,94,78,109,125,16,78,15,31,0,1
47,94,141,78,0,78,78,15,63,47,63,78,125,31,94,78,32,31,31,1
31,78,391,438,0,78,31,94,0,687,94,78,109,125,16,78,94,63,0,1
79,93,485,594,594,94,141,62,125,63,47,78,47,62,16,93,0,62,32,1
125,94,47,78,125,78,110,0,78,109,62,62,125,62,78,94,94,63,47,1
31,94,485,594,234,94,78,94,109,172,47,78,47,62,16,93,93,94,32,1
78,31,125,63,63,63,32,78,78,78,63,93,78,78,172,78,63,63,79,1
47,63,46,47,47,93,15,63,78,109,62,63,78,94,62,47,63,31,63,1
47,62,125,63,46,94,16,62,62,125,63,93,78,78,172,78,78,32,79,1
292,79,128,225,225,63,47,78,15,94,47,109,78,63,15,62,32,16,47,1
0,63,47,62,609,109,93,32,109,125,78,78,79,78,94,78,78,63,62,1
297,78,128,225,0,93,31,172,47,110,47,109,78,63,15,62,47,47,47,1
16,93,63,140,140,31,578,94,78,62,47,141,78,94,78,62,47,47,63,1
78,31,62,78,125,141,78,47,94,62,47,63,78,125,110,78,47,62,31,1
62,78,63,140,47,78,453,78,63,93,47,141,78,94,78,62,94,62,63,1
52,40,271,380,380,79,16,62,94,62,47,63,125,32,15,78,32,31,16,1
31,79,32,78,0,63,31,32,78,78,63,63,312,63,94,141,62,62,31,1
16,94,271,380,125,63,0,32,76,62,47,63,125,32,15,78,79,156,16,1
563,78,140,79,79,62,141,62,62,63,125,63,63,93,125,62,63,62,110,1
109,62,94,62,94,63,78,63,78,62,62,63,78,110,62,78,78,46,47,1
78,47,140,79,78,62,125,83,47,110,125,63,63,93,125,62,78,47,110,1
31,109,31,172,172,110,16,93,109,63,0,453,140,47,46,79,31,78,32,1
0,110,15,78,110,453,63,31,94,62,93,78,829,31,78,110,62,94,31,1
32,78,31,172,172,31,78,94,94,109,0,453,140,47,46,79,109,110,32,1
16,63,78,62,62,62,31,94,93,31,32,110,78,94,0,78,31,46,62,1
31,62,61,52,78,110,62,31,47,78,78,63,62,110,94,15,31,94,47,1
62,47,78,62,79,16,47,78,109,141,32,110,78,94,0,78,78,78,62,1
63,93,188,78,78,94,31,78,109,125,78,62,78,110,125,110,125,125,32,1
31,94,0,78,0,62,31,125,78,125,78,63,62,94,94,235,125,94,235,1
