dtfk1,dtfk3,dtsk3,ft4,dtsk4,dtfk5,ft5,dtfk7,dtsk7,ft8,dtfk10,dtsk10,dtfk11,dtsk12,dtfk13,dtfk14,ft14,gender
47,62,78,109,94,94,156,62,94,94,141,78,94,79,78,47,109,1
62,62,62,32,62,94,125,93,78,125,47,79,110,156,93,62,94,1
63,94,32,109,94,78,140,62,78,94,141,78,94,79,63,47,109,1
109,78,62,313,391,391,47,79,78,62,16,47,62,78,62,31,63,1
78,93,62,16,47,516,578,437,62,94,32,62,47,16,16,47,32,1
32,78,50,313,391,484,79,250,47,62,16,47,62,78,46,31,63,1
78,62,78,109,219,219,15,79,47,125,63,94,63,78,63,79,171,1
63,62,78,62,63,62,47,93,63,109,62,47,47,16,62,63,46,1
78,47,47,109,219,62,32,62,78,63,63,94,63,78,63,79,171,1
119,94,78,172,266,266,47,78,93,312,594,93,109,78,63,94,31,1
94,78,93,15,78,0,31,31,63,94,94,47,110,63,16,94,78,1
15,93,94,172,266,0,16,78,93,109,594,93,109,78,78,94,31,1
78,78,63,141,281,281,47,62,62,31,47,63,93,16,16,47,94,1
47,63,32,47,78,0,47,94,16,32,78,62,16,156,328,63,141,1
235,62,63,141,281,0,31,78,78,0,47,63,93,16,31,47,94,1
79,94,78,94,94,94,312,78,63,125,78,94,78,78,78,63,31,1
94,62,94,16,62,47,188,79,78,94,47,47,78,79,78,78,63,1
78,63,63,94,94,78,172,78,78,46,78,94,78,78,78,63,31,1
109,94,63,172,125,125,156,16,31,94,16,62,141,78,109,125,16,1
125,16,47,16,78,156,109,47,109,78,94,93,94,47,109,78,47,1
93,31,15,172,125,156,547,78,125,109,16,62,141,78,124,125,16,1
94,94,93,16,94,94,47,31,16,80,15,78,16,78,15,16,110,1
110,63,16,78,94,532,625,62,15,16,62,62,78,125,15,78,16,1
31,16,31,16,94,563,656,31,16,593,15,78,16,78,78,16,110,1
62,94,62,16,125,125,32,78,62,78,15,78,94,94,16,94,15,1
62,62,110,32,62,0,16,31,16,78,46,47,94,94,391,62,32,1
16,62,62,16,125,93,16,94,93,703,15,78,94,94,62,94,15,1
94,109,78,63,78,78,94,78,62,79,31,93,94,109,94,78,16,1
110,93,78,31,78,156,141,109,94,78,62,79,75,47,62,93,16,1
109,62,94,63,78,94,78,109,62,110,31,93,94,109,109,78,16,1
78,63,62,62,156,156,32,78,78,16,219,78,31,484,62,78,32,1
94,79,109,63,31,0,15,63,62,141,78,78,15,62,93,31,78,1
94,78,79,62,156,0,47,62,78,63,219,78,31,484,47,78,32,1
47,47,16,63,78,78,156,62,78,94,47,93,172,125,110,63,15,1
78,94,47,15,79,0,16,110,110,110,78,78,78,16,32,47,31,1
16,78,63,63,78,125,16,78,78,94,47,93,172,125,94,63,15,1
