ft1,dtfk3,dtsk3,dtfk4,dtsk4,dtfk5,ft5,dtsk5,dtfk7,ft7,dtsk7,dtfk8,ft8,dtfk10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk14,ft14,dtsk14,gender
31,62,78,78,94,94,156,78,62,94,94,78,94,141,78,94,109,31,79,47,109,63,1
32,62,62,62,62,94,125,94,93,47,78,78,125,47,79,110,125,78,156,62,94,63,1
78,94,32,78,94,78,140,94,62,94,78,93,94,141,78,94,109,31,79,47,109,63,1
16,78,62,62,391,391,47,62,79,15,78,94,62,16,47,62,94,234,78,31,63,15,1
16,93,62,62,47,516,578,32,437,63,62,78,94,32,62,47,94,172,16,47,32,46,1
62,78,50,62,391,484,79,62,250,78,47,90,62,16,47,62,94,234,78,31,63,15,1
594,62,78,78,219,219,15,63,79,46,47,78,125,63,94,63,78,16,78,79,171,63,1
31,62,78,47,63,62,47,94,93,47,63,63,109,62,47,47,94,62,16,63,46,63,1
110,47,47,78,219,62,32,94,62,16,78,79,63,63,94,63,78,16,78,79,171,63,1
47,94,78,78,266,266,47,94,78,157,93,94,312,594,93,109,94,31,78,94,31,78,1
93,78,93,78,78,0,31,78,31,94,63,63,94,94,47,110,172,78,63,94,78,78,1
94,93,94,78,266,0,16,78,78,16,93,62,109,594,93,109,94,31,78,94,31,78,1
78,78,63,63,281,281,47,47,62,94,62,125,31,47,63,93,15,93,16,47,94,47,1
78,63,32,47,78,0,47,47,94,93,16,187,32,78,62,16,32,94,156,63,141,31,1
47,62,63,63,281,0,31,109,78,47,78,63,0,47,63,93,15,93,16,47,94,47,1
125,94,78,78,94,94,312,78,78,78,63,63,125,78,94,78,62,78,78,63,31,62,1
16,62,94,78,62,47,188,78,79,187,78,62,94,47,47,78,204,46,79,78,63,78,1
31,63,63,78,94,78,172,78,78,47,78,78,46,78,94,78,62,78,78,63,31,62,1
78,94,63,63,125,125,156,125,16,47,31,94,94,16,62,141,203,16,78,125,16,109,1
188,16,47,109,78,156,109,125,47,31,109,109,78,94,93,94,79,62,47,78,47,124,1
